ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,154.70","2,172.80","2,081.90","2,148.00","2,092.00","2,093.50","2,121.95","3,060.00","1,251.55","2,64,827","56,19,49,435.10","15,733"
"11-Aug-2025","EQ","2,100.00","2,174.40","2,076.00","2,104.70","2,150.00","2,148.00","2,139.24","3,060.00","1,251.55","3,01,442","64,48,57,409.00","20,292"
"08-Aug-2025","EQ","2,156.90","2,156.90","2,086.00","2,146.80","2,097.90","2,104.70","2,110.11","3,060.00","1,251.55","2,63,067","55,51,00,606.60","16,015"
"07-Aug-2025","EQ","2,099.00","2,199.00","2,090.60","2,122.00","2,150.00","2,146.80","2,151.39","3,060.00","1,251.55","5,49,600","1,18,24,06,524.40","32,556"
"06-Aug-2025","EQ","2,214.00","2,220.00","2,111.00","2,210.20","2,115.00","2,122.00","2,147.17","3,060.00","1,251.55","4,52,547","97,16,97,303.90","25,333"
"05-Aug-2025","EQ","2,315.00","2,326.30","2,181.40","2,304.10","2,214.00","2,210.20","2,230.03","3,060.00","1,251.55","17,18,841","3,83,30,64,497.40","95,042"
"04-Aug-2025","EQ","2,166.90","2,340.00","2,141.00","2,135.20","2,313.00","2,304.10","2,271.35","3,060.00","1,251.55","58,34,148","13,25,13,67,697.40","2,75,803"
"01-Aug-2025","EQ","2,092.90","2,295.00","2,075.00","2,031.50","2,139.00","2,135.20","2,207.12","3,060.00","1,251.55","1,01,51,523","22,40,55,78,853.00","4,50,591"
"31-Jul-2025","EQ","1,999.10","2,066.90","1,962.10","2,023.00","2,055.00","2,031.50","2,022.76","3,060.00","1,251.55","7,79,651","1,57,70,48,427.60","62,208"
"30-Jul-2025","EQ","1,974.00","2,040.00","1,949.00","1,972.80","2,018.00","2,023.00","2,002.60","3,060.00","1,251.55","6,00,603","1,20,27,65,560.10","46,242"
"29-Jul-2025","EQ","1,815.10","1,994.70","1,812.50","1,827.50","1,964.60","1,972.80","1,934.91","3,060.00","1,251.55","12,46,539","2,41,19,43,082.00","93,468"
"28-Jul-2025","EQ","1,920.10","1,925.00","1,815.10","1,927.00","1,816.00","1,827.50","1,857.90","3,060.00","1,251.55","2,45,654","45,64,01,277.40","34,649"
"25-Jul-2025","EQ","1,966.00","1,966.80","1,911.30","1,967.60","1,932.00","1,927.00","1,932.47","3,060.00","1,251.55","1,57,744","30,48,35,951.10","19,450"
"24-Jul-2025","EQ","1,964.00","1,975.00","1,942.50","1,956.30","1,963.00","1,967.60","1,958.45","3,060.00","1,251.55","1,65,357","32,38,42,983.50","17,718"
"23-Jul-2025","EQ","1,895.70","1,985.00","1,875.60","1,895.80","1,959.00","1,956.30","1,949.71","3,060.00","1,251.55","4,52,691","88,26,17,463.80","43,354"
"22-Jul-2025","EQ","1,903.90","1,922.50","1,886.10","1,896.10","1,905.00","1,895.80","1,901.10","3,060.00","1,251.55","93,437","17,76,33,332.20","11,747"
"21-Jul-2025","EQ","1,943.90","1,943.90","1,887.50","1,931.40","1,899.60","1,896.10","1,902.74","3,060.00","1,251.55","1,14,783","21,84,02,706.90","15,390"
"18-Jul-2025","EQ","1,937.00","1,985.30","1,922.50","1,935.00","1,933.00","1,931.40","1,947.15","3,060.00","1,251.55","2,17,548","42,35,99,071.20","24,436"
"17-Jul-2025","EQ","1,964.60","1,968.20","1,920.10","1,956.30","1,935.00","1,935.00","1,942.40","3,060.00","1,251.55","1,26,461","24,56,37,891.50","14,509"
