ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","56.46","57.77","56.00","56.19","56.82","56.88","56.91","106.00","39.66","38,06,934","21,66,68,801.91","15,352"
"12-Aug-2025","EQ","56.28","56.90","55.76","56.10","55.90","56.19","56.24","106.00","39.66","26,50,238","14,90,54,623.08","13,724"
"11-Aug-2025","EQ","57.36","57.40","55.05","57.76","56.15","56.10","56.19","106.00","39.66","56,46,143","31,72,71,504.83","22,820"
"08-Aug-2025","EQ","56.55","59.40","55.30","56.29","57.17","57.76","57.85","106.00","39.66","1,51,18,860","87,45,58,092.90","54,072"
"07-Aug-2025","EQ","57.24","57.89","54.68","57.24","56.65","56.29","55.91","106.00","39.66","75,46,510","42,19,24,462.39","28,180"
"06-Aug-2025","EQ","58.31","58.99","56.37","58.31","57.25","57.24","57.18","106.00","39.66","37,78,061","21,60,12,657.71","16,573"
"05-Aug-2025","EQ","59.33","59.60","58.02","59.33","58.20","58.31","58.63","106.00","39.66","41,61,051","24,39,72,084.93","15,898"
"04-Aug-2025","EQ","57.49","59.79","57.06","57.47","59.31","59.33","58.95","106.00","39.66","1,46,55,119","86,39,01,126.46","51,851"
"01-Aug-2025","EQ","55.26","60.90","55.26","55.50","56.76","57.47","59.38","106.00","39.66","7,82,82,510","4,64,88,03,636.74","1,85,893"
"31-Jul-2025","EQ","55.09","56.32","54.82","56.17","55.45","55.50","55.58","106.00","39.66","30,21,753","16,79,34,636.21","12,276"
"30-Jul-2025","EQ","56.94","57.40","56.01","56.46","56.25","56.17","56.55","106.00","39.66","19,77,345","11,18,20,787.21","10,485"
"29-Jul-2025","EQ","56.59","57.07","55.52","56.25","56.90","56.46","56.28","106.00","39.66","42,36,626","23,84,43,680.72","18,884"
"28-Jul-2025","EQ","57.70","58.53","55.82","57.70","56.20","56.25","56.93","106.00","39.66","46,11,043","26,24,83,680.31","20,375"
"25-Jul-2025","EQ","59.70","59.75","57.25","59.95","57.51","57.70","58.34","106.00","39.66","37,63,467","21,95,61,577.37","14,581"
"24-Jul-2025","EQ","60.12","60.29","59.01","60.10","59.75","59.95","59.70","106.00","39.66","39,88,760","23,81,47,039.68","14,130"
"23-Jul-2025","EQ","59.00","60.54","58.16","58.75","60.49","60.10","59.41","106.00","39.66","86,71,240","51,51,38,964.92","25,401"
"22-Jul-2025","EQ","59.80","60.24","58.48","59.61","58.61","58.75","59.23","106.00","39.66","47,43,455","28,09,46,584.86","15,685"
"21-Jul-2025","EQ","61.23","61.25","59.28","61.23","59.50","59.61","59.79","106.00","39.66","78,63,805","47,01,97,121.93","23,182"
"18-Jul-2025","EQ","60.80","62.54","60.15","60.78","61.01","61.23","61.44","106.00","39.66","2,05,65,216","1,26,35,94,910.84","48,724"
"17-Jul-2025","EQ","62.00","62.65","60.31","63.14","61.21","60.78","61.41","106.00","39.66","4,29,89,401","2,63,98,28,263.65","90,569"
"16-Jul-2025","EQ","57.00","65.29","57.00","55.71","62.17","63.14","62.89","106.00","39.66","31,84,36,246","20,02,70,11,252.92","5,13,954"
"15-Jul-2025","EQ","56.55","56.82","55.45","56.09","55.89","55.71","56.09","106.00","39.66","36,57,103","20,51,26,953.09","17,558"
"14-Jul-2025","EQ","54.94","56.50","54.55","54.81","55.90","56.09","55.84","106.00","39.66","46,90,017","26,18,74,646.76","19,368"
"11-Jul-2025","EQ","55.95","55.95","54.56","55.68","54.80","54.81","55.13","106.00","39.66","40,69,679","22,43,70,060.84","15,030"
"10-Jul-2025","EQ","56.52","56.53","55.50","56.03","55.60","55.68","55.94","106.00","39.66","30,05,522","16,81,34,845.34","12,918"
"09-Jul-2025","EQ","56.19","56.83","55.76","55.86","56.00","56.03","56.25","106.00","39.66","25,97,578","14,61,12,261.46","11,490"
"08-Jul-2025","EQ","56.40","56.95","55.40","56.33","55.90","55.86","56.02","106.00","39.66","25,38,405","14,22,02,888.65","14,776"
"07-Jul-2025","EQ","56.30","57.00","56.00","56.42","56.33","56.33","56.43","106.00","39.66","30,10,717","16,98,89,691.82","14,811"
"04-Jul-2025","EQ","58.00","58.25","56.30","58.11","56.45","56.42","56.96","106.00","39.66","65,27,652","37,17,93,325.62","25,884"
"03-Jul-2025","EQ","57.20","59.45","56.45","57.02","58.11","58.11","57.69","106.00","39.66","69,45,867","40,07,19,327.87","30,312"
"02-Jul-2025","EQ","58.25","58.96","56.78","57.93","56.90","57.02","57.70","106.00","39.66","50,21,011","28,97,07,658.32","22,160"
"01-Jul-2025","EQ","59.13","59.38","57.82","58.88","58.03","57.93","58.26","106.00","39.66","40,76,183","23,74,60,818.01","15,778"
"30-Jun-2025","EQ","59.44","60.82","58.65","58.88","58.80","58.88","59.39","106.00","39.66","74,20,433","44,06,62,871.93","28,367"
"27-Jun-2025","EQ","59.83","60.37","58.70","59.54","58.81","58.88","59.42","106.00","39.66","70,27,234","41,75,28,122.37","28,022"
"26-Jun-2025","EQ","61.54","61.70","59.36","61.82","59.68","59.54","60.31","106.00","39.66","1,95,33,484","1,17,79,99,991.33","55,574"
"25-Jun-2025","EQ","54.10","63.37","53.76","53.66","61.07","61.82","60.97","106.00","39.66","14,59,60,782","8,89,88,91,658.49","2,87,222"
"24-Jun-2025","EQ","54.75","54.82","53.20","54.25","53.46","53.66","53.97","106.00","39.66","38,42,199","20,73,71,873.99","17,292"
"23-Jun-2025","EQ","51.96","54.64","51.74","52.26","53.84","54.25","53.64","106.00","39.66","77,82,931","41,74,63,451.47","36,819"
"20-Jun-2025","EQ","52.48","53.05","51.60","52.49","52.38","52.26","52.25","106.00","39.66","41,93,865","21,91,24,480.24","23,606"
"19-Jun-2025","EQ","53.11","54.00","52.01","52.87","52.10","52.49","53.01","106.00","39.66","41,66,878","22,08,81,629.98","19,379"
"18-Jun-2025","EQ","53.38","53.49","52.51","53.14","52.64","52.87","52.98","106.00","39.66","24,41,434","12,93,47,565.73","9,121"
"17-Jun-2025","EQ","55.02","55.22","53.02","54.62","53.13","53.14","53.91","106.00","39.66","31,87,818","17,18,41,420.92","15,411"
"16-Jun-2025","EQ","53.80","54.79","52.57","53.36","54.55","54.62","53.76","106.00","39.66","43,62,264","23,45,28,105.82","18,105"
"13-Jun-2025","EQ","52.50","54.29","52.15","55.17","53.70","53.36","53.52","106.00","39.66","47,10,306","25,20,89,729.53","22,728"
"12-Jun-2025","EQ","57.00","57.57","54.90","56.68","55.21","55.17","56.26","106.00","39.66","42,41,138","23,85,96,756.12","17,646"
"11-Jun-2025","EQ","57.50","58.45","56.10","57.08","56.90","56.68","57.50","106.00","39.66","85,84,050","49,35,40,813.37","33,705"
"10-Jun-2025","EQ","54.75","57.49","54.61","54.48","57.25","57.08","56.66","106.00","39.66","1,28,04,362","72,54,51,414.71","48,384"
"09-Jun-2025","EQ","54.70","55.69","54.37","54.14","54.49","54.48","54.82","106.00","39.66","29,35,749","16,09,40,903.02","14,192"
"06-Jun-2025","EQ","54.75","54.93","53.73","54.69","54.25","54.14","54.22","106.00","39.66","25,91,635","14,05,16,409.65","11,435"
"05-Jun-2025","EQ","55.32","56.16","54.50","55.32","54.75","54.69","55.39","106.00","39.66","33,99,083","18,82,89,277.57","15,036"
"04-Jun-2025","EQ","55.35","55.70","54.45","55.09","55.35","55.32","55.04","106.00","39.66","40,91,914","22,52,35,683.28","18,500"
"03-Jun-2025","EQ","57.00","57.21","54.96","56.62","54.97","55.09","55.68","106.00","39.66","58,26,498","32,44,36,648.76","22,478"
"02-Jun-2025","EQ","54.60","57.45","53.60","54.54","56.70","56.62","55.86","106.00","39.66","1,22,23,745","68,28,69,402.15","40,836"
"30-May-2025","EQ","55.29","55.40","53.16","54.79","54.52","54.54","54.25","106.00","39.66","72,27,385","39,20,57,753.85","28,611"
"29-May-2025","EQ","53.26","55.18","52.54","52.69","54.90","54.79","54.24","106.00","39.66","1,75,17,444","95,00,91,833.97","55,583"
"28-May-2025","EQ","50.10","53.00","49.62","50.06","52.50","52.69","51.82","106.00","39.66","1,51,57,256","78,54,26,092.60","48,443"
"27-May-2025","EQ","49.95","51.10","49.15","50.01","49.98","50.06","50.16","106.00","39.66","61,48,990","30,84,45,060.12","24,696"
"26-May-2025","EQ","48.92","50.49","48.28","48.82","49.74","50.01","49.43","106.00","39.66","57,41,976","28,38,41,101.46","21,373"
"23-May-2025","EQ","48.80","49.50","47.54","48.56","48.75","48.82","48.56","106.00","39.66","38,87,492","18,87,62,704.88","18,275"
"22-May-2025","EQ","46.45","50.90","46.40","46.69","48.57","48.56","49.06","106.00","39.66","1,98,14,837","97,22,04,045.24","72,557"
"21-May-2025","EQ","46.35","47.49","46.06","46.62","46.79","46.69","46.68","106.00","39.66","24,77,399","11,56,34,317.60","12,672"
"20-May-2025","EQ","47.82","48.20","46.40","47.58","46.60","46.62","47.20","106.00","39.66","28,19,482","13,30,75,274.69","14,030"
"19-May-2025","EQ","47.91","48.58","47.27","47.60","47.68","47.58","47.99","106.00","39.66","28,03,751","13,45,61,038.74","13,926"
"16-May-2025","EQ","46.49","48.00","46.16","46.52","47.56","47.60","47.37","106.00","39.66","38,31,158","18,14,64,843.97","15,370"
"15-May-2025","EQ","46.40","47.00","46.01","46.59","46.60","46.52","46.78","106.00","39.66","33,31,086","15,58,41,199.44","13,533"
"14-May-2025","EQ","46.00","46.82","45.62","45.61","46.69","46.59","46.33","106.00","39.66","32,00,230","14,82,59,993.70","13,248"
"13-May-2025","EQ","45.10","46.09","44.60","45.20","45.90","45.61","45.54","106.00","39.66","27,56,975","12,55,53,452.01","11,984"
"12-May-2025","EQ","43.90","45.47","43.85","42.49","45.11","45.20","44.76","106.00","39.66","54,23,625","24,27,70,804.54","19,127"
"09-May-2025","EQ","41.35","42.70","41.21","42.54","42.69","42.49","41.79","106.00","39.66","28,72,584","12,00,32,720.21","13,549"
"08-May-2025","EQ","42.54","44.06","42.25","42.48","42.54","42.54","43.30","106.00","39.66","30,40,816","13,16,80,584.94","14,387"
"07-May-2025","EQ","41.55","42.73","41.55","42.39","42.68","42.48","42.28","106.00","39.66","30,49,673","12,89,29,290.47","13,900"
"06-May-2025","EQ","42.95","43.99","42.02","43.16","42.50","42.39","43.20","106.00","39.66","37,98,588","16,41,05,023.22","15,411"
"05-May-2025","EQ","43.12","43.70","42.83","43.07","43.22","43.16","43.19","106.00","39.66","20,82,709","8,99,58,009.75","8,690"
"02-May-2025","EQ","43.60","43.89","42.54","43.54","43.09","43.07","43.18","106.00","39.66","29,75,040","12,84,52,326.19","14,169"
"30-Apr-2025","EQ","45.02","45.20","43.21","45.27","43.86","43.54","44.13","106.00","39.66","30,12,434","13,29,29,160.71","14,389"
"29-Apr-2025","EQ","43.51","46.48","43.50","43.45","45.15","45.27","45.32","106.00","39.66","1,20,72,572","54,70,70,571.78","40,306"
"28-Apr-2025","EQ","43.69","43.76","42.68","43.69","43.51","43.45","43.35","106.00","39.66","21,57,844","9,35,31,826.28","11,912"
"25-Apr-2025","EQ","46.10","46.38","43.12","46.15","43.70","43.69","44.10","106.00","39.66","55,25,411","24,36,74,066.24","24,852"
"24-Apr-2025","EQ","45.95","46.99","45.56","45.87","46.05","46.15","46.21","106.00","39.66","44,64,383","20,63,10,151.48","22,010"
"23-Apr-2025","EQ","46.00","46.25","44.75","45.79","45.85","45.87","45.56","106.00","39.66","32,21,755","14,67,79,841.92","13,003"
"22-Apr-2025","EQ","45.55","47.15","45.13","45.11","45.90","45.79","46.20","106.00","39.66","71,88,055","33,20,81,039.11","26,354"
"21-Apr-2025","EQ","45.00","45.49","43.71","44.89","45.35","45.11","44.68","106.00","39.66","61,52,503","27,49,15,154.43","32,349"
"17-Apr-2025","EQ","45.00","45.24","44.46","45.11","44.90","44.89","44.82","106.00","39.66","24,94,357","11,17,96,526.25","14,100"
"16-Apr-2025","EQ","43.65","45.69","43.65","43.76","45.00","45.11","44.77","106.00","39.66","42,66,432","19,10,12,304.86","21,833"
"15-Apr-2025","EQ","42.51","44.10","42.51","41.79","44.01","43.76","43.26","106.00","39.66","28,99,574","12,54,28,753.77","17,330"
"11-Apr-2025","EQ","42.00","42.57","41.52","41.06","41.86","41.79","41.86","106.00","39.66","23,52,473","9,84,84,012.76","12,621"
"09-Apr-2025","EQ","41.48","41.79","40.66","41.71","41.19","41.06","41.12","106.00","39.66","19,07,189","7,84,22,148.35","12,810"
"08-Apr-2025","EQ","42.24","42.87","41.13","41.23","41.81","41.71","41.75","106.00","39.66","26,81,523","11,19,49,997.91","14,124"
"07-Apr-2025","EQ","40.00","42.12","39.70","43.28","41.50","41.23","40.76","106.00","39.66","55,37,226","22,56,88,647.08","31,971"
"04-Apr-2025","EQ","45.40","45.60","42.68","45.42","43.57","43.28","43.70","106.00","39.66","47,78,031","20,88,19,574.95","23,986"
"03-Apr-2025","EQ","43.91","45.60","43.91","44.70","45.57","45.42","45.15","106.00","39.66","24,09,481","10,87,97,425.55","11,123"
"02-Apr-2025","EQ","44.94","45.33","43.91","44.96","44.88","44.70","44.66","106.00","39.66","23,53,532","10,51,02,025.44","12,004"
"01-Apr-2025","EQ","43.55","45.29","43.50","43.41","45.04","44.96","44.67","106.00","39.66","45,15,790","20,17,39,405.11","18,727"
"28-Mar-2025","EQ","45.00","46.09","43.18","44.96","43.35","43.41","44.29","106.00","39.66","59,42,531","26,31,82,316.22","21,822"
"27-Mar-2025","EQ","44.60","45.57","43.83","44.51","45.32","44.96","44.80","106.00","39.66","99,27,621","44,47,47,974.59","32,785"
"26-Mar-2025","EQ","45.95","45.95","44.20","45.36","44.23","44.51","44.95","106.00","39.66","72,12,483","32,42,03,661.06","23,654"
"25-Mar-2025","EQ","48.00","48.62","45.05","47.49","45.26","45.36","46.17","106.00","39.66","84,06,483","38,81,08,244.79","36,761"
"24-Mar-2025","EQ","48.02","49.20","47.27","47.44","47.65","47.49","48.25","106.00","39.66","77,50,498","37,39,36,411.69","34,802"
"21-Mar-2025","EQ","44.20","47.86","44.20","44.01","47.27","47.44","46.43","106.00","39.66","1,36,96,241","63,58,60,938.42","49,260"
"20-Mar-2025","EQ","44.20","45.40","43.62","43.87","43.98","44.01","44.24","106.00","39.66","62,77,036","27,76,65,310.16","25,954"
"19-Mar-2025","EQ","42.30","44.35","42.30","42.35","43.97","43.87","43.84","106.00","39.66","71,15,867","31,19,60,517.87","23,464"
"18-Mar-2025","EQ","41.00","42.57","41.00","40.53","42.45","42.35","42.14","106.00","39.66","54,60,587","23,00,90,949.92","20,458"
"17-Mar-2025","EQ","41.48","41.93","40.25","41.49","40.60","40.53","41.09","106.00","39.66","62,65,560","25,74,78,975.66","24,719"
"13-Mar-2025","EQ","42.01","42.75","41.26","41.93","41.49","41.49","41.97","106.00","39.66","57,80,878","24,26,46,985.66","20,839"
"12-Mar-2025","EQ","43.49","43.70","41.69","42.95","41.90","41.93","42.29","106.00","39.66","41,90,317","17,71,91,506.62","15,498"
"11-Mar-2025","EQ","44.10","44.18","42.64","44.19","43.15","42.95","43.31","106.00","39.66","58,95,548","25,53,35,860.39","22,713"
"10-Mar-2025","EQ","45.50","46.19","43.90","45.45","44.08","44.19","44.59","106.00","39.66","51,82,516","23,11,13,872.02","24,243"
"07-Mar-2025","EQ","43.89","47.22","43.72","44.05","45.40","45.45","45.87","106.00","39.66","89,94,617","41,25,39,285.14","43,454"
"06-Mar-2025","EQ","43.49","44.39","43.48","43.00","43.99","44.05","43.91","106.00","39.66","46,58,925","20,45,92,320.74","20,372"
"05-Mar-2025","EQ","41.45","43.19","41.25","41.67","43.00","43.00","42.76","106.00","39.66","38,54,915","16,48,28,346.75","16,734"
"04-Mar-2025","EQ","40.49","41.97","40.31","40.80","41.65","41.67","41.43","106.00","39.66","57,00,416","23,61,62,322.87","22,926"
"03-Mar-2025","EQ","41.69","42.26","39.66","41.32","41.00","40.80","40.67","106.00","39.66","73,85,500","30,03,76,487.00","34,785"
"28-Feb-2025","EQ","43.00","43.39","40.84","43.53","41.36","41.32","41.73","121.40","40.84","59,21,029","24,70,92,863.21","30,314"
"27-Feb-2025","EQ","45.31","45.35","43.34","45.17","43.58","43.53","43.96","121.40","43.34","39,56,487","17,39,38,775.74","19,131"
"25-Feb-2025","EQ","45.01","46.00","45.00","45.26","45.16","45.17","45.48","121.40","44.90","22,41,341","10,19,41,996.12","12,380"
"24-Feb-2025","EQ","46.20","46.20","44.90","46.31","45.24","45.26","45.26","121.40","44.90","38,80,918","17,56,35,955.62","16,593"
"21-Feb-2025","EQ","47.50","48.74","45.97","47.67","46.18","46.31","46.71","121.40","44.90","56,64,695","26,45,91,775.98","24,293"
"20-Feb-2025","EQ","47.13","48.06","46.57","46.93","47.40","47.67","47.46","121.40","44.90","23,05,696","10,94,22,646.91","14,421"
"19-Feb-2025","EQ","45.64","47.56","45.21","45.64","46.82","46.93","46.88","121.40","44.90","33,77,423","15,83,39,270.00","22,397"
"18-Feb-2025","EQ","46.40","46.71","44.90","46.42","45.60","45.64","45.50","121.40","44.90","43,13,723","19,62,77,901.38","20,751"
"17-Feb-2025","EQ","46.03","47.40","45.30","46.82","46.35","46.42","46.32","121.40","45.30","48,09,159","22,27,50,623.04","31,777"
"14-Feb-2025","EQ","49.50","49.98","46.15","49.23","46.92","46.82","47.38","121.40","46.15","34,52,900","16,36,05,737.21","24,712"
"13-Feb-2025","EQ","48.50","50.70","48.50","48.76","49.66","49.23","49.74","121.40","46.78","26,87,814","13,36,85,605.89","26,964"
"12-Feb-2025","EQ","49.28","49.46","46.78","49.34","48.86","48.76","48.24","121.40","46.78","36,73,335","17,72,13,018.84","26,279"
"11-Feb-2025","EQ","50.89","50.89","48.85","50.42","49.28","49.34","49.39","121.40","47.59","28,18,707","13,92,19,664.88","20,714"
"10-Feb-2025","EQ","51.85","51.95","50.00","51.79","50.50","50.42","50.52","121.40","47.59","21,38,284","10,80,28,333.94","13,089"
"07-Feb-2025","EQ","52.10","52.82","51.20","52.31","51.70","51.79","51.84","121.40","47.59","22,34,205","11,58,14,688.58","13,736"
"06-Feb-2025","EQ","53.45","53.56","51.69","53.26","52.50","52.31","52.61","121.40","47.59","27,13,452","14,27,61,285.62","14,526"
"05-Feb-2025","EQ","52.20","53.80","51.90","51.83","53.20","53.26","53.21","121.40","47.59","29,42,785","15,65,88,434.77","16,978"
"04-Feb-2025","EQ","52.00","52.45","51.12","51.36","51.90","51.83","51.74","121.40","47.59","21,21,727","10,97,86,480.49","13,251"
"03-Feb-2025","EQ","52.45","52.82","51.15","52.82","51.50","51.36","51.50","121.40","47.59","22,36,730","11,51,95,483.09","14,570"
"01-Feb-2025","EQ","52.50","53.50","51.28","52.68","53.05","52.82","52.37","124.65","47.59","28,42,664","14,88,80,694.08","14,977"
"31-Jan-2025","EQ","50.95","52.86","50.95","51.49","52.78","52.68","52.29","124.65","47.59","25,03,623","13,09,03,785.40","14,885"
"30-Jan-2025","EQ","51.01","52.61","51.01","51.40","51.50","51.49","51.71","124.65","47.59","27,30,049","14,11,61,776.13","17,522"
"29-Jan-2025","EQ","49.59","52.28","49.59","49.67","51.40","51.40","51.43","124.65","47.59","35,88,463","18,45,46,201.71","21,297"
"28-Jan-2025","EQ","50.03","50.73","47.59","50.03","49.95","49.67","49.12","124.65","47.59","69,52,492","34,15,17,201.61","41,095"
"27-Jan-2025","EQ","51.93","51.93","48.92","52.26","50.00","50.03","50.21","124.65","48.92","54,02,758","27,12,58,611.17","36,889"
"24-Jan-2025","EQ","54.04","54.39","52.01","53.89","52.13","52.26","53.08","133.00","52.01","30,97,156","16,44,08,586.11","19,048"
"23-Jan-2025","EQ","53.88","55.35","53.66","54.10","54.00","53.89","54.47","133.00","52.15","33,62,678","18,31,76,377.15","20,363"
"22-Jan-2025","EQ","55.56","55.75","52.15","55.29","54.15","54.10","53.97","133.00","52.15","48,51,241","26,18,00,041.03","33,829"
"21-Jan-2025","EQ","57.20","57.43","55.04","57.15","55.39","55.29","55.95","133.00","55.04","38,99,520","21,81,86,438.35","27,633"
"20-Jan-2025","EQ","56.65","57.55","55.95","56.43","56.91","57.15","56.71","133.00","55.40","53,08,454","30,10,52,373.87","29,668"
"17-Jan-2025","EQ","56.75","57.48","55.40","56.65","56.33","56.43","56.36","135.70","55.40","52,53,082","29,60,85,048.58","29,100"
"16-Jan-2025","EQ","57.90","58.40","56.50","57.16","56.60","56.65","57.15","135.70","56.50","70,54,648","40,31,39,680.08","35,260"
"15-Jan-2025","EQ","61.31","63.28","56.84","61.44","56.97","57.16","59.38","135.70","56.84","1,33,48,897","79,26,37,712.55","64,634"
"14-Jan-2025","EQ","60.01","62.09","60.01","59.84","61.60","61.44","61.30","135.70","59.00","37,37,264","22,90,80,960.68","38,855"
"13-Jan-2025","EQ","62.09","63.90","59.00","62.98","60.38","59.84","61.16","135.70","59.00","65,78,813","40,23,87,292.87","46,466"
"10-Jan-2025","EQ","66.70","66.75","62.50","66.61","62.95","62.98","64.04","135.70","62.50","58,85,374","37,68,80,976.09","38,533"
"09-Jan-2025","EQ","68.50","69.22","66.00","68.48","66.25","66.61","67.72","135.70","66.00","35,58,828","24,09,96,519.97","21,935"
"08-Jan-2025","EQ","68.55","69.99","68.26","68.99","68.76","68.48","68.88","135.70","68.26","31,01,585","21,36,45,585.60","18,847"
"07-Jan-2025","EQ","69.49","70.25","68.52","68.95","69.00","68.99","69.16","135.70","68.52","30,80,407","21,30,26,178.11","19,110"
"06-Jan-2025","EQ","73.00","73.03","68.61","72.80","69.09","68.95","70.34","135.70","68.61","37,05,754","26,06,52,974.56","27,556"
"03-Jan-2025","EQ","72.00","74.60","71.69","71.34","73.00","72.80","73.64","135.70","70.01","43,85,304","32,29,48,109.98","32,565"
"02-Jan-2025","EQ","70.56","72.90","70.56","71.58","71.45","71.34","71.71","135.70","70.01","26,88,167","19,27,65,220.02","24,890"
"01-Jan-2025","EQ","71.52","72.39","71.11","71.52","71.63","71.58","71.70","135.70","70.01","15,80,536","11,33,30,938.32","9,982"
"31-Dec-2024","EQ","70.98","71.70","70.71","70.34","71.52","71.52","71.24","135.70","70.01","18,90,807","13,47,04,764.98","12,984"
