ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,820.00","1,840.00","1,799.40","1,811.80","1,831.90","1,830.90","1,821.44","2,370.20","1,171.00","2,73,295","49,77,91,663.30","29,363"
"12-Aug-2025","EQ","1,774.30","1,832.50","1,773.80","1,765.60","1,808.00","1,811.80","1,804.42","2,370.20","1,171.00","3,16,793","57,16,28,664.70","39,881"
"11-Aug-2025","EQ","1,727.00","1,773.00","1,700.00","1,737.20","1,772.00","1,765.60","1,740.08","2,370.20","1,171.00","4,61,022","80,22,16,066.40","52,481"
"08-Aug-2025","EQ","1,779.00","1,779.40","1,726.00","1,777.80","1,736.00","1,737.20","1,751.03","2,370.20","1,171.00","3,90,580","68,39,18,422.80","38,684"
"07-Aug-2025","EQ","1,750.00","1,788.10","1,736.60","1,768.60","1,775.00","1,777.80","1,761.62","2,370.20","1,171.00","5,59,734","98,60,39,012.40","67,746"
"06-Aug-2025","EQ","1,808.40","1,830.00","1,762.30","1,807.50","1,763.00","1,768.60","1,782.16","2,370.20","1,171.00","4,90,147","87,35,18,955.80","42,459"
"05-Aug-2025","EQ","1,842.90","1,850.30","1,801.50","1,829.70","1,808.30","1,807.50","1,819.83","2,370.20","1,171.00","3,39,817","61,84,09,963.50","41,540"
"04-Aug-2025","EQ","1,915.50","1,924.50","1,790.10","1,945.50","1,837.00","1,829.70","1,833.42","2,370.20","1,171.00","12,55,491","2,30,18,43,554.30","1,04,632"
"01-Aug-2025","EQ","1,915.20","1,963.70","1,911.20","1,915.20","1,943.00","1,945.50","1,943.55","2,370.20","1,171.00","2,72,815","53,02,28,411.90","27,871"
"31-Jul-2025","EQ","1,924.00","1,983.00","1,909.80","1,937.80","1,923.00","1,915.20","1,947.01","2,370.20","1,171.00","4,08,346","79,50,54,637.70","35,338"
"30-Jul-2025","EQ","1,984.40","1,995.00","1,935.00","1,982.60","1,936.20","1,937.80","1,959.40","2,370.20","1,171.00","1,80,947","35,45,47,803.40","20,257"
"29-Jul-2025","EQ","1,976.40","2,001.00","1,965.10","1,991.30","1,987.00","1,982.60","1,976.89","2,370.20","1,171.00","2,08,843","41,28,60,318.50","22,116"
"28-Jul-2025","EQ","1,975.00","2,013.80","1,971.70","1,991.60","1,990.00","1,991.30","1,994.32","2,370.20","1,171.00","2,82,263","56,29,23,840.40","32,800"
"25-Jul-2025","EQ","1,970.20","2,001.50","1,962.70","1,980.60","1,990.00","1,991.60","1,986.80","2,370.20","1,171.00","2,20,427","43,79,43,834.00","27,721"
"24-Jul-2025","EQ","1,998.00","2,014.80","1,970.60","1,993.90","1,977.50","1,980.60","1,989.87","2,370.20","1,171.00","2,96,144","58,92,89,470.70","24,980"
"23-Jul-2025","EQ","1,995.20","2,005.00","1,983.90","1,985.50","1,990.90","1,993.90","1,992.72","2,370.20","1,171.00","2,23,181","44,47,37,918.10","21,956"
"22-Jul-2025","EQ","1,924.90","1,992.00","1,924.40","1,915.80","1,989.00","1,985.50","1,972.00","2,370.20","1,171.00","5,67,165","1,11,84,49,823.20","48,470"
"21-Jul-2025","EQ","1,951.80","1,968.70","1,910.30","1,951.80","1,922.00","1,915.80","1,929.69","2,370.20","1,171.00","3,67,874","70,98,80,975.10","31,760"
"18-Jul-2025","EQ","1,965.20","1,969.80","1,930.30","1,961.30","1,958.00","1,951.80","1,951.21","2,370.20","1,171.00","2,31,671","45,20,37,709.80","27,108"
"17-Jul-2025","EQ","1,951.30","1,989.00","1,951.30","1,951.30","1,962.10","1,961.30","1,972.66","2,370.20","1,171.00","2,72,551","53,76,51,336.70","31,001"
"16-Jul-2025","EQ","1,985.00","1,990.80","1,945.00","1,984.50","1,949.50","1,951.30","1,963.17","2,370.20","1,171.00","3,09,312","60,72,30,981.00","30,714"
"15-Jul-2025","EQ","2,026.90","2,032.00","1,972.50","2,019.80","1,985.00","1,984.50","1,990.20","2,370.20","1,171.00","3,15,268","62,74,47,425.40","34,678"
"14-Jul-2025","EQ","2,020.50","2,045.00","2,002.00","2,007.00","2,013.00","2,019.80","2,027.75","2,370.20","1,171.00","4,06,980","82,52,52,646.80","37,225"
"11-Jul-2025","EQ","1,979.60","2,028.00","1,970.10","1,970.10","2,001.50","2,007.00","2,007.61","2,370.20","1,171.00","4,62,829","92,91,79,224.60","40,048"
"10-Jul-2025","EQ","1,982.00","1,984.90","1,956.90","1,969.20","1,968.00","1,970.10","1,972.22","2,370.20","1,171.00","2,09,535","41,32,49,800.80","24,453"
"09-Jul-2025","EQ","1,975.00","1,993.90","1,957.00","1,964.90","1,965.00","1,969.20","1,973.04","2,370.20","1,171.00","3,00,295","59,24,94,449.70","31,716"
"08-Jul-2025","EQ","1,990.00","1,995.00","1,961.00","1,990.30","1,968.00","1,964.90","1,973.99","2,370.20","1,171.00","2,43,075","47,98,26,653.80","24,651"
"07-Jul-2025","EQ","2,012.60","2,017.90","1,983.10","2,011.40","1,985.00","1,990.30","1,992.41","2,370.20","1,171.00","2,12,180","42,27,49,205.00","18,539"
"04-Jul-2025","EQ","2,017.30","2,020.00","1,983.00","2,005.90","2,008.10","2,011.40","2,000.10","2,370.20","1,171.00","4,27,579","85,52,01,488.10","28,492"
"03-Jul-2025","EQ","1,989.20","2,084.00","1,989.20","1,981.40","2,008.80","2,005.90","2,042.34","2,370.20","1,171.00","22,12,509","4,51,86,89,355.60","1,16,469"
"02-Jul-2025","EQ","2,094.90","2,096.00","1,973.40","2,094.00","1,976.00","1,981.40","2,014.73","2,370.20","1,171.00","8,95,485","1,80,41,59,371.00","73,186"
"01-Jul-2025","EQ","2,180.00","2,201.30","2,076.20","2,170.40","2,096.00","2,094.00","2,127.08","2,370.20","1,171.00","7,66,832","1,63,11,13,750.80","68,523"
"30-Jun-2025","EQ","2,225.00","2,225.00","2,112.80","2,263.20","2,167.00","2,170.40","2,159.80","2,370.20","1,171.00","12,10,580","2,61,46,04,976.10","1,02,300"
