ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","240.00","245.55","239.81","240.22","241.55","242.17","242.69","296.80","186.03","11,47,676","27,85,26,199.15","18,914"
"12-Aug-2025","EQ","232.61","241.69","232.25","232.69","240.00","240.22","238.21","296.80","186.03","14,46,007","34,44,59,902.67","27,178"
"11-Aug-2025","EQ","232.34","233.87","229.25","232.34","232.00","232.69","231.77","296.80","186.03","5,44,912","12,62,94,122.08","11,441"
"08-Aug-2025","EQ","235.50","237.30","231.40","233.34","232.00","232.34","233.89","296.80","186.03","10,93,230","25,56,90,804.84","20,546"
"07-Aug-2025","EQ","233.10","233.99","226.25","233.95","233.70","233.34","230.73","296.80","186.03","13,63,436","31,45,82,185.50","18,566"
"06-Aug-2025","EQ","239.49","242.35","232.60","239.50","233.00","233.95","235.83","296.80","186.03","10,04,938","23,69,93,227.93","14,898"
"05-Aug-2025","EQ","245.50","251.10","238.10","244.00","239.00","239.50","245.35","296.80","186.03","39,79,013","97,62,63,464.89","58,645"
"04-Aug-2025","EQ","234.30","245.20","233.20","233.94","244.80","244.00","240.98","296.80","186.03","18,44,834","44,45,65,166.11","26,211"
"01-Aug-2025","EQ","242.25","242.79","232.78","242.25","236.00","233.94","237.11","301.45","186.03","7,34,135","17,40,68,659.72","15,074"
"31-Jul-2025","EQ","238.00","244.02","236.83","243.83","242.25","242.25","242.24","301.45","186.03","10,53,999","25,53,23,317.36","21,454"
"30-Jul-2025","EQ","239.00","244.29","237.70","239.45","244.00","243.83","241.83","301.45","186.03","14,87,643","35,97,50,725.40","27,311"
"29-Jul-2025","EQ","234.30","240.00","232.46","234.41","239.95","239.45","237.67","301.45","186.03","8,52,760","20,26,78,239.29","15,389"
"28-Jul-2025","EQ","238.50","240.79","231.91","239.22","234.50","234.41","235.56","301.45","186.03","12,05,830","28,40,39,587.27","23,055"
"25-Jul-2025","EQ","242.70","245.00","237.10","245.17","237.50","239.22","240.16","301.45","186.03","12,17,760","29,24,58,561.59","19,944"
"24-Jul-2025","EQ","244.90","248.20","243.50","244.59","245.50","245.17","245.34","301.45","186.03","22,51,232","55,23,10,028.44","37,396"
"23-Jul-2025","EQ","242.49","247.89","240.64","241.16","244.30","244.59","244.38","301.45","186.03","50,49,634","1,23,40,21,277.94","70,630"
"22-Jul-2025","EQ","231.25","244.80","229.83","230.10","241.20","241.16","240.91","301.45","186.03","80,83,338","1,94,73,17,374.90","76,570"
"21-Jul-2025","EQ","234.90","235.80","229.00","233.61","230.10","230.10","231.44","301.45","186.03","11,91,961","27,58,70,994.76","20,195"
"18-Jul-2025","EQ","239.18","239.90","233.21","239.18","233.35","233.61","235.03","311.80","186.03","11,30,773","26,57,70,884.30","19,030"
"17-Jul-2025","EQ","243.00","243.40","237.60","238.40","238.81","239.18","240.36","311.80","186.03","23,37,062","56,17,31,168.87","32,797"
"16-Jul-2025","EQ","229.65","239.90","228.76","229.64","238.87","238.40","236.38","311.80","186.03","44,96,887","1,06,29,57,642.98","47,532"
"15-Jul-2025","EQ","227.58","229.99","225.80","227.60","229.70","229.64","228.27","311.80","186.03","8,16,724","18,64,35,963.45","13,739"
