ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","102.70","103.45","100.34","102.68","100.74","100.64","101.36","155.35","84.55","48,60,774","49,26,91,627.63","36,914"
"12-Aug-2025","EQ","101.87","103.99","101.70","102.21","102.60","102.68","102.99","155.35","84.55","28,62,525","29,48,25,590.71","35,599"
"11-Aug-2025","EQ","102.00","102.55","100.87","101.84","102.52","102.21","101.86","155.35","84.55","30,24,274","30,80,40,314.99","38,253"
"08-Aug-2025","EQ","102.41","103.99","101.40","102.45","101.50","101.84","102.66","155.35","84.55","28,18,307","28,93,29,526.40","27,234"
"07-Aug-2025","EQ","103.80","104.52","101.28","104.35","102.70","102.45","102.38","155.35","84.55","64,15,110","65,68,02,088.19","60,416"
"06-Aug-2025","EQ","105.00","105.70","103.80","105.07","104.15","104.35","104.45","155.35","84.55","25,74,282","26,88,74,214.73","28,964"
"05-Aug-2025","EQ","105.89","106.29","104.50","105.09","105.56","105.07","105.14","155.35","84.55","35,45,520","37,27,92,805.49","29,729"
"04-Aug-2025","EQ","104.74","105.50","104.32","104.53","105.10","105.09","104.92","155.35","84.55","26,04,242","27,32,37,780.88","22,045"
"01-Aug-2025","EQ","104.27","105.64","104.05","104.27","104.62","104.53","104.72","155.35","84.55","33,84,587","35,44,42,995.79","22,533"
"31-Jul-2025","EQ","105.00","105.30","103.91","105.96","104.29","104.27","104.67","155.35","84.55","36,21,761","37,91,02,914.34","26,546"
"30-Jul-2025","EQ","106.30","106.68","105.73","105.97","105.80","105.96","106.13","155.35","84.55","29,62,834","31,44,52,174.22","20,259"
"29-Jul-2025","EQ","108.27","109.80","105.26","107.28","106.04","105.97","106.75","155.35","84.55","1,43,37,930","1,53,05,89,432.62","65,596"
"28-Jul-2025","EQ","106.00","109.44","105.45","105.78","107.29","107.28","107.97","155.35","84.55","1,12,78,007","1,21,76,67,373.07","72,927"
"25-Jul-2025","EQ","106.69","106.88","105.50","106.93","105.61","105.78","106.04","155.35","84.55","48,47,210","51,40,21,595.84","39,678"
"24-Jul-2025","EQ","108.00","108.06","106.43","107.96","106.94","106.93","107.17","155.35","84.55","52,13,000","55,86,96,578.12","38,802"
"23-Jul-2025","EQ","108.41","109.00","107.61","108.43","108.00","107.96","108.11","155.35","84.55","38,99,099","42,15,20,500.71","29,748"
"22-Jul-2025","EQ","109.40","110.45","108.12","109.53","108.26","108.43","109.09","155.35","84.55","37,36,244","40,76,01,090.83","23,799"
"21-Jul-2025","EQ","110.59","110.90","109.36","110.66","109.59","109.53","109.91","155.35","84.55","34,12,251","37,50,55,816.73","23,331"
"18-Jul-2025","EQ","112.40","113.43","110.20","112.00","110.59","110.66","111.61","155.35","84.55","71,14,377","79,40,25,971.87","40,535"
