ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","451.85","460.90","451.15","450.60","455.00","454.60","455.44","460.90","287.05","5,19,065","23,64,00,636.90","19,438"
"12-Aug-2025","EQ","446.00","456.15","444.35","445.70","448.15","450.60","450.31","456.15","287.05","6,25,937","28,18,67,137.00","28,084"
"11-Aug-2025","EQ","441.00","455.05","440.55","440.05","445.00","445.70","447.47","455.05","287.05","9,34,734","41,82,65,060.45","29,790"
"08-Aug-2025","EQ","431.10","447.30","429.35","429.90","437.00","440.05","438.58","447.30","287.05","6,45,729","28,32,01,933.80","19,747"
"07-Aug-2025","EQ","434.70","437.00","426.00","434.70","431.00","429.90","430.97","442.00","287.05","3,31,411","14,28,28,681.95","16,470"
"06-Aug-2025","EQ","437.70","441.00","432.00","436.50","433.90","434.70","435.89","442.00","287.05","4,58,408","19,98,16,183.80","35,438"
"05-Aug-2025","EQ","430.75","442.00","430.75","430.75","435.60","436.50","436.81","442.00","287.05","5,99,302","26,17,83,835.50","25,898"
"04-Aug-2025","EQ","423.40","439.80","421.40","424.45","430.70","430.75","433.54","439.80","287.05","7,26,336","31,48,94,581.50","27,943"
"01-Aug-2025","EQ","427.35","437.55","422.10","430.55","422.10","424.45","429.56","438.40","287.05","3,83,450","16,47,15,311.05","15,740"
"31-Jul-2025","EQ","421.00","438.40","415.90","424.95","426.95","430.55","430.86","438.40","287.05","7,91,965","34,12,26,689.40","34,052"
"30-Jul-2025","EQ","414.95","433.40","413.00","414.95","425.00","424.95","423.65","433.40","287.05","7,75,590","32,85,75,778.25","26,912"
"29-Jul-2025","EQ","403.00","421.00","402.95","408.70","414.95","414.95","415.51","422.00","287.05","4,75,345","19,75,09,091.65","19,492"
"28-Jul-2025","EQ","410.95","422.00","398.80","412.80","402.50","408.70","412.90","422.00","287.05","11,92,748","49,24,89,996.50","32,451"
"25-Jul-2025","EQ","413.50","418.00","408.80","414.35","411.45","412.80","413.98","419.25","287.05","4,23,842","17,54,61,677.40","22,123"
"24-Jul-2025","EQ","409.95","419.25","408.65","410.30","413.05","414.35","414.96","419.25","287.05","5,76,930","23,94,03,306.85","25,097"
"23-Jul-2025","EQ","405.60","412.00","401.05","404.90","408.50","410.30","408.95","417.00","287.05","7,06,873","28,90,76,831.60","27,219"
"22-Jul-2025","EQ","399.65","411.00","395.35","399.65","404.90","404.90","403.94","417.00","287.05","11,97,568","48,37,42,268.15","33,068"
"21-Jul-2025","EQ","391.00","404.90","391.00","387.70","398.50","399.65","399.50","417.00","287.05","16,85,593","67,33,88,033.90","47,589"
"18-Jul-2025","EQ","410.00","417.00","386.10","381.65","390.05","387.70","399.42","417.00","287.05","70,75,123","2,82,59,72,875.40","1,04,893"
"17-Jul-2025","EQ","378.20","384.00","373.50","376.45","381.00","381.65","380.14","385.65","287.05","10,42,120","39,61,54,855.95","17,123"
"16-Jul-2025","EQ","368.95","382.40","361.60","365.30","374.45","376.45","374.23","385.65","287.05","12,09,379","45,25,87,707.35","39,384"
"15-Jul-2025","EQ","362.65","371.50","362.60","360.80","366.95","365.30","365.20","385.65","287.05","19,10,965","69,78,80,465.75","13,009"
"14-Jul-2025","EQ","360.45","367.00","351.20","360.45","362.20","360.80","358.92","385.65","287.05","2,25,629","8,09,82,768.35","11,154"
"11-Jul-2025","EQ","364.70","372.70","360.00","362.35","361.00","360.45","366.18","385.65","287.05","3,09,734","11,34,17,533.70","13,435"
"10-Jul-2025","EQ","356.00","363.25","355.65","354.50","363.00","362.35","360.89","385.65","287.05","1,28,950","4,65,36,685.75","6,689"
"09-Jul-2025","EQ","358.95","360.05","352.70","358.95","353.15","354.50","355.68","385.65","287.05","1,92,802","6,85,74,935.00","9,550"
"08-Jul-2025","EQ","356.95","360.60","355.95","358.40","360.00","358.95","358.75","385.65","287.05","1,01,393","3,63,74,930.55","6,487"
"07-Jul-2025","EQ","360.00","360.60","352.40","360.40","356.95","358.40","357.41","385.65","287.05","1,23,554","4,41,59,547.50","7,930"
"04-Jul-2025","EQ","358.95","361.95","356.05","358.95","360.90","360.40","359.25","385.65","287.05","1,01,067","3,63,08,488.65","6,313"
"03-Jul-2025","EQ","363.50","364.00","358.05","362.10","360.50","358.95","360.76","385.65","287.05","77,666","2,80,18,803.15","5,435"
"02-Jul-2025","EQ","357.00","364.00","355.00","357.95","362.00","362.10","360.79","385.65","287.05","1,29,640","4,67,73,403.25","7,142"
"01-Jul-2025","EQ","353.00","360.00","353.00","354.20","357.15","357.95","356.74","385.65","287.05","98,455","3,51,22,792.70","7,122"
"30-Jun-2025","EQ","357.00","358.30","350.45","356.40","354.30","354.20","354.97","385.65","287.05","2,95,785","10,49,94,478.55","10,660"
"27-Jun-2025","EQ","355.00","357.80","349.70","352.15","357.00","356.40","355.02","385.65","287.05","1,34,618","4,77,91,450.10","5,336"
"26-Jun-2025","EQ","348.65","354.20","348.60","348.65","351.20","352.15","351.37","385.65","287.05","68,015","2,38,98,332.85","4,037"
"25-Jun-2025","EQ","339.50","349.95","339.50","340.45","349.60","348.65","347.05","385.65","287.05","79,529","2,76,00,759.60","4,230"
"24-Jun-2025","EQ","344.00","345.05","339.55","339.60","340.80","340.45","341.91","385.65","287.05","62,985","2,15,35,414.90","3,780"
