ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","8,588.00","8,617.00","8,465.50","8,513.50","8,570.50","8,594.50","8,555.23","13,220.00","7,038.00","70,550","60,35,71,677.50","15,424"
"12-Aug-2025","EQ","8,411.00","8,639.00","8,409.00","8,403.50","8,520.50","8,513.50","8,562.57","13,220.00","7,038.00","1,02,518","87,78,18,063.00","27,666"
"11-Aug-2025","EQ","8,409.00","8,459.00","8,363.00","8,424.00","8,405.00","8,403.50","8,419.29","13,220.00","7,038.00","28,768","24,22,06,071.50","8,367"
"08-Aug-2025","EQ","8,627.50","8,627.50","8,387.50","8,571.50","8,387.50","8,424.00","8,491.38","13,220.00","7,038.00","47,453","40,29,41,608.50","12,357"
"07-Aug-2025","EQ","8,475.00","8,590.00","8,430.50","8,517.00","8,590.00","8,571.50","8,512.41","13,220.00","7,038.00","65,889","56,08,73,863.50","13,725"
"06-Aug-2025","EQ","8,576.00","8,599.50","8,420.50","8,575.00","8,498.00","8,517.00","8,506.40","13,220.00","7,038.00","81,885","69,65,46,929.00","23,158"
"05-Aug-2025","EQ","8,585.00","8,607.50","8,487.50","8,569.50","8,589.00","8,575.00","8,555.35","13,220.00","7,038.00","49,503","42,35,15,657.00","13,064"
"04-Aug-2025","EQ","8,355.50","8,590.00","8,319.50","8,378.50","8,558.50","8,569.50","8,477.93","13,220.00","7,038.00","77,907","66,04,90,012.00","18,978"
"01-Aug-2025","EQ","8,475.00","8,492.50","8,340.00","8,475.00","8,350.00","8,378.50","8,407.21","13,220.00","7,038.00","1,24,824","1,04,94,21,487.00","24,119"
"31-Jul-2025","EQ","8,500.00","8,569.50","8,445.50","8,570.00","8,453.50","8,475.00","8,503.09","13,220.00","7,038.00","1,50,964","1,28,36,59,840.50","35,317"
"30-Jul-2025","EQ","8,699.00","8,699.50","8,542.50","8,664.50","8,560.00","8,570.00","8,613.22","13,220.00","7,038.00","72,342","62,30,97,339.00","13,323"
"29-Jul-2025","EQ","8,681.00","8,720.00","8,580.00","8,681.00","8,645.00","8,664.50","8,650.74","13,220.00","7,038.00","67,051","58,00,40,668.00","17,733"
"28-Jul-2025","EQ","8,645.00","8,769.50","8,509.00","8,609.00","8,631.00","8,681.00","8,675.64","13,220.00","7,038.00","1,47,286","1,27,78,00,804.50","31,873"
"25-Jul-2025","EQ","8,950.00","9,034.50","8,575.00","8,939.00","8,598.00","8,609.00","8,792.60","13,220.00","7,038.00","1,73,750","1,52,77,13,534.00","33,163"
"24-Jul-2025","EQ","8,947.50","8,987.00","8,758.00","8,779.00","8,931.00","8,939.00","8,894.02","13,220.00","7,038.00","4,75,675","4,23,06,62,424.50","82,884"
"23-Jul-2025","EQ","8,735.00","8,815.00","8,663.50","8,707.50","8,767.50","8,779.00","8,749.27","13,220.00","7,038.00","79,754","69,77,89,569.00","15,511"
"22-Jul-2025","EQ","8,841.50","8,860.00","8,675.00","8,821.00","8,714.00","8,707.50","8,730.60","13,220.00","7,038.00","69,573","60,74,14,338.50","15,003"
"21-Jul-2025","EQ","8,790.00","8,865.00","8,663.00","8,790.50","8,835.00","8,821.00","8,790.13","13,220.00","7,038.00","62,012","54,50,93,340.00","13,439"
"18-Jul-2025","EQ","8,777.00","8,844.50","8,691.50","8,745.00","8,790.00","8,790.50","8,780.32","13,220.00","7,038.00","92,192","80,94,75,114.00","17,778"
"17-Jul-2025","EQ","8,855.00","8,893.00","8,734.50","8,814.50","8,735.00","8,745.00","8,798.52","13,220.00","7,038.00","69,691","61,31,77,954.00","12,868"
"16-Jul-2025","EQ","8,775.00","8,858.00","8,740.00","8,775.00","8,800.00","8,814.50","8,809.94","13,220.00","7,038.00","76,256","67,18,10,933.00","14,941"
"15-Jul-2025","EQ","8,725.00","8,864.00","8,685.00","8,733.50","8,785.00","8,775.00","8,782.19","13,220.00","7,038.00","75,259","66,09,38,786.00","15,737"
"14-Jul-2025","EQ","8,640.00","8,759.50","8,505.50","8,636.00","8,721.00","8,733.50","8,662.80","13,220.00","7,038.00","1,13,607","98,41,55,207.50","21,575"
