ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","40.01","42.20","39.91","39.82","40.55","40.50","41.02","157.40","39.60","10,66,69,144","4,37,55,27,980.97","1,38,720"
"12-Aug-2025","EQ","40.00","40.50","39.70","39.84","39.82","39.82","39.95","157.40","39.60","1,98,20,124","79,18,40,261.70","47,468"
"11-Aug-2025","EQ","40.34","40.80","39.70","40.13","39.84","39.84","40.14","157.40","39.60","2,55,34,317","1,02,50,36,996.51","57,731"
"08-Aug-2025","EQ","40.40","40.75","40.05","40.26","40.12","40.13","40.34","157.40","39.60","1,97,16,156","79,54,36,203.49","40,832"
"07-Aug-2025","EQ","40.24","40.55","39.75","40.31","40.43","40.26","40.15","157.40","39.60","2,83,60,624","1,13,87,23,060.87","53,490"
"06-Aug-2025","EQ","41.10","41.20","40.15","40.87","40.24","40.31","40.54","157.40","39.60","2,30,73,432","93,54,98,328.71","46,391"
"05-Aug-2025","EQ","41.01","41.34","40.72","40.85","40.81","40.87","40.96","157.40","39.60","2,11,36,397","86,56,92,786.46","41,533"
"04-Aug-2025","EQ","40.64","41.93","40.37","40.55","40.96","40.85","41.10","157.40","39.60","4,38,58,151","1,80,24,93,257.19","69,365"
"01-Aug-2025","EQ","41.50","42.02","40.02","41.31","40.53","40.55","41.21","157.40","39.60","4,45,33,123","1,83,51,46,106.12","60,751"
"31-Jul-2025","EQ","41.65","42.05","41.05","42.16","41.37","41.31","41.56","157.40","39.60","3,25,83,113","1,35,40,34,788.60","59,057"
"30-Jul-2025","EQ","41.85","42.49","41.60","41.71","42.09","42.16","42.13","157.40","39.60","4,67,37,749","1,96,89,94,793.37","1,23,709"
"29-Jul-2025","EQ","41.45","42.34","40.92","41.29","41.85","41.71","41.61","157.40","39.60","6,51,34,571","2,70,99,77,119.50","84,193"
"28-Jul-2025","EQ","41.13","43.35","40.72","41.23","41.23","41.29","42.30","157.40","39.60","14,72,46,534","6,22,86,09,923.65","2,43,036"
"25-Jul-2025","EQ","42.58","42.58","41.06","42.60","41.16","41.23","41.68","157.40","39.60","4,01,12,890","1,67,20,46,229.38","73,128"
"24-Jul-2025","EQ","42.95","44.35","42.34","43.05","42.45","42.60","43.16","157.40","39.60","13,61,45,860","5,87,64,39,073.62","1,66,760"
"23-Jul-2025","EQ","40.35","43.95","39.90","40.17","42.80","43.05","42.51","157.40","39.60","25,58,10,439","10,87,42,03,736.62","2,62,093"
"22-Jul-2025","EQ","40.90","41.28","40.01","40.74","40.14","40.17","40.69","157.40","39.60","4,40,95,007","1,79,42,21,846.01","87,173"
"21-Jul-2025","EQ","41.31","41.59","40.57","41.31","40.84","40.74","40.97","157.40","39.60","4,49,75,465","1,84,24,81,953.30","88,149"
"18-Jul-2025","EQ","42.31","42.33","41.05","42.16","41.17","41.31","41.68","157.40","39.60","5,12,56,778","2,13,66,36,078.58","93,482"
"17-Jul-2025","EQ","42.39","43.85","41.42","42.29","42.31","42.16","42.35","157.40","39.60","16,83,55,786","7,13,01,44,110.06","2,15,243"
"16-Jul-2025","EQ","44.48","44.48","41.94","44.10","42.13","42.29","43.03","157.40","39.60","18,34,29,089","7,89,28,95,167.35","2,53,766"
"15-Jul-2025","EQ","48.40","48.90","43.60","47.07","44.00","44.10","46.38","157.40","39.60","41,89,42,820","19,43,15,38,323.29","5,53,437"
"14-Jul-2025","EQ","39.92","47.76","39.60","39.80","47.66","47.07","44.79","157.40","39.60","59,73,28,587","26,75,57,12,607.52","6,94,886"
"11-Jul-2025","EQ","40.00","40.34","39.62","39.95","39.76","39.80","39.97","157.40","39.62","2,86,32,041","1,14,43,79,379.78","59,332"
"10-Jul-2025","EQ","40.51","40.63","39.82","40.38","40.03","39.95","40.08","157.40","39.82","2,57,60,623","1,03,25,31,752.89","63,899"
"09-Jul-2025","EQ","41.01","41.26","40.12","40.76","40.27","40.38","40.71","157.40","40.12","2,46,37,547","1,00,29,84,120.18","62,637"
"08-Jul-2025","EQ","41.56","41.61","40.70","41.53","40.74","40.76","40.89","157.40","40.40","2,13,84,796","87,44,55,763.40","50,984"
"07-Jul-2025","EQ","41.86","41.96","41.01","41.73","41.46","41.53","41.39","157.40","40.40","2,09,48,411","86,71,43,618.70","43,710"
"04-Jul-2025","EQ","40.66","42.59","40.46","40.61","41.68","41.73","41.80","157.40","40.40","8,58,32,688","3,58,81,74,384.64","1,40,734"
"03-Jul-2025","EQ","41.20","41.75","40.40","41.06","40.77","40.61","41.03","157.40","40.40","5,86,59,774","2,40,66,04,393.67","92,962"
"02-Jul-2025","EQ","42.40","42.59","40.81","42.02","40.90","41.06","41.57","157.40","40.81","3,78,96,285","1,57,52,46,794.69","84,751"
"01-Jul-2025","EQ","43.43","44.10","41.82","43.16","42.09","42.02","42.68","157.40","41.82","3,92,03,765","1,67,31,68,535.29","88,637"
"30-Jun-2025","EQ","43.30","43.49","43.05","43.09","43.11","43.16","43.23","157.40","43.00","2,04,75,039","88,50,93,435.10","53,194"
"27-Jun-2025","EQ","43.24","44.35","43.00","43.16","43.09","43.09","43.43","157.40","43.00","4,10,07,078","1,78,07,43,649.22","90,276"
"26-Jun-2025","EQ","43.54","43.60","43.01","43.26","43.16","43.16","43.25","157.40","43.01","1,62,55,204","70,30,61,504.27","49,180"
"25-Jun-2025","EQ","43.90","44.12","43.18","43.59","43.25","43.26","43.42","157.40","43.16","2,39,56,796","1,04,03,17,584.95","62,548"
"24-Jun-2025","EQ","44.00","44.85","43.48","43.33","43.63","43.59","43.97","157.40","43.16","3,88,78,135","1,70,94,74,625.99","86,989"
"23-Jun-2025","EQ","45.85","45.85","43.16","46.08","43.38","43.33","43.99","157.40","43.16","9,47,29,958","4,16,71,73,144.02","1,70,251"
"20-Jun-2025","EQ","45.70","46.30","45.52","45.47","46.29","46.08","45.87","157.40","45.05","1,50,63,115","69,09,95,688.62","49,116"
"19-Jun-2025","EQ","46.15","46.58","45.05","46.12","45.49","45.47","45.69","157.40","45.05","2,17,00,056","99,14,85,530.03","70,070"
"18-Jun-2025","EQ","46.51","46.70","46.01","46.51","46.07","46.12","46.26","157.40","45.35","1,18,16,032","54,65,90,163.58","44,858"
"17-Jun-2025","EQ","46.94","47.56","46.37","46.74","46.41","46.51","46.81","157.40","45.35","1,34,33,940","62,88,18,246.33","44,339"
"16-Jun-2025","EQ","47.07","47.43","45.94","46.97","46.71","46.74","46.65","157.40","45.35","1,49,63,726","69,80,95,354.54","50,751"
"13-Jun-2025","EQ","46.40","47.12","46.32","47.26","47.11","46.97","46.80","157.40","45.35","1,71,25,720","80,15,20,792.19","56,847"
"12-Jun-2025","EQ","48.45","48.78","47.10","48.42","47.24","47.26","47.81","157.40","45.35","2,37,49,430","1,13,53,80,613.57","74,603"
"11-Jun-2025","EQ","49.23","49.36","48.07","49.01","48.42","48.42","48.69","157.40","45.35","2,05,21,356","99,91,06,530.87","58,616"
"10-Jun-2025","EQ","49.67","50.07","48.95","49.27","49.04","49.01","49.31","157.40","45.35","1,75,65,491","86,61,81,376.46","46,386"
"09-Jun-2025","EQ","48.92","49.69","48.90","48.67","49.29","49.27","49.34","157.40","45.35","2,06,27,500","1,01,77,13,952.74","48,457"
"06-Jun-2025","EQ","49.36","49.40","48.57","49.04","48.77","48.67","48.83","157.40","45.35","1,92,06,504","93,78,41,756.17","57,310"
"05-Jun-2025","EQ","50.45","50.45","48.81","49.99","49.05","49.04","49.53","157.40","45.35","3,30,95,958","1,63,91,79,303.83","87,703"
"04-Jun-2025","EQ","49.90","50.40","48.80","49.33","49.92","49.99","49.61","157.40","45.35","3,84,46,073","1,90,72,32,156.43","71,470"
"03-Jun-2025","EQ","52.00","52.00","49.05","53.68","49.61","49.33","50.45","157.40","45.35","27,76,13,202","14,00,57,15,971.58","1,73,200"
"02-Jun-2025","EQ","50.50","54.40","49.70","50.96","53.40","53.68","52.51","157.40","45.35","8,61,21,862","4,52,19,66,841.76","1,69,791"
"30-May-2025","EQ","48.24","51.25","48.06","53.24","50.85","50.96","50.26","157.40","45.35","7,08,19,438","3,55,94,52,882.22","1,34,723"
"29-May-2025","EQ","52.91","53.68","52.30","52.91","53.20","53.24","53.07","157.40","45.35","2,20,68,387","1,17,10,77,126.98","46,429"
"28-May-2025","EQ","52.60","53.60","52.54","52.50","52.88","52.91","52.98","157.40","45.35","1,86,60,171","98,85,39,738.64","42,324"
"27-May-2025","EQ","52.55","53.19","52.16","52.52","52.50","52.50","52.65","157.40","45.35","1,77,67,525","93,53,95,961.71","41,811"
"26-May-2025","EQ","52.90","53.61","52.30","52.91","52.45","52.52","52.79","157.40","45.35","1,78,70,531","94,34,49,432.90","39,682"
"23-May-2025","EQ","51.56","55.28","51.01","51.47","52.74","52.91","53.41","157.40","45.35","6,83,46,435","3,65,02,19,102.48","1,34,596"
"22-May-2025","EQ","51.02","51.77","50.82","51.38","51.46","51.47","51.35","157.40","45.35","1,24,58,872","63,97,28,346.37","36,273"
"21-May-2025","EQ","51.50","51.75","50.75","51.12","51.39","51.38","51.23","157.40","45.35","1,26,18,919","64,64,86,601.96","30,967"
"20-May-2025","EQ","52.88","53.02","51.00","52.56","51.13","51.12","51.75","157.40","45.35","1,68,08,887","86,98,65,021.72","39,367"
"19-May-2025","EQ","52.21","54.10","52.12","52.12","52.57","52.56","53.25","157.40","45.35","2,70,02,212","1,43,78,12,963.42","61,799"
"16-May-2025","EQ","52.30","53.67","51.66","52.08","52.14","52.12","52.55","157.40","45.35","2,51,49,456","1,32,16,90,768.34","52,445"
"15-May-2025","EQ","51.80","52.63","51.52","51.63","52.06","52.08","52.18","157.40","45.35","1,89,80,444","99,04,24,569.24","40,697"
"14-May-2025","EQ","50.20","51.97","49.86","50.09","51.50","51.63","51.29","157.40","45.35","2,98,03,887","1,52,87,46,589.07","59,632"
"13-May-2025","EQ","49.65","50.70","48.98","49.65","50.19","50.09","50.06","157.40","45.35","1,94,58,226","97,39,90,224.77","45,669"
"12-May-2025","EQ","49.00","49.90","48.50","46.67","49.75","49.65","49.27","157.40","45.35","1,88,80,419","93,02,96,308.29","48,788"
"09-May-2025","EQ","46.00","46.95","45.89","47.60","46.93","46.67","46.45","157.40","45.35","1,56,48,882","72,69,05,558.95","46,286"
"08-May-2025","EQ","48.49","49.18","47.15","47.99","47.20","47.60","48.46","157.40","45.35","1,63,50,394","79,23,71,915.52","40,099"
"07-May-2025","EQ","47.00","48.25","46.40","48.04","48.20","47.99","47.41","157.40","45.35","2,21,84,842","1,05,18,04,811.34","54,579"
"06-May-2025","EQ","49.24","49.84","47.90","49.24","47.99","48.04","48.64","157.40","45.35","1,43,72,971","69,91,28,911.36","39,792"
"05-May-2025","EQ","48.89","49.40","48.15","48.57","49.30","49.24","48.85","157.40","45.35","1,47,92,028","72,26,37,629.66","36,783"
"02-May-2025","EQ","48.69","49.32","48.11","48.69","48.53","48.57","48.69","157.40","45.35","1,73,37,608","84,41,35,615.27","46,036"
"30-Apr-2025","EQ","50.19","50.35","48.01","50.19","48.28","48.69","49.27","157.40","45.35","1,89,37,194","93,29,54,902.60","50,179"
"29-Apr-2025","EQ","50.10","50.79","49.26","49.55","50.28","50.19","49.93","157.40","45.35","2,73,06,195","1,36,34,65,000.23","49,459"
"28-Apr-2025","EQ","49.70","50.35","48.41","49.86","49.63","49.55","49.46","157.40","45.35","3,09,54,602","1,53,10,08,825.96","63,630"
"25-Apr-2025","EQ","52.50","52.69","49.56","52.41","49.72","49.86","50.53","157.40","45.35","5,06,43,672","2,55,91,52,866.07","86,223"
"24-Apr-2025","EQ","52.55","54.44","52.30","52.55","52.43","52.41","53.30","157.40","45.35","4,28,14,417","2,28,19,01,296.72","74,781"
"23-Apr-2025","EQ","53.46","53.59","50.86","53.08","52.44","52.55","51.97","157.40","45.35","5,82,24,552","3,02,61,45,467.97","99,053"
"22-Apr-2025","EQ","52.97","53.97","52.24","52.88","53.02","53.08","53.07","157.40","45.35","3,06,93,991","1,62,90,48,695.60","57,968"
"21-Apr-2025","EQ","50.57","53.57","50.45","50.22","53.05","52.88","52.04","157.40","45.35","6,70,45,731","3,48,91,22,744.03","1,10,991"
"17-Apr-2025","EQ","50.35","50.70","50.10","50.21","50.20","50.22","50.35","157.40","45.35","2,05,97,955","1,03,70,05,183.35","40,308"
"16-Apr-2025","EQ","50.50","52.78","50.00","50.27","50.20","50.21","50.97","157.40","45.35","5,80,74,672","2,96,02,72,853.00","1,30,221"
"15-Apr-2025","EQ","51.25","51.65","50.06","50.20","50.20","50.27","50.66","157.40","45.35","3,39,40,124","1,71,93,09,575.07","1,52,091"
"11-Apr-2025","EQ","51.59","51.70","49.90","50.11","50.10","50.20","50.38","157.40","45.35","2,25,12,064","1,13,42,12,538.26","1,13,771"
"09-Apr-2025","EQ","51.21","51.30","49.79","50.88","50.04","50.11","50.24","157.40","45.35","1,87,14,150","94,02,10,477.21","61,513"
"08-Apr-2025","EQ","52.49","52.87","50.02","50.77","50.79","50.88","51.07","157.40","45.35","3,84,77,761","1,96,52,00,332.15","1,21,277"
"07-Apr-2025","EQ","45.35","51.75","45.35","52.48","51.51","50.77","49.39","157.40","45.35","3,79,01,908","1,87,18,41,409.20","1,14,880"
"04-Apr-2025","EQ","53.50","53.81","51.56","54.04","52.62","52.48","52.51","157.40","46.37","2,32,03,664","1,21,85,08,293.83","56,789"
"03-Apr-2025","EQ","53.00","54.48","53.00","54.07","54.01","54.04","53.96","157.40","46.37","2,23,86,332","1,20,79,62,454.79","51,263"
"02-Apr-2025","EQ","52.75","54.22","51.83","52.71","54.02","54.07","53.17","157.40","46.37","3,35,37,616","1,78,31,24,321.47","66,628"
"01-Apr-2025","EQ","52.81","54.40","52.55","53.05","52.75","52.71","53.33","157.40","46.37","3,32,87,417","1,77,53,20,986.56","72,052"
"28-Mar-2025","EQ","55.10","55.70","52.62","55.10","52.80","53.05","54.18","157.40","46.37","3,80,33,501","2,06,05,14,865.96","80,375"
"27-Mar-2025","EQ","51.83","55.60","51.58","51.74","55.00","55.10","53.80","157.40","46.37","8,31,81,034","4,47,52,86,504.18","1,39,788"
"26-Mar-2025","EQ","54.00","54.98","51.35","54.12","51.83","51.74","53.19","157.40","46.37","4,91,83,198","2,61,60,18,853.76","94,024"
"25-Mar-2025","EQ","57.50","57.73","53.57","55.73","53.75","54.12","55.22","157.40","46.37","5,73,26,308","3,16,54,99,167.43","1,15,866"
"24-Mar-2025","EQ","57.56","58.43","54.86","56.07","55.70","55.73","55.99","157.40","46.37","6,55,30,181","3,66,88,50,637.18","1,40,946"
"21-Mar-2025","EQ","51.71","56.87","51.27","51.71","55.98","56.07","55.41","157.40","46.37","18,91,19,171","10,47,84,46,942.54","2,77,832"
"20-Mar-2025","EQ","54.11","54.43","51.40","53.85","51.60","51.71","52.49","157.40","46.37","5,59,19,357","2,93,49,37,829.63","1,18,784"
"19-Mar-2025","EQ","52.97","55.80","52.91","52.77","53.82","53.85","54.45","157.40","46.37","12,51,39,405","6,81,40,27,947.95","2,35,387"
"18-Mar-2025","EQ","46.37","54.37","46.37","46.93","52.97","52.77","52.09","157.40","46.37","19,01,82,333","9,90,75,18,137.13","3,59,503"
"17-Mar-2025","EQ","49.98","50.24","46.40","50.51","46.86","46.93","47.47","157.40","46.40","6,60,11,719","3,13,37,60,576.78","1,80,778"
"13-Mar-2025","EQ","51.50","51.78","50.30","51.06","50.63","50.51","50.74","157.40","50.30","2,32,76,276","1,18,11,13,332.96","62,089"
"12-Mar-2025","EQ","51.10","52.55","50.78","50.91","50.96","51.06","51.46","157.40","50.67","2,98,02,298","1,53,36,13,135.33","99,512"
"11-Mar-2025","EQ","53.00","53.12","50.67","53.85","50.95","50.91","51.42","157.40","50.67","3,44,87,730","1,77,34,68,387.31","1,19,339"
