ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","577.70","603.00","571.20","572.75","572.20","583.25","588.25","873.80","378.45","3,31,868","19,52,20,188.00","16,371"
"12-Aug-2025","EQ","569.70","590.75","565.60","567.80","577.00","572.75","576.57","873.80","378.45","1,30,083","7,50,02,044.10","10,265"
"11-Aug-2025","EQ","581.00","590.00","554.80","582.00","564.35","567.80","567.02","873.80","378.45","1,37,821","7,81,46,862.70","8,959"
"08-Aug-2025","EQ","585.35","593.15","578.35","585.35","579.70","582.00","586.40","873.80","378.45","72,264","4,23,75,685.50","4,180"
"07-Aug-2025","EQ","592.00","596.65","575.00","593.35","585.00","585.35","586.28","873.80","378.45","67,276","3,94,42,525.60","5,403"
"06-Aug-2025","EQ","605.00","611.00","587.00","603.15","592.00","593.35","594.70","873.80","378.45","87,935","5,22,95,370.25","5,136"
"05-Aug-2025","EQ","606.70","611.75","597.55","604.75","599.50","603.15","602.29","873.80","378.45","65,394","3,93,85,942.35","3,593"
"04-Aug-2025","EQ","593.00","606.75","585.85","600.00","606.70","604.75","598.16","873.80","378.45","93,789","5,61,01,188.95","6,727"
"01-Aug-2025","EQ","595.00","610.40","591.00","599.10","592.90","600.00","602.63","873.80","378.45","1,60,074","9,64,65,854.80","7,708"
"31-Jul-2025","EQ","575.00","607.55","566.00","582.30","599.10","599.10","593.57","873.80","378.45","2,41,262","14,32,06,484.35","14,769"
"30-Jul-2025","EQ","595.00","605.00","579.05","592.25","582.80","582.30","588.93","873.80","378.45","1,78,206","10,49,51,413.05","14,062"
"29-Jul-2025","EQ","565.00","596.00","555.10","567.05","594.90","592.25","579.04","873.80","378.45","2,22,822","12,90,23,194.70","13,578"
"28-Jul-2025","EQ","569.00","576.45","560.50","574.75","568.40","567.05","566.98","873.80","378.45","1,48,003","8,39,14,584.05","9,599"
"25-Jul-2025","EQ","580.95","581.95","565.00","581.45","571.35","574.75","572.01","873.80","358.60","1,15,161","6,58,73,205.00","7,417"
"24-Jul-2025","EQ","585.00","589.25","577.15","585.70","581.00","581.45","582.42","873.80","358.60","1,38,624","8,07,36,755.15","5,629"
"23-Jul-2025","EQ","605.00","613.40","584.00","592.85","584.80","585.70","591.48","873.80","358.60","2,01,915","11,94,28,976.05","9,300"
"22-Jul-2025","EQ","598.70","603.65","588.00","598.70","595.10","592.85","594.46","873.80","358.60","1,59,310","9,47,03,653.20","6,988"
"21-Jul-2025","EQ","612.60","616.45","596.40","607.45","597.35","598.70","601.97","873.80","358.60","1,90,126","11,44,49,747.25","8,655"
"18-Jul-2025","EQ","626.45","628.40","605.80","623.25","608.05","607.45","614.92","873.80","358.60","2,09,232","12,86,60,612.60","11,931"
"17-Jul-2025","EQ","641.30","664.00","620.95","636.35","622.00","623.25","643.04","873.80","358.60","4,91,645","31,61,46,502.90","27,416"
"16-Jul-2025","EQ","610.00","646.25","609.60","607.00","636.00","636.35","635.87","873.80","358.60","7,84,625","49,89,23,265.10","36,850"
"15-Jul-2025","EQ","600.50","614.30","600.50","598.90","606.05","607.00","606.12","873.80","358.60","1,92,027","11,63,91,566.45","10,340"
"14-Jul-2025","EQ","602.00","605.05","594.00","600.20","601.40","598.90","598.80","873.80","358.60","1,77,614","10,63,55,411.60","9,096"
"11-Jul-2025","EQ","607.10","612.90","595.90","607.20","598.00","600.20","603.80","873.80","358.60","1,29,870","7,84,15,349.60","6,137"
"10-Jul-2025","EQ","608.50","615.60","605.15","609.60","606.85","607.20","610.07","873.80","358.60","75,282","4,59,27,215.35","3,692"
"09-Jul-2025","EQ","614.90","615.90","606.05","612.45","611.90","609.60","610.80","873.80","358.60","69,412","4,23,96,530.00","4,282"
"08-Jul-2025","EQ","615.00","621.50","605.90","613.25","612.50","612.45","612.31","873.80","358.60","1,19,112","7,29,33,574.75","6,067"
"07-Jul-2025","EQ","620.00","625.90","603.00","621.50","612.00","613.25","611.17","873.80","358.60","2,78,633","17,02,91,539.65","16,580"
"04-Jul-2025","EQ","632.10","636.90","613.85","632.10","622.00","621.50","623.26","873.80","314.05","2,20,561","13,74,66,653.45","9,679"
"03-Jul-2025","EQ","639.40","640.35","628.50","638.35","631.00","632.10","632.55","873.80","314.05","1,27,495","8,06,46,872.70","5,878"
"02-Jul-2025","EQ","650.30","650.60","634.00","646.90","636.20","638.35","638.79","873.80","314.05","1,28,792","8,22,70,430.00","6,009"
"01-Jul-2025","EQ","637.50","666.00","633.00","632.50","649.80","646.90","653.01","873.80","314.05","7,51,734","49,08,86,559.05","28,917"
"30-Jun-2025","EQ","643.15","654.75","627.20","642.15","632.00","632.50","636.69","873.80","314.05","2,19,380","13,96,77,343.15","11,577"
"27-Jun-2025","EQ","640.00","650.95","633.35","637.75","643.15","642.15","641.84","873.80","311.00","2,41,153","15,47,80,720.25","12,538"
"26-Jun-2025","EQ","655.00","658.50","631.00","652.30","638.50","637.75","640.48","873.80","311.00","3,27,590","20,98,14,474.20","15,578"
"25-Jun-2025","EQ","653.10","660.20","650.00","651.50","652.00","652.30","653.82","873.80","311.00","1,91,006","12,48,83,973.40","8,264"
"24-Jun-2025","EQ","667.75","676.90","648.00","659.50","650.50","651.50","661.21","873.80","311.00","4,28,141","28,30,91,077.35","18,464"
"23-Jun-2025","EQ","659.90","668.50","647.55","655.30","658.15","659.50","657.14","873.80","311.00","4,26,980","28,05,84,482.05","17,195"
"20-Jun-2025","EQ","659.00","676.65","648.85","660.15","656.90","655.30","661.39","873.80","274.50","7,67,004","50,72,86,277.60","29,339"
"19-Jun-2025","EQ","666.35","678.80","653.00","684.60","659.00","660.15","665.99","873.80","274.50","21,30,071","1,41,86,13,338.55","64,851"
"18-Jun-2025","EQ","616.95","704.70","607.30","614.65","670.15","684.60","682.82","873.80","274.50","1,31,40,414","8,97,25,74,095.95","3,29,007"
"17-Jun-2025","EQ","597.15","634.40","596.70","599.45","615.50","614.65","620.47","873.80","274.50","5,01,918","31,14,25,685.40","24,692"
