ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","44,960.00","45,330.00","43,890.00","45,025.00","43,955.00","44,080.00","44,460.63","50,590.00","38,850.00","24,274","1,07,92,37,360.00","12,901"
"11-Aug-2025","EQ","44,800.00","45,300.00","43,650.00","44,865.00","44,900.00","45,025.00","44,623.80","50,590.00","38,850.00","26,479","1,18,15,93,485.00","12,986"
"08-Aug-2025","EQ","45,495.00","45,495.00","43,820.00","45,760.00","44,780.00","44,865.00","44,615.40","50,590.00","38,850.00","49,106","2,19,08,83,670.00","25,731"
"07-Aug-2025","EQ","45,525.00","46,720.00","45,290.00","46,300.00","45,790.00","45,760.00","45,913.42","50,590.00","38,850.00","40,964","1,88,07,97,495.00","21,377"
"06-Aug-2025","EQ","45,940.00","46,440.00","45,695.00","45,730.00","46,160.00","46,300.00","46,108.29","50,590.00","38,850.00","9,433","43,49,39,535.00","5,567"
"05-Aug-2025","EQ","46,265.00","46,360.00","45,385.00","46,265.00","45,790.00","45,730.00","45,753.82","50,590.00","38,850.00","12,379","56,63,86,570.00","6,879"
"04-Aug-2025","EQ","47,140.00","47,180.00","46,180.00","46,810.00","46,180.00","46,265.00","46,576.34","50,590.00","38,850.00","11,840","55,14,63,915.00","6,837"
"01-Aug-2025","EQ","48,135.00","48,135.00","46,500.00","48,805.00","46,865.00","46,810.00","47,267.06","50,590.00","38,850.00","27,452","1,29,75,75,230.00","13,478"
"31-Jul-2025","EQ","48,085.00","49,090.00","47,555.00","48,315.00","48,800.00","48,805.00","48,618.98","50,590.00","38,850.00","25,534","1,24,14,37,015.00","11,390"
"30-Jul-2025","EQ","47,220.00","48,715.00","46,985.00","47,215.00","48,315.00","48,315.00","48,191.39","50,590.00","38,850.00","64,163","3,09,21,04,345.00","25,786"
"29-Jul-2025","EQ","46,350.00","47,400.00","46,220.00","46,510.00","47,215.00","47,215.00","47,055.72","50,590.00","38,850.00","21,249","99,98,86,975.00","13,809"
"28-Jul-2025","EQ","46,260.00","46,935.00","46,205.00","46,270.00","46,450.00","46,510.00","46,563.07","50,590.00","38,850.00","10,007","46,59,56,625.00","5,670"
"25-Jul-2025","EQ","47,000.00","47,300.00","46,135.00","47,115.00","46,500.00","46,270.00","46,609.19","50,590.00","38,850.00","11,751","54,77,04,585.00","6,127"
"24-Jul-2025","EQ","47,200.00","47,295.00","46,600.00","47,410.00","46,770.00","47,115.00","46,962.30","50,590.00","38,850.00","22,375","1,05,07,81,515.00","13,628"
"23-Jul-2025","EQ","46,500.00","47,790.00","46,130.00","46,295.00","47,200.00","47,410.00","47,057.59","50,590.00","38,850.00","20,541","96,66,09,920.00","9,300"
"22-Jul-2025","EQ","46,730.00","46,825.00","46,220.00","46,730.00","46,275.00","46,295.00","46,469.16","50,590.00","38,850.00","13,967","64,90,34,700.00","7,947"
"21-Jul-2025","EQ","46,905.00","46,990.00","46,425.00","46,740.00","46,655.00","46,730.00","46,678.42","50,590.00","38,850.00","10,469","48,86,76,420.00","6,164"
"18-Jul-2025","EQ","47,490.00","47,490.00","46,390.00","47,285.00","46,600.00","46,740.00","46,938.86","50,590.00","38,850.00","9,590","45,01,43,670.00","5,090"
"17-Jul-2025","EQ","47,300.00","47,490.00","46,980.00","47,145.00","47,280.00","47,285.00","47,230.65","50,590.00","38,850.00","13,351","63,05,76,425.00","8,554"
"16-Jul-2025","EQ","49,100.00","49,380.00","47,090.00","49,020.00","47,100.00","47,145.00","47,687.28","50,590.00","38,850.00","26,209","1,24,98,36,035.00","13,191"
"15-Jul-2025","EQ","48,770.00","49,300.00","48,460.00","48,765.00","49,005.00","49,020.00","48,990.98","50,590.00","38,850.00","12,350","60,50,38,590.00","7,465"
"14-Jul-2025","EQ","47,880.00","48,925.00","47,880.00","47,930.00","48,400.00","48,765.00","48,566.38","50,590.00","38,850.00","34,775","1,68,88,96,005.00","13,197"
"11-Jul-2025","EQ","48,365.00","48,570.00","47,650.00","48,245.00","47,795.00","47,930.00","48,126.14","50,590.00","38,850.00","9,296","44,73,80,635.00","5,835"
"10-Jul-2025","EQ","48,890.00","48,985.00","48,000.00","48,590.00","48,115.00","48,245.00","48,498.45","50,590.00","38,850.00","13,232","64,17,31,525.00","7,066"
"09-Jul-2025","EQ","49,100.00","49,165.00","48,340.00","48,965.00","48,520.00","48,590.00","48,597.39","50,590.00","38,850.00","12,878","62,58,37,155.00","7,138"
"08-Jul-2025","EQ","48,975.00","49,195.00","48,330.00","48,910.00","49,025.00","48,965.00","48,801.33","50,590.00","38,850.00","14,343","69,99,57,525.00","7,255"
"07-Jul-2025","EQ","48,800.00","49,080.00","48,440.00","48,710.00","48,975.00","48,910.00","48,780.30","50,590.00","38,850.00","18,958","92,47,76,930.00","7,864"
