ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","30.30","31.29","30.09","30.11","31.00","31.00","30.64","68.89","29.38","35,11,242","10,75,77,595.06","12,439"
"12-Aug-2025","EQ","30.36","30.55","30.05","30.22","30.15","30.11","30.31","68.89","29.38","21,22,999","6,43,38,616.84","5,948"
"11-Aug-2025","EQ","30.26","30.44","30.00","30.44","30.26","30.22","30.22","68.89","29.38","68,06,055","20,56,98,745.45","12,869"
"08-Aug-2025","EQ","30.76","30.94","30.25","30.69","30.28","30.44","30.58","68.89","29.38","29,23,260","8,93,86,709.83","7,785"
"07-Aug-2025","EQ","30.67","31.24","30.42","30.69","30.72","30.69","30.75","68.89","29.38","49,07,274","15,08,99,828.88","14,124"
"06-Aug-2025","EQ","31.50","31.67","30.62","31.39","30.75","30.69","31.08","68.89","29.38","56,05,065","17,42,12,915.40","12,132"
"05-Aug-2025","EQ","30.85","31.65","30.85","30.81","31.40","31.39","31.40","68.89","29.38","95,28,254","29,91,52,919.73","13,082"
"04-Aug-2025","EQ","30.75","31.38","30.43","30.49","30.85","30.81","30.88","68.89","29.38","55,75,579","17,21,84,865.14","13,952"
"01-Aug-2025","EQ","31.08","31.67","30.33","31.08","30.51","30.49","31.01","71.20","29.38","74,98,069","23,25,20,202.58","16,671"
"31-Jul-2025","EQ","31.00","31.49","30.51","31.38","31.05","31.08","31.17","71.20","29.38","67,30,166","20,97,61,281.23","19,571"
"30-Jul-2025","EQ","31.35","31.82","31.03","31.30","31.30","31.38","31.37","71.20","29.38","87,07,143","27,31,34,982.92","18,017"
"29-Jul-2025","EQ","31.60","31.95","31.20","31.62","31.35","31.30","31.45","71.20","29.38","98,01,815","30,83,08,853.96","16,721"
"28-Jul-2025","EQ","32.70","32.70","31.40","32.52","31.62","31.62","31.98","71.20","29.38","1,20,60,692","38,57,24,605.52","25,041"
"25-Jul-2025","EQ","35.90","35.90","32.30","35.42","32.46","32.52","33.29","73.01","29.38","3,35,42,720","1,11,67,75,302.78","55,040"
"24-Jul-2025","EQ","32.61","35.98","32.25","32.38","35.50","35.42","34.22","73.01","29.38","5,11,11,253","1,74,90,72,594.83","89,483"
"23-Jul-2025","EQ","32.35","32.74","31.70","31.79","32.70","32.38","32.10","73.01","29.38","1,62,70,193","52,23,32,118.80","28,238"
"22-Jul-2025","EQ","31.25","33.80","31.12","30.94","32.07","31.79","32.80","73.01","29.38","6,69,89,955","2,19,74,05,839.78","1,18,804"
"21-Jul-2025","EQ","31.50","31.80","30.81","31.16","30.96","30.94","31.15","73.01","29.38","95,27,443","29,68,19,688.24","23,549"
"18-Jul-2025","EQ","31.22","31.44","30.46","31.06","31.18","31.16","30.83","79.48","29.38","76,86,012","23,69,27,981.96","10,917"
"17-Jul-2025","EQ","31.15","31.89","30.93","30.97","31.14","31.06","31.24","79.48","29.38","1,27,65,958","39,87,54,884.83","26,352"
"16-Jul-2025","EQ","30.90","31.38","30.61","30.76","31.01","30.97","30.93","79.48","29.38","75,95,905","23,49,69,345.93","16,017"
"15-Jul-2025","EQ","30.87","31.70","30.68","30.59","30.85","30.76","31.14","79.48","29.38","80,26,007","24,99,51,939.06","16,507"
"14-Jul-2025","EQ","30.89","31.20","30.18","30.72","30.63","30.59","30.55","79.48","29.38","54,65,531","16,69,63,877.31","15,854"
"11-Jul-2025","EQ","31.41","31.70","30.57","31.44","30.68","30.72","30.94","82.00","29.38","88,98,853","27,53,16,266.02","17,459"
"10-Jul-2025","EQ","31.62","32.30","31.25","31.59","31.50","31.44","31.74","82.00","29.38","76,09,372","24,14,87,273.19","23,177"
"09-Jul-2025","EQ","30.47","34.20","30.42","30.49","31.73","31.59","32.35","82.00","29.38","5,67,43,729","1,83,57,45,010.44","1,05,703"
"08-Jul-2025","EQ","30.50","31.39","30.32","30.42","30.50","30.49","30.68","82.00","29.38","47,19,883","14,47,86,052.12","18,084"
"07-Jul-2025","EQ","30.35","31.09","30.30","30.51","30.50","30.42","30.50","82.00","29.38","74,94,119","22,85,38,347.40","13,839"
"04-Jul-2025","EQ","30.33","31.40","29.95","30.44","30.51","30.51","30.36","82.00","29.38","39,89,181","12,11,24,651.62","11,928"
"03-Jul-2025","EQ","30.94","31.41","30.30","31.00","30.44","30.44","30.86","82.00","29.38","91,36,675","28,19,36,757.71","17,187"
"02-Jul-2025","EQ","31.77","31.88","30.76","31.77","30.93","31.00","31.11","82.00","29.38","36,52,207","11,36,03,566.19","12,320"
"01-Jul-2025","EQ","31.70","32.00","31.16","31.53","31.99","31.77","31.57","82.00","29.38","36,92,596","11,65,83,583.06","15,628"
"30-Jun-2025","EQ","32.10","32.74","31.44","31.76","31.75","31.53","32.00","82.00","29.38","60,17,365","19,25,59,244.07","21,147"
"27-Jun-2025","EQ","31.65","33.65","31.40","31.43","31.79","31.76","32.16","82.00","29.38","1,80,50,891","58,04,85,131.42","56,082"
"26-Jun-2025","EQ","31.00","32.13","31.00","31.04","31.58","31.43","31.47","82.00","29.38","75,10,512","23,63,21,868.02","24,676"
"25-Jun-2025","EQ","30.40","31.89","30.40","30.24","30.95","31.04","31.25","82.00","29.38","92,73,447","28,97,71,969.44","32,573"
"24-Jun-2025","EQ","29.73","30.82","29.73","29.50","30.25","30.24","30.40","82.00","29.38","42,50,653","12,92,34,774.31","13,684"
"23-Jun-2025","EQ","29.95","30.10","29.41","30.11","29.54","29.50","29.65","82.00","29.38","55,91,555","16,57,79,352.17","12,437"
"20-Jun-2025","EQ","29.73","30.28","29.38","29.87","30.11","30.11","29.90","82.00","29.38","22,98,996","6,87,44,276.24","9,034"
"19-Jun-2025","EQ","30.40","30.85","29.75","30.54","29.80","29.87","30.14","82.00","29.45","34,80,063","10,48,91,995.90","12,294"
"18-Jun-2025","EQ","31.06","31.31","30.50","30.98","30.52","30.54","30.76","82.00","29.45","38,22,492","11,75,92,489.15","11,006"
"17-Jun-2025","EQ","31.31","31.78","30.80","31.38","30.94","30.98","31.11","82.00","29.45","26,96,012","8,38,74,532.54","10,902"
"16-Jun-2025","EQ","31.18","31.98","30.58","31.34","31.40","31.38","31.34","82.00","29.45","43,12,586","13,51,58,837.21","15,165"
"13-Jun-2025","EQ","31.80","32.00","30.91","32.44","31.47","31.34","31.35","82.00","29.45","43,11,798","13,51,66,088.67","13,920"
"12-Jun-2025","EQ","33.02","33.82","32.21","33.18","32.46","32.44","33.15","82.00","29.45","36,70,418","12,16,88,550.21","14,520"
"11-Jun-2025","EQ","32.70","33.96","32.52","32.74","33.24","33.18","33.30","82.00","29.45","46,71,506","15,55,39,783.86","17,593"
"10-Jun-2025","EQ","33.07","33.33","32.50","32.81","32.80","32.74","32.84","82.00","29.45","26,49,817","8,70,14,052.17","11,264"
"09-Jun-2025","EQ","31.92","33.95","31.92","31.74","32.90","32.81","33.00","82.00","29.45","82,58,755","27,25,34,813.76","26,088"
"06-Jun-2025","EQ","31.20","32.37","31.08","31.19","31.84","31.74","31.92","82.00","29.45","45,76,024","14,60,62,787.19","17,388"
"05-Jun-2025","EQ","31.40","31.75","31.10","31.17","31.15","31.19","31.35","82.00","29.45","18,63,905","5,84,30,111.43","8,340"
"04-Jun-2025","EQ","31.05","31.48","30.43","31.16","31.20","31.17","31.03","82.00","29.45","27,81,019","8,62,98,265.49","12,087"
"03-Jun-2025","EQ","31.93","32.40","31.10","31.84","31.20","31.16","31.45","82.00","29.45","24,83,198","7,81,08,383.81","14,152"
"02-Jun-2025","EQ","30.50","32.30","30.50","30.58","31.89","31.84","31.77","82.00","29.45","55,02,513","17,48,38,765.51","20,145"
"30-May-2025","EQ","31.48","31.54","30.30","31.51","30.41","30.58","30.67","82.00","29.45","1,43,65,177","44,05,35,548.34","26,963"
"29-May-2025","EQ","31.55","31.72","31.41","31.48","31.50","31.51","31.53","82.00","29.45","26,32,325","8,29,98,697.70","9,833"
"28-May-2025","EQ","32.29","32.44","31.40","32.29","31.50","31.48","31.75","82.00","29.45","28,67,924","9,10,42,695.93","17,039"
"27-May-2025","EQ","32.35","32.57","31.35","32.11","32.41","32.29","31.99","82.00","29.45","41,06,956","13,13,74,719.37","25,403"
"26-May-2025","EQ","31.65","32.74","31.40","31.39","32.00","32.11","32.08","82.00","29.45","79,57,310","25,52,42,855.65","32,237"
"23-May-2025","EQ","31.37","31.88","31.05","31.37","31.39","31.39","31.46","82.00","29.45","20,83,082","6,55,39,660.65","12,562"
"22-May-2025","EQ","31.65","31.80","31.05","31.53","31.38","31.37","31.38","82.00","29.45","22,51,312","7,06,45,662.81","15,456"
"21-May-2025","EQ","31.59","32.01","31.06","31.41","31.55","31.53","31.59","82.00","29.45","32,63,403","10,31,06,790.11","16,229"
"20-May-2025","EQ","33.53","33.70","31.25","33.27","31.49","31.41","32.01","82.00","29.45","67,98,740","21,76,27,651.22","29,884"
"19-May-2025","EQ","34.36","34.65","33.18","34.23","33.30","33.27","33.83","82.00","29.45","38,62,600","13,06,82,821.71","18,536"
"16-May-2025","EQ","34.99","34.99","33.80","34.87","34.35","34.23","34.27","82.00","29.45","19,53,859","6,69,55,177.19","13,310"
"15-May-2025","EQ","34.90","35.00","34.20","34.60","34.89","34.87","34.70","82.00","29.45","18,04,101","6,25,94,076.51","11,152"
"14-May-2025","EQ","35.25","35.65","34.40","34.92","34.74","34.60","34.69","82.00","29.45","28,98,768","10,05,44,284.51","16,413"
"13-May-2025","EQ","34.06","35.85","33.75","34.11","35.09","34.92","35.12","82.00","29.45","37,45,367","13,15,50,739.45","21,095"
"12-May-2025","EQ","31.00","34.63","31.00","30.81","34.08","34.11","33.66","82.00","29.45","49,53,573","16,67,19,267.46","21,813"
"09-May-2025","EQ","30.99","31.35","30.12","31.79","31.00","30.81","30.62","82.00","29.45","35,16,113","10,76,69,562.81","17,070"
"08-May-2025","EQ","32.12","33.12","31.55","32.11","31.60","31.79","32.33","82.00","29.45","15,85,529","5,12,66,732.46","8,039"
"07-May-2025","EQ","31.30","32.29","31.30","32.26","32.10","32.11","31.80","82.00","29.45","16,20,016","5,15,23,972.72","8,640"
"06-May-2025","EQ","34.35","34.80","31.80","33.82","32.00","32.26","33.07","82.00","29.45","28,86,264","9,54,39,827.42","13,107"
"05-May-2025","EQ","33.00","34.15","32.21","32.53","34.07","33.82","33.25","82.00","29.45","21,50,666","7,15,11,873.69","7,757"
"02-May-2025","EQ","32.11","32.70","31.91","32.25","32.40","32.53","32.43","82.00","29.45","13,91,706","4,51,35,947.10","8,384"
"30-Apr-2025","EQ","32.83","33.17","32.00","32.97","32.10","32.25","32.51","82.00","29.45","16,30,303","5,30,02,287.50","12,739"
