ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","228.16","229.28","209.51","227.94","212.50","210.83","217.11","234.39","78.81","91,11,589","1,97,82,10,926.61","92,136"
"11-Aug-2025","EQ","226.25","229.94","222.24","224.77","228.70","227.94","226.74","234.39","78.81","74,36,457","1,68,61,48,621.85","68,815"
"08-Aug-2025","EQ","225.40","232.80","223.19","224.37","224.50","224.77","227.59","234.39","78.81","1,05,07,063","2,39,13,05,835.29","82,575"
"07-Aug-2025","EQ","230.00","231.88","220.62","231.57","224.10","224.37","226.63","234.39","78.81","77,85,484","1,76,44,47,554.52","82,228"
"06-Aug-2025","EQ","226.01","232.80","223.72","226.72","231.40","231.57","229.37","234.39","78.81","1,34,84,579","3,09,29,24,124.07","1,16,458"
"05-Aug-2025","EQ","228.00","231.70","223.02","228.63","225.80","226.72","226.88","234.39","78.81","86,80,923","1,96,95,10,489.65","75,262"
"04-Aug-2025","EQ","218.91","233.80","214.54","217.80","227.92","228.63","225.72","234.39","78.81","2,39,43,982","5,40,45,94,977.49","1,73,015"
"01-Aug-2025","EQ","216.51","221.70","213.67","215.44","217.60","217.80","218.14","234.39","78.81","1,45,77,550","3,17,99,55,841.67","1,20,233"
"31-Jul-2025","EQ","205.00","218.50","204.08","208.50","215.30","215.44","214.00","234.39","78.81","2,01,16,479","4,30,48,98,644.21","1,35,476"
"30-Jul-2025","EQ","221.00","221.00","205.11","216.24","207.83","208.50","211.11","234.39","78.81","3,09,98,838","6,54,42,47,526.70","2,00,608"
"29-Jul-2025","EQ","220.00","234.39","213.20","199.18","219.70","216.24","220.85","234.39","78.81","9,32,77,167","20,60,02,23,902.35","5,18,891"
"28-Jul-2025","EQ","190.25","203.45","189.65","189.27","198.70","199.18","198.51","205.50","78.81","1,92,96,047","3,83,05,45,732.20","1,49,459"
"25-Jul-2025","EQ","193.26","196.90","188.01","193.25","190.45","189.27","192.50","205.50","78.81","72,74,084","1,40,02,70,833.38","61,566"
"24-Jul-2025","EQ","200.80","200.80","186.60","200.15","193.59","193.25","192.08","205.50","78.81","1,70,98,666","3,28,43,28,852.14","1,19,969"
"23-Jul-2025","EQ","190.50","205.50","187.51","189.60","200.35","200.15","199.50","205.50","78.81","4,63,33,515","9,24,35,59,582.51","2,58,952"
"22-Jul-2025","EQ","190.00","192.80","185.69","184.36","189.96","189.60","188.71","192.98","78.81","2,40,34,821","4,53,57,23,959.82","1,48,781"
"21-Jul-2025","EQ","171.30","192.98","170.98","171.29","186.50","184.36","187.22","192.98","78.81","7,26,95,620","13,61,04,06,767.23","4,29,899"
"18-Jul-2025","EQ","171.00","172.80","169.94","170.90","171.60","171.29","171.49","183.60","78.81","11,13,963","19,10,29,717.87","21,140"
"17-Jul-2025","EQ","174.40","174.48","168.81","173.67","170.95","170.90","170.77","183.60","78.81","20,46,380","34,94,60,359.74","37,597"
"16-Jul-2025","EQ","174.05","176.40","172.50","173.85","173.30","173.67","174.29","183.60","78.81","24,58,962","42,85,71,672.22","39,636"
"15-Jul-2025","EQ","171.27","177.90","171.00","170.44","173.89","173.85","174.68","183.60","78.81","63,29,232","1,10,56,11,341.19","63,044"
"14-Jul-2025","EQ","165.00","171.15","162.08","164.71","170.60","170.44","167.81","183.60","78.81","50,05,074","83,98,84,972.46","44,607"
"11-Jul-2025","EQ","161.25","165.35","160.01","161.78","164.00","164.71","162.87","183.60","78.81","23,83,970","38,82,67,396.37","27,323"
"10-Jul-2025","EQ","160.87","164.13","159.68","160.87","161.50","161.78","162.07","183.60","78.81","20,65,558","33,47,74,479.81","24,273"
"09-Jul-2025","EQ","161.00","161.79","158.50","161.19","160.48","160.87","160.08","183.60","78.81","30,16,306","48,28,41,338.57","28,091"
"08-Jul-2025","EQ","158.70","161.82","158.10","158.93","161.00","161.19","160.17","183.60","78.81","16,48,789","26,40,79,733.43","23,549"
"07-Jul-2025","EQ","161.00","162.75","158.20","160.41","158.99","158.93","159.82","183.60","78.81","21,90,429","35,00,68,497.57","22,478"
"04-Jul-2025","EQ","163.20","163.20","159.55","162.78","159.90","160.41","161.22","183.60","78.81","21,25,947","34,27,34,546.93","29,446"
"03-Jul-2025","EQ","159.75","163.20","158.77","158.97","162.40","162.78","161.24","183.60","78.81","27,50,833","44,35,35,696.62","45,421"
"02-Jul-2025","EQ","159.76","161.49","156.34","159.10","158.66","158.97","159.03","183.60","78.81","31,89,794","50,72,80,024.86","35,193"
"01-Jul-2025","EQ","160.80","167.15","158.25","159.98","159.50","159.10","162.85","183.60","78.81","69,92,869","1,13,87,95,751.74","84,451"
"30-Jun-2025","EQ","158.00","163.00","157.88","157.88","159.51","159.98","160.59","183.60","78.81","38,17,397","61,30,18,063.91","36,448"
"27-Jun-2025","EQ","161.00","161.39","157.50","160.54","157.95","157.88","158.83","183.60","78.81","28,48,397","45,24,06,067.18","43,634"
"26-Jun-2025","EQ","166.64","167.40","159.80","165.73","160.57","160.54","162.44","183.60","78.81","32,99,681","53,59,86,894.62","57,999"
"25-Jun-2025","EQ","165.50","169.69","164.27","164.27","165.50","165.73","166.99","183.60","78.81","39,74,770","66,37,45,834.86","35,826"
"24-Jun-2025","EQ","165.50","167.92","163.70","163.88","164.87","164.27","165.69","183.60","78.81","27,31,857","45,26,54,028.68","38,450"
"23-Jun-2025","EQ","163.97","165.44","162.21","165.52","164.30","163.88","164.17","183.60","78.81","17,04,015","27,97,52,864.72","25,692"
"20-Jun-2025","EQ","163.98","166.80","162.25","164.03","165.30","165.52","164.81","183.60","72.85","19,49,928","32,13,66,471.42","26,299"
"19-Jun-2025","EQ","166.00","169.19","162.69","165.83","163.98","164.03","165.86","183.60","72.85","23,85,306","39,56,34,074.61","30,955"
"18-Jun-2025","EQ","169.00","169.94","164.46","169.43","165.75","165.83","166.43","183.60","72.85","37,44,352","62,31,89,623.34","45,344"
"17-Jun-2025","EQ","172.01","174.85","168.02","171.71","168.31","169.43","171.64","183.60","72.85","24,80,054","42,56,70,332.56","43,601"
"16-Jun-2025","EQ","172.00","172.60","166.65","171.88","171.45","171.71","170.06","183.60","72.85","25,02,136","42,55,14,980.20","42,014"
"13-Jun-2025","EQ","170.67","174.99","169.05","173.67","171.98","171.88","172.36","183.60","68.58","31,48,267","54,26,44,308.24","60,122"
