ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","659.95","672.60","655.20","656.35","670.00","670.45","664.93","1,945.00","608.60","5,05,055","33,58,27,925.40","23,386"
"12-Aug-2025","EQ","652.00","663.00","644.00","652.60","659.00","656.35","654.76","1,945.00","608.60","3,56,504","23,34,23,291.80","15,429"
"11-Aug-2025","EQ","631.95","672.80","611.30","624.50","650.20","652.60","649.88","1,945.00","608.60","9,89,027","64,27,44,013.95","40,923"
"08-Aug-2025","EQ","655.95","656.30","621.00","649.65","626.70","624.50","632.62","1,945.00","608.60","4,30,239","27,21,78,889.00","22,860"
"07-Aug-2025","EQ","642.00","657.40","633.00","643.55","652.50","649.65","646.70","1,945.00","608.60","4,71,361","30,48,27,605.50","19,456"
"06-Aug-2025","EQ","659.85","667.90","638.20","651.55","645.00","643.55","646.90","1,945.00","608.60","4,38,974","28,39,70,967.30","17,384"
"05-Aug-2025","EQ","652.00","665.65","645.50","641.85","653.50","651.55","654.45","1,945.00","608.60","5,22,115","34,17,00,129.60","19,808"
"04-Aug-2025","EQ","620.25","653.00","608.60","631.85","652.00","641.85","627.57","1,945.00","608.60","9,48,917","59,55,08,372.45","40,010"
"01-Aug-2025","EQ","664.50","666.80","621.70","661.70","639.00","631.85","644.73","1,945.00","621.70","5,54,766","35,76,73,517.85","26,505"
"31-Jul-2025","EQ","674.90","683.00","655.00","684.80","665.00","661.70","669.63","1,945.00","655.00","5,98,464","40,07,46,954.80","20,729"
"30-Jul-2025","EQ","678.10","695.90","678.10","674.00","686.00","684.80","686.73","1,945.00","660.70","5,86,366","40,26,75,175.20","20,824"
"29-Jul-2025","EQ","699.40","700.90","660.70","704.70","678.00","674.00","672.56","1,945.00","660.70","12,62,857","84,93,53,006.10","59,250"
"28-Jul-2025","EQ","771.40","773.90","704.70","783.00","704.70","704.70","723.25","1,945.00","704.70","13,70,005","99,08,58,330.90","54,137"
"25-Jul-2025","EQ","811.00","811.80","775.00","809.60","780.80","783.00","788.21","1,945.00","772.00","5,24,075","41,30,80,020.50","18,657"
"24-Jul-2025","EQ","797.80","815.00","795.80","797.80","813.30","809.60","803.09","1,945.00","772.00","3,23,365","25,96,90,037.50","13,502"
"23-Jul-2025","EQ","812.00","815.40","795.20","811.50","800.00","797.80","800.61","1,945.00","772.00","3,28,455","26,29,62,817.90","13,709"
"22-Jul-2025","EQ","800.00","820.00","790.70","774.90","814.90","811.50","809.23","1,945.00","772.00","9,06,828","73,38,34,445.00","28,448"
"21-Jul-2025","EQ","794.90","795.80","772.00","795.40","777.50","774.90","779.02","1,945.00","772.00","5,45,303","42,47,99,690.30","21,497"
"18-Jul-2025","EQ","807.70","814.20","792.50","807.70","794.00","795.40","798.21","1,945.00","787.20","2,54,325","20,30,05,879.10","13,547"
"17-Jul-2025","EQ","812.70","816.90","805.00","807.60","807.80","807.70","809.78","1,945.00","787.20","2,58,927","20,96,73,814.70","11,001"
"16-Jul-2025","EQ","813.90","815.60","805.10","808.40","807.00","807.60","810.37","1,945.00","787.20","3,22,568","26,13,97,981.60","12,599"
"15-Jul-2025","EQ","794.10","812.90","789.00","793.50","809.80","808.40","804.95","1,945.00","787.20","4,48,573","36,10,78,257.40","17,235"
"14-Jul-2025","EQ","811.00","813.00","787.20","813.20","794.00","793.50","796.47","1,945.00","787.20","6,73,317","53,62,79,035.00","29,079"
"11-Jul-2025","EQ","835.00","843.80","810.00","836.40","814.70","813.20","822.60","1,945.00","809.40","6,65,297","54,72,70,184.50","25,670"
"10-Jul-2025","EQ","855.00","861.90","827.20","850.70","839.00","836.40","841.79","1,945.00","809.40","8,06,700","67,90,72,671.60","25,131"
"09-Jul-2025","EQ","858.10","866.80","843.30","861.00","851.00","850.70","854.10","1,945.00","809.40","8,17,987","69,86,43,895.90","27,906"
"08-Jul-2025","EQ","897.00","897.00","852.20","885.10","860.00","861.00","865.88","1,945.00","809.40","13,69,081","1,18,54,57,659.50","44,273"
"07-Jul-2025","EQ","934.00","942.00","860.40","933.60","883.60","885.10","886.75","1,945.00","809.40","34,59,684","3,06,78,62,604.00","93,121"
