ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","39.75","39.75","38.25","39.42","38.40","38.39","38.76","62.80","35.68","22,04,241","8,54,39,437.50","11,351"
"12-Aug-2025","EQ","39.60","40.29","39.00","38.70","39.46","39.42","39.73","62.80","35.68","80,16,585","31,85,01,203.66","29,449"
"11-Aug-2025","EQ","36.50","39.90","36.50","36.48","39.00","38.70","38.39","62.80","35.68","1,14,52,826","43,96,25,801.08","52,031"
"08-Aug-2025","EQ","36.10","37.30","35.86","36.14","36.46","36.48","36.71","62.80","35.68","25,43,327","9,33,71,501.70","12,385"
"07-Aug-2025","EQ","36.20","36.39","35.80","36.44","36.25","36.14","36.04","62.80","35.68","14,82,881","5,34,41,178.87","8,668"
"06-Aug-2025","EQ","36.56","36.97","35.90","36.58","36.50","36.44","36.33","62.80","35.68","21,41,072","7,77,91,067.94","10,059"
"05-Aug-2025","EQ","36.85","37.25","36.40","36.66","36.61","36.58","36.72","62.80","35.68","16,79,448","6,16,70,831.09","9,181"
"04-Aug-2025","EQ","37.00","37.27","36.28","37.02","36.72","36.66","36.66","62.80","35.68","21,21,630","7,77,82,715.95","10,922"
"01-Aug-2025","EQ","37.18","37.47","36.72","37.18","36.90","37.02","37.03","62.80","35.68","18,84,691","6,97,82,040.83","9,286"
"31-Jul-2025","EQ","37.75","37.99","36.95","38.04","37.36","37.18","37.48","62.80","35.68","25,60,977","9,59,80,492.94","13,372"
"30-Jul-2025","EQ","38.46","38.99","38.00","38.41","38.10","38.04","38.30","62.80","35.68","16,19,009","6,20,03,257.80","7,379"
"29-Jul-2025","EQ","38.54","38.68","38.05","38.57","38.30","38.41","38.39","62.80","35.68","18,37,102","7,05,18,984.22","8,945"
"28-Jul-2025","EQ","39.20","39.22","38.50","39.19","38.53","38.57","38.81","62.80","35.68","15,38,876","5,97,25,174.84","9,618"
"25-Jul-2025","EQ","38.95","40.21","38.56","38.90","39.15","39.19","39.39","62.80","35.68","55,58,223","21,89,16,454.52","19,207"
"24-Jul-2025","EQ","39.12","39.30","38.80","39.09","38.89","38.90","38.99","62.80","35.68","16,24,046","6,33,18,383.88","6,855"
"23-Jul-2025","EQ","39.16","39.48","38.90","39.11","39.11","39.09","39.06","62.80","35.68","15,87,885","6,20,29,703.98","7,853"
"22-Jul-2025","EQ","39.59","39.59","39.01","39.32","39.15","39.11","39.25","62.80","35.68","16,52,029","6,48,41,625.88","7,354"
"21-Jul-2025","EQ","40.30","40.40","39.20","39.48","39.36","39.32","39.67","62.80","35.68","42,67,942","16,93,03,636.24","18,172"
"18-Jul-2025","EQ","40.03","40.20","39.30","39.92","39.53","39.48","39.62","62.80","35.68","22,01,904","8,72,41,442.00","8,920"
"17-Jul-2025","EQ","40.03","40.40","39.90","39.95","39.93","39.92","40.01","62.80","35.68","17,88,528","7,15,57,531.68","9,502"
"16-Jul-2025","EQ","40.00","40.22","39.90","40.04","40.01","39.95","40.03","62.80","35.68","18,98,116","7,59,80,061.76","8,121"
"15-Jul-2025","EQ","40.02","40.40","39.95","39.92","40.15","40.04","40.09","62.80","35.68","16,93,787","6,78,99,268.38","6,231"
"14-Jul-2025","EQ","40.12","40.27","39.54","40.00","39.90","39.92","39.94","62.80","35.68","19,55,055","7,80,77,328.86","9,881"
"11-Jul-2025","EQ","40.26","40.50","39.91","40.24","40.00","40.00","40.07","64.50","35.68","20,52,420","8,22,40,972.10","11,399"
"10-Jul-2025","EQ","40.24","40.84","40.10","40.23","40.36","40.24","40.46","64.50","35.68","17,53,754","7,09,52,440.85","8,226"
"09-Jul-2025","EQ","40.59","40.82","40.05","40.57","40.30","40.23","40.45","64.50","35.68","17,14,380","6,93,50,897.86","9,992"
"08-Jul-2025","EQ","40.59","40.86","40.33","40.61","40.60","40.57","40.56","64.50","35.68","14,89,863","6,04,35,836.62","9,106"
"07-Jul-2025","EQ","40.46","41.18","40.46","40.72","40.58","40.61","40.73","64.50","35.68","18,57,910","7,56,64,977.15","9,614"
"04-Jul-2025","EQ","40.80","41.07","40.54","40.73","40.75","40.72","40.74","70.00","35.68","20,05,356","8,16,98,021.45","9,209"
"03-Jul-2025","EQ","40.87","40.97","40.54","40.79","40.84","40.73","40.73","70.00","35.68","18,89,230","7,69,52,826.20","8,027"
"02-Jul-2025","EQ","41.19","41.62","40.71","41.04","40.90","40.79","41.01","70.00","35.68","27,12,568","11,12,34,124.28","11,491"
"01-Jul-2025","EQ","41.20","41.44","40.81","41.08","41.02","41.04","41.04","70.00","35.68","20,72,303","8,50,53,517.54","7,444"
"30-Jun-2025","EQ","41.00","41.36","40.92","40.99","41.10","41.08","41.13","70.00","35.68","21,08,548","8,67,19,037.93","8,740"
"27-Jun-2025","EQ","41.00","41.58","40.75","40.95","40.98","40.99","41.14","71.40","35.68","32,14,745","13,22,63,348.41","13,926"
"26-Jun-2025","EQ","41.40","41.64","40.83","41.21","41.00","40.95","41.09","71.40","35.68","22,49,728","9,24,32,799.79","12,898"
"25-Jun-2025","EQ","40.85","41.40","40.52","40.52","41.20","41.21","41.10","71.40","35.68","32,89,228","13,51,99,621.56","12,288"
"24-Jun-2025","EQ","40.55","41.24","40.45","39.98","40.55","40.52","40.81","71.40","35.68","32,44,655","13,24,13,540.31","13,487"
"23-Jun-2025","EQ","39.80","40.21","39.52","40.17","39.97","39.98","39.96","71.40","35.68","28,14,208","11,24,54,131.75","12,176"
"20-Jun-2025","EQ","40.02","40.40","39.44","39.82","40.30","40.17","40.03","74.40","35.68","28,89,149","11,56,59,779.98","12,971"
"19-Jun-2025","EQ","40.75","41.19","39.61","40.67","39.71","39.82","40.17","74.40","35.68","44,35,088","17,81,53,166.51","18,828"
"18-Jun-2025","EQ","41.10","41.43","40.52","41.10","40.68","40.67","40.92","74.40","35.68","39,09,794","15,99,86,938.15","19,760"
"17-Jun-2025","EQ","42.16","42.44","41.01","42.16","41.10","41.10","41.56","74.40","35.68","39,33,564","16,34,59,787.68","17,003"
"16-Jun-2025","EQ","42.20","42.45","41.10","42.31","42.10","42.16","41.79","74.40","35.68","40,20,484","16,80,06,442.62","17,575"
"13-Jun-2025","EQ","42.00","42.77","41.71","43.09","42.40","42.31","42.33","74.40","35.68","49,81,487","21,08,85,563.32","19,375"
"12-Jun-2025","EQ","45.60","45.69","42.95","45.14","43.12","43.09","43.88","74.40","35.68","73,10,171","32,07,98,432.37","26,396"
"11-Jun-2025","EQ","44.19","46.40","43.76","43.97","45.25","45.14","45.30","74.40","35.68","1,76,57,961","79,98,61,080.06","56,187"
"10-Jun-2025","EQ","43.50","44.99","43.39","43.40","44.00","43.97","44.00","74.40","35.68","66,97,571","29,47,21,861.63","22,173"
"09-Jun-2025","EQ","42.90","43.94","42.86","42.68","43.50","43.40","43.45","74.40","35.68","38,91,152","16,90,69,432.25","14,976"
"06-Jun-2025","EQ","43.08","43.48","42.50","42.96","42.80","42.68","42.86","74.40","35.68","42,70,212","18,30,42,081.05","13,744"
"05-Jun-2025","EQ","41.48","44.49","41.44","41.29","42.99","42.96","43.24","74.40","35.68","1,60,40,078","69,35,40,731.81","45,287"
"04-Jun-2025","EQ","40.96","41.50","40.65","40.96","41.40","41.29","41.10","74.40","35.68","31,38,748","12,90,05,218.00","12,794"
"03-Jun-2025","EQ","41.90","42.32","40.86","41.80","40.98","40.96","41.37","74.40","35.68","32,64,078","13,50,38,881.68","12,661"
"02-Jun-2025","EQ","40.48","42.40","40.30","40.23","41.78","41.80","41.71","74.40","35.68","78,10,057","32,57,66,552.72","27,710"
"30-May-2025","EQ","41.02","41.23","39.80","41.06","40.35","40.23","40.21","74.40","35.68","1,26,25,472","50,76,37,896.48","31,831"
"29-May-2025","EQ","41.00","41.40","40.85","41.21","41.09","41.06","41.04","74.40","35.68","39,26,903","16,11,41,135.78","14,519"
"28-May-2025","EQ","41.55","41.55","41.09","41.53","41.15","41.21","41.31","74.40","35.68","35,29,552","14,57,88,903.20","19,097"
"27-May-2025","EQ","42.00","42.09","41.22","41.91","41.50","41.53","41.53","74.40","35.68","46,27,962","19,21,95,340.32","23,758"
"26-May-2025","EQ","42.20","43.20","41.72","41.86","41.97","41.91","42.27","74.40","35.68","73,64,211","31,13,18,682.30","19,832"
"23-May-2025","EQ","41.95","42.30","41.45","41.89","41.93","41.86","41.85","74.40","35.68","53,67,389","22,46,07,984.23","26,743"
"22-May-2025","EQ","42.43","42.49","41.62","42.33","41.88","41.89","42.07","74.40","35.68","33,90,415","14,26,33,083.76","13,009"
"21-May-2025","EQ","42.75","42.90","41.50","42.23","42.35","42.33","42.03","74.40","35.68","53,66,042","22,55,60,856.35","21,165"
"20-May-2025","EQ","43.86","43.86","42.05","43.64","42.24","42.23","42.57","74.40","35.68","48,02,254","20,44,24,612.61","24,259"
"19-May-2025","EQ","43.48","44.05","43.10","43.13","43.70","43.64","43.68","74.40","35.68","47,62,680","20,80,28,035.36","17,396"
"16-May-2025","EQ","42.71","43.44","41.90","42.49","43.24","43.13","42.57","74.40","35.68","82,74,025","35,21,93,503.47","26,085"
"15-May-2025","EQ","42.40","43.20","42.10","42.07","42.49","42.49","42.58","74.40","35.68","46,11,749","19,63,52,343.73","20,266"
"14-May-2025","EQ","42.02","42.65","41.39","42.37","42.10","42.07","41.84","74.40","35.68","80,13,898","33,52,64,041.09","26,271"
"13-May-2025","EQ","44.86","46.20","41.10","44.60","42.58","42.37","43.67","74.40","35.68","1,45,49,114","63,53,05,335.53","49,791"
"12-May-2025","EQ","44.00","45.00","43.10","41.47","44.60","44.60","44.09","74.40","35.68","39,73,099","17,51,59,894.93","18,584"
"09-May-2025","EQ","40.00","41.75","39.72","41.93","41.74","41.47","41.05","74.40","35.68","27,55,813","11,31,33,019.12","16,776"
"08-May-2025","EQ","43.51","43.90","41.00","43.38","41.69","41.93","42.93","74.40","35.68","23,40,069","10,04,57,776.96","13,667"
"07-May-2025","EQ","42.25","43.61","41.60","42.46","43.45","43.38","42.56","74.40","35.68","37,91,233","16,13,46,868.08","19,636"
