ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","13.47","13.56","13.08","13.41","13.30","13.33","13.28","187.07","10.28","3,67,84,664","48,86,70,634.72","30,332"
"12-Aug-2025","EQ","13.54","13.65","13.35","13.41","13.44","13.41","13.49","187.07","10.28","3,12,97,147","42,21,40,789.65","28,113"
"11-Aug-2025","EQ","13.85","13.97","13.35","13.86","13.45","13.41","13.55","187.07","10.28","4,91,53,756","66,59,51,011.14","41,891"
"08-Aug-2025","EQ","14.05","14.24","13.80","13.96","13.86","13.86","13.97","187.07","10.28","3,72,93,692","52,11,65,001.13","30,506"
"07-Aug-2025","EQ","14.00","14.21","13.66","14.00","14.08","13.96","13.91","187.07","10.28","5,61,83,248","78,15,98,144.49","42,004"
"06-Aug-2025","EQ","14.50","14.51","13.66","14.34","14.05","14.00","13.99","187.07","10.28","6,24,30,347","87,32,86,702.02","50,273"
"05-Aug-2025","EQ","14.72","14.87","14.20","14.74","14.38","14.34","14.56","187.07","10.28","4,55,54,498","66,31,15,911.76","42,083"
"04-Aug-2025","EQ","15.70","15.95","14.61","15.01","14.70","14.74","15.11","187.07","10.28","12,12,03,214","1,83,15,95,562.32","81,267"
"01-Aug-2025","EQ","15.70","15.89","14.80","15.65","15.09","15.01","15.38","187.07","10.28","6,47,83,962","99,62,01,248.30","45,501"
"31-Jul-2025","EQ","14.84","16.10","14.65","15.19","15.57","15.65","15.56","187.07","10.28","9,87,55,254","1,53,69,04,852.41","65,590"
"30-Jul-2025","EQ","15.15","15.28","14.97","15.12","15.19","15.19","15.13","187.07","10.28","4,58,61,429","69,38,19,146.35","35,357"
"29-Jul-2025","EQ","14.74","15.35","14.35","14.72","15.10","15.12","14.85","187.07","10.28","5,77,22,921","85,69,82,130.71","44,634"
"28-Jul-2025","EQ","14.65","15.41","14.41","14.55","14.73","14.72","14.92","187.07","10.28","10,42,38,623","1,55,55,05,956.51","80,175"
"25-Jul-2025","EQ","15.06","15.13","14.40","15.06","14.67","14.55","14.72","187.07","10.28","4,96,01,408","72,98,91,100.74","43,768"
"24-Jul-2025","EQ","15.45","15.69","14.97","15.18","15.14","15.06","15.30","187.07","10.28","10,99,48,385","1,68,17,08,330.94","80,328"
"23-Jul-2025","EQ","15.30","15.48","14.46","15.16","15.29","15.18","14.90","187.07","10.28","13,43,19,832","2,00,16,44,863.71","91,514"
"22-Jul-2025","EQ","15.85","16.15","14.91","15.53","15.15","15.16","15.62","187.07","10.28","11,20,27,758","1,74,99,26,646.30","89,312"
"21-Jul-2025","EQ","16.70","16.70","15.40","16.83","15.67","15.53","15.88","187.07","10.28","9,03,60,911","1,43,45,56,505.22","81,051"
