ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,100.10","3,104.90","3,055.10","3,101.50","3,059.00","3,061.90","3,070.95","3,415.00","2,622.20","2,55,940","78,59,78,285.90","28,119"
"12-Aug-2025","EQ","3,100.00","3,114.10","3,082.30","3,096.80","3,099.30","3,101.50","3,101.29","3,415.00","2,622.20","2,99,131","92,76,93,169.20","26,662"
"11-Aug-2025","EQ","3,099.00","3,101.00","3,065.00","3,081.30","3,095.90","3,096.80","3,086.04","3,415.00","2,622.20","3,24,415","1,00,11,58,639.70","33,257"
"08-Aug-2025","EQ","3,068.00","3,089.40","3,035.00","3,050.80","3,074.00","3,081.30","3,066.16","3,415.00","2,622.20","6,37,714","1,95,53,30,645.70","55,298"
"07-Aug-2025","EQ","3,057.00","3,117.90","3,022.80","3,041.80","3,051.00","3,050.80","3,061.43","3,415.00","2,622.20","11,76,910","3,60,30,29,330.30","77,809"
"06-Aug-2025","EQ","3,026.00","3,058.00","2,973.10","2,997.60","3,042.00","3,041.80","3,028.56","3,415.00","2,622.20","8,19,116","2,48,07,39,773.20","66,437"
"05-Aug-2025","EQ","2,966.40","3,027.50","2,951.00","2,951.80","3,003.50","2,997.60","2,983.47","3,415.00","2,622.20","5,77,583","1,72,32,03,977.10","40,440"
"04-Aug-2025","EQ","2,885.00","2,976.00","2,866.10","2,858.90","2,955.90","2,951.80","2,945.14","3,415.00","2,622.20","4,08,508","1,20,31,12,889.50","42,063"
"01-Aug-2025","EQ","2,860.00","2,885.00","2,851.00","2,869.80","2,852.10","2,858.90","2,869.91","3,415.00","2,622.20","2,04,783","58,77,08,337.90","25,493"
"31-Jul-2025","EQ","2,861.00","2,884.50","2,845.60","2,874.10","2,865.00","2,869.80","2,866.30","3,415.00","2,622.20","1,88,978","54,16,67,417.30","24,266"
"30-Jul-2025","EQ","2,895.80","2,900.40","2,862.00","2,892.90","2,877.00","2,874.10","2,877.39","3,415.00","2,622.20","2,49,896","71,90,48,866.80","28,050"
"29-Jul-2025","EQ","2,870.00","2,898.00","2,857.80","2,878.80","2,893.00","2,892.90","2,883.44","3,415.00","2,622.20","1,64,382","47,39,84,978.20","26,219"
"28-Jul-2025","EQ","2,869.10","2,905.90","2,859.50","2,889.60","2,870.00","2,878.80","2,881.75","3,415.00","2,622.20","2,42,389","69,85,04,637.10","26,982"
"25-Jul-2025","EQ","2,907.90","2,910.00","2,875.00","2,907.90","2,883.90","2,889.60","2,892.52","3,415.00","2,622.20","1,84,102","53,25,18,545.90","22,566"
"24-Jul-2025","EQ","2,930.80","2,942.00","2,893.00","2,918.90","2,906.90","2,907.90","2,910.90","3,415.00","2,622.20","1,21,020","35,22,77,610.50","19,048"
"23-Jul-2025","EQ","2,920.00","2,928.90","2,900.10","2,934.30","2,920.00","2,918.90","2,913.06","3,415.00","2,622.20","2,43,703","70,99,21,014.10","24,052"
"22-Jul-2025","EQ","2,965.00","2,984.50","2,929.00","2,965.10","2,933.00","2,934.30","2,943.52","3,415.00","2,622.20","1,70,301","50,12,83,743.10","27,493"
"21-Jul-2025","EQ","2,959.90","2,986.50","2,958.00","2,958.10","2,967.90","2,965.10","2,970.53","3,415.00","2,622.20","2,08,957","62,07,13,520.50","20,230"
"18-Jul-2025","EQ","2,992.00","2,995.50","2,949.50","2,992.30","2,961.00","2,958.10","2,967.71","3,415.00","2,622.20","3,15,459","93,61,90,393.30","22,849"
"17-Jul-2025","EQ","2,988.00","3,010.00","2,978.50","2,988.00","2,990.00","2,992.30","2,992.45","3,415.00","2,622.20","1,54,255","46,16,00,451.40","21,117"
"16-Jul-2025","EQ","2,998.10","3,001.10","2,971.10","2,998.20","2,987.80","2,988.00","2,983.93","3,415.00","2,622.20","2,42,156","72,25,75,604.70","20,382"
"15-Jul-2025","EQ","2,969.90","3,003.10","2,966.00","2,964.40","2,995.30","2,998.20","2,987.65","3,415.00","2,622.20","1,24,680","37,24,99,765.80","19,374"
"14-Jul-2025","EQ","3,000.70","3,000.70","2,940.00","3,000.80","2,966.00","2,964.40","2,961.14","3,415.00","2,622.20","3,68,656","1,09,16,40,713.10","40,160"
"11-Jul-2025","EQ","3,060.00","3,069.90","2,990.50","3,065.10","2,998.20","3,000.80","3,017.54","3,415.00","2,622.20","1,68,496","50,84,42,682.30","27,807"
"10-Jul-2025","EQ","3,050.00","3,084.00","3,044.00","3,048.30","3,060.00","3,065.10","3,063.17","3,415.00","2,622.20","3,22,261","98,71,39,468.80","33,979"
"09-Jul-2025","EQ","3,047.10","3,080.90","3,028.90","3,067.60","3,049.80","3,048.30","3,048.85","3,415.00","2,622.20","3,46,930","1,05,77,39,112.70","37,203"
"08-Jul-2025","EQ","3,075.00","3,084.90","3,045.50","3,072.40","3,060.10","3,067.60","3,060.54","3,415.00","2,622.20","2,24,743","68,78,35,046.90","26,211"
"07-Jul-2025","EQ","3,081.10","3,095.50","3,026.30","3,080.20","3,061.20","3,072.40","3,059.21","3,415.00","2,622.20","2,59,632","79,42,69,221.30","32,568"
"04-Jul-2025","EQ","3,124.80","3,124.90","3,058.10","3,114.50","3,088.90","3,080.20","3,085.94","3,415.00","2,622.20","2,10,376","64,92,08,176.50","30,266"
