ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","774.00","777.40","765.00","773.60","765.85","767.15","770.68","1,202.20","746.70","17,00,330","1,31,04,05,780.15","54,803"
"11-Aug-2025","EQ","774.65","780.00","766.25","770.75","774.00","773.60","774.36","1,202.20","746.70","17,90,243","1,38,62,94,473.70","45,941"
"08-Aug-2025","EQ","765.70","782.95","761.25","758.70","769.00","770.75","773.98","1,202.20","746.70","35,59,039","2,75,46,35,688.75","63,788"
"07-Aug-2025","EQ","770.05","771.90","754.00","774.80","764.80","758.70","761.12","1,202.20","746.70","38,69,902","2,94,54,41,422.45","86,136"
"06-Aug-2025","EQ","772.20","785.70","766.50","767.80","773.00","774.80","777.71","1,202.20","746.70","48,17,454","3,74,66,01,448.60","1,00,243"
"05-Aug-2025","EQ","785.00","794.00","765.10","778.50","766.00","767.80","778.66","1,202.20","746.70","56,52,778","4,40,16,19,161.10","1,15,101"
"04-Aug-2025","EQ","820.00","823.95","771.65","808.45","779.90","778.50","787.33","1,202.20","746.70","1,08,93,261","8,57,66,34,574.55","1,85,219"
"01-Aug-2025","EQ","883.10","883.10","803.15","986.20","811.15","808.45","825.12","1,202.20","746.70","3,29,31,969","27,17,28,07,209.50","3,75,319"
"31-Jul-2025","EQ","984.40","996.10","970.50","986.80","985.10","986.20","988.97","1,202.20","746.70","8,35,617","82,64,00,949.60","45,336"
"30-Jul-2025","EQ","1,014.70","1,014.70","984.40","1,006.30","985.80","986.80","997.34","1,202.20","746.70","8,92,753","89,03,80,600.50","44,430"
"29-Jul-2025","EQ","1,014.50","1,015.50","989.00","1,013.50","1,010.60","1,006.30","1,001.82","1,202.20","746.70","7,86,810","78,82,42,298.40","43,288"
"28-Jul-2025","EQ","1,010.00","1,031.30","996.00","1,010.40","1,014.50","1,013.50","1,019.93","1,202.20","746.70","14,29,676","1,45,81,67,809.70","62,638"
"25-Jul-2025","EQ","1,053.00","1,053.00","993.30","1,050.20","1,008.70","1,010.40","1,012.28","1,202.20","741.25","23,12,927","2,34,13,30,040.10","1,13,362"
"24-Jul-2025","EQ","1,065.00","1,065.50","1,040.00","1,063.60","1,046.30","1,050.20","1,048.53","1,202.20","741.25","13,37,877","1,40,28,01,387.50","54,779"
"23-Jul-2025","EQ","1,086.00","1,086.00","1,035.00","1,086.60","1,062.90","1,063.60","1,058.19","1,202.20","741.25","24,32,590","2,57,41,34,120.10","1,03,814"
"22-Jul-2025","EQ","1,106.00","1,116.00","1,082.00","1,084.20","1,083.30","1,086.60","1,099.25","1,202.20","741.25","37,21,164","4,09,04,80,404.40","1,31,260"
"21-Jul-2025","EQ","1,082.20","1,093.20","1,057.00","1,082.20","1,086.00","1,084.20","1,073.30","1,202.20","741.25","12,44,115","1,33,53,06,913.30","71,597"
"18-Jul-2025","EQ","1,094.00","1,101.10","1,078.00","1,092.50","1,079.50","1,082.20","1,093.30","1,202.20","741.25","9,95,238","1,08,80,96,496.00","79,443"
"17-Jul-2025","EQ","1,110.00","1,113.80","1,085.00","1,106.10","1,091.40","1,092.50","1,096.78","1,202.20","741.25","6,74,790","74,00,96,972.90","42,922"
"16-Jul-2025","EQ","1,098.50","1,116.50","1,090.00","1,099.60","1,104.60","1,106.10","1,105.53","1,202.20","741.25","6,93,144","76,62,94,924.40","53,413"
