ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","6,827.00","6,980.50","6,820.00","6,803.50","6,942.00","6,966.00","6,937.42","7,605.00","4,555.00","2,55,672","1,77,37,03,999.50","36,235"
"12-Aug-2025","EQ","6,764.00","6,823.00","6,620.00","6,757.50","6,810.00","6,803.50","6,739.83","7,605.00","4,555.00","5,22,463","3,52,13,09,996.00","39,931"
"11-Aug-2025","EQ","6,759.50","6,810.00","6,675.50","6,741.00","6,741.00","6,757.50","6,751.93","7,605.00","4,555.00","1,40,792","95,06,17,767.50","21,686"
"08-Aug-2025","EQ","6,852.50","6,905.00","6,718.50","6,881.00","6,748.00","6,741.00","6,803.76","7,605.00","4,555.00","1,48,921","1,01,32,22,040.00","22,830"
"07-Aug-2025","EQ","6,790.00","6,903.50","6,746.00","6,825.00","6,896.00","6,881.00","6,818.76","7,605.00","4,555.00","1,93,378","1,31,85,98,216.00","22,414"
"06-Aug-2025","EQ","6,950.00","6,950.00","6,680.00","6,925.50","6,795.00","6,825.00","6,773.52","7,605.00","4,555.00","4,44,662","3,01,19,26,194.50","49,449"
"05-Aug-2025","EQ","6,931.50","6,953.50","6,884.50","6,919.50","6,929.50","6,925.50","6,922.89","7,605.00","4,555.00","2,08,115","1,44,07,58,044.00","26,103"
"04-Aug-2025","EQ","6,744.50","6,938.00","6,683.00","6,698.00","6,909.50","6,919.50","6,830.16","7,605.00","4,555.00","3,67,819","2,51,22,63,139.00","42,839"
"01-Aug-2025","EQ","6,820.50","6,859.50","6,680.00","6,821.00","6,685.00","6,698.00","6,769.89","7,605.00","4,555.00","2,46,544","1,66,90,76,111.50","32,601"
"31-Jul-2025","EQ","6,848.00","6,885.00","6,701.00","6,931.00","6,822.00","6,821.00","6,816.55","7,605.00","4,555.00","6,77,598","4,61,88,83,689.50","55,388"
"30-Jul-2025","EQ","6,980.00","6,986.00","6,871.00","6,962.50","6,926.00","6,931.00","6,921.79","7,605.00","4,555.00","2,18,429","1,51,19,19,129.50","24,294"
"29-Jul-2025","EQ","6,833.00","6,977.00","6,790.00","6,837.50","6,940.00","6,962.50","6,914.85","7,605.00","4,555.00","2,58,467","1,78,72,59,672.00","33,751"
"28-Jul-2025","EQ","6,749.50","6,851.00","6,725.00","6,734.50","6,833.00","6,837.50","6,806.63","7,605.00","4,555.00","2,53,763","1,72,72,71,749.50","29,071"
"25-Jul-2025","EQ","6,840.00","6,840.00","6,714.50","6,841.00","6,733.00","6,734.50","6,772.35","7,605.00","4,555.00","1,83,817","1,24,48,72,866.00","26,825"
"24-Jul-2025","EQ","6,925.00","6,930.00","6,803.00","6,885.00","6,820.00","6,841.00","6,850.08","7,605.00","4,555.00","2,40,792","1,64,94,43,725.50","33,310"
"23-Jul-2025","EQ","6,994.00","6,995.00","6,850.00","6,960.50","6,883.00","6,885.00","6,901.91","7,605.00","4,555.00","2,97,076","2,05,03,92,769.50","34,743"
"22-Jul-2025","EQ","7,042.00","7,079.50","6,945.00","7,042.00","6,965.00","6,960.50","6,989.30","7,605.00","4,555.00","2,67,070","1,86,66,33,293.50","35,057"
"21-Jul-2025","EQ","6,955.00","7,061.00","6,822.50","6,926.00","7,021.00","7,042.00","6,995.24","7,605.00","4,555.00","3,56,365","2,49,28,59,278.00","44,371"
"18-Jul-2025","EQ","6,992.00","7,080.00","6,896.00","6,886.00","6,918.00","6,926.00","6,996.01","7,605.00","4,555.00","15,99,277","11,18,85,55,701.00","1,48,236"
