ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,973.20","1,981.50","1,915.50","1,974.10","1,918.00","1,922.70","1,943.50","3,357.80","1,862.05","56,764","11,03,21,039.10","8,135"
"11-Aug-2025","EQ","1,968.00","2,019.80","1,905.00","1,927.40","1,973.10","1,974.10","1,965.87","3,357.80","1,862.05","4,73,391","93,06,23,258.20","41,163"
"08-Aug-2025","EQ","1,939.90","1,999.00","1,909.90","1,936.20","1,930.00","1,927.40","1,942.53","3,357.80","1,810.15","2,90,605","56,45,09,592.40","32,760"
"07-Aug-2025","EQ","1,940.10","1,950.00","1,905.00","1,957.40","1,938.20","1,936.20","1,926.79","3,357.80","1,810.15","58,641","11,29,89,028.00","12,795"
"06-Aug-2025","EQ","1,985.20","1,991.00","1,931.50","1,985.20","1,957.40","1,957.40","1,952.97","3,357.80","1,810.15","57,536","11,23,65,824.70","10,410"
"05-Aug-2025","EQ","2,020.40","2,020.40","1,959.00","2,004.40","1,984.00","1,985.20","1,981.09","3,357.80","1,810.15","52,636","10,42,76,772.30","11,796"
"04-Aug-2025","EQ","1,964.00","2,049.90","1,928.10","1,948.60","2,020.00","2,004.40","1,996.37","3,357.80","1,810.15","1,44,020","28,75,16,971.00","26,868"
"01-Aug-2025","EQ","1,947.90","1,959.00","1,895.50","1,937.80","1,955.00","1,948.60","1,909.34","3,357.80","1,810.15","3,95,020","75,42,27,200.70","25,451"
"31-Jul-2025","EQ","1,957.00","1,995.00","1,932.10","1,997.80","1,947.00","1,937.80","1,958.52","3,357.80","1,810.15","1,48,777","29,13,83,269.80","25,277"
"30-Jul-2025","EQ","1,989.90","2,028.90","1,980.20","1,976.60","1,998.00","1,997.80","1,997.83","3,357.80","1,810.15","64,129","12,81,19,121.10","12,623"
"29-Jul-2025","EQ","1,968.00","1,992.70","1,950.20","1,969.20","1,975.00","1,976.60","1,975.20","3,357.80","1,810.15","77,023","15,21,36,110.50","19,592"
"28-Jul-2025","EQ","2,006.00","2,049.90","1,953.10","2,057.40","1,969.00","1,969.20","1,992.30","3,357.80","1,810.15","1,42,390","28,36,83,490.00","19,807"
"25-Jul-2025","EQ","2,079.90","2,080.00","2,043.00","2,070.00","2,058.50","2,057.40","2,056.31","3,357.80","1,810.15","49,277","10,13,29,028.50","11,344"
"24-Jul-2025","EQ","2,089.90","2,090.10","2,059.00","2,085.10","2,070.00","2,070.00","2,069.61","3,357.80","1,810.15","41,430","8,57,44,087.40","8,156"
"23-Jul-2025","EQ","2,075.00","2,094.50","2,052.50","2,059.30","2,083.00","2,085.10","2,077.68","3,357.80","1,810.15","51,777","10,75,76,145.50","9,693"
"22-Jul-2025","EQ","2,098.30","2,108.80","2,040.10","2,087.90","2,059.00","2,059.30","2,060.53","3,357.80","1,810.15","1,49,954","30,89,85,311.70","32,903"
"21-Jul-2025","EQ","2,118.90","2,119.00","2,076.60","2,101.80","2,091.40","2,087.90","2,096.86","3,357.80","1,810.15","1,62,534","34,08,11,243.90","16,074"
"18-Jul-2025","EQ","2,135.00","2,136.00","2,098.00","2,134.80","2,099.60","2,101.80","2,114.80","3,357.80","1,810.15","1,24,306","26,28,82,215.20","15,419"
"17-Jul-2025","EQ","2,106.20","2,147.60","2,081.00","2,106.20","2,132.60","2,134.80","2,111.25","3,357.80","1,810.15","1,97,837","41,76,83,875.00","15,919"
"16-Jul-2025","EQ","2,173.00","2,173.00","2,098.00","2,173.00","2,112.10","2,106.20","2,120.33","3,357.80","1,810.15","1,54,219","32,69,94,783.20","18,293"
"15-Jul-2025","EQ","2,214.10","2,229.00","2,166.10","2,214.10","2,173.00","2,173.00","2,186.96","3,357.80","1,810.15","76,980","16,83,52,549.40","17,615"
"14-Jul-2025","EQ","2,200.00","2,230.00","2,176.00","2,219.00","2,219.00","2,214.10","2,202.34","3,357.80","1,810.15","1,61,740","35,62,06,350.50","15,317"
