ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","448.05","457.25","448.05","446.75","452.10","451.75","453.47","483.40","267.20","11,17,629","50,68,10,080.85","22,907"
"12-Aug-2025","EQ","442.75","450.90","440.65","442.45","445.85","446.75","447.52","483.40","267.20","8,41,062","37,63,90,653.40","16,051"
"11-Aug-2025","EQ","434.30","443.40","432.60","434.30","442.20","442.45","438.91","483.40","267.20","5,70,685","25,04,77,949.05","13,605"
"08-Aug-2025","EQ","444.50","445.00","432.60","444.50","434.00","434.30","438.72","483.40","267.20","5,87,328","25,76,75,441.40","11,404"
"07-Aug-2025","EQ","440.00","446.00","436.50","440.40","446.00","444.50","443.08","483.40","267.20","9,77,142","43,29,54,942.70","19,673"
"06-Aug-2025","EQ","438.00","443.55","432.45","438.40","441.20","440.40","439.55","483.40","267.20","11,12,061","48,88,04,167.95","21,740"
"05-Aug-2025","EQ","430.00","440.50","424.20","431.10","437.95","438.40","434.63","483.40","267.20","13,09,339","56,90,72,486.15","24,853"
"04-Aug-2025","EQ","418.65","432.50","414.05","419.35","431.00","431.10","426.25","483.40","267.20","13,92,947","59,37,50,346.55","19,697"
"01-Aug-2025","EQ","424.30","424.85","411.00","422.25","418.50","419.35","417.93","483.40","267.20","18,33,701","76,63,52,471.60","20,269"
"31-Jul-2025","EQ","409.60","430.60","409.25","414.00","426.45","422.25","422.82","483.40","267.20","22,67,648","95,87,96,741.85","30,967"
"30-Jul-2025","EQ","413.90","426.40","411.90","415.65","415.80","414.00","418.97","483.40","267.20","13,49,554","56,54,27,586.40","26,354"
"29-Jul-2025","EQ","421.70","421.70","401.10","420.65","411.70","415.65","410.12","483.40","267.20","37,15,939","1,52,39,73,562.15","51,236"
"28-Jul-2025","EQ","421.65","444.90","417.10","413.30","419.25","420.65","432.50","483.40","267.20","1,32,11,757","5,71,41,32,340.30","1,47,495"
"25-Jul-2025","EQ","431.00","431.00","406.80","432.45","412.45","413.30","414.38","483.40","267.20","30,03,450","1,24,45,56,585.55","45,047"
"24-Jul-2025","EQ","446.45","446.45","430.20","446.45","433.00","432.45","437.89","483.40","267.20","16,09,705","70,48,71,400.90","31,715"
"23-Jul-2025","EQ","454.90","456.15","442.50","452.40","446.40","446.45","446.93","483.40","267.20","7,63,033","34,10,21,667.65","14,575"
"22-Jul-2025","EQ","461.50","465.30","451.00","458.85","453.45","452.40","458.03","483.40","267.20","8,13,900","37,27,87,842.85","16,700"
"21-Jul-2025","EQ","453.50","465.90","453.50","452.20","461.00","458.85","460.37","483.40","267.20","26,83,674","1,23,54,73,075.55","37,395"
"18-Jul-2025","EQ","449.20","457.30","446.45","447.80","453.00","452.20","452.80","483.40","267.20","14,64,478","66,31,12,334.10","22,319"
"17-Jul-2025","EQ","456.00","456.00","445.65","453.40","447.60","447.80","448.90","483.40","267.20","4,60,208","20,65,89,431.75","9,266"
"16-Jul-2025","EQ","454.10","456.90","448.30","454.10","452.50","453.40","452.73","483.40","267.20","4,55,356","20,61,54,671.45","9,060"
"15-Jul-2025","EQ","455.80","457.70","451.30","454.55","454.90","454.10","454.23","483.40","267.20","5,09,586","23,14,69,310.65","12,471"
"14-Jul-2025","EQ","453.25","456.80","445.40","454.80","453.90","454.55","450.37","483.40","267.20","12,01,028","54,09,09,884.80","21,516"
"11-Jul-2025","EQ","464.05","467.80","450.05","467.30","452.85","454.80","458.82","483.40","267.20","8,07,991","37,07,21,456.05","16,401"
"10-Jul-2025","EQ","469.10","471.90","466.10","468.75","466.50","467.30","469.06","483.40","267.20","5,38,504","25,25,92,469.75","13,237"
"09-Jul-2025","EQ","471.90","473.20","466.20","470.15","467.70","468.75","469.14","483.40","267.20","12,94,233","60,71,75,146.00","23,935"
"08-Jul-2025","EQ","466.10","472.75","466.10","468.30","469.05","470.15","468.65","483.40","267.20","19,12,376","89,62,26,150.35","25,555"
"07-Jul-2025","EQ","472.40","472.40","462.70","472.55","467.00","468.30","467.22","483.40","267.20","10,16,015","47,47,00,490.65","16,331"
"04-Jul-2025","EQ","468.00","483.40","467.00","466.40","470.35","472.55","476.47","483.40","267.20","41,80,934","1,99,20,75,259.70","61,660"
"03-Jul-2025","EQ","462.00","468.65","462.00","464.55","466.95","466.40","466.25","469.00","267.20","8,11,777","37,84,94,753.60","14,130"
"02-Jul-2025","EQ","464.10","467.40","458.35","464.05","464.70","464.55","462.57","469.00","267.20","9,50,547","43,96,95,337.40","17,190"
"01-Jul-2025","EQ","464.10","469.00","460.35","466.05","466.00","464.05","463.49","469.00","267.20","19,60,276","90,85,69,353.30","25,214"
"30-Jun-2025","EQ","451.65","467.55","451.65","455.75","467.00","466.05","463.41","467.55","267.20","25,89,703","1,20,00,98,285.50","32,597"
