ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,150.00","3,192.60","3,112.70","3,138.80","3,130.00","3,123.90","3,152.86","7,450.00","1,700.00","56,111","17,69,10,004.10","9,029"
"12-Aug-2025","EQ","3,105.00","3,164.00","3,103.50","3,091.10","3,137.00","3,138.80","3,132.85","7,450.00","1,700.00","61,870","19,38,29,307.60","13,332"
"11-Aug-2025","EQ","3,060.00","3,165.90","3,038.10","3,050.00","3,094.00","3,091.10","3,101.40","7,450.00","1,700.00","1,22,400","37,96,11,712.40","22,489"
"08-Aug-2025","EQ","3,180.00","3,189.00","3,020.00","3,164.00","3,054.10","3,050.00","3,105.97","7,450.00","1,700.00","53,739","16,69,11,969.30","11,914"
"07-Aug-2025","EQ","3,146.10","3,189.50","3,118.00","3,147.60","3,169.00","3,164.00","3,162.79","7,450.00","1,700.00","42,548","13,45,70,419.20","7,333"
"06-Aug-2025","EQ","3,124.90","3,168.80","3,093.90","3,113.80","3,147.00","3,147.60","3,136.41","7,450.00","1,700.00","43,680","13,69,98,420.40","8,622"
"05-Aug-2025","EQ","3,132.00","3,160.80","3,096.90","3,143.60","3,125.10","3,113.80","3,125.13","7,450.00","1,700.00","39,970","12,49,11,612.40","9,781"
"04-Aug-2025","EQ","3,176.00","3,191.00","3,131.70","3,132.90","3,149.90","3,143.60","3,148.81","7,450.00","1,700.00","59,021","18,58,45,679.50","13,913"
"01-Aug-2025","EQ","3,139.00","3,184.00","3,112.80","3,125.60","3,145.00","3,132.90","3,156.94","7,450.00","1,700.00","53,190","16,79,17,503.10","13,291"
"31-Jul-2025","EQ","3,051.00","3,170.00","3,051.00","3,100.00","3,130.00","3,125.60","3,141.24","7,450.00","1,700.00","71,373","22,41,99,751.10","15,396"
"30-Jul-2025","EQ","3,000.00","3,175.00","3,000.00","2,990.60","3,100.00","3,100.00","3,117.95","7,450.00","1,700.00","1,07,694","33,57,84,486.00","19,706"
"29-Jul-2025","EQ","2,983.00","3,037.70","2,950.00","2,983.00","2,990.00","2,990.60","2,992.69","7,450.00","1,700.00","51,215","15,32,70,372.40","10,187"
"28-Jul-2025","EQ","3,007.60","3,056.40","2,963.50","3,051.10","2,987.00","2,983.00","2,996.95","7,450.00","1,700.00","53,044","15,89,70,332.50","16,348"
"25-Jul-2025","EQ","3,156.00","3,156.00","3,035.80","3,157.60","3,050.00","3,051.10","3,084.49","7,450.00","1,700.00","39,914","12,31,14,196.10","8,471"
"24-Jul-2025","EQ","3,200.10","3,223.70","3,138.70","3,196.10","3,160.10","3,157.60","3,162.53","7,450.00","1,700.00","44,700","14,13,64,946.70","7,782"
"23-Jul-2025","EQ","3,216.60","3,248.80","3,191.00","3,216.60","3,200.00","3,196.10","3,207.50","7,450.00","1,700.00","38,737","12,42,48,777.30","9,801"
"22-Jul-2025","EQ","3,219.20","3,257.00","3,208.00","3,213.10","3,215.10","3,216.60","3,225.02","7,450.00","1,700.00","41,613","13,42,02,869.70","8,715"
"21-Jul-2025","EQ","3,305.00","3,349.00","3,192.70","3,281.80","3,216.50","3,213.10","3,270.00","7,450.00","1,700.00","88,607","28,97,45,267.50","19,300"
"18-Jul-2025","EQ","3,291.00","3,308.00","3,250.70","3,286.00","3,262.50","3,281.80","3,282.66","7,450.00","1,700.00","31,203","10,24,28,768.80","7,398"
