ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","2,670.00","2,698.00","2,613.30","2,650.60","2,620.00","2,623.70","2,650.86","3,735.20","1,570.00","19,793","5,24,68,482.00","5,837"
"11-Aug-2025","EQ","2,635.20","2,659.80","2,584.20","2,638.60","2,650.00","2,650.60","2,626.07","3,735.20","1,570.00","16,312","4,28,36,400.60","5,277"
"08-Aug-2025","EQ","2,737.00","2,739.70","2,613.00","2,721.90","2,613.00","2,638.60","2,659.43","3,735.20","1,570.00","14,199","3,77,61,191.20","3,980"
"07-Aug-2025","EQ","2,640.00","2,739.90","2,605.40","2,626.90","2,715.00","2,721.90","2,690.19","3,735.20","1,570.00","43,095","11,59,33,600.60","12,502"
"06-Aug-2025","EQ","2,515.00","2,668.00","2,492.70","2,528.00","2,652.20","2,626.90","2,587.86","3,735.20","1,570.00","35,917","9,29,48,166.70","7,693"
"05-Aug-2025","EQ","2,600.00","2,620.00","2,510.10","2,601.30","2,525.10","2,528.00","2,557.41","3,735.20","1,570.00","36,155","9,24,63,285.20","13,149"
"04-Aug-2025","EQ","2,659.00","2,669.40","2,580.10","2,669.10","2,599.00","2,601.30","2,608.99","3,735.20","1,570.00","36,817","9,60,55,309.20","7,955"
"01-Aug-2025","EQ","2,934.90","2,934.90","2,630.00","2,921.70","2,652.00","2,669.10","2,745.08","3,735.20","1,570.00","92,956","25,51,71,635.00","18,208"
"31-Jul-2025","EQ","2,999.90","3,098.00","2,882.20","3,063.10","2,931.90","2,921.70","2,971.97","3,735.20","1,570.00","62,825","18,67,13,938.70","14,626"
"30-Jul-2025","EQ","2,981.50","3,080.00","2,960.00","3,004.00","3,060.00","3,063.10","3,029.12","3,735.20","1,570.00","30,820","9,33,57,463.80","7,542"
"29-Jul-2025","EQ","2,939.00","3,014.00","2,894.30","2,920.80","3,005.00","3,004.00","2,959.28","3,735.20","1,570.00","17,763","5,25,65,718.50","4,920"
"28-Jul-2025","EQ","2,896.30","2,968.00","2,886.10","2,896.20","2,920.00","2,920.80","2,926.90","3,735.20","1,570.00","27,035","7,91,28,652.00","7,123"
"25-Jul-2025","EQ","2,935.00","2,994.70","2,875.00","2,978.70","2,916.00","2,896.20","2,916.93","3,735.20","1,570.00","83,537","24,36,71,777.00","8,756"
"24-Jul-2025","EQ","2,974.30","3,000.00","2,955.90","2,974.40","2,979.50","2,978.70","2,979.74","3,735.20","1,570.00","15,410","4,59,17,840.60","4,003"
"23-Jul-2025","EQ","3,005.00","3,010.00","2,944.20","3,002.60","2,979.40","2,974.40","2,978.60","3,735.20","1,570.00","16,796","5,00,28,504.30","5,194"
"22-Jul-2025","EQ","3,005.90","3,021.50","2,981.00","3,005.80","3,003.00","3,002.60","3,004.66","3,735.20","1,570.00","21,962","6,59,88,254.30","5,497"
"21-Jul-2025","EQ","2,984.50","3,016.00","2,944.90","2,984.40","2,996.00","3,005.80","2,993.71","3,735.20","1,570.00","31,633","9,47,00,053.30","8,152"
"18-Jul-2025","EQ","2,934.50","2,998.00","2,903.00","2,903.70","2,967.00","2,984.40","2,956.04","3,735.20","1,570.00","83,601","24,71,27,681.30","16,712"
"17-Jul-2025","EQ","2,777.70","2,920.10","2,777.70","2,777.70","2,905.00","2,903.70","2,885.79","3,735.20","1,570.00","82,738","23,87,64,830.40","16,468"
"16-Jul-2025","EQ","2,760.00","2,821.70","2,712.40","2,740.60","2,762.50","2,777.70","2,745.16","3,735.20","1,570.00","59,788","16,41,27,333.60","6,361"
"15-Jul-2025","EQ","2,699.90","2,770.00","2,695.10","2,699.90","2,742.00","2,740.60","2,737.64","3,735.20","1,570.00","29,114","7,97,03,568.00","8,411"
"14-Jul-2025","EQ","2,630.00","2,709.30","2,611.10","2,640.40","2,707.80","2,699.90","2,683.04","3,735.20","1,570.00","12,644","3,39,24,378.30","3,527"
