ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,915.00","2,915.50","2,791.00","2,895.50","2,829.80","2,823.90","2,833.20","2,940.00","1,628.00","2,33,643","66,19,57,351.10","26,692"
"12-Aug-2025","EQ","2,867.00","2,915.00","2,845.60","2,856.30","2,890.00","2,895.50","2,891.41","2,940.00","1,628.00","2,11,968","61,28,85,625.20","35,926"
"11-Aug-2025","EQ","2,824.10","2,884.00","2,822.10","2,824.10","2,856.00","2,856.30","2,844.47","2,940.00","1,628.00","2,09,442","59,57,51,602.10","23,373"
"08-Aug-2025","EQ","2,849.00","2,861.40","2,808.00","2,837.00","2,811.00","2,824.10","2,828.56","2,940.00","1,628.00","1,58,615","44,86,51,379.90","26,590"
"07-Aug-2025","EQ","2,840.60","2,868.50","2,805.60","2,837.60","2,840.00","2,837.00","2,837.85","2,940.00","1,628.00","2,34,142","66,44,58,793.10","33,746"
"06-Aug-2025","EQ","2,899.00","2,918.00","2,570.70","2,887.10","2,835.60","2,837.60","2,844.37","2,940.00","1,628.00","5,09,089","1,44,80,37,754.50","47,887"
"05-Aug-2025","EQ","2,815.00","2,924.10","2,805.30","2,798.30","2,883.70","2,887.10","2,877.41","2,940.00","1,628.00","6,29,435","1,81,11,41,838.30","56,600"
"04-Aug-2025","EQ","2,865.00","2,935.60","2,780.50","2,838.80","2,799.90","2,798.30","2,826.82","2,940.00","1,628.00","6,61,531","1,87,00,30,946.20","54,002"
"01-Aug-2025","EQ","2,768.00","2,940.00","2,750.00","2,734.50","2,875.00","2,838.80","2,866.35","2,940.00","1,628.00","26,09,065","7,47,84,85,818.80","1,77,247"
"31-Jul-2025","EQ","2,707.00","2,772.00","2,672.90","2,711.60","2,730.00","2,734.50","2,726.38","2,786.90","1,628.00","11,15,600","3,04,15,51,725.10","78,018"
"30-Jul-2025","EQ","2,700.90","2,725.00","2,690.00","2,687.10","2,707.00","2,711.60","2,706.33","2,786.90","1,628.00","1,07,869","29,19,29,229.70","15,864"
"29-Jul-2025","EQ","2,707.60","2,731.00","2,674.70","2,679.50","2,687.50","2,687.10","2,698.98","2,786.90","1,628.00","2,50,733","67,67,24,405.00","22,369"
"28-Jul-2025","EQ","2,710.90","2,740.00","2,651.00","2,702.10","2,665.00","2,679.50","2,702.50","2,786.90","1,628.00","1,97,624","53,40,79,061.20","24,730"
"25-Jul-2025","EQ","2,725.00","2,725.00","2,680.10","2,726.30","2,700.00","2,702.10","2,704.35","2,786.90","1,628.00","80,138","21,67,21,586.90","12,430"
"24-Jul-2025","EQ","2,757.00","2,781.00","2,700.60","2,762.10","2,725.00","2,726.30","2,733.40","2,786.90","1,628.00","1,84,179","50,34,34,704.90","25,336"
"23-Jul-2025","EQ","2,778.90","2,785.90","2,740.00","2,758.20","2,755.50","2,762.10","2,757.09","2,786.90","1,628.00","1,57,234","43,35,07,733.20","19,530"
"22-Jul-2025","EQ","2,742.50","2,769.00","2,726.20","2,727.90","2,750.10","2,758.20","2,754.20","2,786.90","1,628.00","1,61,886","44,58,66,460.40","17,177"
"21-Jul-2025","EQ","2,720.00","2,740.00","2,674.30","2,718.30","2,735.00","2,727.90","2,720.81","2,786.90","1,628.00","1,32,632","36,08,66,959.50","18,144"
"18-Jul-2025","EQ","2,742.00","2,778.00","2,701.50","2,737.90","2,709.50","2,718.30","2,741.38","2,786.90","1,628.00","2,76,188","75,71,37,275.50","24,010"
"17-Jul-2025","EQ","2,742.00","2,749.00","2,727.10","2,740.00","2,731.40","2,737.90","2,737.70","2,786.90","1,628.00","66,940","18,32,61,331.20","9,608"
"16-Jul-2025","EQ","2,749.10","2,756.70","2,733.30","2,746.20","2,742.90","2,740.00","2,741.61","2,786.90","1,628.00","1,18,211","32,40,88,306.70","11,092"
"15-Jul-2025","EQ","2,748.20","2,759.90","2,728.50","2,748.20","2,749.10","2,746.20","2,744.82","2,786.90","1,628.00","2,39,012","65,60,45,823.30","22,869"
"14-Jul-2025","EQ","2,734.90","2,780.00","2,722.60","2,718.30","2,736.20","2,748.20","2,752.91","2,786.90","1,628.00","4,25,929","1,17,25,44,838.80","54,290"
"11-Jul-2025","EQ","2,711.40","2,754.00","2,692.00","2,698.40","2,724.90","2,718.30","2,727.05","2,786.90","1,628.00","3,53,928","96,51,79,110.70","31,125"
"10-Jul-2025","EQ","2,694.40","2,747.00","2,668.00","2,675.90","2,692.00","2,698.40","2,711.18","2,786.90","1,628.00","3,82,895","1,03,80,98,685.30","40,093"
"09-Jul-2025","EQ","2,640.00","2,680.50","2,635.00","2,637.40","2,678.00","2,675.90","2,664.21","2,786.90","1,628.00","1,50,341","40,05,39,621.40","21,245"
"08-Jul-2025","EQ","2,622.00","2,648.90","2,604.90","2,634.30","2,631.00","2,637.40","2,629.48","2,786.90","1,628.00","1,57,771","41,48,55,220.50","26,566"
"07-Jul-2025","EQ","2,620.00","2,650.00","2,593.10","2,630.90","2,630.00","2,634.30","2,622.58","2,786.90","1,628.00","87,049","22,82,92,721.00","13,076"
"04-Jul-2025","EQ","2,587.00","2,673.00","2,587.00","2,581.40","2,622.00","2,630.90","2,634.60","2,786.90","1,628.00","2,71,805","71,60,98,336.80","25,292"
"03-Jul-2025","EQ","2,536.40","2,588.00","2,502.00","2,519.00","2,580.70","2,581.40","2,560.21","2,786.90","1,628.00","1,76,621","45,21,86,908.70","31,199"
"02-Jul-2025","EQ","2,579.90","2,597.20","2,508.00","2,569.20","2,514.00","2,519.00","2,529.42","2,786.90","1,628.00","1,52,001","38,44,74,345.30","17,415"
"01-Jul-2025","EQ","2,640.00","2,649.00","2,563.00","2,617.20","2,570.10","2,569.20","2,587.34","2,786.90","1,628.00","1,45,781","37,71,84,801.50","23,228"
"30-Jun-2025","EQ","2,592.00","2,630.00","2,580.00","2,588.80","2,624.10","2,617.20","2,602.72","2,786.90","1,628.00","1,78,537","46,46,82,394.20","26,211"
"27-Jun-2025","EQ","2,685.00","2,685.00","2,556.10","2,673.20","2,601.00","2,588.80","2,604.34","2,786.90","1,628.00","3,62,063","94,29,34,609.10","37,480"
"26-Jun-2025","EQ","2,694.20","2,705.60","2,658.30","2,690.20","2,677.20","2,673.20","2,675.95","2,786.90","1,628.00","1,03,357","27,65,78,481.50","14,010"
"25-Jun-2025","EQ","2,683.30","2,735.00","2,679.00","2,683.30","2,690.00","2,690.20","2,705.79","2,786.90","1,628.00","2,25,813","61,10,02,017.00","21,389"
"24-Jun-2025","EQ","2,669.00","2,695.90","2,638.70","2,650.70","2,680.80","2,683.30","2,669.37","2,786.90","1,628.00","2,03,233","54,25,05,077.40","21,849"
"23-Jun-2025","EQ","2,636.30","2,665.50","2,627.10","2,632.90","2,655.80","2,650.70","2,646.98","2,786.90","1,628.00","1,50,117","39,73,56,058.20","16,583"
"20-Jun-2025","EQ","2,656.00","2,688.40","2,620.80","2,654.90","2,635.00","2,632.90","2,642.69","2,786.90","1,628.00","4,91,400","1,29,86,18,113.70","36,663"
"19-Jun-2025","EQ","2,655.00","2,710.00","2,641.40","2,655.70","2,642.00","2,654.90","2,672.93","2,786.90","1,628.00","3,12,112","83,42,52,362.70","38,294"
"18-Jun-2025","EQ","2,615.00","2,664.90","2,612.80","2,604.00","2,650.00","2,655.70","2,644.92","2,786.90","1,628.00","2,11,485","55,93,60,739.10","20,547"
"17-Jun-2025","EQ","2,630.00","2,659.90","2,592.10","2,616.50","2,610.00","2,604.00","2,617.15","2,786.90","1,628.00","2,48,410","65,01,25,889.10","30,804"
"16-Jun-2025","EQ","2,607.90","2,637.80","2,587.60","2,608.00","2,617.00","2,616.50","2,606.37","2,786.90","1,628.00","2,03,317","52,99,19,766.20","16,030"
"13-Jun-2025","EQ","2,570.00","2,619.00","2,555.90","2,589.40","2,606.50","2,608.00","2,582.91","2,786.90","1,628.00","2,16,599","55,94,56,780.40","18,797"
"12-Jun-2025","EQ","2,569.80","2,652.10","2,569.10","2,555.10","2,570.10","2,589.40","2,612.84","2,786.90","1,628.00","5,59,502","1,46,18,91,025.60","52,922"
"11-Jun-2025","EQ","2,576.10","2,654.90","2,533.00","2,654.90","2,563.00","2,555.10","2,577.40","2,786.90","1,628.00","4,73,663","1,22,08,21,153.60","46,151"
"10-Jun-2025","EQ","2,650.00","2,678.00","2,635.00","2,650.00","2,650.00","2,654.90","2,656.03","2,786.90","1,628.00","1,42,119","37,74,72,106.20","18,686"
"09-Jun-2025","EQ","2,653.60","2,655.90","2,621.00","2,630.40","2,647.00","2,650.00","2,643.73","2,786.90","1,628.00","90,517","23,93,02,234.70","17,783"
"06-Jun-2025","EQ","2,727.90","2,727.90","2,606.50","2,703.10","2,639.20","2,630.40","2,638.81","2,786.90","1,429.85","2,43,911","64,36,35,733.50","27,943"
"05-Jun-2025","EQ","2,725.90","2,740.90","2,690.00","2,723.40","2,700.00","2,703.10","2,714.90","2,786.90","1,429.85","2,30,716","62,63,71,926.20","28,452"
"04-Jun-2025","EQ","2,700.00","2,786.90","2,635.10","2,670.80","2,709.60","2,723.40","2,705.70","2,786.90","1,429.85","8,80,428","2,38,21,74,838.80","71,858"
"03-Jun-2025","EQ","2,577.90","2,703.20","2,574.30","2,548.90","2,680.00","2,670.80","2,665.51","2,703.20","1,429.85","11,98,819","3,19,54,60,230.90","85,258"
"02-Jun-2025","EQ","2,552.90","2,579.00","2,519.80","2,532.80","2,565.00","2,548.90","2,550.95","2,665.00","1,429.85","1,11,456","28,43,18,298.20","18,218"
