ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","1,541.00","1,569.00","1,534.10","1,537.60","1,550.00","1,548.20","1,549.79","1,709.60","1,129.00","1,78,331","27,63,75,595.60","11,278"
"12-Aug-2025","EQ","1,520.90","1,548.00","1,512.60","1,503.90","1,536.00","1,537.60","1,534.07","1,709.60","1,129.00","1,01,194","15,52,38,377.00","10,318"
"11-Aug-2025","EQ","1,490.00","1,511.90","1,464.60","1,468.50","1,502.00","1,503.90","1,497.06","1,709.60","1,129.00","1,02,834","15,39,48,879.10","16,289"
"08-Aug-2025","EQ","1,490.50","1,490.60","1,451.00","1,483.10","1,489.00","1,468.50","1,464.40","1,709.60","1,129.00","1,58,889","23,26,77,367.70","24,357"
"07-Aug-2025","EQ","1,477.00","1,491.90","1,464.00","1,484.40","1,480.00","1,483.10","1,479.79","1,709.60","1,129.00","53,808","7,96,24,400.00","9,326"
"06-Aug-2025","EQ","1,500.00","1,512.20","1,472.70","1,502.70","1,481.90","1,484.40","1,483.64","1,709.60","1,129.00","49,689","7,37,20,477.80","6,485"
"05-Aug-2025","EQ","1,503.00","1,519.00","1,475.40","1,502.60","1,500.00","1,502.70","1,487.08","1,709.60","1,129.00","3,69,547","54,95,47,178.80","24,394"
"04-Aug-2025","EQ","1,530.00","1,548.90","1,488.60","1,526.60","1,502.20","1,502.60","1,506.71","1,709.60","1,129.00","1,40,512","21,17,11,300.00","21,867"
"01-Aug-2025","EQ","1,525.00","1,539.80","1,522.00","1,524.40","1,526.70","1,526.60","1,527.44","1,709.60","1,129.00","1,89,697","28,97,51,209.10","6,492"
"31-Jul-2025","EQ","1,515.90","1,532.40","1,496.70","1,517.20","1,524.90","1,524.40","1,519.65","1,709.60","1,129.00","1,00,309","15,24,34,950.90","19,241"
"30-Jul-2025","EQ","1,531.20","1,548.80","1,511.10","1,525.10","1,516.40","1,517.20","1,525.12","1,709.60","1,129.00","80,644","12,29,91,802.30","7,579"
"29-Jul-2025","EQ","1,527.80","1,561.60","1,518.80","1,540.80","1,530.00","1,525.10","1,535.30","1,709.60","1,129.00","78,440","12,04,28,963.40","15,463"
"28-Jul-2025","EQ","1,550.00","1,569.90","1,526.60","1,556.40","1,540.00","1,540.80","1,545.61","1,709.60","1,129.00","1,12,763","17,42,87,771.10","15,525"
"25-Jul-2025","EQ","1,620.00","1,620.50","1,539.00","1,623.90","1,556.50","1,556.40","1,573.31","1,709.60","1,079.10","2,48,086","39,03,15,601.60","20,312"
"24-Jul-2025","EQ","1,535.00","1,645.70","1,527.60","1,534.50","1,619.80","1,623.90","1,612.79","1,709.60","1,079.10","11,26,756","1,81,72,26,154.50","76,657"
"23-Jul-2025","EQ","1,525.00","1,540.00","1,516.70","1,520.90","1,537.00","1,534.50","1,528.00","1,709.60","1,079.10","1,82,460","27,87,99,183.50","15,106"
"22-Jul-2025","EQ","1,506.20","1,541.80","1,506.20","1,505.70","1,520.00","1,520.90","1,518.95","1,709.60","1,079.10","2,68,934","40,84,97,452.40","12,867"
"21-Jul-2025","EQ","1,533.90","1,533.90","1,500.00","1,526.50","1,508.90","1,505.70","1,507.46","1,709.60","1,079.10","1,09,963","16,57,64,946.00","18,658"
"18-Jul-2025","EQ","1,544.70","1,544.70","1,516.20","1,535.00","1,524.00","1,526.50","1,524.92","1,709.60","1,079.10","1,20,620","18,39,35,852.40","13,966"
"17-Jul-2025","EQ","1,553.90","1,553.90","1,526.00","1,542.60","1,532.00","1,535.00","1,538.63","1,709.60","1,079.10","1,13,134","17,40,71,337.00","18,410"
"16-Jul-2025","EQ","1,536.00","1,560.00","1,517.60","1,526.60","1,538.00","1,542.60","1,544.08","1,709.60","1,079.10","1,00,001","15,44,09,483.60","18,420"
"15-Jul-2025","EQ","1,545.50","1,556.10","1,516.30","1,531.40","1,521.00","1,526.60","1,536.26","1,709.60","1,079.10","1,62,943","25,03,22,374.50","23,134"
"14-Jul-2025","EQ","1,537.80","1,549.90","1,510.60","1,527.20","1,540.00","1,531.40","1,521.24","1,709.60","1,079.10","4,18,699","63,69,41,543.40","21,597"
"11-Jul-2025","EQ","1,531.40","1,581.70","1,522.70","1,535.10","1,529.00","1,527.20","1,547.01","1,709.60","1,079.10","1,52,851","23,64,62,758.70","27,205"
"10-Jul-2025","EQ","1,521.00","1,543.30","1,517.20","1,525.80","1,532.70","1,535.10","1,525.30","1,709.60","1,079.10","1,70,713","26,03,88,296.50","18,125"
"09-Jul-2025","EQ","1,540.30","1,547.60","1,521.10","1,540.70","1,525.00","1,525.80","1,530.55","1,709.60","1,079.10","92,043","14,08,76,423.50","14,277"
"08-Jul-2025","EQ","1,561.00","1,576.00","1,533.00","1,573.10","1,539.00","1,540.70","1,549.58","1,709.60","1,079.10","1,07,031","16,58,53,106.40","9,417"
"07-Jul-2025","EQ","1,602.90","1,604.50","1,552.10","1,599.40","1,568.70","1,573.10","1,568.57","1,709.60","1,079.10","1,03,890","16,29,58,824.00","8,052"
"04-Jul-2025","EQ","1,596.90","1,640.00","1,568.70","1,586.10","1,602.90","1,599.40","1,605.99","1,709.60","1,079.10","3,54,799","56,98,03,412.70","32,431"
"03-Jul-2025","EQ","1,515.10","1,600.00","1,513.10","1,517.80","1,580.00","1,586.10","1,567.27","1,709.60","1,079.10","2,69,986","42,31,42,081.20","26,404"
"02-Jul-2025","EQ","1,556.10","1,564.10","1,505.90","1,572.40","1,512.50","1,517.80","1,516.57","1,709.60","1,079.10","4,69,766","71,24,31,193.80","46,397"
"01-Jul-2025","EQ","1,575.00","1,590.00","1,525.20","1,562.00","1,548.70","1,572.40","1,560.92","1,709.60","1,079.10","2,13,326","33,29,85,318.00","30,599"
"30-Jun-2025","EQ","1,524.00","1,578.70","1,516.00","1,513.20","1,563.60","1,562.00","1,545.95","1,709.60","1,079.10","1,66,515","25,74,23,316.60","16,564"
"27-Jun-2025","EQ","1,523.00","1,530.90","1,500.00","1,509.00","1,513.20","1,513.20","1,509.02","1,709.60","1,079.10","1,48,207","22,36,47,514.10","11,942"
"26-Jun-2025","EQ","1,486.90","1,530.00","1,481.30","1,472.00","1,506.40","1,509.00","1,510.12","1,709.60","1,079.10","2,42,307","36,59,12,410.20","21,992"
"25-Jun-2025","EQ","1,454.00","1,492.80","1,446.60","1,439.70","1,480.00","1,472.00","1,477.65","1,709.60","1,079.10","1,67,414","24,73,79,157.20","25,714"
"24-Jun-2025","EQ","1,474.80","1,480.00","1,432.30","1,469.70","1,441.40","1,439.70","1,444.86","1,709.60","1,079.10","2,97,576","42,99,54,745.40","33,845"
"23-Jun-2025","EQ","1,450.00","1,481.00","1,449.90","1,452.20","1,471.60","1,469.70","1,470.82","1,709.60","1,079.10","1,62,190","23,85,52,985.90","15,735"
"20-Jun-2025","EQ","1,440.00","1,460.00","1,434.80","1,440.20","1,450.00","1,452.20","1,452.74","1,709.60","1,079.10","97,324","14,13,86,478.20","12,732"
"19-Jun-2025","EQ","1,457.30","1,463.40","1,433.60","1,458.90","1,438.00","1,440.20","1,447.59","1,709.60","1,079.10","94,576","13,69,06,829.00","11,180"
"18-Jun-2025","EQ","1,423.20","1,478.00","1,420.30","1,417.40","1,457.40","1,458.90","1,454.76","1,709.60","1,079.10","3,83,359","55,76,96,291.30","31,009"
"17-Jun-2025","EQ","1,450.00","1,451.20","1,410.60","1,450.40","1,422.00","1,417.40","1,428.96","1,709.60","1,079.10","1,62,110","23,16,48,775.90","17,504"
"16-Jun-2025","EQ","1,422.00","1,455.00","1,412.20","1,421.60","1,447.20","1,450.40","1,437.85","1,709.60","1,079.10","1,06,496","15,31,24,939.00","12,809"
"13-Jun-2025","EQ","1,451.00","1,451.00","1,411.00","1,458.20","1,425.50","1,421.60","1,426.83","1,709.60","1,079.10","1,36,412","19,46,36,434.10","13,508"
"12-Jun-2025","EQ","1,387.10","1,470.00","1,385.40","1,391.10","1,452.00","1,458.20","1,445.32","1,709.60","1,079.10","6,81,369","98,47,93,571.10","49,864"
"11-Jun-2025","EQ","1,424.80","1,424.80","1,370.00","1,417.10","1,379.00","1,391.10","1,392.88","1,709.60","1,079.10","2,99,736","41,74,97,478.90","28,194"
"10-Jun-2025","EQ","1,405.10","1,422.80","1,405.10","1,409.60","1,411.00","1,417.10","1,417.96","1,709.60","1,079.10","1,84,099","26,10,45,659.50","21,982"
