ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","158.60","160.47","156.57","158.04","156.85","157.05","158.36","197.00","117.06","9,86,082","15,61,58,826.83","11,817"
"11-Aug-2025","EQ","160.25","160.65","156.44","160.31","158.20","158.04","158.36","197.00","117.06","17,77,161","28,14,36,645.64","27,017"
"08-Aug-2025","EQ","162.00","165.00","159.25","163.34","160.00","160.31","162.15","197.00","117.06","26,40,384","42,81,29,143.53","27,608"
"07-Aug-2025","EQ","161.99","168.50","160.44","152.13","161.71","163.34","165.50","197.00","117.06","3,87,53,336","6,41,35,70,257.94","2,44,840"
"06-Aug-2025","EQ","155.16","155.80","150.51","155.16","152.50","152.13","152.99","197.00","117.06","8,54,842","13,07,79,124.29","11,240"
"05-Aug-2025","EQ","155.50","157.70","154.50","155.43","154.70","155.16","155.49","197.00","117.06","6,17,213","9,59,72,064.88","10,487"
"04-Aug-2025","EQ","152.00","156.22","151.09","152.79","155.48","155.43","154.39","197.00","117.06","9,36,697","14,46,13,647.00","15,984"
"01-Aug-2025","EQ","156.76","157.00","152.02","157.01","152.24","152.79","154.72","197.00","117.06","10,03,461","15,52,52,779.09","10,631"
"31-Jul-2025","EQ","154.02","160.26","152.60","156.79","156.78","157.01","157.22","197.00","117.06","14,75,996","23,20,55,960.85","20,694"
"30-Jul-2025","EQ","157.70","158.88","156.50","157.24","156.99","156.79","157.33","197.00","117.06","7,18,053","11,29,71,033.50","12,122"
"29-Jul-2025","EQ","152.10","157.75","151.20","152.45","157.00","157.24","155.70","197.00","117.06","11,85,438","18,45,73,370.68","22,005"
"28-Jul-2025","EQ","154.00","155.49","152.00","155.26","152.21","152.45","153.48","197.00","117.06","9,72,503","14,92,56,553.97","16,641"
"25-Jul-2025","EQ","161.00","163.15","154.80","160.74","155.30","155.26","158.16","197.00","117.06","19,53,174","30,89,20,775.07","17,708"
"24-Jul-2025","EQ","155.50","161.49","154.50","155.51","160.90","160.74","159.35","197.00","117.06","35,93,689","57,26,66,139.86","34,820"
"23-Jul-2025","EQ","154.00","156.00","152.00","152.47","155.50","155.51","154.69","197.00","117.06","14,37,932","22,24,33,747.96","12,194"
"22-Jul-2025","EQ","154.70","155.40","151.99","153.52","152.49","152.47","153.70","197.00","117.06","9,80,115","15,06,39,328.17","11,669"
"21-Jul-2025","EQ","150.00","154.90","149.10","150.04","153.80","153.52","152.46","197.00","117.06","11,34,828","17,30,10,884.22","12,356"
"18-Jul-2025","EQ","150.70","151.85","148.90","150.58","149.75","150.04","150.18","197.00","117.06","6,19,785","9,30,80,615.99","6,527"
"17-Jul-2025","EQ","151.35","152.90","149.35","150.33","150.00","150.58","151.34","197.00","117.06","7,76,925","11,75,82,234.88","8,842"
"16-Jul-2025","EQ","150.75","151.95","149.20","150.63","150.39","150.33","150.53","197.00","117.06","7,18,633","10,81,77,506.79","7,911"
"15-Jul-2025","EQ","146.80","151.90","146.24","146.23","150.40","150.63","150.48","197.00","117.06","14,94,337","22,48,74,134.44","16,321"
"14-Jul-2025","EQ","146.10","146.98","144.84","146.00","146.25","146.23","145.99","197.00","117.06","4,43,292","6,47,17,311.57","5,007"
"11-Jul-2025","EQ","145.10","147.39","145.00","145.99","146.00","146.00","146.14","197.00","117.06","5,57,720","8,15,03,946.00","4,828"
"10-Jul-2025","EQ","146.98","147.06","145.11","146.24","145.87","145.99","146.21","197.00","117.06","3,90,643","5,71,14,145.44","4,609"
"09-Jul-2025","EQ","145.61","147.31","142.91","146.09","145.84","146.24","145.71","197.00","117.06","6,72,204","9,79,45,518.58","6,772"
"08-Jul-2025","EQ","146.20","147.59","145.46","146.35","145.89","146.09","146.06","197.00","117.06","4,16,977","6,09,05,645.08","6,019"
"07-Jul-2025","EQ","148.80","149.70","146.00","149.23","146.20","146.35","147.11","197.00","117.06","5,88,553","8,65,80,315.42","7,135"
"04-Jul-2025","EQ","150.90","150.90","148.38","150.67","149.08","149.23","149.48","197.00","117.06","6,27,211","9,37,56,953.43","6,492"
"03-Jul-2025","EQ","145.35","154.22","145.35","146.64","150.50","150.67","151.34","197.00","117.06","26,75,219","40,48,79,562.54","27,102"
"02-Jul-2025","EQ","147.51","147.59","145.51","147.39","146.79","146.64","146.21","197.00","117.06","5,58,331","8,16,33,217.28","6,741"
"01-Jul-2025","EQ","147.70","149.23","146.37","147.66","147.41","147.39","147.41","197.00","117.06","2,69,036","3,96,59,276.50","6,702"
"30-Jun-2025","EQ","148.57","149.50","146.99","148.57","147.60","147.66","147.98","197.00","117.06","4,06,966","6,02,23,766.44","6,637"
"27-Jun-2025","EQ","147.10","150.72","146.63","146.83","148.00","148.57","148.91","197.00","117.06","10,92,763","16,27,21,099.48","11,820"
"26-Jun-2025","EQ","147.30","150.02","146.30","147.75","146.60","146.83","147.28","197.00","117.06","6,06,773","8,93,65,659.37","7,336"
"25-Jun-2025","EQ","145.01","148.76","145.01","145.33","147.35","147.75","147.56","197.00","117.06","6,92,250","10,21,49,601.97","7,320"
"24-Jun-2025","EQ","144.50","147.61","144.50","142.92","145.48","145.33","146.13","197.00","117.06","5,90,981","8,63,60,121.65","7,657"
"23-Jun-2025","EQ","142.55","143.85","140.46","141.50","143.15","142.92","142.27","197.00","117.06","6,89,018","9,80,23,747.27","9,249"
"20-Jun-2025","EQ","142.41","143.99","140.60","142.41","141.71","141.50","141.82","197.00","117.06","13,46,351","19,09,39,014.87","17,645"
"19-Jun-2025","EQ","145.05","146.49","141.63","146.09","141.79","142.41","143.55","197.00","117.06","8,67,098","12,44,73,872.88","9,956"
"18-Jun-2025","EQ","146.06","148.12","145.00","146.06","145.78","146.09","146.79","197.00","117.06","4,85,336","7,12,42,391.36","5,891"
"17-Jun-2025","EQ","148.00","150.01","145.18","148.04","146.25","146.06","147.01","197.00","117.06","5,44,142","7,99,93,577.16","6,705"
"16-Jun-2025","EQ","149.49","150.16","143.60","149.03","147.80","148.04","146.52","197.00","117.06","7,71,548","11,30,48,550.90","11,358"
"13-Jun-2025","EQ","146.33","149.68","145.95","150.67","148.60","149.03","148.05","197.00","117.06","7,57,902","11,22,04,872.92","10,383"
"12-Jun-2025","EQ","154.98","156.00","150.00","154.98","150.99","150.67","152.58","197.00","117.06","12,38,867","18,90,23,532.25","15,139"
"11-Jun-2025","EQ","148.19","156.79","147.36","148.61","154.60","154.98","154.24","197.00","117.06","46,31,466","71,43,37,937.20","41,352"
"10-Jun-2025","EQ","147.21","151.20","146.66","146.65","148.25","148.61","149.09","197.00","117.06","13,71,086","20,44,12,794.93","13,141"
"09-Jun-2025","EQ","146.49","148.45","145.90","146.34","147.20","146.65","147.07","197.00","117.06","7,15,345","10,52,02,397.51","7,984"
"06-Jun-2025","EQ","146.75","147.70","146.00","146.79","146.48","146.34","146.77","197.00","117.06","3,46,946","5,09,21,971.87","4,778"
