ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","178.99","181.63","177.89","178.64","178.01","179.01","179.27","309.55","151.11","2,79,945","5,01,86,481.91","8,790"
"12-Aug-2025","EQ","177.36","180.00","176.94","176.49","178.51","178.64","178.57","309.55","151.11","2,98,285","5,32,65,553.53","9,995"
"11-Aug-2025","EQ","176.99","177.81","174.47","176.96","175.30","176.49","176.16","309.55","151.11","2,73,799","4,82,32,709.25","9,879"
"08-Aug-2025","EQ","181.00","182.49","176.02","180.20","176.30","176.96","178.87","309.55","151.11","3,04,237","5,44,17,955.53","10,520"
"07-Aug-2025","EQ","180.00","183.50","177.31","180.79","181.00","180.20","179.86","309.55","151.11","4,83,158","8,69,00,390.60","15,867"
"06-Aug-2025","EQ","187.01","188.39","180.00","189.11","180.60","180.79","182.59","309.55","151.11","6,58,185","12,01,80,544.62","17,836"
"05-Aug-2025","EQ","187.99","192.00","183.49","187.47","189.20","189.11","187.45","309.55","151.11","5,19,762","9,74,28,656.63","13,473"
"04-Aug-2025","EQ","181.99","188.69","180.00","180.58","187.96","187.47","185.07","309.55","151.11","4,44,126","8,21,94,629.15","15,235"
"01-Aug-2025","EQ","188.30","189.58","179.97","188.47","180.30","180.58","183.95","322.60","151.11","4,78,579","8,80,36,556.71","13,072"
"31-Jul-2025","EQ","187.00","190.59","185.50","192.59","188.30","188.47","188.23","322.60","151.11","4,32,597","8,14,29,307.49","12,544"
"30-Jul-2025","EQ","194.97","197.00","191.76","194.97","192.17","192.59","194.01","322.60","151.11","1,96,055","3,80,36,088.42","5,994"
"29-Jul-2025","EQ","196.02","196.30","192.25","196.11","195.43","194.97","194.08","322.60","151.11","2,27,676","4,41,87,385.74","8,143"
"28-Jul-2025","EQ","195.39","198.55","192.50","195.39","195.60","196.11","196.61","322.60","151.11","3,99,884","7,86,19,889.74","11,299"
"25-Jul-2025","EQ","200.80","202.65","194.31","201.35","194.81","195.39","196.37","332.50","151.11","3,35,197","6,58,22,892.51","7,587"
"24-Jul-2025","EQ","200.68","202.25","198.57","199.04","201.81","201.35","200.65","332.50","151.11","3,35,773","6,73,73,293.69","9,014"
"23-Jul-2025","EQ","200.80","200.83","197.05","199.21","200.00","199.04","198.61","332.50","151.11","3,52,642","7,00,39,529.96","9,421"
"22-Jul-2025","EQ","201.20","204.43","198.70","200.98","199.76","199.21","200.73","332.50","151.11","3,24,976","6,52,33,966.78","7,902"
"21-Jul-2025","EQ","202.00","203.27","200.20","203.68","200.98","200.98","201.68","332.50","151.11","3,03,883","6,12,87,873.15","5,925"
"18-Jul-2025","EQ","207.50","208.69","202.00","207.02","203.60","203.68","204.56","332.50","151.11","4,09,996","8,38,70,551.08","11,292"
"17-Jul-2025","EQ","207.25","209.63","205.28","206.90","207.44","207.02","207.48","332.50","151.11","5,15,338","10,69,24,558.56","11,501"
"16-Jul-2025","EQ","207.75","209.98","204.60","205.10","206.12","206.90","206.74","332.50","151.11","5,01,869","10,37,55,745.95","9,979"
"15-Jul-2025","EQ","201.63","215.49","201.63","201.63","206.90","205.10","209.36","332.50","151.11","20,63,886","43,20,93,442.55","36,842"
"14-Jul-2025","EQ","203.80","203.82","199.52","202.33","202.00","201.63","201.17","332.50","151.11","3,32,249","6,68,37,170.15","7,095"
"11-Jul-2025","EQ","206.50","207.68","200.43","206.81","201.80","202.33","203.26","332.50","151.11","4,23,317","8,60,42,052.48","9,879"
"10-Jul-2025","EQ","203.02","209.40","203.02","203.00","206.66","206.81","206.95","332.50","151.11","12,45,662","25,77,92,853.11","23,113"
"09-Jul-2025","EQ","202.01","204.87","201.25","202.55","203.02","203.00","203.30","332.50","151.11","4,25,097","8,64,20,733.65","11,853"
