ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,094.40","1,108.10","1,055.00","1,087.40","1,057.00","1,059.80","1,076.97","3,100.00","911.35","84,044","9,05,12,653.40","6,795"
"11-Aug-2025","EQ","1,087.00","1,103.00","1,075.00","1,085.30","1,088.00","1,087.40","1,088.01","3,100.00","911.35","51,922","5,64,91,440.40","5,646"
"08-Aug-2025","EQ","1,128.90","1,132.30","1,080.00","1,129.10","1,085.00","1,085.30","1,103.36","3,100.00","911.35","82,558","9,10,91,070.90","7,580"
"07-Aug-2025","EQ","1,124.50","1,157.10","1,105.10","1,124.50","1,127.00","1,129.10","1,134.78","3,100.00","911.35","2,04,074","23,15,79,086.90","15,139"
"06-Aug-2025","EQ","1,190.00","1,190.00","1,110.00","1,175.00","1,121.10","1,124.50","1,133.29","3,100.00","911.35","1,63,881","18,57,25,501.70","16,128"
"05-Aug-2025","EQ","1,204.80","1,221.90","1,166.20","1,195.70","1,175.10","1,175.00","1,193.22","3,100.00","911.35","98,112","11,70,69,661.00","7,621"
"04-Aug-2025","EQ","1,171.50","1,208.90","1,151.30","1,171.40","1,193.00","1,195.70","1,189.19","3,100.00","911.35","1,69,491","20,15,57,424.40","13,996"
"01-Aug-2025","EQ","1,158.00","1,179.00","1,136.10","1,148.40","1,171.50","1,171.40","1,168.67","3,100.00","911.35","1,29,829","15,17,27,746.00","9,202"
"31-Jul-2025","EQ","1,100.00","1,156.50","1,075.00","1,124.80","1,147.30","1,148.40","1,129.06","3,100.00","911.35","1,61,028","18,18,10,533.10","12,555"
"30-Jul-2025","EQ","1,119.00","1,143.90","1,116.20","1,130.10","1,117.50","1,124.80","1,128.51","3,100.00","911.35","57,711","6,51,27,617.70","4,963"
"29-Jul-2025","EQ","1,081.20","1,134.90","1,069.90","1,089.80","1,116.00","1,130.10","1,110.13","3,100.00","911.35","1,59,901","17,75,11,145.80","11,517"
"28-Jul-2025","EQ","1,095.50","1,104.50","1,074.70","1,097.60","1,080.00","1,089.80","1,089.15","3,100.00","911.35","95,100","10,35,78,088.90","8,392"
"25-Jul-2025","EQ","1,130.00","1,133.90","1,091.00","1,129.80","1,094.40","1,097.60","1,104.04","3,100.00","911.35","1,38,087","15,24,54,103.50","9,459"
"24-Jul-2025","EQ","1,125.30","1,165.50","1,114.00","1,116.90","1,130.00","1,129.80","1,139.04","3,100.00","911.35","3,37,877","38,48,55,374.90","22,311"
