ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","614.30","621.80","607.10","614.35","610.00","609.85","612.21","783.90","523.10","1,59,422","9,75,99,532.90","10,338"
"12-Aug-2025","EQ","614.00","628.00","611.50","611.90","612.00","614.35","619.14","783.90","523.10","2,69,947","16,71,34,083.50","16,933"
"11-Aug-2025","EQ","615.20","622.30","602.95","618.85","614.00","611.90","609.67","783.90","523.10","3,96,521","24,17,45,936.20","19,931"
"08-Aug-2025","EQ","633.00","634.20","613.00","632.10","614.00","618.85","625.53","783.90","523.10","2,44,606","15,30,07,693.65","13,488"
"07-Aug-2025","EQ","625.00","635.20","620.35","643.25","633.00","632.10","627.03","783.90","523.10","4,59,834","28,83,31,311.25","22,518"
"06-Aug-2025","EQ","635.00","658.00","619.00","630.80","641.00","643.25","641.02","783.90","523.10","10,46,406","67,07,62,020.25","48,232"
"05-Aug-2025","EQ","639.30","654.55","627.25","639.30","632.00","630.80","640.16","783.90","523.10","4,04,474","25,89,27,362.45","21,919"
"04-Aug-2025","EQ","657.25","658.00","637.00","656.95","640.00","639.30","643.82","783.90","523.10","3,36,107","21,63,91,289.00","16,664"
"01-Aug-2025","EQ","668.60","674.10","654.00","668.60","658.95","656.95","661.78","783.90","523.10","2,29,349","15,17,78,188.30","13,525"
"31-Jul-2025","EQ","671.25","680.00","660.60","683.60","670.50","668.60","671.62","783.90","523.10","2,93,604","19,71,90,781.15","15,838"
"30-Jul-2025","EQ","689.00","701.60","680.30","687.95","682.00","683.60","690.15","783.90","523.10","2,86,972","19,80,52,747.70","14,706"
"29-Jul-2025","EQ","684.00","695.00","668.30","686.10","688.30","687.95","681.00","783.90","523.10","3,65,370","24,88,15,437.45","19,447"
"28-Jul-2025","EQ","702.90","702.90","681.20","703.10","684.50","686.10","689.73","783.90","523.10","3,65,436","25,20,51,117.10","16,872"
"25-Jul-2025","EQ","719.50","719.75","696.05","719.50","699.95","703.10","702.77","783.90","523.10","3,92,421","27,57,82,066.70","17,637"
"24-Jul-2025","EQ","715.00","731.15","711.15","712.50","718.50","719.50","720.11","783.90","523.10","6,09,280","43,87,51,230.90","23,918"
"23-Jul-2025","EQ","727.00","727.00","698.65","722.10","713.85","712.50","708.69","783.90","523.10","5,43,091","38,48,81,579.75","20,896"
"22-Jul-2025","EQ","740.00","740.00","718.10","738.50","720.00","722.10","726.73","783.90","523.10","5,20,912","37,85,63,854.85","18,807"
"21-Jul-2025","EQ","720.35","753.00","716.30","718.80","740.05","738.50","741.16","783.90","523.10","37,32,589","2,76,64,59,453.80","93,426"
"18-Jul-2025","EQ","700.00","734.00","693.05","696.70","712.20","718.80","715.66","783.90","523.10","11,73,180","83,95,99,718.35","36,240"
"17-Jul-2025","EQ","710.20","712.40","691.00","708.40","695.15","696.70","700.33","783.90","523.10","4,04,636","28,33,80,487.35","15,684"
"16-Jul-2025","EQ","701.25","724.00","698.55","696.55","707.00","708.40","713.84","783.90","523.10","13,58,878","97,00,20,178.00","41,019"
"15-Jul-2025","EQ","689.10","703.00","688.00","686.70","695.55","696.55","695.82","783.90","523.10","4,30,343","29,94,40,460.80","15,475"
"14-Jul-2025","EQ","698.00","699.80","681.10","697.70","686.80","686.70","686.74","783.90","523.10","3,99,397","27,42,80,240.60","19,968"
"11-Jul-2025","EQ","693.00","708.95","691.20","693.40","697.25","697.70","702.10","783.90","523.10","5,46,632","38,37,92,047.00","16,085"
"10-Jul-2025","EQ","697.90","704.85","689.10","697.90","691.95","693.40","695.17","783.90","523.10","3,74,973","26,06,70,979.15","14,516"
"09-Jul-2025","EQ","711.85","711.85","694.00","707.40","694.40","697.90","700.31","783.90","523.10","6,49,511","45,48,57,975.95","15,148"
"08-Jul-2025","EQ","706.00","731.70","686.20","703.00","706.00","707.40","713.19","783.90","523.10","17,06,784","1,21,72,63,159.80","40,500"
"07-Jul-2025","EQ","716.40","717.90","699.50","712.90","701.40","703.00","706.31","783.90","523.10","6,06,255","42,82,03,773.75","14,045"
"04-Jul-2025","EQ","724.00","724.90","700.75","724.45","717.65","712.90","712.52","783.90","523.10","16,34,777","1,16,48,04,235.25","37,316"
"03-Jul-2025","EQ","758.00","763.00","716.35","758.00","720.20","724.45","733.37","783.90","523.10","33,00,370","2,42,03,89,146.95","67,459"
"02-Jul-2025","EQ","765.00","783.90","751.65","757.00","755.00","758.00","765.23","783.90","523.10","1,10,50,415","8,45,61,49,623.05","1,66,544"
"01-Jul-2025","EQ","719.95","771.40","715.65","709.40","762.00","757.00","754.07","771.40","523.10","2,47,81,077","18,68,67,08,679.55","3,78,416"
"30-Jun-2025","EQ","629.75","717.95","627.45","624.35","713.10","709.40","702.44","717.95","523.10","1,79,37,459","12,59,99,94,857.90","3,22,682"
"27-Jun-2025","EQ","604.50","635.00","598.00","598.95","624.70","624.35","619.77","703.10","523.10","12,84,525","79,61,15,454.90","42,594"
"26-Jun-2025","EQ","606.55","608.50","596.30","600.45","597.80","598.95","600.72","703.10","523.10","2,37,689","14,27,84,307.05","18,481"
"25-Jun-2025","EQ","601.65","604.70","594.60","599.50","600.00","600.45","598.96","703.10","523.10","1,84,996","11,08,05,747.95","9,237"
"24-Jun-2025","EQ","605.35","610.60","594.30","601.10","599.90","599.50","601.59","703.10","523.10","2,73,054","16,42,67,314.60","19,279"
"23-Jun-2025","EQ","587.50","616.75","578.00","587.50","600.95","601.10","600.26","703.10","523.10","6,44,374","38,67,88,820.30","31,509"
"20-Jun-2025","EQ","586.00","592.80","578.00","586.15","588.70","587.50","584.76","703.10","523.10","2,52,452","14,76,24,085.05","13,564"
"19-Jun-2025","EQ","608.90","608.90","582.00","601.90","584.25","586.15","590.34","703.10","523.10","2,77,861","16,40,33,651.90","16,648"
"18-Jun-2025","EQ","590.85","617.60","588.50","592.65","600.80","601.90","604.55","703.10","523.10","5,17,977","31,31,44,702.70","26,555"
"17-Jun-2025","EQ","593.95","599.65","585.30","592.95","590.90","592.65","591.97","703.10","523.10","1,75,202","10,37,14,197.20","12,528"
"16-Jun-2025","EQ","587.80","597.60","575.00","591.45","593.00","592.95","585.04","703.10","523.10","2,10,574","12,31,93,427.70","13,727"
"13-Jun-2025","EQ","600.00","601.00","587.30","603.20","592.50","591.45","593.02","703.10","523.10","2,26,969","13,45,97,807.80","17,561"
"12-Jun-2025","EQ","612.00","612.30","594.00","607.95","602.95","603.20","602.68","703.10","523.10","3,27,231","19,72,14,751.85","27,486"
"11-Jun-2025","EQ","610.05","617.45","607.20","617.55","608.00","607.95","611.58","703.10","523.10","2,65,579","16,24,23,067.00","13,546"
"10-Jun-2025","EQ","622.95","622.95","613.15","619.80","617.30","617.55","616.18","703.10","523.10","2,06,020","12,69,44,542.10","11,446"
"09-Jun-2025","EQ","622.95","626.95","618.00","617.15","620.00","619.80","620.00","703.10","523.10","1,57,143","9,74,29,415.30","9,276"
"06-Jun-2025","EQ","621.80","621.80","612.10","617.75","618.30","617.15","616.27","703.10","523.10","1,62,657","10,02,40,183.95","10,452"
"05-Jun-2025","EQ","620.55","627.00","615.20","615.10","618.90","617.75","617.94","703.10","523.10","1,18,551","7,32,57,310.05","8,259"
"04-Jun-2025","EQ","615.70","624.70","606.05","610.45","615.00","615.10","615.59","703.10","523.10","3,08,900","19,01,54,268.75","18,168"
