ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","79.02","79.54","78.50","79.11","79.50","79.14","78.95","116.50","59.40","3,19,811","2,52,47,949.97","6,700"
"12-Aug-2025","EQ","77.81","79.50","76.69","78.31","79.05","79.11","78.27","116.50","59.40","6,22,568","4,87,28,826.94","13,080"
"11-Aug-2025","EQ","79.81","80.00","78.10","79.81","78.21","78.31","78.55","116.50","59.40","4,64,933","3,65,22,547.34","6,401"
"08-Aug-2025","EQ","81.30","81.31","79.16","81.74","79.51","79.81","80.32","116.50","59.40","2,60,656","2,09,35,510.41","4,140"
"07-Aug-2025","EQ","79.61","82.00","78.55","80.66","81.85","81.74","80.46","116.50","59.40","8,54,037","6,87,16,821.19","10,587"
"06-Aug-2025","EQ","79.10","81.00","78.11","79.29","80.50","80.66","79.99","116.50","59.40","7,87,145","6,29,65,198.74","9,132"
"05-Aug-2025","EQ","81.95","82.14","78.66","81.58","79.30","79.29","80.42","116.50","59.40","8,55,032","6,87,63,429.01","9,802"
"04-Aug-2025","EQ","85.00","85.24","81.22","83.95","81.57","81.58","82.36","116.50","59.40","7,38,727","6,08,42,421.60","9,406"
"01-Aug-2025","EQ","81.70","85.65","81.70","81.42","83.93","83.95","84.12","116.50","59.40","23,00,946","19,35,64,063.89","17,132"
"31-Jul-2025","EQ","82.00","83.30","81.10","82.84","81.70","81.42","81.86","116.50","59.40","4,02,466","3,29,44,664.29","5,390"
"30-Jul-2025","EQ","82.55","83.59","81.55","82.95","82.60","82.84","82.31","116.50","59.40","5,68,153","4,67,65,236.81","7,582"
"29-Jul-2025","EQ","81.00","83.47","80.85","81.13","82.61","82.95","81.87","116.50","59.40","5,83,554","4,77,76,568.36","9,741"
"28-Jul-2025","EQ","81.92","82.29","81.05","81.70","81.13","81.13","81.30","116.50","59.40","6,47,511","5,26,40,591.46","3,413"
"25-Jul-2025","EQ","83.35","83.76","81.55","84.07","81.80","81.70","82.68","116.50","59.40","7,29,780","6,03,37,675.84","4,795"
"24-Jul-2025","EQ","84.06","85.51","83.69","84.40","84.00","84.07","84.12","116.50","59.40","4,24,238","3,56,85,252.90","6,629"
"23-Jul-2025","EQ","84.85","85.52","84.10","84.85","84.20","84.40","84.58","116.50","59.40","4,88,879","4,13,47,468.17","6,927"
"22-Jul-2025","EQ","84.00","87.55","83.28","83.25","84.90","84.85","85.15","116.50","59.40","35,86,719","30,54,05,010.41","17,699"
"21-Jul-2025","EQ","83.10","83.90","82.91","83.19","83.20","83.25","83.26","116.50","59.40","3,69,553","3,07,68,140.54","4,899"
"18-Jul-2025","EQ","83.95","83.95","82.90","84.02","82.95","83.19","83.28","116.50","59.40","3,63,287","3,02,53,992.08","4,048"
"17-Jul-2025","EQ","84.20","86.40","83.37","84.54","83.78","84.02","84.99","116.50","59.40","12,09,231","10,27,71,920.15","12,553"
"16-Jul-2025","EQ","84.12","84.89","82.43","83.75","84.60","84.54","83.64","116.50","59.40","8,58,492","7,18,05,849.81","8,342"
"15-Jul-2025","EQ","82.14","84.80","82.02","81.76","83.60","83.75","83.75","116.50","59.40","8,95,804","7,50,20,813.95","10,229"
"14-Jul-2025","EQ","82.26","82.87","81.50","82.26","81.72","81.76","81.94","116.50","59.40","4,59,966","3,76,88,966.18","5,502"
"11-Jul-2025","EQ","83.80","83.99","82.01","84.15","82.15","82.26","82.80","118.90","59.40","4,49,542","3,72,23,042.49","5,392"
"10-Jul-2025","EQ","82.10","85.44","82.10","81.71","83.97","84.15","84.02","118.90","59.40","17,72,926","14,89,55,984.57","19,178"
"09-Jul-2025","EQ","81.82","82.70","81.31","81.82","81.90","81.71","82.05","118.90","59.40","3,27,941","2,69,08,619.77","5,113"
"08-Jul-2025","EQ","81.00","82.59","80.76","81.22","82.31","81.82","81.34","118.90","59.40","6,65,727","5,41,47,806.97","5,414"
"07-Jul-2025","EQ","81.84","82.21","80.80","81.84","81.05","81.22","81.54","118.90","59.40","4,08,918","3,33,41,156.85","4,431"
"04-Jul-2025","EQ","82.90","82.90","81.55","82.50","81.90","81.84","82.07","118.90","59.40","4,14,750","3,40,39,721.33","4,257"
"03-Jul-2025","EQ","82.59","84.39","82.13","82.26","82.21","82.50","82.90","118.90","59.40","27,99,725","23,21,10,633.61","10,962"
"02-Jul-2025","EQ","82.89","83.00","81.75","82.91","82.29","82.26","82.23","118.90","59.40","5,17,410","4,25,44,974.19","7,320"
"01-Jul-2025","EQ","83.03","83.79","82.16","82.55","82.80","82.91","82.80","118.90","59.40","13,65,611","11,30,76,576.69","8,580"
"30-Jun-2025","EQ","81.75","82.83","81.26","81.12","82.71","82.55","82.37","118.90","59.40","8,86,311","7,30,06,511.55","6,995"
"27-Jun-2025","EQ","81.93","81.94","80.29","81.93","81.25","81.12","81.18","118.90","59.40","6,56,899","5,33,23,992.86","5,421"
"26-Jun-2025","EQ","82.43","84.34","81.12","82.31","81.94","81.93","82.86","118.90","59.40","16,06,744","13,31,29,193.58","12,399"
"25-Jun-2025","EQ","81.25","83.00","80.72","80.43","82.43","82.31","81.81","118.90","59.40","14,88,239","12,17,59,188.89","9,091"
"24-Jun-2025","EQ","81.34","82.28","78.70","80.77","81.20","80.43","81.25","118.90","59.40","19,47,635","15,82,53,385.78","11,042"
"23-Jun-2025","EQ","78.90","81.90","78.62","79.66","81.00","80.77","80.49","118.90","59.40","20,13,461","16,20,63,805.59","16,034"
"20-Jun-2025","EQ","81.00","81.00","78.51","79.53","79.80","79.66","79.65","118.90","59.40","32,20,685","25,65,28,933.93","23,152"
"19-Jun-2025","EQ","76.30","83.78","75.73","75.73","78.60","79.53","80.65","118.90","59.40","3,23,66,821","2,61,04,97,455.49","1,18,725"
"18-Jun-2025","EQ","75.86","76.27","75.26","75.86","75.65","75.73","75.78","118.90","59.40","5,71,675","4,33,21,715.67","11,698"
"17-Jun-2025","EQ","78.33","78.33","75.56","77.87","75.56","75.86","76.81","118.90","59.40","7,10,649","5,45,86,635.91","12,144"
"16-Jun-2025","EQ","79.01","79.20","77.26","78.96","77.87","77.87","77.87","118.90","59.40","7,19,193","5,60,05,375.73","9,894"
"13-Jun-2025","EQ","79.80","80.00","78.36","80.00","78.98","78.96","79.10","118.90","59.40","6,84,717","5,41,58,329.09","7,475"
"12-Jun-2025","EQ","80.71","81.04","79.52","80.95","79.70","80.00","80.27","118.90","59.40","6,46,038","5,18,59,903.20","10,782"
"11-Jun-2025","EQ","79.99","82.12","79.36","79.81","81.03","80.95","81.00","118.90","59.40","18,03,048","14,60,46,304.55","32,205"
"10-Jun-2025","EQ","80.78","80.95","79.25","80.39","79.49","79.81","80.12","118.90","59.40","8,30,966","6,65,73,287.18","10,807"
"09-Jun-2025","EQ","80.89","81.96","80.10","80.20","80.27","80.39","80.75","118.90","59.40","10,39,243","8,39,20,703.93","11,574"
"06-Jun-2025","EQ","80.78","80.93","80.01","80.78","80.21","80.20","80.35","118.90","59.40","5,35,865","4,30,58,719.88","6,284"
"05-Jun-2025","EQ","80.61","81.65","80.51","80.45","80.70","80.78","80.96","118.90","59.40","5,68,320","4,60,12,139.81","6,723"
"04-Jun-2025","EQ","80.57","81.88","80.00","80.29","80.65","80.45","80.88","118.90","59.40","7,25,796","5,87,03,802.51","7,434"
"03-Jun-2025","EQ","81.95","82.11","79.74","81.42","80.04","80.29","80.81","118.90","59.40","6,81,864","5,51,00,163.39","7,036"
