ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","258.90","260.25","251.70","258.50","252.40","253.35","256.29","272.88","146.10","36,17,487","92,71,11,857.70","20,303"
"11-Aug-2025","EQ","261.95","265.70","257.10","261.70","258.85","258.50","261.37","272.88","146.10","68,57,205","1,79,22,61,124.15","37,541"
"08-Aug-2025","EQ","267.25","271.45","260.00","267.10","261.00","261.70","266.70","272.88","146.10","1,23,09,605","3,28,30,02,973.45","63,121"
"07-Aug-2025","EQ","258.00","270.00","256.95","260.05","269.10","267.10","262.69","272.88","146.10","1,17,52,448","3,08,72,52,240.25","60,128"
"06-Aug-2025","EQ","265.10","266.70","257.05","265.70","259.35","260.05","260.88","272.88","146.10","95,79,434","2,49,90,88,109.75","43,156"
"05-Aug-2025","EQ","265.25","267.00","262.95","265.35","266.80","265.70","264.38","272.88","146.10","81,45,965","2,15,36,40,749.50","40,807"
"04-Aug-2025","EQ","261.00","265.90","256.40","259.10","265.25","265.35","262.31","272.88","146.10","87,99,626","2,30,82,04,237.60","47,427"
"01-Aug-2025","EQ","265.15","268.70","257.85","266.83","258.70","259.10","263.68","272.88","146.10","96,29,463","2,53,90,74,284.85","49,698"
"31-Jul-2025","EQ","259.49","270.00","255.20","261.75","267.00","266.83","266.03","272.88","146.10","3,61,43,299","9,61,51,82,659.74","1,24,833"
"30-Jul-2025","EQ","257.97","262.99","253.80","255.75","261.25","261.75","259.64","272.88","146.10","2,38,16,281","6,18,36,01,177.55","73,895"
"29-Jul-2025","EQ","253.55","257.05","250.68","253.26","256.00","255.75","254.36","272.88","146.10","1,30,17,455","3,31,11,31,360.42","50,062"
"28-Jul-2025","EQ","253.87","263.57","251.49","254.48","252.70","253.26","258.39","272.88","146.10","1,52,72,424","3,94,62,69,677.82","68,359"
"25-Jul-2025","EQ","255.10","258.22","251.22","256.40","253.75","254.48","254.58","272.88","146.10","1,10,31,613","2,80,83,90,949.31","64,282"
"24-Jul-2025","EQ","258.50","259.95","255.00","258.92","256.03","256.40","257.66","272.88","146.10","60,15,707","1,54,99,85,089.07","31,696"
"23-Jul-2025","EQ","255.99","259.95","252.55","255.48","258.98","258.92","257.63","272.88","146.10","69,60,068","1,79,30,96,168.03","35,167"
"22-Jul-2025","EQ","261.30","262.81","254.11","261.12","254.51","255.48","257.47","272.88","146.10","1,28,25,821","3,30,22,51,782.00","54,264"
"21-Jul-2025","EQ","259.00","263.30","254.51","263.14","260.60","261.12","259.18","272.88","146.10","1,54,83,472","4,01,29,59,841.69","1,09,885"
"18-Jul-2025","EQ","272.00","272.88","260.26","268.36","260.70","263.14","267.02","272.88","146.10","1,51,91,364","4,05,64,05,525.71","77,968"
"17-Jul-2025","EQ","270.15","272.00","264.16","269.14","266.07","268.36","267.62","272.00","146.10","2,22,49,385","5,95,44,59,562.83","1,28,765"
"16-Jul-2025","EQ","262.70","270.65","262.47","263.26","269.51","269.14","268.74","270.65","146.10","1,48,67,323","3,99,54,58,939.64","96,549"
"15-Jul-2025","EQ","264.20","266.90","261.61","263.38","263.55","263.26","264.53","266.90","146.10","60,61,176","1,60,33,69,100.73","33,803"
"14-Jul-2025","EQ","265.00","265.54","260.64","264.16","262.55","263.38","263.17","266.90","146.10","91,97,107","2,42,03,82,195.58","77,012"
"11-Jul-2025","EQ","254.00","265.90","252.35","254.65","263.00","264.16","260.99","266.90","146.10","1,49,53,011","3,90,25,14,661.35","97,961"
"10-Jul-2025","EQ","259.00","261.85","252.00","260.61","255.50","254.65","255.65","266.90","146.10","83,09,628","2,12,43,40,344.24","40,302"
"09-Jul-2025","EQ","250.00","261.62","249.96","249.95","260.50","260.61","257.81","266.90","146.10","1,28,32,588","3,30,83,74,052.58","68,838"
"08-Jul-2025","EQ","254.00","255.01","249.62","254.62","249.81","249.95","251.88","266.90","146.10","42,27,961","1,06,49,52,693.46","23,338"
"07-Jul-2025","EQ","253.20","256.40","250.10","253.84","253.40","254.62","253.90","266.90","146.10","62,22,292","1,57,98,70,810.53","42,622"
"04-Jul-2025","EQ","252.99","256.41","249.47","252.66","254.00","253.84","253.27","270.30","146.10","72,20,921","1,82,88,39,393.89","41,310"
"03-Jul-2025","EQ","249.26","257.39","248.06","249.27","251.10","252.66","253.83","270.30","146.10","1,47,64,441","3,74,76,23,067.22","1,01,308"
"02-Jul-2025","EQ","261.99","266.90","248.01","260.02","249.50","249.27","258.24","270.30","146.10","2,88,37,012","7,44,67,28,318.82","1,27,471"
"01-Jul-2025","EQ","247.00","260.93","246.75","248.48","259.99","260.02","255.31","270.30","146.10","2,18,41,823","5,57,64,70,154.90","90,195"
"30-Jun-2025","EQ","241.50","249.80","241.50","239.38","247.99","248.48","246.88","270.30","146.10","1,66,34,506","4,10,67,38,313.80","1,09,384"
"27-Jun-2025","EQ","239.20","242.12","234.40","237.41","238.71","239.38","239.03","270.39","146.10","1,45,32,458","3,47,36,69,805.55","66,138"
