ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","387.00","388.70","385.45","385.45","387.40","387.15","387.29","636.00","357.35","20,43,770","79,15,32,853.75","30,016"
"12-Aug-2025","EQ","388.00","389.65","384.75","387.30","385.85","385.45","387.28","636.00","357.35","38,70,319","1,49,89,10,770.00","47,198"
"11-Aug-2025","EQ","382.15","387.90","381.20","381.35","387.00","387.30","384.99","636.00","357.35","34,28,071","1,31,97,58,436.20","43,083"
"08-Aug-2025","EQ","386.50","387.00","380.10","384.95","381.40","381.35","383.25","636.00","357.35","38,41,685","1,47,23,42,597.15","54,872"
"07-Aug-2025","EQ","388.85","389.45","380.55","389.40","385.55","384.95","384.19","636.00","357.35","81,26,214","3,12,19,98,240.90","81,200"
"06-Aug-2025","EQ","395.00","396.70","388.85","394.50","388.85","389.40","391.40","636.00","357.35","81,91,081","3,20,59,93,395.85","60,747"
"05-Aug-2025","EQ","394.05","397.80","391.50","393.55","394.00","394.50","394.16","636.00","357.35","48,44,402","1,90,94,76,688.75","40,044"
"04-Aug-2025","EQ","389.80","394.95","387.70","388.70","394.80","393.55","392.39","636.00","357.35","75,36,898","2,95,73,72,255.60","75,488"
"01-Aug-2025","EQ","392.50","392.95","385.20","395.20","388.75","388.70","389.35","650.60","357.35","98,59,016","3,83,85,88,897.60","69,843"
"31-Jul-2025","EQ","395.50","399.30","392.25","399.55","395.10","395.20","396.26","650.60","357.35","71,69,233","2,84,09,14,629.85","63,318"
"30-Jul-2025","EQ","401.80","403.60","398.50","400.10","399.50","399.55","400.83","650.60","357.35","57,84,866","2,31,87,24,463.50","46,995"
"29-Jul-2025","EQ","392.00","401.70","391.00","392.60","401.35","400.10","395.88","650.60","357.35","44,54,042","1,76,32,85,023.65","49,309"
"28-Jul-2025","EQ","400.75","403.45","391.10","400.75","392.20","392.60","396.77","650.60","357.35","76,92,522","3,05,21,41,884.10","77,141"
"25-Jul-2025","EQ","408.00","408.25","397.65","404.90","400.30","400.75","402.01","650.60","357.35","1,51,05,541","6,07,26,15,787.90","1,09,988"
"24-Jul-2025","EQ","400.00","406.75","399.45","400.00","405.50","404.90","403.97","650.60","357.35","88,86,939","3,59,00,42,879.70","86,598"
"23-Jul-2025","EQ","394.85","401.00","392.40","393.30","400.60","400.00","395.67","650.60","357.35","1,78,60,000","7,06,66,72,120.50","66,554"
"22-Jul-2025","EQ","400.00","401.45","392.50","398.65","393.50","393.30","397.44","650.60","357.35","88,18,666","3,50,49,02,464.75","51,286"
"21-Jul-2025","EQ","401.00","401.30","395.05","400.90","398.25","398.65","398.41","650.60","357.35","60,36,729","2,40,50,87,178.95","47,560"
"18-Jul-2025","EQ","401.60","405.40","398.00","401.20","400.00","400.90","401.85","650.60","357.35","63,76,775","2,56,25,26,519.35","48,935"
"17-Jul-2025","EQ","401.40","403.40","399.60","400.40","401.10","401.20","401.28","650.60","357.35","27,85,521","1,11,77,76,927.45","44,091"
"16-Jul-2025","EQ","401.35","403.15","399.10","401.35","400.40","400.40","401.02","650.60","357.35","51,76,743","2,07,59,63,638.25","35,329"
"15-Jul-2025","EQ","399.80","402.30","399.10","398.85","401.80","401.35","400.87","650.60","357.35","31,98,569","1,28,22,04,740.95","43,666"
"14-Jul-2025","EQ","400.85","401.00","396.15","401.05","399.00","398.85","399.08","650.60","357.35","66,24,993","2,64,39,29,748.15","69,930"
"11-Jul-2025","EQ","398.00","404.50","395.70","397.55","400.40","401.05","400.73","654.00","357.35","1,08,35,505","4,34,21,08,757.45","84,904"
"10-Jul-2025","EQ","398.00","401.45","395.00","391.55","397.15","397.55","397.65","654.00","357.35","1,41,43,421","5,62,41,40,884.55","1,45,555"
"09-Jul-2025","EQ","395.30","395.85","390.90","395.10","391.00","391.55","392.58","654.00","357.35","63,28,142","2,48,42,78,700.15","1,21,960"
"08-Jul-2025","EQ","392.00","397.00","390.30","391.60","395.30","395.10","393.37","654.00","357.35","37,26,258","1,46,58,14,987.20","45,531"
"07-Jul-2025","EQ","393.95","395.50","390.30","393.65","391.55","391.60","392.22","654.00","357.35","45,90,018","1,80,02,92,856.90","72,424"
"04-Jul-2025","EQ","394.30","397.10","390.20","393.15","394.00","393.65","392.96","654.00","357.35","56,68,163","2,22,73,43,373.80","78,827"
