ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","254.70","256.00","248.05","254.55","252.00","250.80","252.18","320.00","202.52","8,25,258","20,81,12,563.80","13,173"
"11-Aug-2025","EQ","254.00","256.00","249.50","254.85","254.35","254.55","253.41","320.00","202.52","12,11,084","30,69,03,215.15","21,388"
"08-Aug-2025","EQ","254.00","259.10","251.60","254.75","253.00","254.85","254.81","320.00","202.52","6,68,575","17,03,62,400.20","12,715"
"07-Aug-2025","EQ","248.60","256.70","244.15","248.85","254.75","254.75","249.68","320.00","202.52","10,24,751","25,58,59,756.05","14,139"
"06-Aug-2025","EQ","254.90","258.25","243.20","253.90","249.00","248.85","249.15","320.00","202.52","21,72,953","54,13,83,401.60","34,396"
"05-Aug-2025","EQ","260.00","264.90","252.50","260.60","254.30","253.90","255.65","320.00","202.52","7,61,659","19,47,17,487.00","13,177"
"04-Aug-2025","EQ","259.00","263.65","257.40","259.65","260.10","260.60","259.76","320.00","202.52","9,22,790","23,97,02,594.40","12,538"
"01-Aug-2025","EQ","268.25","269.25","258.45","269.61","259.15","259.65","263.76","320.00","202.52","6,77,853","17,87,92,197.00","11,139"
"31-Jul-2025","EQ","261.91","273.55","257.53","264.49","268.25","269.61","266.86","320.00","202.52","11,40,706","30,44,08,307.55","17,394"
"30-Jul-2025","EQ","265.75","267.50","261.50","266.12","264.00","264.49","264.60","320.00","202.52","9,18,245","24,29,69,915.85","17,976"
"29-Jul-2025","EQ","265.60","269.46","262.01","265.80","265.56","266.12","265.95","320.00","202.52","11,23,363","29,87,59,255.22","14,797"
"28-Jul-2025","EQ","274.10","282.50","264.57","275.32","265.60","265.80","271.93","320.00","202.52","21,12,232","57,43,85,508.70","26,209"
"25-Jul-2025","EQ","278.40","283.00","272.75","278.05","274.10","275.32","278.13","320.00","202.52","24,53,172","68,23,11,192.87","22,634"
"24-Jul-2025","EQ","295.00","295.00","276.20","289.81","279.00","278.05","285.60","320.00","202.52","37,05,668","1,05,83,36,746.29","37,178"
"23-Jul-2025","EQ","287.85","295.00","287.10","286.48","291.74","289.81","291.81","320.00","202.52","52,43,026","1,52,99,66,040.85","47,535"
"22-Jul-2025","EQ","274.65","292.00","274.10","272.48","285.99","286.48","286.46","320.00","202.52","88,95,914","2,54,83,01,902.35","89,248"
"21-Jul-2025","EQ","269.49","275.80","264.95","268.98","271.99","272.48","271.51","320.00","202.52","18,98,800","51,55,33,763.88","25,113"
"18-Jul-2025","EQ","269.90","271.59","264.42","269.86","268.30","268.98","268.56","320.00","202.52","10,42,336","27,99,30,924.51","16,023"
"17-Jul-2025","EQ","272.00","275.00","268.65","269.75","269.64","269.86","271.68","320.00","202.52","13,32,350","36,19,73,886.45","16,648"
"16-Jul-2025","EQ","267.45","274.25","265.60","268.18","270.50","269.75","269.61","320.00","202.52","23,94,082","64,54,78,965.34","25,749"
"15-Jul-2025","EQ","265.00","269.50","263.22","265.43","267.99","268.18","267.70","320.00","202.52","20,83,433","55,77,27,779.36","26,008"
"14-Jul-2025","EQ","267.51","275.89","257.95","270.84","267.00","265.43","266.97","320.00","202.52","64,34,367","1,71,77,64,397.17","1,11,256"
"11-Jul-2025","EQ","252.99","275.85","252.10","251.01","271.20","270.84","264.10","320.00","202.52","1,35,40,496","3,57,59,91,113.00","1,02,347"
"10-Jul-2025","EQ","235.99","252.00","235.25","235.25","250.47","251.01","246.99","320.00","202.52","61,81,566","1,52,67,91,698.53","62,557"
"09-Jul-2025","EQ","230.90","238.56","226.62","221.55","234.75","235.25","233.21","320.00","202.52","95,81,116","2,23,44,46,919.84","82,164"
"08-Jul-2025","EQ","219.00","222.50","218.00","219.13","219.57","221.55","220.07","320.00","202.52","5,47,157","12,04,10,978.53","12,336"
"07-Jul-2025","EQ","221.10","223.20","218.20","222.25","219.01","219.13","219.82","320.00","202.52","3,70,415","8,14,24,005.58","6,084"
"04-Jul-2025","EQ","222.00","223.70","220.90","222.57","221.67","222.25","222.18","320.00","202.52","4,68,839","10,41,66,021.99","10,406"
"03-Jul-2025","EQ","224.00","225.40","221.55","224.85","222.00","222.57","222.58","320.00","202.52","5,21,221","11,60,11,391.71","13,024"
"02-Jul-2025","EQ","225.73","226.08","221.70","225.73","225.35","224.85","223.18","320.00","202.52","7,32,554","16,34,94,905.93","10,758"
"01-Jul-2025","EQ","225.00","226.79","221.50","222.22","226.00","225.73","224.88","320.00","202.52","6,68,258","15,02,80,698.48","10,001"
"30-Jun-2025","EQ","224.00","225.55","221.51","221.37","221.93","222.22","223.21","320.00","202.52","5,22,684","11,66,67,256.81","9,668"
"27-Jun-2025","EQ","225.00","226.28","220.00","224.15","223.40","221.37","222.67","320.00","202.52","12,06,684","26,86,97,588.33","13,065"
"26-Jun-2025","EQ","225.00","227.00","223.33","223.85","224.06","224.15","225.05","320.00","202.52","3,97,536","8,94,66,532.20","7,965"
"25-Jun-2025","EQ","224.00","226.29","222.25","223.52","224.00","223.85","224.00","320.00","202.52","4,97,987","11,15,48,184.69","8,967"
"24-Jun-2025","EQ","225.95","227.40","222.20","223.56","223.99","223.52","224.20","320.00","202.52","7,95,927","17,84,44,977.22","12,491"
"23-Jun-2025","EQ","224.50","228.37","222.50","225.11","223.00","223.56","224.02","320.00","202.52","11,43,705","25,62,14,975.04","16,032"
"20-Jun-2025","EQ","226.00","227.99","224.19","226.79","225.49","225.11","225.64","320.00","202.52","2,94,672","6,64,91,182.05","5,470"
"19-Jun-2025","EQ","227.00","229.45","222.86","226.94","226.98","226.79","225.92","320.00","202.52","7,38,680","16,68,79,558.53","9,877"
"18-Jun-2025","EQ","230.00","233.33","226.50","230.28","226.62","226.94","228.80","320.00","202.52","4,25,442","9,73,42,811.23","7,627"
"17-Jun-2025","EQ","233.60","236.00","227.71","234.95","231.24","230.28","230.04","320.00","202.52","7,66,508","17,63,28,357.05","13,591"
"16-Jun-2025","EQ","233.99","235.86","226.30","233.53","235.00","234.95","232.89","320.00","202.52","8,83,186","20,56,86,377.47","14,495"
"13-Jun-2025","EQ","229.30","234.85","226.60","231.96","233.11","233.53","231.50","320.00","202.52","7,08,972","16,41,29,198.29","10,137"
"12-Jun-2025","EQ","236.40","237.40","230.85","235.37","232.00","231.96","232.17","320.00","202.52","6,19,857","14,39,14,563.91","8,151"
