ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"04-Jun-2025","EQ","342.00","385.70","339.20","342.05","380.05","380.60","365.53","385.70","144.45","2,83,90,440","10,37,76,47,366.95","2,03,836"
"03-Jun-2025","EQ","359.00","359.00","337.00","356.85","341.50","342.05","343.57","359.00","144.45","1,76,84,059","6,07,56,63,848.75","1,45,295"
"02-Jun-2025","EQ","332.00","359.00","329.65","330.50","357.95","356.85","346.38","359.00","144.45","2,75,23,498","9,53,35,21,684.15","2,21,141"
"30-May-2025","EQ","314.00","347.55","311.10","313.10","328.55","330.50","331.60","351.00","144.45","2,90,15,364","9,62,15,65,678.20","2,20,988"
"29-May-2025","EQ","310.65","321.00","308.90","308.30","313.15","313.10","315.30","351.00","144.45","79,75,244","2,51,46,26,264.25","78,091"
"28-May-2025","EQ","309.00","312.00","304.25","306.80","308.50","308.30","307.78","351.00","144.45","63,69,651","1,96,04,73,056.60","53,192"
"27-May-2025","EQ","296.70","310.00","288.60","293.55","307.00","306.80","302.05","351.00","144.45","1,30,59,582","3,94,45,89,729.95","98,842"
"26-May-2025","EQ","306.90","308.90","287.00","305.45","293.65","293.55","295.70","351.00","144.45","1,39,75,946","4,13,26,89,806.15","1,11,030"
"23-May-2025","EQ","288.00","313.00","282.45","283.40","307.50","305.45","300.61","351.00","144.45","2,24,06,660","6,73,55,62,523.50","1,74,821"
"22-May-2025","EQ","275.10","286.00","275.00","276.15","284.00","283.40","281.69","351.00","144.45","47,50,110","1,33,80,74,773.30","43,334"
"21-May-2025","EQ","275.50","279.00","272.75","274.65","276.75","276.15","275.82","351.00","144.45","23,39,631","64,53,26,312.65","24,923"
"20-May-2025","EQ","281.80","284.00","272.75","279.50","275.00","274.65","278.84","351.00","144.45","41,93,967","1,16,94,41,339.00","42,542"
"19-May-2025","EQ","279.95","284.80","277.40","279.50","278.50","279.50","281.41","351.00","144.45","40,23,006","1,13,21,26,892.10","31,866"
"16-May-2025","EQ","273.00","282.00","268.60","272.05","278.40","279.50","276.20","351.00","144.45","62,93,367","1,73,82,49,169.85","53,820"
"15-May-2025","EQ","272.65","275.00","269.35","271.65","271.45","272.05","272.84","351.00","144.45","25,88,744","70,63,13,857.35","25,550"
"14-May-2025","EQ","267.00","272.40","264.70","265.05","271.85","271.65","269.69","351.00","144.45","33,36,343","89,97,90,511.10","29,041"
"13-May-2025","EQ","256.90","268.00","256.35","255.35","265.90","265.05","263.43","351.00","144.45","38,85,608","1,02,35,68,987.10","40,257"
"12-May-2025","EQ","246.90","263.00","245.60","234.60","256.90","255.35","256.14","351.00","144.45","69,15,665","1,77,13,71,445.90","56,476"
"09-May-2025","EQ","226.10","236.20","225.70","233.60","235.85","234.60","230.11","351.00","144.45","29,26,843","67,34,94,309.10","28,263"
"08-May-2025","EQ","241.00","244.60","230.95","240.50","232.00","233.60","238.40","351.00","144.45","21,53,890","51,34,77,372.25","23,487"
"07-May-2025","EQ","233.00","242.00","233.00","236.35","239.50","240.50","239.24","351.00","144.45","28,90,404","69,14,94,051.10","31,907"
"06-May-2025","EQ","257.30","258.70","235.20","256.40","236.40","236.35","244.38","351.00","144.45","35,77,289","87,42,12,917.30","51,462"
"05-May-2025","EQ","252.30","258.10","250.85","250.55","256.95","256.40","255.03","351.00","144.45","20,46,500","52,19,20,709.40","23,114"
"02-May-2025","EQ","255.10","259.80","249.95","254.55","250.55","250.55","254.54","351.00","144.45","25,23,350","64,22,89,802.05","28,751"
"30-Apr-2025","EQ","256.95","264.75","252.25","256.70","254.00","254.55","259.33","351.00","144.45","41,64,437","1,07,99,70,075.15","45,849"
"29-Apr-2025","EQ","257.00","264.80","255.30","255.30","256.70","256.70","260.49","351.00","144.45","38,92,641","1,01,39,75,670.55","33,772"
"28-Apr-2025","EQ","256.05","262.00","253.90","256.90","256.20","255.30","257.69","351.00","144.45","32,35,297","83,37,00,512.50","31,602"
"25-Apr-2025","EQ","270.00","270.95","250.10","269.10","256.20","256.90","258.07","351.00","144.45","72,29,576","1,86,57,56,917.65","66,890"
"24-Apr-2025","EQ","264.60","275.80","264.30","266.25","269.00","269.10","270.95","351.00","144.45","50,22,103","1,36,07,51,662.00","47,798"
"23-Apr-2025","EQ","268.45","270.75","262.85","266.55","266.70","266.25","266.42","351.00","144.45","28,63,738","76,29,54,531.25","29,374"
"22-Apr-2025","EQ","271.90","274.20","265.20","271.25","265.95","266.55","269.77","351.00","144.45","38,96,492","1,05,11,55,411.95","35,714"
"21-Apr-2025","EQ","265.60","272.70","262.30","262.30","270.55","271.25","268.89","351.00","144.45","66,01,989","1,77,51,96,435.50","50,245"
"17-Apr-2025","EQ","253.00","264.70","252.40","253.20","262.80","262.30","258.29","351.00","144.45","66,90,709","1,72,81,63,449.00","45,718"
"16-Apr-2025","EQ","255.60","259.75","252.05","255.00","252.40","253.20","255.84","351.00","144.45","30,56,385","78,19,44,864.80","27,680"
"15-Apr-2025","EQ","252.80","259.15","251.85","250.15","255.10","255.00","255.89","351.00","144.45","29,60,127","75,74,55,921.85","32,798"
"11-Apr-2025","EQ","248.05","252.60","246.00","243.75","249.15","250.15","249.38","351.00","144.45","34,90,607","87,04,73,956.10","31,782"
"09-Apr-2025","EQ","243.50","257.70","238.75","245.35","242.80","243.75","246.54","351.00","144.45","48,33,606","1,19,16,86,895.70","52,159"
"08-Apr-2025","EQ","248.00","251.45","241.65","241.50","245.55","245.35","245.88","351.00","144.45","23,61,484","58,06,42,687.20","26,132"
"07-Apr-2025","EQ","222.00","244.80","218.60","250.35","242.60","241.50","233.86","351.00","144.45","58,76,332","1,37,42,30,505.25","57,625"
"04-Apr-2025","EQ","261.00","262.65","248.80","262.25","250.40","250.35","254.63","351.00","144.45","46,71,764","1,18,95,56,037.15","41,621"
"03-Apr-2025","EQ","254.05","268.80","254.05","257.20","262.00","262.25","261.83","351.00","144.45","62,31,967","1,63,17,45,519.80","58,855"
"02-Apr-2025","EQ","255.00","260.80","248.30","254.25","256.90","257.20","256.35","351.00","144.45","34,13,280","87,49,82,548.20","31,975"
"01-Apr-2025","EQ","254.90","262.00","252.10","258.64","254.15","254.25","256.13","351.00","144.45","25,77,736","66,02,28,715.50","29,800"
"28-Mar-2025","EQ","257.10","267.95","257.00","255.12","258.00","258.64","262.20","351.00","144.45","68,81,450","1,80,43,50,103.14","65,002"
"27-Mar-2025","EQ","254.00","257.90","250.00","253.78","255.36","255.12","253.28","351.00","144.45","85,50,177","2,16,56,07,370.31","58,633"
"26-Mar-2025","EQ","237.90","262.40","237.70","237.80","254.00","253.78","254.60","351.00","144.45","1,57,71,087","4,01,52,79,044.20","1,27,437"
"25-Mar-2025","EQ","245.35","246.10","235.30","243.64","237.00","237.80","238.12","351.00","144.45","47,71,028","1,13,60,92,295.06","31,366"
"24-Mar-2025","EQ","241.90","247.50","240.79","239.50","244.10","243.64","243.96","351.00","144.45","41,95,025","1,02,34,15,626.96","34,554"
"21-Mar-2025","EQ","237.60","245.67","236.84","237.28","239.75","239.50","241.65","351.00","144.45","51,73,318","1,25,01,13,286.42","37,168"
"20-Mar-2025","EQ","245.00","245.70","236.00","242.35","236.60","237.28","240.16","351.00","144.45","35,03,097","84,13,18,890.35","37,390"
"19-Mar-2025","EQ","232.20","245.34","232.00","230.55","241.65","242.35","239.15","351.00","144.45","51,50,722","1,23,17,93,018.53","33,658"
"18-Mar-2025","EQ","222.00","234.23","221.00","219.38","229.95","230.55","229.94","351.00","144.45","53,70,777","1,23,49,44,759.77","29,468"
"17-Mar-2025","EQ","220.00","223.95","217.32","218.44","217.79","219.38","220.31","351.00","144.45","44,61,379","98,29,04,621.01","20,703"
"13-Mar-2025","EQ","222.40","225.25","216.01","220.33","217.60","218.44","220.42","351.00","144.45","23,67,618","52,18,72,693.81","17,715"
"12-Mar-2025","EQ","228.00","230.45","218.85","225.91","220.00","220.33","222.68","351.00","144.45","30,75,754","68,48,96,819.45","18,663"
"11-Mar-2025","EQ","228.89","231.40","222.55","229.72","226.30","225.91","227.21","351.00","144.45","47,89,414","1,08,81,90,172.32","27,041"
"10-Mar-2025","EQ","239.90","243.70","227.30","239.35","227.50","229.72","234.98","351.00","144.45","35,08,266","82,43,70,177.69","23,029"
"07-Mar-2025","EQ","235.01","247.90","231.10","235.86","239.70","239.35","239.12","351.00","144.45","1,00,46,677","2,40,23,96,643.45","57,707"
"06-Mar-2025","EQ","223.87","248.90","221.10","219.60","235.11","235.86","237.10","351.00","144.45","1,09,63,580","2,59,95,14,307.74","74,507"
"05-Mar-2025","EQ","207.20","221.39","207.20","205.89","220.70","219.60","217.19","351.00","144.45","40,50,862","87,98,07,073.98","25,349"
"04-Mar-2025","EQ","203.00","214.85","202.45","206.58","205.45","205.89","208.23","351.00","144.45","29,00,533","60,39,68,431.86","23,884"
"03-Mar-2025","EQ","214.99","217.86","198.13","211.95","206.70","206.58","205.56","351.00","144.45","57,28,528","1,17,75,68,996.55","36,978"
"28-Feb-2025","EQ","221.00","222.50","210.10","222.95","211.75","211.95","215.10","351.00","144.45","55,85,491","1,20,14,28,320.80","33,802"
"27-Feb-2025","EQ","238.20","240.80","220.05","238.80","221.80","222.95","227.71","351.00","144.45","31,10,075","70,81,89,690.40","31,818"
"25-Feb-2025","EQ","241.00","245.90","236.50","240.80","237.00","238.80","239.79","351.00","144.45","30,41,715","72,93,61,324.20","16,488"
"24-Feb-2025","EQ","250.35","250.65","240.10","252.30","240.10","240.80","242.98","351.00","144.45","34,89,248","84,78,32,990.10","18,288"
"21-Feb-2025","EQ","257.90","263.80","251.00","258.35","251.35","252.30","256.30","351.00","144.45","17,91,562","45,91,68,495.55","15,410"
"20-Feb-2025","EQ","255.00","263.10","253.80","256.25","258.45","258.35","259.31","351.00","144.45","15,61,572","40,49,26,666.80","13,967"
"19-Feb-2025","EQ","245.00","263.70","244.00","248.60","256.30","256.25","257.78","351.00","144.45","33,82,941","87,20,43,639.95","27,036"
"18-Feb-2025","EQ","249.95","256.60","243.80","244.35","246.50","248.60","248.23","351.00","144.45","59,32,355","1,47,25,97,405.00","48,935"
"17-Feb-2025","EQ","236.00","252.00","229.55","250.15","245.00","244.35","240.71","351.00","144.45","71,46,483","1,72,02,22,166.45","48,167"
"14-Feb-2025","EQ","270.00","270.50","243.25","266.70","248.25","250.15","252.89","351.00","144.45","54,98,360","1,39,04,77,982.10","36,081"
"13-Feb-2025","EQ","268.20","277.10","262.10","266.80","264.75","266.70","270.92","351.00","144.45","22,20,442","60,15,65,173.25","19,411"
"12-Feb-2025","EQ","265.35","275.55","252.80","267.50","267.40","266.80","265.65","351.00","144.45","40,76,501","1,08,29,18,335.90","33,845"
"11-Feb-2025","EQ","283.70","283.70","263.55","284.45","266.45","267.50","269.50","351.00","144.45","35,05,859","94,48,21,045.75","24,847"
"10-Feb-2025","EQ","295.00","303.00","276.80","286.50","281.70","284.45","289.09","351.00","144.45","62,07,675","1,79,45,55,117.05","43,730"
"07-Feb-2025","EQ","271.55","288.70","268.20","272.00","285.00","286.50","280.06","351.00","144.45","61,75,237","1,72,94,54,956.95","49,613"
"06-Feb-2025","EQ","259.40","276.65","258.00","254.45","271.70","272.00","266.33","351.00","144.45","92,36,767","2,45,99,97,890.20","54,533"
"05-Feb-2025","EQ","245.00","257.75","243.85","245.50","255.00","254.45","253.27","351.00","144.45","37,82,970","95,81,09,518.70","23,654"
"04-Feb-2025","EQ","234.45","245.75","231.95","234.05","245.75","245.50","239.85","351.00","144.45","28,89,165","69,29,70,493.00","23,285"
"03-Feb-2025","EQ","239.00","239.80","234.05","246.35","234.05","234.05","235.11","351.00","144.45","17,22,615","40,49,99,963.05","11,399"
"01-Feb-2025","EQ","252.70","254.70","241.35","250.60","245.00","246.35","248.14","351.00","144.45","15,96,370","39,61,16,406.70","13,660"
"31-Jan-2025","EQ","249.50","253.55","247.30","250.85","250.05","250.60","250.71","351.00","144.45","14,73,454","36,94,16,017.25","14,341"
"30-Jan-2025","EQ","247.75","254.00","244.40","248.25","248.95","250.85","249.61","351.00","144.45","26,79,925","66,89,39,352.00","17,269"
"29-Jan-2025","EQ","242.75","251.90","237.05","240.60","247.75","248.25","243.60","351.00","144.45","48,64,812","1,18,50,75,940.85","23,617"
"28-Jan-2025","EQ","251.00","252.00","237.20","249.65","240.50","240.60","240.74","351.00","144.45","46,43,249","1,11,78,08,022.05","19,121"
"27-Jan-2025","EQ","258.85","259.80","249.65","262.75","249.65","249.65","251.03","351.00","144.45","14,58,447","36,61,19,603.05","7,755"
"24-Jan-2025","EQ","275.40","277.00","260.70","274.40","263.00","262.75","267.75","351.00","144.45","9,57,586","25,63,95,321.75","9,991"
"23-Jan-2025","EQ","273.90","281.45","272.60","274.40","273.25","274.40","277.26","351.00","144.45","9,57,332","26,54,29,038.60","13,108"
"22-Jan-2025","EQ","283.90","283.90","268.25","276.55","273.95","274.40","274.32","351.00","144.45","13,02,429","35,72,81,715.30","12,598"
"21-Jan-2025","EQ","281.90","284.00","272.00","280.95","278.55","276.55","276.36","351.00","144.45","33,44,638","92,43,29,004.55","22,515"
"20-Jan-2025","EQ","289.95","289.95","279.60","285.60","281.00","280.95","282.56","351.00","144.45","15,67,639","44,29,59,699.95","11,193"
"17-Jan-2025","EQ","278.50","289.50","278.05","279.30","286.45","285.60","286.08","351.00","144.45","19,80,765","56,66,60,856.40","17,327"
"16-Jan-2025","EQ","278.40","282.70","277.15","275.10","279.45","279.30","279.59","351.00","144.45","19,30,471","53,97,35,326.95","12,915"
"15-Jan-2025","EQ","277.00","279.50","270.60","274.95","274.65","275.10","275.17","351.00","144.45","37,16,226","1,02,25,94,947.75","16,973"
"14-Jan-2025","EQ","278.95","286.65","273.10","277.55","275.00","274.95","277.65","351.00","144.45","50,86,386","1,41,22,48,137.55","22,836"
"13-Jan-2025","EQ","288.35","296.95","277.55","292.15","277.55","277.55","286.08","351.00","144.45","20,71,284","59,25,62,195.95","17,154"
"10-Jan-2025","EQ","287.00","301.40","283.80","287.05","292.40","292.15","294.51","351.00","144.45","34,38,608","1,01,27,21,467.70","27,154"
"09-Jan-2025","EQ","303.85","304.45","287.05","302.15","287.05","287.05","291.47","351.00","144.45","24,78,812","72,25,00,188.65","14,175"
"08-Jan-2025","EQ","311.00","311.65","298.00","309.55","301.60","302.15","302.83","351.00","144.45","17,33,254","52,48,73,323.50","17,768"
"07-Jan-2025","EQ","300.30","312.00","297.60","303.25","308.20","309.55","307.10","351.00","144.45","22,66,086","69,59,11,799.00","17,707"
"06-Jan-2025","EQ","320.20","320.20","303.25","319.20","303.25","303.25","308.70","351.00","144.45","29,03,728","89,63,86,773.75","15,569"
"03-Jan-2025","EQ","322.50","328.45","317.80","322.65","319.00","319.20","323.03","351.00","144.45","30,19,612","97,54,35,333.10","16,832"
"02-Jan-2025","EQ","318.00","327.85","316.30","319.20","321.00","322.65","322.35","351.00","144.45","53,37,254","1,72,04,45,050.25","32,141"
"01-Jan-2025","EQ","304.90","319.35","303.05","304.15","319.35","319.20","314.94","351.00","144.45","93,17,923","2,93,45,65,443.35","30,629"
"31-Dec-2024","EQ","294.05","306.70","292.20","297.05","304.60","304.15","301.97","351.00","144.45","22,33,861","67,45,63,001.85","14,799"
"07-Oct-2024","EQ","305.95","310.00","285.30","301.15","289.30","288.25","295.33","351.00","144.45","1,11,41,091","3,29,03,37,581.20","69,460"
"04-Oct-2024","EQ","324.80","327.75","296.65","326.70","300.00","301.15","308.09","351.00","144.45","1,16,02,213","3,57,45,30,126.50","81,540"
"03-Oct-2024","EQ","333.00","345.70","324.10","332.00","325.00","326.70","335.15","351.00","144.45","1,05,12,072","3,52,31,29,013.55","70,482"
"01-Oct-2024","EQ","339.70","342.00","328.30","336.13","331.00","332.00","334.81","351.00","144.45","1,11,12,275","3,72,05,53,314.50","61,900"
"30-Sep-2024","EQ","329.90","345.40","324.35","322.95","336.90","336.13","337.12","351.00","144.45","2,22,44,974","7,49,93,21,088.69","1,46,597"
"27-Sep-2024","EQ","332.10","335.00","317.15","328.79","328.70","322.95","327.70","351.00","144.45","1,23,02,274","4,03,14,39,690.98","63,246"
"26-Sep-2024","EQ","326.00","338.20","326.00","335.16","327.30","328.79","331.94","351.00","144.45","1,10,15,248","3,65,63,51,703.06","67,617"
"25-Sep-2024","EQ","337.55","346.40","325.10","337.04","335.10","335.16","336.64","351.00","144.45","1,93,90,430","6,52,75,17,740.99","1,21,035"
"24-Sep-2024","EQ","331.00","351.00","326.63","329.53","337.00","337.04","338.00","351.00","144.45","3,16,06,857","10,68,30,27,137.16","1,71,980"
