ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","584.90","594.90","572.10","584.50","573.95","573.30","580.43","1,064.05","551.75","4,95,896","28,78,35,234.25","19,014"
"12-Aug-2025","EQ","581.15","593.00","575.30","581.15","585.00","584.50","585.22","1,064.05","551.75","2,86,808","16,78,45,634.75","11,472"
"11-Aug-2025","EQ","589.75","589.75","564.40","585.00","578.10","581.15","579.11","1,064.05","551.75","4,46,895","25,88,01,846.15","18,304"
"08-Aug-2025","EQ","583.00","592.00","574.95","577.90","585.50","585.00","585.07","1,064.05","551.75","4,69,279","27,45,59,681.30","17,279"
"07-Aug-2025","EQ","560.65","584.00","558.30","560.55","584.00","577.90","569.21","1,064.05","551.75","5,06,137","28,80,97,283.20","16,975"
"06-Aug-2025","EQ","579.60","579.60","556.60","574.60","561.05","560.55","563.12","1,064.05","551.75","4,10,029","23,08,96,973.95","16,312"
"05-Aug-2025","EQ","579.00","586.90","571.00","579.60","574.10","574.60","576.72","1,064.05","551.75","3,13,626","18,08,74,330.00","12,417"
"04-Aug-2025","EQ","559.00","588.65","551.75","565.75","581.00","579.60","575.51","1,064.05","551.75","7,34,823","42,29,00,976.85","28,467"
"01-Aug-2025","EQ","582.50","585.65","562.10","582.55","566.00","565.75","576.55","1,064.05","553.00","5,55,894","32,04,98,177.30","19,369"
"31-Jul-2025","EQ","588.50","592.95","570.25","598.00","582.00","582.55","582.22","1,064.05","553.00","9,89,315","57,60,03,006.75","30,606"
"30-Jul-2025","EQ","602.20","609.40","595.50","599.45","597.90","598.00","600.47","1,064.05","553.00","8,25,991","49,59,83,867.95","16,619"
"29-Jul-2025","EQ","611.00","615.50","597.45","612.65","600.00","599.45","602.83","1,064.05","553.00","6,09,233","36,72,66,193.10","20,886"
"28-Jul-2025","EQ","624.95","626.10","608.20","624.95","610.55","612.65","616.51","1,064.05","553.00","4,59,965","28,35,73,126.75","15,847"
"25-Jul-2025","EQ","622.70","629.00","605.05","622.70","622.00","624.95","615.00","1,064.05","553.00","6,25,978","38,49,75,434.90","20,082"
"24-Jul-2025","EQ","630.70","632.60","619.75","630.10","623.30","622.70","624.14","1,064.05","553.00","3,48,061","21,72,38,417.85","11,535"
"23-Jul-2025","EQ","632.95","633.00","625.20","629.50","629.60","630.10","629.55","1,064.05","553.00","3,04,839","19,19,10,345.15","9,668"
"22-Jul-2025","EQ","641.80","644.40","628.45","639.25","629.80","629.50","634.47","1,064.05","553.00","3,74,778","23,77,84,076.95","10,286"
"21-Jul-2025","EQ","642.45","643.05","635.60","643.90","639.10","639.25","639.09","1,064.05","553.00","3,08,681","19,72,74,091.90","9,087"
"18-Jul-2025","EQ","647.90","650.90","633.00","644.75","640.45","643.90","641.33","1,064.05","553.00","5,86,494","37,61,38,857.35","20,857"
"17-Jul-2025","EQ","654.90","657.25","642.05","651.35","644.95","644.75","647.94","1,064.05","553.00","6,65,770","43,13,78,712.20","19,293"
"16-Jul-2025","EQ","666.00","668.00","646.10","664.95","652.50","651.35","654.09","1,064.05","553.00","7,74,865","50,68,29,258.15","19,910"
"15-Jul-2025","EQ","651.00","679.30","650.55","648.00","665.00","664.95","665.07","1,064.05","553.00","9,41,643","62,62,60,645.30","35,551"
"14-Jul-2025","EQ","656.00","659.30","642.10","660.95","648.00","648.00","649.04","1,064.05","553.00","7,07,036","45,88,97,181.55","25,383"
"11-Jul-2025","EQ","684.90","684.90","657.00","683.25","658.00","660.95","670.56","1,064.05","553.00","9,82,537","65,88,49,705.80","25,557"
"10-Jul-2025","EQ","668.85","687.50","660.05","663.15","681.40","683.25","675.11","1,064.05","553.00","15,32,152","1,03,43,67,480.85","42,706"
"09-Jul-2025","EQ","653.00","668.15","652.95","652.35","664.25","663.15","661.95","1,064.05","553.00","4,49,461","29,75,22,685.55","13,936"
"08-Jul-2025","EQ","652.00","661.95","648.00","657.20","654.00","652.35","653.61","1,064.05","553.00","4,10,517","26,83,19,759.25","12,868"
"07-Jul-2025","EQ","663.00","668.70","652.60","664.20","655.80","657.20","659.96","1,064.05","553.00","2,79,815","18,46,68,075.90","9,682"
"04-Jul-2025","EQ","665.00","673.50","652.45","664.10","665.35","664.20","661.71","1,064.05","553.00","4,91,201","32,50,32,755.65","16,235"
"03-Jul-2025","EQ","662.00","672.00","657.05","662.05","666.00","664.10","663.48","1,064.05","553.00","5,60,955","37,21,82,831.15","16,802"
"02-Jul-2025","EQ","674.30","675.75","659.25","671.85","661.70","662.05","663.82","1,064.05","553.00","4,27,081","28,35,04,055.20","11,819"
"01-Jul-2025","EQ","678.90","685.95","669.00","674.40","672.00","671.85","675.25","1,064.05","553.00","8,38,250","56,60,31,405.35","16,890"
"30-Jun-2025","EQ","669.00","691.50","669.00","668.55","675.00","674.40","680.24","1,064.05","553.00","13,36,621","90,92,16,929.50","30,652"
"27-Jun-2025","EQ","681.00","683.20","666.70","680.40","669.20","668.55","674.20","1,064.05","553.00","9,39,698","63,35,43,111.55","23,901"
"26-Jun-2025","EQ","685.00","688.20","671.75","681.40","680.35","680.40","679.96","1,064.05","553.00","13,55,779","92,18,75,282.10","31,215"
"25-Jun-2025","EQ","647.40","687.30","647.40","646.15","678.75","681.40","672.92","1,064.05","553.00","41,79,562","2,81,24,98,774.05","80,678"
"24-Jun-2025","EQ","637.00","658.10","635.25","632.20","646.65","646.15","646.81","1,064.05","553.00","18,85,552","1,21,95,86,491.50","33,849"
"23-Jun-2025","EQ","619.50","654.50","619.50","627.15","632.25","632.20","643.80","1,064.05","553.00","36,50,279","2,35,00,31,884.00","72,216"
"20-Jun-2025","EQ","642.00","650.60","619.80","638.50","623.10","627.15","632.11","1,064.05","553.00","23,56,187","1,48,93,65,494.35","61,976"
"19-Jun-2025","EQ","632.50","656.50","627.45","631.30","633.20","638.50","645.53","1,064.05","553.00","54,87,314","3,54,22,08,149.35","98,256"
"18-Jun-2025","EQ","634.95","636.25","625.10","640.35","632.50","631.30","631.68","1,064.05","553.00","6,72,758","42,49,66,718.85","17,784"
"17-Jun-2025","EQ","649.00","656.60","635.50","648.40","638.20","640.35","645.75","1,064.05","553.00","6,08,955","39,32,31,898.50","18,549"
"16-Jun-2025","EQ","637.95","649.90","625.35","649.65","649.90","648.40","643.64","1,064.05","553.00","17,08,012","1,09,93,40,509.95","31,687"
"13-Jun-2025","EQ","638.95","659.90","637.50","656.20","646.20","649.65","650.88","1,064.05","553.00","7,83,302","50,98,32,688.50","21,500"
"12-Jun-2025","EQ","662.50","667.70","645.80","661.10","654.20","656.20","658.30","1,064.05","553.00","9,24,837","60,88,23,616.90","19,229"
"11-Jun-2025","EQ","675.00","675.90","657.00","674.10","661.80","661.10","666.31","1,064.05","553.00","13,41,122","89,35,99,153.75","21,920"
"10-Jun-2025","EQ","668.00","676.90","661.50","663.95","671.00","674.10","671.49","1,064.05","553.00","20,06,811","1,34,75,59,598.05","62,886"
"09-Jun-2025","EQ","663.00","675.40","642.25","656.75","662.95","663.95","662.10","1,064.05","553.00","32,94,968","2,18,15,90,080.00","70,058"
"06-Jun-2025","EQ","603.95","672.90","603.00","600.50","658.00","656.75","653.17","1,064.05","553.00","2,15,65,890","14,08,62,57,228.80","3,34,464"
"05-Jun-2025","EQ","593.00","617.80","590.05","590.45","604.80","600.50","605.17","1,064.05","553.00","23,05,470","1,39,51,97,454.35","46,752"
"04-Jun-2025","EQ","603.80","603.80","589.00","600.85","592.00","590.45","592.43","1,064.05","553.00","9,35,859","55,44,33,690.50","29,726"
"03-Jun-2025","EQ","607.20","614.00","592.75","605.25","599.00","600.85","599.75","1,064.05","553.00","12,35,057","74,07,27,578.60","27,927"
