ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","868.90","894.90","861.70","862.95","882.05","884.25","881.31","1,707.00","856.20","1,35,170","11,91,27,195.70","8,974"
"12-Aug-2025","EQ","871.40","878.10","860.30","867.40","863.00","862.95","870.92","1,707.00","856.20","42,659","3,71,52,720.05","3,958"
"11-Aug-2025","EQ","864.75","871.25","856.20","863.40","868.00","867.40","865.66","1,707.00","856.20","47,189","4,08,49,506.45","4,538"
"08-Aug-2025","EQ","872.05","878.60","861.00","874.50","863.90","863.40","866.37","1,707.00","861.00","62,939","5,45,28,251.95","5,126"
"07-Aug-2025","EQ","876.00","880.00","865.00","878.25","880.00","874.50","870.49","1,707.00","861.90","66,540","5,79,22,564.10","6,399"
"06-Aug-2025","EQ","885.90","888.95","872.50","882.55","876.00","878.25","878.73","1,707.00","861.90","40,564","3,56,44,721.15","4,638"
"05-Aug-2025","EQ","878.55","885.00","871.75","878.10","884.60","882.55","879.42","1,707.00","861.90","47,492","4,17,65,318.15","5,816"
"04-Aug-2025","EQ","887.95","887.95","873.10","884.35","879.85","878.10","877.55","1,707.00","861.90","76,681","6,72,91,636.40","7,505"
"01-Aug-2025","EQ","906.80","906.80","883.00","902.30","884.90","884.35","889.09","1,707.00","861.90","1,07,008","9,51,40,228.65","8,134"
"31-Jul-2025","EQ","909.90","909.90","894.60","912.30","902.20","902.30","903.46","1,707.00","861.90","63,213","5,71,10,155.10","5,791"
"30-Jul-2025","EQ","914.80","923.30","908.00","910.50","911.20","912.30","915.29","1,707.00","861.90","46,869","4,28,98,793.70","4,665"
"29-Jul-2025","EQ","908.00","917.10","899.10","908.30","913.60","910.50","906.14","1,707.00","861.90","66,856","6,05,80,909.80","6,874"
"28-Jul-2025","EQ","930.00","930.00","905.00","926.10","906.20","908.30","915.12","1,707.00","861.90","72,692","6,65,22,135.80","7,513"
"25-Jul-2025","EQ","933.40","936.00","920.00","933.30","925.90","926.10","926.40","1,814.00","861.90","71,568","6,63,00,726.70","6,936"
"24-Jul-2025","EQ","932.80","944.40","930.00","932.80","933.50","933.30","935.69","1,814.00","861.90","69,315","6,48,57,360.30","6,359"
"23-Jul-2025","EQ","937.90","945.40","930.10","936.60","933.00","932.80","935.62","1,814.00","861.90","89,058","8,33,24,632.80","7,109"
"22-Jul-2025","EQ","943.00","949.90","935.00","938.60","937.00","936.60","941.27","1,814.00","861.90","1,04,650","9,85,03,864.00","7,211"
"21-Jul-2025","EQ","932.00","960.50","932.00","959.60","942.00","938.60","940.70","1,814.00","861.90","1,96,551","18,48,94,964.10","15,215"
"18-Jul-2025","EQ","998.00","998.00","956.20","1,009.60","958.90","959.60","969.97","1,942.45","861.90","4,78,485","46,41,14,481.60","32,630"
"17-Jul-2025","EQ","1,014.80","1,028.00","1,005.40","1,012.30","1,012.20","1,009.60","1,012.90","1,942.45","861.90","91,827","9,30,11,794.90","7,282"
"16-Jul-2025","EQ","1,003.20","1,022.00","1,003.20","1,002.20","1,013.00","1,012.30","1,014.08","1,942.45","861.90","93,238","9,45,51,127.10","7,853"
"15-Jul-2025","EQ","984.90","1,007.70","984.60","984.20","1,002.70","1,002.20","997.75","1,942.45","861.90","84,717","8,45,26,425.00","7,995"
"14-Jul-2025","EQ","985.00","988.80","975.00","989.40","987.30","984.20","982.12","1,942.45","861.90","52,389","5,14,52,060.80","5,081"
"11-Jul-2025","EQ","995.00","1,001.80","985.70","1,001.00","988.00","989.40","991.20","1,942.45","861.90","51,927","5,14,70,171.80","5,246"
