ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","51.55","52.09","49.53","51.55","50.44","50.58","50.80","92.10","37.42","41,12,115","20,88,75,441.60","22,721"
"11-Aug-2025","EQ","51.31","51.92","50.37","51.57","51.59","51.55","51.23","92.10","37.42","33,33,170","17,07,44,819.00","15,933"
"08-Aug-2025","EQ","52.52","52.88","51.01","52.37","51.15","51.57","52.19","92.10","37.42","26,75,644","13,96,44,945.17","11,699"
"07-Aug-2025","EQ","52.75","53.46","51.13","52.93","52.77","52.37","52.11","92.10","37.42","36,45,921","19,00,05,822.03","16,578"
"06-Aug-2025","EQ","53.49","55.07","52.30","53.47","52.90","52.93","53.57","92.10","37.42","43,56,351","23,33,57,509.43","18,665"
"05-Aug-2025","EQ","54.85","55.41","53.31","54.85","53.60","53.47","54.15","92.10","37.42","23,09,001","12,50,35,776.47","11,004"
"04-Aug-2025","EQ","53.83","55.26","53.02","53.59","54.85","54.85","54.04","92.10","37.42","33,17,748","17,92,81,825.23","16,607"
"01-Aug-2025","EQ","54.50","55.62","53.34","54.29","53.46","53.59","54.72","92.10","37.42","32,33,061","17,69,01,042.85","15,110"
"31-Jul-2025","EQ","54.53","55.40","53.57","55.80","54.37","54.29","54.61","92.10","37.42","26,07,526","14,24,06,235.75","13,057"
"30-Jul-2025","EQ","57.17","57.50","55.38","56.96","55.51","55.80","56.31","92.10","37.42","19,81,501","11,15,82,568.68","11,374"
"29-Jul-2025","EQ","55.80","57.84","54.61","55.90","57.10","56.96","56.23","92.10","37.42","35,55,690","19,99,31,920.56","17,424"
"28-Jul-2025","EQ","56.90","57.74","54.90","56.96","56.07","55.90","56.46","92.10","37.42","33,28,197","18,79,17,446.18","15,354"
"25-Jul-2025","EQ","57.60","58.14","56.51","58.16","56.90","56.96","57.25","92.10","37.42","26,87,540","15,38,52,293.91","13,685"
"24-Jul-2025","EQ","59.40","59.50","58.00","59.48","58.10","58.16","58.53","92.10","37.42","31,39,783","18,37,76,866.62","14,567"
"23-Jul-2025","EQ","60.58","60.60","58.71","60.32","59.69","59.48","59.47","92.10","37.42","38,96,876","23,17,44,883.11","16,157"
"22-Jul-2025","EQ","60.28","62.04","60.06","60.13","60.33","60.32","60.97","92.10","37.42","42,98,117","26,20,40,078.34","18,232"
"21-Jul-2025","EQ","61.05","61.39","59.80","61.18","59.90","60.13","60.25","92.10","37.42","32,63,354","19,66,07,966.84","14,731"
