ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","342.75","346.50","320.30","342.50","323.15","329.45","334.84","619.50","305.00","53,92,512","1,80,56,30,532.80","68,160"
"11-Aug-2025","EQ","337.70","346.70","334.40","336.60","342.80","342.50","341.18","619.50","305.00","36,10,633","1,23,18,65,933.70","45,798"
"08-Aug-2025","EQ","346.80","346.80","335.00","346.50","338.00","336.60","340.63","619.50","305.00","21,40,972","72,92,84,414.70","39,577"
"07-Aug-2025","EQ","341.20","348.00","337.20","346.00","347.10","346.50","342.29","619.50","305.00","29,24,832","1,00,11,47,096.80","44,220"
"06-Aug-2025","EQ","352.00","354.45","344.50","351.55","346.55","346.00","347.69","619.50","305.00","22,82,901","79,37,45,916.00","29,854"
"05-Aug-2025","EQ","353.00","357.30","350.00","353.00","351.70","351.55","353.72","619.50","305.00","25,51,146","90,23,99,772.25","30,988"
"04-Aug-2025","EQ","346.45","354.00","344.35","345.45","353.60","353.00","349.75","619.50","305.00","34,31,280","1,20,00,97,035.55","42,091"
"01-Aug-2025","EQ","349.35","350.40","343.30","348.15","347.45","345.45","346.83","626.80","305.00","31,49,891","1,09,24,72,371.75","43,586"
"31-Jul-2025","EQ","353.00","355.30","345.00","358.40","348.00","348.15","351.37","626.80","305.00","39,34,940","1,38,26,18,428.20","52,362"
"30-Jul-2025","EQ","360.15","362.20","356.50","359.50","358.00","358.40","359.11","626.80","305.00","20,41,969","73,33,01,358.80","30,834"
"29-Jul-2025","EQ","354.00","362.00","352.00","354.45","360.55","359.50","356.89","626.80","305.00","41,92,933","1,49,64,32,015.60","48,030"
"28-Jul-2025","EQ","363.85","368.25","353.20","365.60","354.50","354.45","360.52","626.80","305.00","34,38,508","1,23,96,64,188.60","57,676"
"25-Jul-2025","EQ","375.90","375.90","363.55","376.90","365.30","365.60","369.20","639.00","305.00","34,72,092","1,28,18,95,319.30","51,149"
"24-Jul-2025","EQ","374.10","379.00","372.20","373.70","377.40","376.90","376.07","639.00","305.00","31,84,740","1,19,77,00,833.20","36,538"
"23-Jul-2025","EQ","373.10","375.45","367.00","372.25","374.65","373.70","371.43","639.00","305.00","44,43,972","1,65,06,22,159.85","44,694"
"22-Jul-2025","EQ","380.00","380.10","371.55","378.20","372.10","372.25","374.91","639.00","305.00","24,94,508","93,52,20,021.95","39,611"
"21-Jul-2025","EQ","376.35","380.00","373.10","376.00","378.70","378.20","377.02","639.00","305.00","32,46,863","1,22,41,16,728.95","34,004"
"18-Jul-2025","EQ","381.50","382.60","374.90","381.45","374.95","376.00","378.11","647.00","305.00","27,13,502","1,02,59,99,727.30","38,096"
"17-Jul-2025","EQ","384.00","384.75","381.00","383.30","381.30","381.45","382.85","647.00","305.00","18,95,697","72,57,58,182.25","22,573"
"16-Jul-2025","EQ","384.10","385.65","381.10","383.15","383.20","383.30","383.20","647.00","305.00","32,00,132","1,22,63,00,642.05","28,630"
"15-Jul-2025","EQ","386.00","391.45","382.00","382.30","384.00","383.15","385.22","647.00","305.00","92,28,521","3,55,49,81,077.10","73,855"
"14-Jul-2025","EQ","383.60","385.35","380.65","381.65","382.00","382.30","382.73","647.00","305.00","33,60,937","1,28,63,36,645.75","35,331"
"11-Jul-2025","EQ","384.90","385.50","379.60","384.70","380.95","381.65","382.59","647.00","305.00","31,93,808","1,22,19,11,593.45","40,688"
"10-Jul-2025","EQ","386.30","391.00","383.55","385.10","384.85","384.70","386.46","647.00","305.00","33,57,263","1,29,74,55,810.10","36,755"
"09-Jul-2025","EQ","387.80","392.20","384.10","386.50","384.45","385.10","387.55","647.00","305.00","40,88,303","1,58,44,18,038.85","48,226"
"08-Jul-2025","EQ","390.00","392.45","384.20","389.45","386.90","386.50","387.72","647.00","305.00","33,85,531","1,31,26,32,158.45","42,933"
"07-Jul-2025","EQ","393.40","395.50","388.80","391.40","389.30","389.45","391.53","647.00","305.00","43,75,527","1,71,31,65,091.30","49,896"
"04-Jul-2025","EQ","391.30","394.30","388.65","390.65","391.20","391.40","391.61","647.00","305.00","29,29,965","1,14,74,10,558.55","30,162"
"03-Jul-2025","EQ","393.90","395.25","388.60","392.65","391.20","390.65","392.02","647.00","305.00","34,03,586","1,33,42,81,880.65","39,024"
"02-Jul-2025","EQ","396.80","398.80","389.50","395.85","392.80","392.65","393.13","647.00","305.00","41,24,336","1,62,14,11,055.40","49,807"
"01-Jul-2025","EQ","399.60","401.85","393.10","397.70","395.60","395.85","396.44","647.00","305.00","38,12,592","1,51,14,64,139.60","40,658"
"30-Jun-2025","EQ","399.00","404.00","396.00","395.05","398.50","397.70","399.18","647.00","305.00","59,38,964","2,37,07,21,744.95","58,977"
"27-Jun-2025","EQ","401.55","405.50","394.00","399.55","395.85","395.05","399.59","647.00","305.00","73,43,095","2,93,42,61,190.60","69,436"
"26-Jun-2025","EQ","401.50","405.50","398.25","399.40","399.75","399.55","400.82","647.00","305.00","45,19,908","1,81,16,79,105.10","48,217"
"25-Jun-2025","EQ","400.00","404.90","397.55","398.00","399.00","399.40","400.94","647.00","305.00","46,43,329","1,86,16,90,985.60","47,408"
"24-Jun-2025","EQ","397.30","403.40","396.00","391.40","398.95","398.00","399.46","647.00","305.00","81,04,800","3,23,75,56,534.60","73,881"
"23-Jun-2025","EQ","386.45","395.25","384.45","390.60","391.25","391.40","390.48","647.00","305.00","55,48,703","2,16,66,49,339.40","54,353"
"20-Jun-2025","EQ","382.55","392.75","380.10","381.95","391.45","390.60","386.71","647.00","305.00","77,71,739","3,00,54,27,710.85","71,910"
"19-Jun-2025","EQ","397.55","400.35","380.15","398.00","381.65","381.95","388.35","647.00","305.00","85,38,943","3,31,60,80,785.95","97,355"
"18-Jun-2025","EQ","401.00","404.30","395.40","400.65","397.10","398.00","399.39","647.00","305.00","60,46,355","2,41,48,64,171.50","58,265"
"17-Jun-2025","EQ","410.00","413.45","398.90","409.50","399.90","400.65","405.58","647.00","305.00","70,31,078","2,85,16,40,627.40","66,372"
"16-Jun-2025","EQ","407.00","412.55","397.10","407.00","409.90","409.50","405.64","647.00","305.00","79,42,903","3,22,19,62,197.45","72,227"
"13-Jun-2025","EQ","401.20","412.00","400.50","412.95","408.00","407.00","406.49","647.00","305.00","70,28,426","2,85,70,06,146.35","71,559"
"12-Jun-2025","EQ","429.20","433.00","410.30","427.80","413.00","412.95","419.90","647.00","305.00","99,28,984","4,16,91,70,117.20","1,01,935"
"11-Jun-2025","EQ","428.45","435.70","422.65","426.70","427.30","427.80","429.88","647.00","305.00","1,00,10,848","4,30,34,31,751.15","86,392"
"10-Jun-2025","EQ","434.05","437.75","424.05","431.75","426.00","426.70","428.86","647.00","305.00","86,08,022","3,69,15,95,914.05","74,358"
"09-Jun-2025","EQ","432.00","442.80","429.00","428.65","433.40","431.75","434.71","647.00","305.00","1,41,01,653","6,13,01,56,082.15","1,04,944"
"06-Jun-2025","EQ","430.30","433.00","418.60","429.60","428.15","428.65","425.64","647.00","305.00","1,23,94,179","5,27,54,40,215.50","97,943"
"05-Jun-2025","EQ","434.00","436.90","425.00","429.95","428.65","429.60","430.39","647.00","305.00","1,46,51,361","6,30,58,52,116.60","1,21,205"
"04-Jun-2025","EQ","405.10","434.80","402.50","403.75","431.45","429.95","425.52","647.00","305.00","4,11,41,370","17,50,62,88,659.40","2,75,687"
"03-Jun-2025","EQ","408.95","413.35","402.60","406.90","403.90","403.75","407.04","647.00","305.00","60,74,713","2,47,26,50,254.45","60,651"
"02-Jun-2025","EQ","407.00","411.40","401.00","405.55","406.65","406.90","405.29","647.00","305.00","72,38,002","2,93,34,69,649.25","70,321"
"30-May-2025","EQ","421.00","427.40","402.30","418.10","405.00","405.55","414.57","647.00","305.00","1,29,48,296","5,36,79,98,570.80","1,10,792"
"29-May-2025","EQ","418.00","420.30","411.20","416.15","419.35","418.10","415.54","647.00","305.00","74,35,876","3,08,98,77,250.00","79,082"
"28-May-2025","EQ","419.00","424.50","414.00","415.45","414.60","416.15","419.83","647.00","305.00","1,17,12,050","4,91,71,18,366.80","1,11,388"
"27-May-2025","EQ","413.95","421.00","407.50","412.05","415.00","415.45","413.57","647.00","305.00","1,01,98,617","4,21,78,04,082.50","1,05,119"
"26-May-2025","EQ","398.20","418.50","395.25","398.65","412.30","412.05","411.01","647.00","305.00","1,51,11,176","6,21,08,09,490.05","1,42,468"
"23-May-2025","EQ","406.95","407.15","395.05","404.90","397.75","398.65","400.19","647.00","301.00","77,34,773","3,09,53,44,711.00","88,041"
"22-May-2025","EQ","405.00","420.90","401.50","412.05","404.50","404.90","408.84","647.00","301.00","1,04,05,435","4,25,41,07,161.60","1,10,050"
"21-May-2025","EQ","416.00","419.90","405.00","415.05","412.95","412.05","412.33","647.00","301.00","1,34,28,123","5,53,68,55,715.40","1,39,225"
"20-May-2025","EQ","440.00","447.80","411.30","431.50","415.20","415.05","421.52","647.00","301.00","1,84,49,682","7,77,68,79,618.80","1,97,281"
"19-May-2025","EQ","417.00","438.90","416.00","409.60","431.80","431.50","431.47","647.00","301.00","2,65,50,311","11,45,57,48,500.30","2,60,240"
"16-May-2025","EQ","380.50","417.50","378.35","376.25","410.80","409.60","405.84","647.00","249.85","4,53,61,621","18,40,97,58,184.65","3,90,284"
"15-May-2025","EQ","372.80","382.00","371.35","372.80","375.00","376.25","376.04","647.00","249.85","89,96,131","3,38,29,39,782.95","90,961"
"14-May-2025","EQ","359.00","376.80","357.50","357.05","372.75","372.80","369.14","647.00","249.85","1,52,52,942","5,63,04,98,896.05","1,55,673"
"13-May-2025","EQ","360.00","361.00","353.50","359.45","357.00","357.05","356.99","647.00","249.85","56,21,942","2,00,69,64,408.20","68,439"
"12-May-2025","EQ","338.00","362.90","337.00","323.10","360.95","359.45","351.65","647.00","249.85","1,38,98,275","4,88,73,63,559.45","1,44,672"
"09-May-2025","EQ","320.00","327.30","317.50","331.45","325.10","323.10","320.98","647.00","249.85","53,04,658","1,70,27,03,943.55","87,533"
"08-May-2025","EQ","343.25","346.20","329.00","339.95","329.45","331.45","338.33","647.00","249.85","33,95,213","1,14,87,12,688.25","55,762"
"07-May-2025","EQ","329.20","342.55","329.05","341.55","342.10","339.95","336.97","647.00","249.85","61,71,128","2,07,95,11,565.60","83,825"
"06-May-2025","EQ","355.00","356.45","339.30","354.65","340.50","341.55","346.51","647.00","249.85","35,91,336","1,24,44,41,111.65","57,171"
"05-May-2025","EQ","355.10","358.95","352.65","352.20","354.85","354.65","354.61","647.00","249.85","31,79,424","1,12,74,51,506.75","48,301"
"02-May-2025","EQ","349.80","365.65","349.70","349.80","351.55","352.20","356.86","647.00","249.85","92,17,850","3,28,94,50,606.75","99,569"
"30-Apr-2025","EQ","360.00","360.00","345.10","360.45","347.80","349.80","353.53","647.00","249.85","30,09,130","1,06,38,05,837.30","53,046"
"29-Apr-2025","EQ","362.65","366.90","359.05","361.20","360.10","360.45","362.04","647.00","249.85","31,30,264","1,13,32,70,620.60","42,195"
"28-Apr-2025","EQ","356.50","365.45","354.15","361.20","361.50","361.20","360.33","647.00","249.85","47,68,768","1,71,83,06,768.55","68,926"
"25-Apr-2025","EQ","372.50","373.00","354.90","371.15","359.90","361.20","361.53","647.00","249.85","68,57,970","2,47,93,53,427.10","82,796"
"24-Apr-2025","EQ","373.90","384.00","370.00","373.90","371.10","371.15","376.19","647.00","249.85","70,78,638","2,66,29,36,017.85","74,865"
