ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","2,031.50","2,050.00","2,017.20","2,021.40","2,050.00","2,046.20","2,032.25","2,744.70","1,670.15","24,575","4,99,42,581.60","4,175"
"12-Aug-2025","EQ","2,026.00","2,033.30","2,010.40","2,026.30","2,022.60","2,021.40","2,019.36","2,744.70","1,670.15","48,671","9,82,84,115.90","3,436"
"11-Aug-2025","EQ","2,046.90","2,049.70","2,007.00","2,047.40","2,027.00","2,026.30","2,022.11","2,744.70","1,670.15","49,361","9,98,13,547.30","3,612"
"08-Aug-2025","EQ","2,055.10","2,060.10","2,031.00","2,055.40","2,050.00","2,047.40","2,046.59","2,744.70","1,670.15","9,246","1,89,22,811.50","3,089"
"07-Aug-2025","EQ","2,052.50","2,072.00","2,016.10","2,057.50","2,068.00","2,055.40","2,037.56","2,744.70","1,670.15","19,619","3,99,74,805.90","7,021"
"06-Aug-2025","EQ","2,089.30","2,099.50","2,034.40","2,089.30","2,061.90","2,057.50","2,061.01","2,744.70","1,670.15","12,420","2,55,97,726.70","3,804"
"05-Aug-2025","EQ","2,082.50","2,124.10","2,076.40","2,098.10","2,090.00","2,089.30","2,091.74","2,744.70","1,670.15","16,975","3,55,07,343.80","4,837"
"04-Aug-2025","EQ","2,129.00","2,140.00","2,025.00","2,100.80","2,100.00","2,098.10","2,069.29","2,744.70","1,670.15","51,629","10,68,35,486.30","15,012"
"01-Aug-2025","EQ","2,073.50","2,188.00","2,010.00","2,098.20","2,123.00","2,100.80","2,092.51","2,744.70","1,670.15","1,17,653","24,61,89,872.20","21,492"
"31-Jul-2025","EQ","2,015.00","2,112.00","1,992.10","2,035.40","2,106.30","2,098.20","2,077.83","2,744.70","1,670.15","33,881","7,03,98,896.40","7,940"
"30-Jul-2025","EQ","2,056.60","2,059.90","2,022.90","2,056.60","2,037.00","2,035.40","2,035.27","2,744.70","1,670.15","8,614","1,75,31,832.50","2,557"
"29-Jul-2025","EQ","2,029.00","2,071.80","2,005.20","2,029.80","2,036.50","2,056.60","2,035.33","2,744.70","1,670.15","14,063","2,86,22,882.00","3,429"
"28-Jul-2025","EQ","2,110.40","2,110.40","2,017.10","2,110.40","2,044.80","2,029.80","2,047.91","2,744.70","1,670.15","36,256","7,42,49,114.10","7,726"
"25-Jul-2025","EQ","2,120.80","2,145.00","2,082.10","2,120.80","2,110.00","2,110.40","2,104.34","2,744.70","1,670.15","10,714","2,25,45,899.20","3,332"
"24-Jul-2025","EQ","2,149.00","2,160.20","2,101.10","2,138.40","2,120.10","2,120.80","2,124.56","2,744.70","1,670.15","7,952","1,68,94,537.70","2,645"
"23-Jul-2025","EQ","2,142.60","2,160.10","2,123.40","2,142.60","2,140.30","2,138.40","2,138.24","2,744.70","1,670.15","6,335","1,35,45,756.50","1,993"
"22-Jul-2025","EQ","2,152.00","2,173.40","2,116.80","2,153.60","2,140.20","2,142.60","2,136.52","2,744.70","1,670.15","36,078","7,70,81,491.40","6,522"
"21-Jul-2025","EQ","2,199.90","2,217.20","2,130.00","2,199.90","2,151.00","2,153.60","2,153.52","2,744.70","1,670.15","29,351","6,32,08,059.20","8,241"
"18-Jul-2025","EQ","2,213.30","2,226.70","2,183.20","2,213.30","2,207.30","2,199.90","2,201.19","2,744.70","1,670.15","11,606","2,55,46,953.90","3,793"
"17-Jul-2025","EQ","2,200.10","2,237.10","2,183.50","2,200.10","2,214.30","2,213.30","2,215.71","2,744.70","1,670.15","13,567","3,00,60,551.60","3,641"
"16-Jul-2025","EQ","2,205.40","2,216.70","2,187.30","2,205.40","2,206.60","2,200.10","2,200.39","2,744.70","1,670.15","13,976","3,07,52,717.40","4,193"
"15-Jul-2025","EQ","2,188.00","2,225.20","2,177.10","2,188.40","2,206.00","2,205.40","2,208.87","2,744.70","1,670.15","9,716","2,14,61,416.40","3,679"
"14-Jul-2025","EQ","2,230.30","2,246.90","2,165.00","2,219.40","2,210.50","2,188.40","2,195.01","2,744.70","1,670.15","35,553","7,80,39,041.80","9,198"
"11-Jul-2025","EQ","2,235.00","2,249.00","2,192.20","2,230.40","2,220.00","2,219.40","2,216.93","2,744.70","1,670.15","10,147","2,24,95,159.00","3,315"
"10-Jul-2025","EQ","2,225.00","2,255.40","2,205.30","2,225.60","2,235.00","2,230.40","2,220.45","2,744.70","1,670.15","6,922","1,53,69,926.70","1,942"
"09-Jul-2025","EQ","2,212.50","2,233.50","2,208.00","2,229.90","2,226.00","2,225.60","2,222.99","2,744.70","1,670.15","8,866","1,97,08,998.80","2,619"
"08-Jul-2025","EQ","2,250.00","2,250.00","2,212.00","2,237.20","2,220.00","2,229.90","2,229.29","2,744.70","1,670.15","14,077","3,13,81,685.80","5,968"
"07-Jul-2025","EQ","2,211.80","2,255.00","2,190.80","2,200.80","2,254.00","2,237.20","2,231.34","2,744.70","1,670.15","19,519","4,35,53,488.60","6,174"
"04-Jul-2025","EQ","2,164.00","2,215.00","2,160.00","2,174.80","2,209.00","2,200.80","2,191.34","2,744.70","1,670.15","20,770","4,55,14,049.80","5,403"
"03-Jul-2025","EQ","2,140.10","2,182.20","2,140.00","2,160.70","2,160.00","2,174.80","2,170.20","2,744.70","1,670.15","14,274","3,09,77,367.70","3,956"
"02-Jul-2025","EQ","2,195.40","2,202.90","2,140.00","2,195.40","2,145.00","2,160.70","2,160.90","2,744.70","1,670.15","20,149","4,35,40,070.10","5,860"
"01-Jul-2025","EQ","2,152.00","2,211.60","2,152.00","2,158.00","2,199.20","2,195.40","2,191.03","2,744.70","1,670.15","19,856","4,35,05,021.10","4,015"
"30-Jun-2025","EQ","2,127.00","2,165.00","2,121.90","2,127.10","2,165.00","2,158.00","2,149.60","2,744.70","1,670.15","11,280","2,42,47,478.30","3,774"
"27-Jun-2025","EQ","2,131.30","2,148.00","2,112.00","2,132.50","2,148.00","2,127.10","2,129.17","2,744.70","1,670.15","13,341","2,84,05,288.60","3,511"
