ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","122.50","124.64","122.15","122.19","124.30","124.05","123.57","144.20","99.15","1,20,17,599","1,48,50,62,413.57","37,763"
"12-Aug-2025","EQ","121.40","123.49","121.31","121.67","122.10","122.19","122.63","144.20","99.15","65,94,879","80,87,56,306.26","32,157"
"11-Aug-2025","EQ","121.07","121.93","119.90","121.07","121.51","121.67","121.04","144.20","99.15","90,91,136","1,10,04,20,187.44","41,601"
"08-Aug-2025","EQ","123.00","123.78","120.70","123.36","121.05","121.07","121.81","144.20","99.15","61,42,679","74,82,61,407.86","33,667"
"07-Aug-2025","EQ","122.51","123.87","120.50","123.45","123.75","123.36","122.04","144.20","99.15","1,06,77,634","1,30,30,77,888.41","61,554"
"06-Aug-2025","EQ","124.89","125.21","122.50","125.16","123.34","123.45","123.54","144.20","99.15","94,65,399","1,16,93,39,582.95","38,295"
"05-Aug-2025","EQ","125.00","125.88","123.23","125.48","124.89","125.16","125.22","144.20","99.15","94,05,308","1,17,77,07,615.32","42,185"
"04-Aug-2025","EQ","120.66","125.80","120.36","120.12","125.60","125.48","124.22","144.20","99.15","1,35,78,202","1,68,66,35,887.76","57,943"
"01-Aug-2025","EQ","123.82","124.48","119.75","124.20","120.30","120.12","121.58","156.35","99.15","1,31,11,620","1,59,41,05,359.24","60,475"
"31-Jul-2025","EQ","123.00","124.65","122.52","124.16","123.99","124.20","123.89","156.35","99.15","1,33,87,143","1,65,85,35,135.37","41,975"
"30-Jul-2025","EQ","126.00","126.58","123.87","126.01","124.22","124.16","124.83","156.35","99.15","84,02,184","1,04,88,37,237.18","41,096"
"29-Jul-2025","EQ","124.99","126.75","123.30","125.59","126.14","126.01","125.52","156.35","99.15","1,46,42,340","1,83,79,47,202.24","57,330"
"28-Jul-2025","EQ","128.60","128.61","124.13","130.67","126.20","125.59","125.99","156.35","99.15","3,47,68,336","4,38,05,63,365.16","1,22,554"
"25-Jul-2025","EQ","135.88","135.93","130.08","136.17","130.40","130.67","131.74","156.35","99.15","1,58,03,965","2,08,19,38,699.77","72,601"
"24-Jul-2025","EQ","134.80","137.20","134.78","134.79","135.90","136.17","136.04","156.35","99.15","97,64,563","1,32,83,52,465.82","46,298"
"23-Jul-2025","EQ","136.60","136.60","133.90","135.99","134.50","134.79","134.96","156.35","99.15","86,07,725","1,16,17,27,062.15","36,456"
"22-Jul-2025","EQ","136.99","138.71","135.50","136.94","135.77","135.99","137.29","156.35","99.15","1,33,71,025","1,83,56,84,074.47","50,681"
"21-Jul-2025","EQ","137.00","138.75","135.89","136.45","136.99","136.94","137.20","156.35","99.15","1,02,05,739","1,40,02,03,896.79","54,012"
"18-Jul-2025","EQ","133.46","136.75","133.41","133.60","136.63","136.45","135.41","156.35","99.15","1,06,12,550","1,43,70,07,099.19","47,259"
"17-Jul-2025","EQ","134.00","134.69","132.72","133.58","133.46","133.60","133.62","156.35","99.15","61,04,260","81,56,71,814.14","25,311"
"16-Jul-2025","EQ","133.86","134.69","132.50","134.88","133.54","133.58","133.26","156.35","99.15","75,25,790","1,00,28,78,663.96","32,020"
"15-Jul-2025","EQ","133.81","135.13","132.58","134.19","134.61","134.88","134.26","156.35","99.15","55,97,256","75,14,64,290.23","32,760"
"14-Jul-2025","EQ","133.60","135.57","133.00","134.33","134.40","134.19","134.18","156.35","99.15","53,95,689","72,39,98,585.66","30,358"
"11-Jul-2025","EQ","134.20","136.80","133.48","134.78","133.57","134.33","135.23","158.22","99.15","96,55,575","1,30,56,96,759.42","45,747"
"10-Jul-2025","EQ","133.50","135.30","133.50","133.88","134.90","134.78","134.70","158.22","99.15","67,46,836","90,87,78,495.39","32,561"
"09-Jul-2025","EQ","135.00","135.10","131.00","135.05","134.18","133.88","133.09","158.22","99.15","1,29,82,603","1,72,78,23,715.00","51,580"
"08-Jul-2025","EQ","133.00","135.33","132.87","133.47","135.11","135.05","134.62","158.22","99.15","1,00,80,296","1,35,70,48,394.79","44,135"
"07-Jul-2025","EQ","133.76","134.35","132.34","134.72","133.75","133.47","133.33","158.22","99.15","53,28,237","71,04,12,059.17","29,477"
"04-Jul-2025","EQ","135.82","136.75","133.71","136.50","134.99","134.72","135.14","158.75","99.15","71,61,066","96,77,33,228.05","34,055"
"03-Jul-2025","EQ","137.90","139.98","136.01","137.48","136.11","136.50","137.82","158.75","99.15","2,48,71,213","3,42,78,03,337.77","94,288"
