ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","5,132.00","5,164.90","5,050.00","5,132.00","5,066.20","5,092.80","5,096.63","5,894.50","4,211.55","2,413","1,22,98,157.40","1,019"
"12-Aug-2025","EQ","5,201.30","5,223.30","5,100.10","5,186.70","5,190.00","5,132.00","5,142.48","5,894.50","4,211.55","1,284","66,02,945.60","573"
"11-Aug-2025","EQ","5,200.00","5,232.00","5,085.00","5,180.70","5,200.00","5,186.70","5,158.42","5,894.50","4,211.55","2,717","1,40,15,420.50","869"
"08-Aug-2025","EQ","5,151.00","5,191.90","5,080.00","5,180.60","5,180.00","5,180.70","5,144.32","5,894.50","4,211.55","3,971","2,04,28,075.30","1,159"
"07-Aug-2025","EQ","5,310.00","5,310.00","5,041.30","5,366.50","5,150.00","5,180.60","5,106.54","5,894.50","4,211.55","35,431","18,09,29,749.80","6,412"
"06-Aug-2025","EQ","5,346.20","5,449.90","5,110.00","5,292.00","5,310.00","5,366.50","5,261.15","5,894.50","4,211.55","24,001","12,62,72,826.30","7,074"
"05-Aug-2025","EQ","5,065.00","5,512.00","5,065.00","4,793.90","5,389.70","5,292.00","5,304.41","5,894.50","4,211.55","2,06,124","1,09,33,65,980.50","36,935"
"04-Aug-2025","EQ","4,908.80","4,950.00","4,728.00","4,860.20","4,778.00","4,793.90","4,783.90","5,894.50","4,211.55","3,204","1,53,27,601.70","1,451"
"01-Aug-2025","EQ","4,901.00","4,962.10","4,827.90","4,908.00","4,860.10","4,860.20","4,859.05","5,894.50","4,211.55","3,072","1,49,27,007.80","962"
"31-Jul-2025","EQ","4,957.00","4,997.00","4,877.00","4,959.00","4,910.00","4,908.00","4,909.67","5,894.50","4,211.55","2,726","1,33,83,756.00","1,069"
"30-Jul-2025","EQ","5,050.00","5,050.00","4,873.00","5,001.00","5,000.00","4,959.00","4,953.97","5,894.50","4,211.55","2,788","1,38,11,671.50","1,084"
"29-Jul-2025","EQ","4,950.00","5,035.00","4,921.00","4,963.00","5,014.00","5,001.00","4,972.48","5,894.50","4,211.55","2,035","1,01,18,987.00","1,026"
"28-Jul-2025","EQ","5,001.00","5,052.00","4,901.00","4,977.50","4,975.00","4,963.00","4,984.65","5,894.50","4,211.55","1,510","75,26,814.50","574"
"25-Jul-2025","EQ","5,120.50","5,120.50","4,911.50","5,106.50","5,000.00","4,977.50","4,974.08","5,894.50","4,211.55","12,756","6,34,49,396.00","4,336"
"24-Jul-2025","EQ","5,075.00","5,150.00","5,061.00","5,084.50","5,081.00","5,106.50","5,087.65","5,894.50","4,211.55","1,623","82,57,261.00","647"
"23-Jul-2025","EQ","5,096.50","5,130.00","5,060.00","5,096.50","5,115.00","5,084.50","5,087.25","5,894.50","4,211.55","1,385","70,45,842.50","504"
"22-Jul-2025","EQ","5,062.00","5,129.50","5,040.50","5,062.00","5,124.00","5,096.50","5,089.10","5,894.50","4,211.55","3,417","1,73,89,463.50","949"
