ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","5,093.00","5,121.50","5,054.00","5,093.00","5,058.00","5,061.50","5,068.24","7,600.00","4,902.00","9,952","5,04,39,154.00","3,134"
"12-Aug-2025","EQ","5,113.00","5,165.00","5,075.00","5,109.50","5,090.00","5,093.00","5,112.10","7,600.00","4,902.00","9,881","5,05,12,704.50","2,866"
"11-Aug-2025","EQ","5,180.00","5,202.00","5,088.50","5,199.50","5,113.00","5,109.50","5,119.13","7,600.00","4,902.00","10,392","5,31,97,994.00","3,706"
"08-Aug-2025","EQ","5,200.00","5,241.00","5,160.50","5,179.50","5,190.00","5,199.50","5,211.79","7,600.00","4,902.00","6,137","3,19,84,772.50","2,076"
"07-Aug-2025","EQ","5,330.00","5,355.00","5,161.00","5,335.00","5,165.00","5,179.50","5,238.14","7,600.00","4,902.00","25,448","13,33,00,291.00","4,565"
"06-Aug-2025","EQ","5,413.00","5,433.50","5,315.00","5,413.00","5,324.00","5,335.00","5,343.80","7,600.00","4,902.00","19,141","10,22,85,744.50","2,872"
"05-Aug-2025","EQ","5,469.50","5,492.00","5,396.00","5,409.50","5,408.00","5,413.00","5,428.90","7,600.00","4,902.00","14,033","7,61,83,816.00","5,770"
"04-Aug-2025","EQ","5,550.00","5,554.00","5,380.00","5,550.00","5,414.00","5,409.50","5,432.39","7,600.00","4,902.00","13,946","7,57,60,079.00","5,655"
"01-Aug-2025","EQ","5,801.00","5,801.00","5,525.00","5,825.00","5,535.00","5,550.00","5,608.81","7,600.00","4,902.00","23,867","13,38,65,385.50","7,372"
"31-Jul-2025","EQ","5,886.00","5,924.50","5,811.00","5,881.00","5,842.50","5,825.00","5,860.75","7,600.00","4,902.00","4,770","2,79,55,771.50","1,783"
"30-Jul-2025","EQ","5,809.00","5,923.00","5,809.00","5,786.00","5,852.00","5,881.00","5,882.12","7,600.00","4,902.00","6,077","3,57,45,634.00","2,317"
"29-Jul-2025","EQ","5,769.00","5,911.00","5,742.00","5,791.00","5,797.00","5,786.00","5,805.25","7,600.00","4,902.00","9,884","5,73,79,059.50","2,434"
"28-Jul-2025","EQ","5,851.50","5,894.00","5,778.00","5,851.00","5,786.00","5,791.00","5,811.57","7,600.00","4,902.00","4,881","2,83,66,255.50","1,513"
"25-Jul-2025","EQ","5,916.50","5,919.00","5,842.50","5,922.50","5,846.00","5,851.00","5,867.58","7,600.00","4,902.00","3,428","2,01,14,077.00","1,440"
"24-Jul-2025","EQ","5,955.00","5,955.00","5,905.00","5,934.00","5,910.00","5,922.50","5,925.55","7,600.00","4,902.00","7,407","4,38,90,548.50","3,782"
"23-Jul-2025","EQ","5,909.50","5,955.00","5,865.00","5,909.50","5,955.00","5,934.00","5,913.81","7,600.00","4,902.00","4,760","2,81,49,725.50","1,631"
"22-Jul-2025","EQ","5,913.50","5,944.50","5,895.50","5,913.50","5,910.00","5,909.50","5,909.82","7,600.00","4,902.00","4,554","2,69,13,326.00","1,657"
