ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","102.79","104.00","101.50","102.36","103.75","103.36","102.88","120.50","77.61","9,22,740","9,49,27,919.37","7,876"
"12-Aug-2025","EQ","102.19","105.00","101.56","102.36","101.99","102.36","103.35","120.50","77.61","14,59,122","15,08,00,017.50","15,036"
"11-Aug-2025","EQ","101.95","103.20","100.94","101.33","101.50","102.36","101.76","120.50","77.61","11,22,951","11,42,68,423.27","11,250"
"08-Aug-2025","EQ","102.60","103.50","100.61","102.64","101.30","101.33","102.49","120.50","77.61","10,13,585","10,38,82,070.18","9,117"
"07-Aug-2025","EQ","102.01","103.26","100.69","102.50","102.40","102.64","102.16","120.50","77.61","14,29,717","14,60,59,182.26","16,519"
"06-Aug-2025","EQ","103.99","104.55","101.70","103.94","102.70","102.50","102.87","120.50","77.61","10,63,308","10,93,79,344.90","8,687"
"05-Aug-2025","EQ","103.55","105.88","103.00","103.32","103.78","103.94","104.18","120.50","77.61","17,73,552","18,47,66,692.74","16,880"
"04-Aug-2025","EQ","100.73","104.33","100.67","101.34","103.35","103.32","102.54","120.50","77.61","17,62,766","18,07,61,246.43","17,729"
"01-Aug-2025","EQ","104.73","105.47","100.89","104.72","101.39","101.34","102.99","120.50","77.61","24,61,913","25,35,50,464.94","19,745"
"31-Jul-2025","EQ","105.25","106.81","104.01","106.03","104.51","104.72","105.58","120.50","77.61","16,66,691","17,59,69,757.66","14,680"
"30-Jul-2025","EQ","106.60","108.59","105.55","106.68","105.95","106.03","106.79","120.50","77.61","15,97,793","17,06,34,834.56","16,001"
"29-Jul-2025","EQ","111.11","111.91","106.30","111.40","106.51","106.68","107.67","120.50","77.61","24,66,043","26,55,20,964.79","25,508"
"28-Jul-2025","EQ","110.00","113.50","108.85","109.46","111.24","111.40","111.58","120.50","77.61","41,04,804","45,80,15,321.43","31,260"
"25-Jul-2025","EQ","113.51","113.65","107.66","114.49","109.43","109.46","109.45","120.50","77.61","39,59,677","43,34,03,820.22","31,805"
"24-Jul-2025","EQ","119.00","119.16","113.59","118.57","114.30","114.49","116.16","120.50","77.61","28,60,015","33,22,13,380.69","19,926"
"23-Jul-2025","EQ","118.90","119.00","117.50","118.06","118.58","118.57","118.31","120.50","77.61","14,71,638","17,41,13,591.86","12,917"
"22-Jul-2025","EQ","114.59","118.59","114.57","114.59","118.10","118.06","117.21","120.50","77.61","27,26,170","31,95,32,637.31","22,197"
"21-Jul-2025","EQ","115.75","115.99","113.80","115.59","114.60","114.59","114.56","120.50","77.61","20,78,688","23,81,31,519.55","18,814"
"18-Jul-2025","EQ","117.50","117.74","114.67","117.59","115.27","115.59","115.84","120.50","77.61","14,19,396","16,44,28,241.19","15,879"
"17-Jul-2025","EQ","118.39","119.75","116.60","118.04","117.44","117.59","117.97","120.50","77.61","11,69,776","13,79,98,496.60","9,635"
"16-Jul-2025","EQ","118.00","118.88","117.41","117.84","118.21","118.04","118.17","120.50","77.61","11,33,903","13,39,97,458.17","10,604"
"15-Jul-2025","EQ","117.10","120.00","117.10","117.38","117.29","117.84","118.41","120.50","77.61","19,99,330","23,67,32,096.28","19,206"
"14-Jul-2025","EQ","118.50","118.65","116.40","119.02","117.30","117.38","117.43","120.50","77.61","24,41,388","28,67,00,956.44","19,545"
"11-Jul-2025","EQ","116.00","120.50","113.96","115.48","118.43","119.02","116.96","120.50","77.61","71,12,805","83,19,02,914.91","43,559"
"10-Jul-2025","EQ","114.00","115.95","113.55","113.41","115.95","115.48","114.61","117.00","77.61","31,02,409","35,55,67,688.56","22,752"
"09-Jul-2025","EQ","111.00","113.97","110.65","110.79","113.21","113.41","112.29","117.00","77.61","18,59,182","20,87,74,592.62","13,251"
"08-Jul-2025","EQ","112.00","113.00","110.15","112.74","110.60","110.79","111.32","117.00","77.61","22,01,998","24,51,16,952.34","15,886"
"07-Jul-2025","EQ","110.65","113.73","109.62","110.89","112.31","112.74","112.20","117.00","77.61","23,18,287","26,01,17,581.94","23,968"
"04-Jul-2025","EQ","110.94","112.41","109.59","110.94","110.40","110.89","110.90","117.00","77.61","17,51,872","19,42,83,202.80","17,718"
"03-Jul-2025","EQ","107.60","111.50","106.69","107.32","110.80","110.94","110.54","117.00","77.61","46,79,413","51,72,85,178.35","47,986"
"02-Jul-2025","EQ","108.60","109.10","106.14","107.92","107.31","107.32","107.11","117.00","77.61","23,69,009","25,37,48,842.77","21,019"
