ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","206.39","210.06","204.21","205.75","209.00","208.34","207.32","288.75","138.26","16,54,590","34,30,36,469.62","23,842"
"12-Aug-2025","EQ","203.69","213.73","203.02","202.36","204.40","205.75","208.07","288.75","138.26","41,00,819","85,32,63,498.85","53,326"
"11-Aug-2025","EQ","204.00","205.98","199.00","201.61","202.00","202.36","202.54","288.75","138.26","24,78,030","50,19,02,335.94","40,178"
"08-Aug-2025","EQ","207.20","207.69","198.78","207.18","199.40","201.61","203.73","288.75","138.26","8,05,242","16,40,49,452.24","17,084"
"07-Aug-2025","EQ","207.49","207.96","202.23","210.06","207.20","207.18","205.67","288.75","138.26","12,33,972","25,37,90,789.80","20,998"
"06-Aug-2025","EQ","211.00","212.23","204.49","210.07","208.16","210.06","207.96","288.75","138.26","17,77,186","36,95,76,689.27","25,986"
"05-Aug-2025","EQ","212.00","215.67","209.50","211.45","209.80","210.07","212.24","288.75","138.26","9,44,242","20,04,07,263.10","17,929"
"04-Aug-2025","EQ","210.00","212.80","209.00","210.60","212.25","211.45","210.89","288.75","138.26","7,86,285","16,58,22,413.77","16,336"
"01-Aug-2025","EQ","217.50","217.50","209.25","215.92","209.60","210.60","212.84","296.60","138.26","7,35,292","15,64,96,803.53","14,640"
"31-Jul-2025","EQ","211.43","217.14","210.08","215.52","216.35","215.92","215.07","296.60","138.26","10,77,264","23,16,90,987.45","17,856"
"30-Jul-2025","EQ","216.24","218.04","215.00","215.43","215.25","215.52","215.95","296.60","138.26","6,52,309","14,08,68,290.86","11,977"
"29-Jul-2025","EQ","213.00","216.02","211.34","213.89","215.00","215.43","214.01","296.60","138.26","8,91,739","19,08,37,974.82","15,798"
"28-Jul-2025","EQ","219.00","219.79","213.16","219.08","214.19","213.89","215.93","296.60","138.26","12,04,286","26,00,38,439.69","19,418"
"25-Jul-2025","EQ","222.73","222.73","217.01","222.73","218.63","219.08","219.62","334.90","138.26","10,45,193","22,95,40,636.18","16,758"
"24-Jul-2025","EQ","225.32","226.54","222.01","224.67","222.58","222.73","223.60","334.90","138.26","13,81,959","30,90,07,270.73","19,623"
"23-Jul-2025","EQ","217.50","225.20","216.50","216.65","224.25","224.67","223.05","334.90","138.26","42,74,057","95,33,31,341.96","52,263"
"22-Jul-2025","EQ","219.30","220.98","216.00","218.41","217.00","216.65","218.05","334.90","138.26","8,09,967","17,66,11,996.65","12,340"
"21-Jul-2025","EQ","219.13","220.40","217.00","219.13","218.40","218.41","218.49","334.90","138.26","8,49,180","18,55,33,226.57","12,120"
"18-Jul-2025","EQ","221.40","222.75","218.50","221.39","219.40","219.13","219.87","351.90","138.26","8,69,081","19,10,88,682.26","12,367"
"17-Jul-2025","EQ","223.30","226.22","220.50","222.44","221.00","221.39","222.89","351.90","138.26","12,14,231","27,06,34,972.05","18,487"
"16-Jul-2025","EQ","219.80","224.07","218.63","219.24","222.50","222.44","221.29","351.90","138.26","15,23,740","33,71,82,309.44","18,650"
"15-Jul-2025","EQ","218.00","221.44","217.40","217.13","219.90","219.24","219.60","351.90","138.26","9,99,083","21,93,95,449.36","13,687"
"14-Jul-2025","EQ","221.00","221.66","215.47","221.66","217.05","217.13","217.54","351.90","138.26","16,03,731","34,88,83,501.41","23,448"
"11-Jul-2025","EQ","223.56","224.46","220.70","223.56","221.25","221.66","222.24","384.20","138.26","12,78,371","28,41,02,892.19","15,595"
"10-Jul-2025","EQ","225.40","227.24","221.75","224.83","223.80","223.56","223.87","384.20","138.26","16,27,795","36,44,12,191.36","18,770"
"09-Jul-2025","EQ","226.70","228.73","223.69","225.85","225.00","224.83","225.89","384.20","138.26","20,11,682","45,44,19,760.33","23,717"
"08-Jul-2025","EQ","229.10","229.59","223.55","228.36","225.70","225.85","225.75","384.20","138.26","28,39,933","64,11,20,849.86","27,946"
"07-Jul-2025","EQ","222.50","231.75","222.30","221.43","227.70","228.36","229.03","384.20","138.26","1,20,63,442","2,76,28,52,320.37","89,645"
"04-Jul-2025","EQ","222.60","224.65","220.10","222.04","221.05","221.43","222.09","384.20","138.26","20,00,563","44,43,10,664.82","21,523"
