ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","362.00","362.00","336.20","338.00","338.50","339.00","345.08","1,544.00","227.40","37,84,172","1,30,58,25,107.55","93,907"
"12-Aug-2025","EQ","335.00","343.00","327.00","331.15","336.80","338.00","338.21","1,544.00","227.40","11,08,997","37,50,74,988.45","28,574"
"11-Aug-2025","EQ","330.00","336.05","320.55","332.35","329.90","331.15","327.61","1,544.00","227.40","9,23,506","30,25,49,624.95","19,184"
"08-Aug-2025","EQ","345.10","352.30","323.40","341.10","333.00","332.35","340.23","1,544.00","227.40","8,69,699","29,58,99,947.10","14,750"
"07-Aug-2025","EQ","334.70","343.75","331.00","335.55","340.50","341.10","337.94","1,544.00","227.40","5,31,669","17,96,70,049.00","20,674"
"06-Aug-2025","EQ","340.95","343.30","329.05","338.60","336.05","335.55","336.63","1,544.00","227.40","4,07,509","13,71,80,775.65","12,555"
"05-Aug-2025","EQ","337.50","346.50","334.00","330.00","340.00","338.60","341.86","1,544.00","227.40","9,81,872","33,56,59,124.60","19,236"
"04-Aug-2025","EQ","317.90","330.00","315.00","314.30","330.00","330.00","324.93","1,544.00","227.40","4,57,260","14,85,76,791.70","12,801"
"01-Aug-2025","EQ","312.60","318.40","307.55","312.80","315.00","314.30","313.92","1,544.00","227.40","4,65,014","14,59,76,341.10","13,305"
"31-Jul-2025","EQ","300.50","316.00","300.00","307.40","314.35","312.80","311.43","1,544.00","227.40","4,81,576","14,99,76,188.90","20,433"
"30-Jul-2025","EQ","310.10","316.50","306.00","321.70","307.25","307.40","309.89","1,544.00","227.40","16,75,525","51,92,32,774.50","25,592"
"29-Jul-2025","EQ","331.00","334.80","321.70","338.60","321.70","321.70","324.72","1,544.00","227.40","8,01,372","26,02,17,920.30","20,459"
"28-Jul-2025","EQ","340.00","341.00","333.25","340.10","339.05","338.60","338.25","1,544.00","227.40","3,45,890","11,69,95,829.85","11,050"
"25-Jul-2025","EQ","347.80","348.20","338.65","345.95","340.00","340.10","342.35","1,544.00","227.40","3,90,575","13,37,11,804.30","10,752"
"24-Jul-2025","EQ","358.25","358.25","344.00","354.45","345.00","345.95","349.03","1,544.00","227.40","3,78,411","13,20,75,293.65","12,802"
"23-Jul-2025","EQ","363.20","367.00","348.00","362.50","351.90","354.45","358.45","1,544.00","227.40","5,52,826","19,81,62,184.20","21,188"
