ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","899.00","899.00","855.00","835.70","871.10","871.80","870.21","5,124.80","751.30","13,03,572","1,13,43,80,476.35","52,015"
"12-Aug-2025","EQ","839.00","852.00","832.40","835.05","839.10","835.70","841.07","5,124.80","751.30","3,07,103","25,82,95,661.05","19,044"
"11-Aug-2025","EQ","831.35","839.30","815.00","831.35","835.50","835.05","831.52","5,124.80","751.30","3,43,859","28,59,25,075.50","20,591"
"08-Aug-2025","EQ","859.00","866.95","824.60","871.50","835.00","831.35","847.80","5,124.80","751.30","9,50,529","80,58,62,122.85","46,476"
"07-Aug-2025","EQ","780.00","906.45","776.00","787.15","859.00","871.50","852.19","5,124.80","751.30","38,07,138","3,24,44,01,313.05","1,36,725"
"06-Aug-2025","EQ","821.00","823.80","781.10","820.25","788.00","787.15","796.24","5,124.80","751.30","10,62,033","84,56,29,898.80","55,583"
"05-Aug-2025","EQ","826.00","834.80","815.00","825.55","818.50","820.25","825.17","5,124.80","751.30","6,65,530","54,91,77,760.15","30,905"
"04-Aug-2025","EQ","864.00","866.00","821.50","893.25","827.50","825.55","834.59","5,124.80","751.30","15,79,080","1,31,78,89,422.00","76,276"
"01-Aug-2025","EQ","899.00","915.00","889.00","891.50","898.00","893.25","901.36","5,124.80","751.30","4,35,523","39,25,63,565.55","27,023"
"31-Jul-2025","EQ","888.05","904.00","888.05","906.70","894.00","891.50","895.80","5,124.80","751.30","2,22,355","19,91,84,566.85","16,596"
"30-Jul-2025","EQ","894.00","919.70","876.10","890.65","906.95","906.70","900.32","5,124.80","751.30","4,62,818","41,66,83,018.30","27,383"
"29-Jul-2025","EQ","873.85","895.50","859.25","874.90","895.00","890.65","873.82","5,124.80","751.30","3,42,548","29,93,25,025.25","22,537"
"28-Jul-2025","EQ","901.50","902.90","861.15","902.95","875.00","874.90","873.93","5,124.80","751.30","7,00,883","61,25,25,938.15","35,989"
"25-Jul-2025","EQ","918.00","918.30","890.10","916.90","898.00","902.95","905.78","5,124.80","751.30","5,03,006","45,56,11,761.10","16,092"
"24-Jul-2025","EQ","917.65","922.00","904.45","917.65","917.30","916.90","914.10","5,124.80","751.30","3,41,336","31,20,15,476.05","18,909"
"23-Jul-2025","EQ","909.05","920.25","909.05","916.00","918.00","917.65","917.14","5,124.80","751.30","1,86,084","17,06,64,523.35","11,301"
"22-Jul-2025","EQ","921.00","929.00","914.45","921.45","917.25","916.00","919.42","5,124.80","751.30","2,58,636","23,77,94,034.55","12,850"
"21-Jul-2025","EQ","920.00","929.25","916.00","919.60","925.40","921.45","922.19","5,124.80","751.30","2,08,972","19,27,11,687.60","12,482"
"18-Jul-2025","EQ","931.80","933.00","917.00","927.35","919.00","919.60","922.21","5,124.80","751.30","2,03,494","18,76,64,861.35","12,228"
"17-Jul-2025","EQ","937.80","938.10","923.95","935.90","931.00","927.35","930.79","5,124.80","751.30","2,37,226","22,08,07,494.40","10,141"
"16-Jul-2025","EQ","941.95","945.90","929.45","937.65","937.15","935.90","935.97","5,124.80","751.30","3,02,545","28,31,72,035.55","18,621"
"15-Jul-2025","EQ","911.90","946.00","911.90","911.65","936.00","937.65","928.63","5,124.80","751.30","5,38,597","50,01,59,355.25","25,439"
"14-Jul-2025","EQ","920.40","920.50","903.70","919.40","914.90","911.65","910.56","5,124.80","751.30","3,84,745","35,03,32,496.45","20,159"
"11-Jul-2025","EQ","928.40","930.00","913.05","928.40","918.00","919.40","918.87","5,124.80","751.30","3,09,093","28,40,16,533.30","18,749"
"10-Jul-2025","EQ","934.00","935.00","920.70","930.30","930.00","928.40","926.62","5,124.80","751.30","1,90,469","17,64,91,734.90","10,855"
"09-Jul-2025","EQ","921.00","943.90","916.00","915.20","933.00","930.30","931.88","5,124.80","751.30","4,35,779","40,60,95,584.90","22,367"
"08-Jul-2025","EQ","929.95","934.95","906.90","927.20","915.90","915.20","916.95","5,124.80","751.30","4,28,718","39,31,11,154.75","26,954"
"07-Jul-2025","EQ","940.00","944.85","925.00","936.95","927.80","927.20","934.14","5,124.80","751.30","3,31,390","30,95,65,640.95","17,174"
"04-Jul-2025","EQ","945.00","947.50","935.00","943.20","936.00","936.95","939.04","5,124.80","751.30","3,31,509","31,12,99,028.40","13,142"
"03-Jul-2025","EQ","956.75","959.75","940.00","944.15","944.95","943.20","946.07","5,124.80","751.30","4,82,624","45,65,95,586.35","18,308"
"02-Jul-2025","EQ","957.10","962.40","940.50","954.75","944.45","944.15","946.46","5,124.80","751.30","3,22,032","30,47,89,637.25","14,943"
"01-Jul-2025","EQ","958.00","979.00","946.60","944.65","956.45","954.75","960.28","5,124.80","751.30","7,28,497","69,95,63,684.55","28,752"
"30-Jun-2025","EQ","949.20","958.50","943.00","949.00","944.80","944.65","949.09","5,124.80","751.30","4,21,929","40,04,49,182.55","19,232"
"27-Jun-2025","EQ","957.50","964.50","947.95","951.15","949.20","949.00","952.93","5,124.80","751.30","3,89,281","37,09,57,082.05","17,106"
"26-Jun-2025","EQ","963.70","966.70","950.00","959.00","951.50","951.15","954.08","5,124.80","751.30","3,27,538","31,24,97,782.15","15,375"
"25-Jun-2025","EQ","962.00","975.55","956.00","958.95","962.90","959.00","961.70","5,124.80","751.30","3,85,177","37,04,23,470.80","20,115"
"24-Jun-2025","EQ","971.00","984.00","955.35","956.85","961.95","958.95","967.37","5,124.80","751.30","5,29,174","51,19,05,255.75","23,355"
"23-Jun-2025","EQ","949.95","972.40","948.00","964.95","957.00","956.85","960.98","5,124.80","751.30","4,55,159","43,74,00,665.55","22,883"
"20-Jun-2025","EQ","940.00","982.50","940.00","954.25","968.00","964.95","967.65","5,124.80","751.30","8,39,616","81,24,52,032.10","36,677"
"19-Jun-2025","EQ","1,002.00","1,005.60","943.20","1,005.95","951.90","954.25","969.68","5,124.80","751.30","11,07,582","1,07,40,05,191.35","54,188"
"18-Jun-2025","EQ","1,004.95","1,026.95","991.15","1,008.60","1,002.00","1,005.95","1,004.51","5,124.80","751.30","7,84,170","78,77,05,194.55","35,750"
"17-Jun-2025","EQ","1,003.30","1,049.00","987.30","995.65","1,009.40","1,008.60","1,021.08","5,124.80","751.30","19,44,060","1,98,50,45,592.60","72,301"
"16-Jun-2025","EQ","980.00","1,005.00","940.15","978.50","997.00","995.65","975.81","5,124.80","751.30","10,86,478","1,06,02,01,211.00","44,236"
"13-Jun-2025","EQ","957.00","992.00","956.90","992.10","981.00","978.50","974.88","5,124.80","751.30","9,05,625","88,28,75,847.75","35,970"
"12-Jun-2025","EQ","970.60","1,009.75","956.00","964.80","993.00","992.10","993.89","5,124.80","751.30","19,10,887","1,89,92,14,134.90","66,660"
"11-Jun-2025","EQ","976.65","993.70","957.15","976.65","963.90","964.80","971.59","5,124.80","751.30","7,84,998","76,26,94,559.40","33,559"
"10-Jun-2025","EQ","1,025.00","1,029.90","971.40","1,006.65","978.00","976.65","988.69","5,124.80","751.30","10,79,697","1,06,74,87,156.35","39,554"
"09-Jun-2025","EQ","975.00","1,015.95","964.00","939.80","1,014.80","1,006.65","995.08","5,124.80","751.30","24,69,673","2,45,75,22,879.95","77,310"
"06-Jun-2025","EQ","899.00","945.00","890.05","890.90","943.00","939.80","928.61","5,124.80","751.30","21,11,146","1,96,04,37,447.90","70,972"
"05-Jun-2025","EQ","881.35","895.00","879.10","876.80","891.00","890.90","888.23","5,124.80","751.30","4,48,306","39,81,98,793.50","18,315"
"04-Jun-2025","EQ","880.00","892.80","873.25","872.65","877.40","876.80","881.22","5,124.80","751.30","2,95,379","26,02,93,005.45","17,420"
