ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","3,136.90","3,192.00","3,102.20","3,135.10","3,150.00","3,150.70","3,147.24","3,409.00","2,450.00","3,05,836","96,25,40,044.40","24,454"
"12-Aug-2025","EQ","3,114.80","3,200.00","3,085.10","3,114.80","3,129.20","3,135.10","3,140.49","3,409.00","2,450.00","6,97,711","2,19,11,53,340.80","58,184"
"11-Aug-2025","EQ","3,020.00","3,138.70","2,925.00","3,031.80","3,113.70","3,114.80","3,069.28","3,409.00","2,450.00","11,02,245","3,38,31,00,397.40","1,01,830"
"08-Aug-2025","EQ","3,147.00","3,147.00","3,023.00","3,117.00","3,030.00","3,031.80","3,089.65","3,409.00","2,450.00","2,63,161","81,30,74,861.30","29,872"
"07-Aug-2025","EQ","3,079.00","3,128.50","3,051.00","3,083.90","3,120.90","3,117.00","3,088.36","3,409.00","2,450.00","4,57,545","1,41,30,63,569.80","35,246"
"06-Aug-2025","EQ","3,100.00","3,114.00","3,057.00","3,081.00","3,083.00","3,083.90","3,090.92","3,409.00","2,450.00","3,92,854","1,21,42,80,280.60","35,206"
"05-Aug-2025","EQ","3,029.90","3,090.10","3,006.20","2,993.60","3,084.90","3,081.00","3,046.52","3,409.00","2,450.00","7,72,626","2,35,38,22,353.20","58,403"
"04-Aug-2025","EQ","3,000.00","3,009.00","2,928.50","3,023.60","3,003.00","2,993.60","2,971.80","3,409.00","2,450.00","4,78,003","1,42,05,27,520.10","45,530"
"01-Aug-2025","EQ","3,050.00","3,050.00","2,998.00","3,033.40","3,004.90","3,023.60","3,021.67","3,409.00","2,450.00","2,81,885","85,17,62,300.10","23,490"
"31-Jul-2025","EQ","3,010.00","3,059.30","3,005.00","3,071.40","3,035.00","3,033.40","3,033.59","3,409.00","2,450.00","2,99,015","90,70,89,483.20","26,875"
"30-Jul-2025","EQ","3,068.00","3,079.50","3,020.00","3,068.00","3,068.10","3,071.40","3,058.36","3,409.00","2,450.00","3,10,945","95,09,81,246.20","26,577"
"29-Jul-2025","EQ","3,053.50","3,088.70","3,034.60","3,061.60","3,061.30","3,068.00","3,060.82","3,409.00","2,450.00","2,55,592","78,23,22,177.00","24,365"
"28-Jul-2025","EQ","3,040.00","3,077.00","3,016.50","3,038.20","3,060.00","3,061.60","3,055.45","3,409.00","2,450.00","3,98,906","1,21,88,37,456.00","32,220"
"25-Jul-2025","EQ","3,129.00","3,130.00","3,030.20","3,129.00","3,035.40","3,038.20","3,072.76","3,409.00","2,450.00","2,46,680","75,79,88,696.70","27,759"
"24-Jul-2025","EQ","3,143.00","3,143.00","3,101.10","3,143.10","3,121.80","3,129.00","3,120.33","3,409.00","2,450.00","2,95,195","92,11,07,020.10","30,777"
"23-Jul-2025","EQ","3,145.00","3,162.00","3,111.80","3,141.80","3,141.50","3,143.10","3,131.33","3,409.00","2,450.00","2,05,688","64,40,76,865.30","20,825"
"22-Jul-2025","EQ","3,160.00","3,163.80","3,120.90","3,154.80","3,134.40","3,141.80","3,141.93","3,409.00","2,450.00","3,48,800","1,09,59,06,560.90","33,912"
"21-Jul-2025","EQ","3,125.00","3,159.80","3,098.00","3,128.40","3,155.50","3,154.80","3,141.24","3,409.00","2,450.00","2,57,721","80,95,62,917.50","24,260"
"18-Jul-2025","EQ","3,110.30","3,150.00","3,105.00","3,110.30","3,118.90","3,128.40","3,131.55","3,409.00","2,450.00","4,62,228","1,44,74,88,273.60","39,978"
"17-Jul-2025","EQ","3,081.10","3,134.60","3,038.50","3,089.30","3,105.70","3,110.30","3,091.45","3,409.00","2,450.00","9,91,736","3,06,59,05,807.10","75,338"
"16-Jul-2025","EQ","3,123.00","3,140.00","3,080.00","3,146.80","3,085.00","3,089.30","3,098.74","3,409.00","2,450.00","6,24,769","1,93,59,95,857.20","54,389"
"15-Jul-2025","EQ","3,148.10","3,161.70","3,113.50","3,152.60","3,147.10","3,146.80","3,140.78","3,409.00","2,450.00","3,61,397","1,13,50,66,749.40","36,955"
"14-Jul-2025","EQ","3,139.00","3,164.00","3,065.00","3,117.70","3,150.00","3,152.60","3,123.09","3,409.00","2,450.00","5,88,779","1,83,88,07,748.10","52,827"
"11-Jul-2025","EQ","3,178.00","3,190.30","3,105.10","3,191.60","3,110.00","3,117.70","3,130.71","3,409.00","2,450.00","3,70,986","1,16,14,51,060.90","39,167"
"10-Jul-2025","EQ","3,227.00","3,228.00","3,167.00","3,218.30","3,189.00","3,191.60","3,192.15","3,409.00","2,450.00","3,54,856","1,13,27,52,905.60","42,573"
"09-Jul-2025","EQ","3,292.40","3,303.00","3,213.00","3,296.80","3,227.00","3,218.30","3,245.58","3,409.00","2,450.00","4,58,107","1,48,68,23,320.90","35,409"
"08-Jul-2025","EQ","3,295.00","3,354.90","3,275.30","3,278.20","3,291.10","3,296.80","3,308.50","3,409.00","2,450.00","5,49,860","1,81,92,13,845.50","38,979"
"07-Jul-2025","EQ","3,290.00","3,307.50","3,250.00","3,292.40","3,285.00","3,278.20","3,279.15","3,409.00","2,450.00","4,39,627","1,44,16,02,617.80","38,864"
"04-Jul-2025","EQ","3,320.00","3,320.00","3,237.00","3,311.70","3,294.90","3,292.40","3,274.72","3,409.00","2,450.00","5,04,152","1,65,09,55,039.30","40,312"
"03-Jul-2025","EQ","3,290.00","3,326.90","3,285.00","3,287.70","3,310.30","3,311.70","3,308.99","3,409.00","2,450.00","4,96,857","1,64,40,93,197.60","46,369"
"02-Jul-2025","EQ","3,339.00","3,365.00","3,267.00","3,323.10","3,286.20","3,287.70","3,316.70","3,409.00","2,450.00","5,92,322","1,96,45,55,964.20","51,286"
"01-Jul-2025","EQ","3,272.00","3,378.80","3,260.00","3,251.50","3,345.00","3,323.10","3,335.19","3,409.00","2,450.00","14,45,646","4,82,15,08,903.50","98,029"
"30-Jun-2025","EQ","3,204.80","3,298.70","3,196.20","3,178.40","3,259.00","3,251.50","3,259.67","3,409.00","2,450.00","8,80,507","2,87,01,61,634.80","72,466"
"27-Jun-2025","EQ","3,184.00","3,271.90","3,165.00","3,164.90","3,199.00","3,178.40","3,214.46","3,409.00","2,450.00","20,52,948","6,59,91,27,181.40","1,34,526"
"26-Jun-2025","EQ","3,158.00","3,175.00","3,121.50","3,149.10","3,171.00","3,164.90","3,150.53","3,409.00","2,450.00","5,01,325","1,57,94,39,606.50","43,210"
"25-Jun-2025","EQ","3,187.00","3,190.00","3,101.10","3,159.80","3,149.70","3,149.10","3,130.23","3,409.00","2,450.00","8,45,690","2,64,72,04,912.10","52,066"
"24-Jun-2025","EQ","3,109.00","3,230.00","3,109.00","3,091.60","3,155.00","3,159.80","3,179.42","3,409.00","2,450.00","11,87,970","3,77,70,53,668.60","79,351"
