ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","4,482.60","4,526.00","4,453.10","4,482.60","4,500.00","4,503.10","4,484.00","5,580.00","3,541.00","15,826","7,09,63,736.10","4,762"
"12-Aug-2025","EQ","4,488.00","4,500.00","4,432.00","4,458.40","4,490.00","4,482.60","4,466.34","5,580.00","3,541.00","28,103","12,55,17,529.30","9,673"
"11-Aug-2025","EQ","4,492.90","4,492.90","4,408.20","4,492.90","4,450.30","4,458.40","4,456.24","5,580.00","3,541.00","32,899","14,66,05,883.80","7,946"
"08-Aug-2025","EQ","4,568.10","4,598.00","4,468.90","4,566.50","4,499.00","4,492.90","4,509.25","5,580.00","3,541.00","47,979","21,63,49,271.40","7,445"
"07-Aug-2025","EQ","4,620.00","4,674.20","4,525.20","4,794.20","4,570.00","4,566.50","4,578.45","5,580.00","3,541.00","71,043","32,52,66,881.90","16,503"
"06-Aug-2025","EQ","4,839.70","4,845.00","4,765.60","4,791.90","4,800.00","4,794.20","4,792.53","5,580.00","3,541.00","12,601","6,03,90,666.40","3,252"
"05-Aug-2025","EQ","4,807.40","4,832.50","4,768.50","4,783.60","4,783.80","4,791.90","4,791.88","5,580.00","3,541.00","8,788","4,21,11,028.80","2,573"
"04-Aug-2025","EQ","4,811.00","4,814.60","4,754.00","4,837.00","4,780.00","4,783.60","4,786.11","5,580.00","3,541.00","32,645","15,62,42,534.90","5,151"
"01-Aug-2025","EQ","4,920.00","4,920.00","4,801.50","4,900.60","4,810.00","4,837.00","4,861.06","5,738.00","3,541.00","19,901","9,67,39,922.00","4,332"
"31-Jul-2025","EQ","4,888.00","4,939.80","4,836.20","4,905.90","4,900.00","4,900.60","4,897.85","5,738.00","3,541.00","18,292","8,95,91,502.60","3,923"
"30-Jul-2025","EQ","4,818.00","4,930.60","4,818.00","4,842.40","4,915.00","4,905.90","4,902.91","5,738.00","3,541.00","19,049","9,33,95,521.90","3,973"
"29-Jul-2025","EQ","4,824.60","4,864.90","4,742.00","4,824.60","4,830.00","4,842.40","4,811.06","5,738.00","3,541.00","21,756","10,46,69,402.10","4,844"
"28-Jul-2025","EQ","4,915.00","4,915.00","4,764.20","4,915.80","4,830.00","4,824.60","4,844.76","5,738.00","3,541.00","35,613","17,25,36,340.60","8,109"
"25-Jul-2025","EQ","4,995.30","4,995.30","4,862.50","4,995.30","4,900.00","4,915.80","4,928.10","5,768.90","3,541.00","30,813","15,18,49,699.00","8,238"
"24-Jul-2025","EQ","4,985.00","5,025.00","4,961.20","4,999.20","4,988.60","4,995.30","4,993.09","5,768.90","3,541.00","27,511","13,73,64,877.70","6,820"
"23-Jul-2025","EQ","4,964.80","5,010.00","4,936.60","4,958.00","5,003.00","4,999.20","4,978.38","5,768.90","3,541.00","27,420","13,65,07,310.20","5,484"
"22-Jul-2025","EQ","4,938.50","4,979.00","4,934.00","4,966.10","4,950.00","4,958.00","4,953.59","5,768.90","3,541.00","12,447","6,16,57,396.10","2,780"
"21-Jul-2025","EQ","4,970.00","4,978.90","4,917.00","4,965.00","4,965.00","4,966.10","4,950.91","5,768.90","3,541.00","20,480","10,13,94,626.40","3,921"
"18-Jul-2025","EQ","4,950.00","4,996.00","4,917.20","4,949.50","4,951.00","4,965.00","4,960.74","6,002.35","3,541.00","36,267","17,99,11,047.90","6,558"
"17-Jul-2025","EQ","4,840.00","4,969.90","4,835.50","4,819.80","4,951.00","4,949.50","4,927.84","6,002.35","3,541.00","33,460","16,48,85,397.90","7,120"
"16-Jul-2025","EQ","4,872.70","4,908.00","4,811.20","4,872.70","4,820.20","4,819.80","4,853.48","6,002.35","3,541.00","30,505","14,80,55,500.30","6,991"
"15-Jul-2025","EQ","4,878.00","4,912.40","4,835.00","4,841.60","4,867.50","4,872.70","4,870.03","6,002.35","3,541.00","19,531","9,51,16,618.40","4,639"
