ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","510.25","510.70","495.95","512.90","502.00","503.20","501.10","665.00","342.50","5,05,815","25,34,62,560.95","19,605"
"11-Aug-2025","EQ","502.95","515.00","493.35","503.20","510.50","512.90","507.26","665.00","342.50","4,18,584","21,23,32,652.45","16,083"
"08-Aug-2025","EQ","517.65","517.95","500.00","514.40","501.75","503.20","505.54","665.00","342.50","4,93,969","24,97,19,928.25","17,268"
"07-Aug-2025","EQ","508.35","518.00","496.15","508.35","517.00","514.40","511.54","665.00","342.50","8,32,920","42,60,73,038.95","26,341"
"06-Aug-2025","EQ","529.20","529.90","502.00","527.20","509.00","508.35","510.49","665.00","342.50","8,94,700","45,67,36,975.80","26,879"
"05-Aug-2025","EQ","525.00","564.70","513.85","524.40","526.00","527.20","539.09","665.00","342.50","50,43,259","2,71,87,82,312.95","1,06,933"
"04-Aug-2025","EQ","523.95","534.35","515.25","516.25","523.50","524.40","524.03","665.00","342.50","13,66,744","71,62,15,456.95","34,717"
"01-Aug-2025","EQ","496.45","548.00","491.30","485.65","515.80","516.25","529.08","665.00","342.50","1,45,75,406","7,71,14,91,056.20","2,55,653"
"31-Jul-2025","EQ","479.70","508.95","479.00","485.30","489.90","485.65","495.38","665.00","342.50","16,27,267","80,61,14,083.25","61,015"
"30-Jul-2025","EQ","484.00","493.00","481.05","479.70","485.30","485.30","487.04","665.00","342.50","3,37,385","16,43,20,555.95","13,275"
"29-Jul-2025","EQ","450.00","484.75","446.60","452.10","483.90","479.70","467.08","665.00","342.50","4,84,351","22,62,31,023.15","17,595"
"28-Jul-2025","EQ","460.00","464.65","450.00","458.15","452.10","452.10","456.33","665.00","342.50","2,95,660","13,49,18,803.00","13,469"
"25-Jul-2025","EQ","469.90","471.15","456.00","470.70","457.50","458.15","462.54","665.00","323.05","2,91,692","13,49,19,199.35","12,861"
"24-Jul-2025","EQ","477.00","477.50","469.10","475.80","470.00","470.70","473.36","665.00","323.05","2,64,143","12,50,33,780.40","10,298"
"23-Jul-2025","EQ","480.90","482.90","474.05","479.55","476.95","475.80","477.67","665.00","323.05","1,84,921","8,83,31,985.45","11,614"
"22-Jul-2025","EQ","482.10","485.75","476.50","481.05","479.50","479.55","480.19","665.00","323.05","1,82,111","8,74,48,399.80","7,560"
"21-Jul-2025","EQ","491.00","492.40","480.10","491.20","482.00","481.05","484.16","665.00","323.05","2,68,785","13,01,34,596.15","9,749"
"18-Jul-2025","EQ","502.45","505.00","489.80","501.40","490.85","491.20","497.18","665.00","323.05","2,12,561","10,56,81,020.80","9,957"
"17-Jul-2025","EQ","496.95","504.40","494.50","495.05","502.50","501.40","500.70","665.00","323.05","3,68,685","18,45,99,965.65","15,676"
