ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","246.30","248.90","244.55","245.25","248.65","246.65","246.18","638.00","193.00","68,306","1,68,15,887.80","3,006"
"12-Aug-2025","EQ","245.05","250.50","244.10","247.00","246.00","245.25","247.93","638.00","193.00","1,08,352","2,68,63,755.45","5,005"
"11-Aug-2025","EQ","246.60","249.40","242.45","244.65","248.10","247.00","245.65","638.00","193.00","1,42,599","3,50,29,626.10","5,537"
"08-Aug-2025","EQ","251.05","260.00","242.55","253.20","244.00","244.65","248.54","647.30","193.00","1,71,042","4,25,10,208.00","6,085"
"07-Aug-2025","EQ","242.10","255.00","242.00","242.10","253.00","253.20","248.91","647.30","193.00","2,58,024","6,42,24,993.25","6,658"
"06-Aug-2025","EQ","249.80","251.50","234.00","251.00","242.50","242.10","242.13","647.30","193.00","4,17,433","10,10,72,803.60","16,534"
"05-Aug-2025","EQ","258.00","259.30","250.20","255.00","251.00","251.00","253.21","647.30","193.00","1,51,815","3,84,40,385.05","5,486"
"04-Aug-2025","EQ","258.05","259.70","253.00","259.50","256.95","255.00","255.87","647.30","193.00","2,33,221","5,96,74,058.95","8,181"
"01-Aug-2025","EQ","267.00","271.40","257.00","270.20","259.00","259.50","263.97","690.00","193.00","3,13,454","8,27,41,980.45","8,480"
"31-Jul-2025","EQ","270.00","273.75","268.55","271.75","269.90","270.20","271.04","690.00","193.00","83,781","2,27,07,644.80","3,692"
"30-Jul-2025","EQ","271.95","276.80","269.25","269.25","271.95","271.75","272.44","690.00","193.00","1,06,231","2,89,41,370.10","3,498"
"29-Jul-2025","EQ","269.05","274.05","265.65","271.25","272.75","269.25","269.18","690.00","193.00","3,26,591","8,79,11,256.85","8,354"
"28-Jul-2025","EQ","275.90","277.70","269.00","273.75","271.80","271.25","273.51","690.00","193.00","1,67,958","4,59,37,938.75","5,323"
"25-Jul-2025","EQ","286.10","286.45","270.75","286.45","274.05","273.75","277.75","722.70","193.00","3,05,953","8,49,79,130.20","14,596"
"24-Jul-2025","EQ","289.00","289.00","284.15","306.65","285.90","286.45","286.32","722.70","193.00","4,24,053","12,14,13,985.25","10,860"
"23-Jul-2025","EQ","308.00","309.65","295.60","304.20","306.25","306.65","301.95","722.70","193.00","4,63,608","13,99,87,647.20","15,480"
"22-Jul-2025","EQ","309.00","310.50","300.65","305.20","305.10","304.20","306.18","722.70","193.00","3,25,903","9,97,83,722.40","11,370"
"21-Jul-2025","EQ","306.95","310.00","294.75","306.25","305.00","305.20","302.29","722.70","193.00","4,56,442","13,79,78,736.55","14,579"
"18-Jul-2025","EQ","306.80","309.00","305.10","306.50","305.60","306.25","305.98","741.70","193.00","2,18,546","6,68,71,368.00","5,841"
"17-Jul-2025","EQ","306.60","309.45","303.15","305.45","306.80","306.50","306.87","741.70","193.00","3,16,692","9,71,82,175.85","10,109"
"16-Jul-2025","EQ","312.40","314.70","304.00","318.45","305.05","305.45","308.74","741.70","193.00","7,11,630","21,97,07,026.70","21,880"
"15-Jul-2025","EQ","300.30","321.60","296.20","294.70","319.00","318.45","314.25","741.70","193.00","26,44,580","83,10,59,826.85","55,365"
"14-Jul-2025","EQ","281.55","298.25","276.00","280.35","295.30","294.70","291.36","741.70","193.00","9,00,503","26,23,73,188.60","19,133"
"11-Jul-2025","EQ","280.05","282.90","276.05","279.20","280.00","280.35","279.58","750.00","193.00","1,35,916","3,79,98,765.65","3,989"
"10-Jul-2025","EQ","281.00","281.85","278.00","280.45","279.80","279.20","279.22","750.00","193.00","71,961","2,00,92,614.25","3,529"
"09-Jul-2025","EQ","280.45","287.00","278.00","278.65","280.85","280.45","280.36","750.00","193.00","73,754","2,06,77,665.70","2,528"
