ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","141.90","143.40","141.38","141.90","142.80","142.28","142.15","241.00","109.30","1,93,743","2,75,39,683.62","4,367"
"12-Aug-2025","EQ","142.65","143.80","141.10","142.41","141.90","141.90","142.26","241.00","109.30","1,25,329","1,78,28,961.12","3,139"
"11-Aug-2025","EQ","143.30","143.50","139.00","142.61","141.60","142.41","142.07","241.00","109.30","6,52,596","9,27,16,406.90","20,169"
"08-Aug-2025","EQ","145.90","145.95","141.30","145.96","142.20","142.61","143.75","241.00","109.30","1,39,366","2,00,33,847.46","3,682"
"07-Aug-2025","EQ","140.00","147.65","138.00","140.50","146.01","145.96","143.33","241.00","109.30","3,70,339","5,30,80,191.48","8,837"
"06-Aug-2025","EQ","145.73","145.73","140.01","145.73","140.10","140.50","141.69","241.00","109.30","3,34,914","4,74,54,199.04","6,546"
"05-Aug-2025","EQ","148.00","149.77","145.00","148.61","145.36","145.73","146.53","241.00","109.30","2,37,541","3,48,06,671.65","4,940"
"04-Aug-2025","EQ","149.83","151.65","146.69","149.84","148.30","148.61","148.47","241.00","109.30","2,49,563","3,70,53,131.18","6,673"
"01-Aug-2025","EQ","150.00","153.99","148.51","150.54","148.93","149.84","151.46","241.00","109.30","3,07,014","4,65,00,090.66","5,714"
"31-Jul-2025","EQ","149.80","152.00","149.10","151.93","150.50","150.54","150.45","241.00","109.30","1,52,211","2,29,00,301.04","4,043"
"30-Jul-2025","EQ","153.50","154.35","150.97","153.53","151.60","151.93","152.13","241.00","109.30","1,96,001","2,98,18,499.48","4,268"
"29-Jul-2025","EQ","149.65","154.25","148.10","149.97","153.93","153.53","152.07","241.00","109.30","2,50,578","3,81,05,775.72","6,112"
"28-Jul-2025","EQ","151.65","153.80","148.50","151.66","149.35","149.97","150.88","241.00","109.30","2,16,762","3,27,05,334.56","5,998"
"25-Jul-2025","EQ","154.50","154.86","151.24","154.45","151.70","151.66","152.59","241.00","109.30","2,50,275","3,81,89,918.46","5,168"
"24-Jul-2025","EQ","155.92","156.99","153.90","155.92","154.30","154.45","154.87","241.00","109.30","2,88,607","4,46,95,285.06","5,113"
"23-Jul-2025","EQ","158.80","159.58","155.50","157.46","156.00","155.92","156.66","241.00","109.30","2,33,168","3,65,27,561.25","5,116"
"22-Jul-2025","EQ","160.87","162.87","156.80","160.87","157.50","157.46","159.11","241.00","109.30","3,44,997","5,48,92,745.29","6,860"
"21-Jul-2025","EQ","161.00","163.20","159.22","161.03","161.90","160.87","161.13","241.00","109.30","4,34,680","7,00,41,834.03","7,211"
