ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","445.00","450.00","441.60","444.85","443.95","444.75","445.56","647.00","327.30","23,51,468","1,04,77,10,484.05","29,032"
"12-Aug-2025","EQ","437.50","446.10","434.00","435.25","445.20","444.85","440.85","647.00","327.30","4,19,399","18,48,91,185.35","13,730"
"11-Aug-2025","EQ","435.05","440.60","433.10","434.90","434.70","435.25","436.68","647.00","327.30","3,05,005","13,31,90,805.45","17,628"
"08-Aug-2025","EQ","430.05","438.00","430.05","432.70","432.20","434.90","433.67","647.00","327.30","4,63,941","20,11,95,742.60","13,097"
"07-Aug-2025","EQ","430.90","436.90","425.60","430.90","432.50","432.70","432.20","647.00","327.30","6,06,853","26,22,83,748.45","21,936"
"06-Aug-2025","EQ","432.60","436.50","425.90","432.90","432.80","430.90","431.54","647.00","327.30","4,15,517","17,93,10,170.30","16,303"
"05-Aug-2025","EQ","435.30","439.60","428.00","435.30","432.55","432.90","432.14","647.00","327.30","5,02,670","21,72,22,613.25","27,916"
"04-Aug-2025","EQ","435.55","438.55","421.25","435.55","434.25","435.30","427.35","647.00","327.30","12,91,147","55,17,77,737.55","28,427"
"01-Aug-2025","EQ","443.90","443.90","431.30","444.65","437.55","435.55","436.51","647.00","327.30","5,67,692","24,78,05,455.65","21,389"
"31-Jul-2025","EQ","440.95","450.00","438.05","447.80","442.00","444.65","444.97","647.00","327.30","5,69,913","25,35,94,765.80","19,140"
"30-Jul-2025","EQ","425.00","450.90","421.50","426.75","446.15","447.80","437.23","647.00","327.30","43,26,599","1,89,17,11,224.05","1,00,389"
"29-Jul-2025","EQ","420.20","429.35","418.10","423.60","425.60","426.75","423.89","647.00","327.30","4,93,744","20,92,94,792.15","17,075"
"28-Jul-2025","EQ","423.15","426.45","418.40","425.10","421.60","423.60","422.98","647.00","327.30","5,43,682","22,99,67,703.45","20,195"
"25-Jul-2025","EQ","430.40","442.50","422.80","430.40","426.90","425.10","425.93","647.00","327.30","3,78,053","16,10,23,482.95","16,182"
"24-Jul-2025","EQ","445.80","445.80","428.00","442.45","429.80","430.40","433.95","647.00","327.30","4,26,889","18,52,49,905.15","19,588"
"23-Jul-2025","EQ","447.00","448.20","440.00","444.20","441.30","442.45","442.97","647.00","327.30","3,87,045","17,14,47,799.00","14,319"
"22-Jul-2025","EQ","441.60","447.00","436.00","442.40","447.00","444.20","441.75","647.00","327.30","4,34,478","19,19,31,226.05","14,254"
"21-Jul-2025","EQ","433.50","444.00","429.60","433.40","441.60","442.40","438.46","647.00","327.30","5,47,157","23,99,06,534.50","28,198"
"18-Jul-2025","EQ","435.50","438.10","431.00","434.00","431.00","433.40","434.90","647.00","327.30","2,86,362","12,45,38,703.80","12,399"
"17-Jul-2025","EQ","440.00","441.70","432.00","439.50","433.80","434.00","435.75","647.00","327.30","3,81,692","16,63,22,120.10","15,670"
"16-Jul-2025","EQ","430.00","452.00","428.55","428.35","439.50","439.50","443.14","647.00","327.30","15,54,937","68,90,52,216.80","39,417"
"15-Jul-2025","EQ","422.20","430.70","421.05","422.20","429.55","428.35","424.79","647.00","327.30","6,88,544","29,24,83,230.05","14,184"
"14-Jul-2025","EQ","423.95","425.60","419.50","424.80","420.60","422.20","421.98","647.00","327.30","2,77,253","11,69,95,316.30","17,381"
"11-Jul-2025","EQ","424.00","428.00","417.85","427.15","423.00","424.80","422.45","647.00","327.30","4,95,400","20,92,82,623.15","16,331"
"10-Jul-2025","EQ","432.20","436.00","424.60","432.15","427.00","427.15","428.76","647.00","327.30","3,01,784","12,93,91,939.70","15,741"
"09-Jul-2025","EQ","428.00","437.80","425.00","427.70","431.25","432.15","432.67","647.00","327.30","7,05,068","30,50,63,186.65","20,356"
"08-Jul-2025","EQ","422.00","428.40","420.90","422.00","428.00","427.70","425.54","647.00","327.30","4,04,653","17,21,95,384.25","13,798"
"07-Jul-2025","EQ","425.80","425.80","417.55","423.25","422.10","422.00","420.40","647.00","327.30","4,92,117","20,68,85,730.90","10,358"
"04-Jul-2025","EQ","418.85","425.15","416.55","418.90","422.05","423.25","421.82","647.00","327.30","8,24,319","34,77,10,752.00","24,694"
"03-Jul-2025","EQ","417.15","420.45","414.55","419.90","418.95","418.90","417.78","647.00","327.30","8,86,472","37,03,47,572.15","25,427"
"02-Jul-2025","EQ","424.80","426.10","414.10","423.85","420.50","419.90","419.16","647.00","327.30","17,08,031","71,59,43,085.50","42,588"
"01-Jul-2025","EQ","425.00","428.10","412.60","422.70","425.00","423.85","420.65","647.00","327.30","15,97,135","67,18,36,234.80","44,321"
"30-Jun-2025","EQ","423.75","424.85","413.80","418.70","421.00","422.70","419.70","647.00","327.30","30,78,730","1,29,21,36,485.85","51,544"
"27-Jun-2025","EQ","427.55","430.60","417.35","423.60","418.90","418.70","420.99","647.00","327.30","14,18,391","59,71,34,037.90","45,623"
"26-Jun-2025","EQ","438.70","441.75","421.40","430.10","423.20","423.60","427.27","647.00","327.30","15,57,871","66,56,38,580.80","41,430"
"25-Jun-2025","EQ","428.00","442.00","419.05","427.90","428.20","430.10","422.26","647.00","327.30","1,97,89,242","8,35,61,17,846.40","73,582"
"24-Jun-2025","EQ","438.80","438.80","423.40","431.20","427.70","427.90","429.61","647.00","327.30","4,45,172","19,12,52,111.75","19,703"
"23-Jun-2025","EQ","419.00","435.15","417.35","425.75","430.15","431.20","429.91","647.00","327.30","7,98,431","34,32,56,843.65","13,607"
"20-Jun-2025","EQ","428.70","434.40","422.20","428.60","424.50","425.75","426.52","647.00","327.30","8,85,323","37,76,04,889.00","23,445"
"19-Jun-2025","EQ","435.00","436.45","422.90","436.35","424.00","428.60","429.71","647.00","327.30","7,38,034","31,71,40,904.75","19,946"
"18-Jun-2025","EQ","440.15","444.00","432.60","438.10","433.80","436.35","437.78","647.00","327.30","2,79,112","12,21,89,094.45","15,955"
"17-Jun-2025","EQ","452.60","454.50","430.60","450.20","440.25","438.10","438.73","647.00","327.30","9,83,724","43,15,87,510.75","30,143"
"16-Jun-2025","EQ","444.00","453.85","436.00","443.70","450.25","450.20","446.54","647.00","327.30","10,45,355","46,67,89,786.65","34,254"
"13-Jun-2025","EQ","435.20","455.65","435.20","455.35","444.00","443.70","450.48","647.00","327.30","8,43,364","37,99,15,487.95","19,841"
"12-Jun-2025","EQ","463.05","463.05","451.15","463.05","454.00","455.35","457.69","647.00","327.30","3,59,053","16,43,33,434.85","20,734"
"11-Jun-2025","EQ","462.00","464.65","457.80","461.40","461.80","463.05","461.58","647.00","327.30","8,22,257","37,95,35,405.95","27,023"
"10-Jun-2025","EQ","466.85","469.10","453.10","466.70","462.00","461.40","460.00","647.00","327.30","7,26,753","33,43,09,974.60","28,190"
"09-Jun-2025","EQ","471.05","473.70","465.30","470.00","466.85","466.70","468.36","647.00","327.30","8,09,140","37,89,69,134.00","25,822"
"06-Jun-2025","EQ","469.85","470.75","464.45","470.50","470.50","470.00","468.76","647.00","327.30","8,16,434","38,27,11,476.20","26,596"
"05-Jun-2025","EQ","471.25","477.05","467.10","467.10","468.95","470.50","471.37","647.00","327.30","5,07,293","23,91,24,239.60","28,561"
"04-Jun-2025","EQ","472.60","480.30","466.00","472.55","467.00","467.10","471.73","647.00","327.30","5,54,923","26,17,72,347.40","26,168"
"03-Jun-2025","EQ","476.35","481.85","467.05","474.10","473.85","472.55","473.81","647.00","327.30","9,10,758","43,15,28,211.15","48,837"
"02-Jun-2025","EQ","477.60","480.65","470.25","477.65","473.75","474.10","473.98","647.00","327.30","14,74,271","69,87,80,361.90","72,329"
"30-May-2025","EQ","476.00","481.25","473.05","478.75","476.50","477.65","476.53","647.00","327.30","15,63,407","74,50,15,507.95","1,42,174"
"29-May-2025","EQ","476.00","486.00","472.20","476.00","479.15","478.75","478.56","647.00","327.30","13,42,163","64,23,04,231.10","68,182"
"28-May-2025","EQ","466.00","478.70","464.40","465.75","475.85","476.00","472.41","647.00","327.30","12,38,171","58,49,26,794.00","92,841"
"27-May-2025","EQ","465.00","469.90","456.80","463.65","467.00","465.75","462.44","647.00","327.30","10,86,444","50,24,13,984.15","57,033"
"26-May-2025","EQ","463.05","470.00","450.50","463.05","469.00","463.65","457.47","647.00","327.30","13,39,733","61,28,82,995.20","45,128"
"23-May-2025","EQ","444.70","467.00","440.70","447.85","463.00","463.05","455.03","647.00","327.30","18,44,701","83,93,91,990.25","50,388"
"22-May-2025","EQ","436.00","450.95","434.55","437.30","446.80","447.85","443.83","647.00","327.30","16,34,075","72,52,48,144.10","49,183"
"21-May-2025","EQ","433.55","444.80","431.90","436.80","437.95","437.30","438.73","647.00","327.30","12,19,585","53,50,62,487.45","34,420"
"20-May-2025","EQ","442.00","443.05","428.50","445.60","435.30","436.80","433.76","647.00","327.30","28,92,042","1,25,44,47,168.40","48,743"
"19-May-2025","EQ","452.70","453.20","436.60","450.90","447.50","445.60","443.84","647.00","327.30","39,34,880","1,74,64,57,325.15","67,931"
"16-May-2025","EQ","423.95","467.80","415.80","420.10","449.00","450.90","442.52","647.00","327.30","69,79,443","3,08,85,66,952.70","1,06,553"
"15-May-2025","EQ","404.00","423.80","402.60","403.60","421.55","420.10","411.21","647.00","327.30","47,33,869","1,94,66,33,665.45","63,647"
"14-May-2025","EQ","392.00","407.50","385.15","389.40","400.10","403.60","398.73","647.00","327.30","46,24,157","1,84,37,96,522.50","88,084"
"13-May-2025","EQ","376.00","405.60","370.00","373.40","391.35","389.40","389.49","647.00","327.30","61,70,245","2,40,32,41,773.45","1,19,163"
"12-May-2025","EQ","377.70","379.70","367.35","359.70","371.10","373.40","372.69","647.00","327.30","13,46,116","50,16,90,414.20","45,655"
"09-May-2025","EQ","350.00","363.85","349.15","354.95","360.00","359.70","355.89","647.00","327.30","18,12,550","64,50,62,828.25","29,837"
"08-May-2025","EQ","358.90","369.70","352.00","356.90","355.00","354.95","362.82","647.00","327.30","10,13,965","36,78,91,841.10","45,293"
"07-May-2025","EQ","360.00","361.80","348.30","356.10","357.10","356.90","354.64","647.00","327.30","20,62,437","73,14,18,076.75","48,548"
"06-May-2025","EQ","373.00","375.90","354.50","373.15","356.55","356.10","359.97","647.00","327.30","17,09,414","61,53,32,647.20","28,465"
"05-May-2025","EQ","377.45","380.10","370.05","377.50","373.00","373.15","373.46","647.00","327.30","16,67,238","62,26,43,215.70","21,259"
"02-May-2025","EQ","380.25","382.95","366.70","389.80","379.00","377.50","377.92","647.00","327.30","22,73,345","85,91,47,048.60","38,295"
"30-Apr-2025","EQ","375.00","397.50","375.00","398.20","389.00","389.80","388.79","647.00","327.30","44,84,437","1,74,35,13,276.85","84,594"
