ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","826.00","876.60","820.05","816.05","862.00","867.30","852.69","972.00","513.05","5,68,037","48,43,59,058.35","31,346"
"12-Aug-2025","EQ","797.75","824.00","797.00","797.75","816.00","816.05","813.13","972.00","513.05","2,31,070","18,78,89,388.50","11,690"
"11-Aug-2025","EQ","804.45","814.45","792.05","804.40","799.50","797.75","798.81","972.00","513.05","1,80,769","14,44,00,229.60","9,104"
"08-Aug-2025","EQ","792.05","816.65","792.05","798.30","803.50","804.40","807.30","972.00","513.05","2,52,072","20,34,97,780.45","18,865"
"07-Aug-2025","EQ","798.40","814.70","783.15","805.60","798.30","798.30","796.61","972.00","513.05","2,91,477","23,21,92,827.45","15,719"
"06-Aug-2025","EQ","816.50","823.00","798.55","821.80","799.00","805.60","813.94","972.00","513.05","3,36,737","27,40,82,128.55","20,100"
"05-Aug-2025","EQ","838.25","847.55","817.60","838.25","823.00","821.80","828.45","972.00","513.05","2,06,065","17,07,14,861.15","11,535"
"04-Aug-2025","EQ","833.70","846.50","804.00","836.55","836.65","838.25","825.29","972.00","513.05","5,47,006","45,14,38,816.85","26,181"
"01-Aug-2025","EQ","873.00","875.50","816.65","874.10","835.00","836.55","833.84","972.00","513.05","10,56,225","88,07,22,089.70","56,483"
"31-Jul-2025","EQ","925.00","934.10","866.50","945.35","872.90","874.10","893.79","972.00","513.05","7,74,481","69,22,23,246.00","36,742"
"30-Jul-2025","EQ","956.40","959.85","924.30","954.55","946.00","945.35","942.99","972.00","513.05","4,01,952","37,90,38,065.30","21,632"
"29-Jul-2025","EQ","925.00","972.00","918.05","922.35","950.00","954.55","953.10","972.00","513.05","18,69,895","1,78,22,00,235.50","71,967"
"28-Jul-2025","EQ","910.45","945.50","908.90","908.15","926.50","922.35","930.09","956.00","513.05","6,12,835","56,99,93,708.50","33,954"
"25-Jul-2025","EQ","920.00","931.00","897.10","920.25","905.00","908.15","910.96","956.00","513.05","2,95,317","26,90,20,653.35","15,888"
"24-Jul-2025","EQ","916.00","939.35","910.35","918.90","918.00","920.25","926.06","956.00","513.05","4,02,293","37,25,47,843.95","23,533"
"23-Jul-2025","EQ","882.40","923.00","879.80","877.80","915.00","918.90","910.02","956.00","513.05","5,64,999","51,41,63,129.00","27,343"
"22-Jul-2025","EQ","891.90","898.20","874.10","889.00","880.50","877.80","882.55","956.00","513.05","2,33,140","20,57,57,963.85","15,996"
"21-Jul-2025","EQ","884.35","899.00","879.00","881.80","891.90","889.00","889.86","956.00","513.05","2,96,862","26,41,64,714.30","19,086"
"18-Jul-2025","EQ","894.10","900.00","864.00","895.85","883.00","881.80","879.03","956.00","513.05","4,18,455","36,78,35,787.25","19,781"
"17-Jul-2025","EQ","918.00","929.60","883.05","917.85","894.00","895.85","906.69","956.00","513.05","4,05,804","36,79,38,649.95","25,699"
"16-Jul-2025","EQ","908.00","956.00","907.00","906.20","917.70","917.85","934.81","956.00","513.05","7,94,098","74,23,30,947.05","35,227"
"15-Jul-2025","EQ","911.80","929.60","899.45","910.00","910.15","906.20","913.20","929.60","513.05","4,23,380","38,66,30,356.15","24,206"
"14-Jul-2025","EQ","890.00","924.70","868.85","887.80","911.80","910.00","903.82","924.70","513.05","7,87,706","71,19,40,699.10","34,958"
"11-Jul-2025","EQ","872.40","894.00","872.35","870.25","887.00","887.80","885.44","914.00","513.05","4,28,149","37,90,99,812.00","16,871"
"10-Jul-2025","EQ","875.30","894.30","867.00","872.70","871.00","870.25","877.67","914.00","513.05","3,87,734","34,03,00,859.50","20,384"
"09-Jul-2025","EQ","866.00","884.40","864.35","865.60","870.50","872.70","874.75","914.00","513.05","3,21,593","28,13,13,916.80","17,368"
"08-Jul-2025","EQ","872.90","882.15","861.05","872.15","868.00","865.60","871.80","914.00","513.05","4,21,571","36,75,25,602.80","20,060"
"07-Jul-2025","EQ","887.80","889.00","867.10","885.25","868.00","872.15","877.99","914.00","513.05","3,16,494","27,78,77,790.45","14,120"
"04-Jul-2025","EQ","885.50","895.65","870.55","883.75","881.60","885.25","882.91","914.00","513.05","3,52,301","31,10,51,290.60","16,125"
"03-Jul-2025","EQ","870.70","900.00","870.50","869.15","884.00","883.75","887.35","914.00","513.05","5,25,630","46,64,15,606.25","22,657"
"02-Jul-2025","EQ","867.00","888.10","863.25","865.60","869.00","869.15","874.10","914.00","513.05","3,14,673","27,50,54,382.90","18,868"
"01-Jul-2025","EQ","899.65","902.60","862.05","899.65","865.40","865.60","874.90","914.00","513.05","4,68,664","41,00,33,837.75","24,084"
"30-Jun-2025","EQ","897.00","914.00","882.85","898.75","899.95","899.65","902.32","914.00","513.05","4,52,040","40,78,82,981.75","18,516"
"27-Jun-2025","EQ","890.00","908.00","887.60","887.35","895.20","898.75","898.80","908.00","513.05","6,68,382","60,07,42,034.70","22,026"
"26-Jun-2025","EQ","889.00","907.45","881.60","889.15","890.00","887.35","891.78","907.45","513.05","9,52,530","84,94,45,537.60","43,237"
"25-Jun-2025","EQ","836.00","895.40","835.95","832.65","889.00","889.15","876.79","901.90","513.05","16,48,165","1,44,50,99,178.05","61,627"
"24-Jun-2025","EQ","832.00","849.50","813.15","829.90","834.00","832.65","825.89","901.90","513.05","4,25,837","35,16,93,285.70","18,682"
"23-Jun-2025","EQ","808.90","851.20","808.90","826.80","827.20","829.90","831.97","901.90","513.05","5,14,224","42,78,18,938.75","26,646"
"20-Jun-2025","EQ","845.55","850.00","820.10","845.25","821.00","826.80","831.92","901.90","513.05","3,90,325","32,47,18,289.30","24,736"
"19-Jun-2025","EQ","854.00","873.70","833.50","853.80","841.00","845.25","853.05","901.90","513.05","2,82,487","24,09,75,390.65","16,534"
"18-Jun-2025","EQ","855.75","865.00","847.50","865.75","855.50","853.80","856.26","901.90","513.05","2,28,628","19,57,63,966.65","13,802"
"17-Jun-2025","EQ","891.80","901.90","849.80","891.90","864.35","865.75","876.92","901.90","513.05","5,03,272","44,13,29,878.75","26,952"
"16-Jun-2025","EQ","882.45","901.05","858.10","882.45","886.35","891.90","880.29","901.05","513.05","5,45,749","48,04,15,919.10","27,498"
"13-Jun-2025","EQ","845.00","889.80","840.00","854.10","889.80","882.45","866.82","889.80","513.05","7,37,669","63,94,29,045.80","38,454"
"12-Jun-2025","EQ","870.15","874.20","845.60","867.80","852.00","854.10","861.41","874.20","513.05","8,69,123","74,86,69,441.55","48,739"
"11-Jun-2025","EQ","826.00","874.05","826.00","819.75","867.55","867.80","853.67","874.05","513.05","13,21,142","1,12,78,12,860.85","48,693"
"10-Jun-2025","EQ","798.60","824.00","794.30","794.20","820.00","819.75","811.88","828.30","513.05","6,96,227","56,52,52,771.40","31,291"
"09-Jun-2025","EQ","787.20","801.00","782.15","782.30","791.60","794.20","791.45","828.30","513.05","3,82,001","30,23,35,393.35","20,556"
"06-Jun-2025","EQ","789.90","793.70","775.15","789.80","787.25","782.30","783.85","828.30","513.05","4,30,449","33,74,05,471.35","18,300"
"05-Jun-2025","EQ","790.95","812.50","783.25","790.75","789.40","789.80","797.51","828.30","513.05","4,35,338","34,71,86,994.75","26,606"
"04-Jun-2025","EQ","792.70","796.05","780.15","789.80","791.00","790.75","789.22","828.30","513.05","3,15,961","24,93,62,003.80","24,269"
"03-Jun-2025","EQ","793.00","809.95","783.40","792.50","791.00","789.80","791.78","828.30","513.05","4,19,444","33,21,06,120.20","26,780"
"02-Jun-2025","EQ","816.00","828.30","783.00","811.10","792.00","792.50","805.51","828.30","513.05","14,00,571","1,12,81,77,446.45","64,521"
"30-May-2025","EQ","786.00","816.00","771.10","781.30","816.00","811.10","794.48","816.00","513.05","15,91,201","1,26,41,81,743.45","52,283"
"29-May-2025","EQ","716.00","794.80","713.15","715.10","784.00","781.30","768.45","794.80","513.05","34,89,286","2,68,13,51,145.45","1,12,227"
"28-May-2025","EQ","715.50","721.65","708.20","713.10","714.00","715.10","715.49","760.95","513.05","3,67,526","26,29,62,927.10","21,689"
"27-May-2025","EQ","709.00","724.00","688.75","705.50","713.00","713.10","707.41","760.95","513.05","7,70,546","54,50,89,145.50","31,576"
"26-May-2025","EQ","734.70","748.95","699.15","731.65","705.50","705.50","715.41","760.95","513.05","8,15,179","58,31,90,109.10","35,383"
"23-May-2025","EQ","733.00","751.95","718.35","730.35","730.05","731.65","732.72","760.95","513.05","15,59,619","1,14,27,64,200.85","52,040"
