ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","127.59","129.50","124.56","127.55","125.50","125.50","126.81","132.50","58.86","22,78,481","28,89,44,240.02","22,740"
"11-Aug-2025","EQ","126.80","129.00","126.34","126.34","127.25","127.55","127.69","132.50","58.86","16,59,633","21,19,18,687.77","25,941"
"08-Aug-2025","EQ","128.74","128.85","125.25","128.09","125.90","126.34","126.68","132.50","58.86","15,89,609","20,13,79,063.15","19,452"
"07-Aug-2025","EQ","125.99","129.30","123.57","125.22","127.00","128.09","127.22","132.50","58.86","37,49,808","47,70,55,480.30","36,893"
"06-Aug-2025","EQ","126.45","128.35","124.20","126.21","125.70","125.22","126.39","132.50","58.86","31,07,855","39,27,86,293.67","47,467"
"05-Aug-2025","EQ","119.90","126.90","118.61","118.71","126.00","126.21","123.43","132.50","58.86","55,65,233","68,69,16,654.19","43,687"
"04-Aug-2025","EQ","116.20","120.32","116.20","115.89","118.65","118.71","118.89","132.50","58.86","23,78,485","28,27,89,155.75","30,020"
"01-Aug-2025","EQ","119.90","121.45","115.20","119.91","115.99","115.89","118.35","132.50","58.86","25,39,739","30,05,76,564.02","19,836"
"31-Jul-2025","EQ","121.39","125.00","118.99","122.43","119.70","119.91","121.83","132.50","58.86","30,44,200","37,08,65,638.51","24,288"
"30-Jul-2025","EQ","128.99","129.34","121.01","128.49","122.95","122.43","124.50","132.50","58.86","37,16,599","46,27,14,006.98","24,772"
"29-Jul-2025","EQ","126.84","132.50","124.40","126.88","128.10","128.49","128.55","132.50","58.86","89,58,100","1,15,15,65,887.21","54,141"
"28-Jul-2025","EQ","117.80","128.35","113.03","117.29","126.20","126.88","124.21","128.35","58.86","1,38,30,189","1,71,77,85,709.00","78,508"
"25-Jul-2025","EQ","114.88","119.00","112.51","114.88","116.80","117.29","116.17","121.99","58.86","49,73,323","57,77,63,001.87","30,169"
"24-Jul-2025","EQ","119.50","119.60","114.11","117.95","114.90","114.88","116.50","121.99","58.86","16,63,948","19,38,55,704.60","16,864"
"23-Jul-2025","EQ","120.69","120.87","117.30","119.78","117.95","117.95","118.36","121.99","58.86","19,25,730","22,79,35,342.83","15,489"
"22-Jul-2025","EQ","117.20","121.95","117.11","116.82","119.75","119.78","119.69","121.99","58.86","41,67,072","49,87,38,469.02","28,261"
"21-Jul-2025","EQ","115.20","118.95","113.55","115.46","117.02","116.82","116.83","121.99","58.86","25,05,415","29,27,03,256.01","26,594"
"18-Jul-2025","EQ","118.00","119.50","114.25","118.24","114.45","115.46","117.21","121.99","58.86","29,14,264","34,15,85,843.59","15,850"
"17-Jul-2025","EQ","114.55","121.99","112.34","114.55","117.92","118.24","118.62","121.99","58.86","1,27,05,853","1,50,72,10,619.35","61,760"
"16-Jul-2025","EQ","114.13","115.65","110.55","114.13","114.65","114.55","113.20","119.20","58.86","45,58,050","51,59,53,546.42","21,581"
"15-Jul-2025","EQ","104.90","114.29","104.20","103.90","114.29","114.13","112.56","119.20","58.86","1,15,06,266","1,29,51,05,217.06","41,744"
"14-Jul-2025","EQ","102.92","104.89","100.15","102.89","104.60","103.90","102.70","119.20","58.86","21,67,786","22,26,25,078.48","14,558"
"11-Jul-2025","EQ","108.61","108.96","102.20","108.63","102.52","102.89","105.11","119.20","58.86","28,84,564","30,32,10,353.25","18,199"
"10-Jul-2025","EQ","110.84","111.89","107.00","110.79","108.52","108.63","109.49","119.20","58.86","33,33,069","36,49,23,607.25","21,693"
"09-Jul-2025","EQ","112.29","113.70","110.46","111.67","110.50","110.79","112.11","119.20","58.86","26,52,138","29,73,37,045.51","12,694"
"08-Jul-2025","EQ","112.50","114.49","109.46","111.52","111.81","111.67","112.06","119.20","58.86","37,44,858","41,96,31,430.62","19,532"
"07-Jul-2025","EQ","115.80","117.25","110.71","115.30","111.38","111.52","113.89","119.20","58.86","41,98,276","47,81,47,162.02","20,234"
"04-Jul-2025","EQ","113.77","116.70","111.25","113.69","115.80","115.30","114.75","119.20","58.86","69,70,064","79,98,43,958.30","24,511"
"03-Jul-2025","EQ","112.45","116.69","112.11","112.00","113.65","113.69","114.59","119.20","58.86","87,84,935","1,00,66,60,662.79","41,809"
"02-Jul-2025","EQ","109.42","114.80","109.33","108.88","112.50","112.00","112.53","119.20","58.86","1,61,13,770","1,81,33,53,225.86","66,965"
"01-Jul-2025","EQ","106.00","109.88","105.61","105.24","109.49","108.88","108.38","119.20","58.86","92,63,988","1,00,39,94,706.29","42,476"
"30-Jun-2025","EQ","108.08","108.25","104.43","107.44","105.71","105.24","105.97","119.20","58.86","50,67,998","53,70,45,886.92","22,380"
"27-Jun-2025","EQ","102.50","112.22","102.50","103.00","107.83","107.44","107.89","119.20","58.86","1,89,61,360","2,04,58,27,774.23","80,952"
"26-Jun-2025","EQ","100.26","105.45","99.27","100.24","103.00","103.00","102.80","119.20","58.86","90,57,661","93,11,38,533.19","47,378"
"25-Jun-2025","EQ","101.50","102.09","98.76","99.88","100.03","100.24","100.17","119.20","58.86","68,69,630","68,81,56,946.92","38,113"
"24-Jun-2025","EQ","103.00","105.60","99.21","101.12","99.75","99.88","101.79","119.20","58.86","1,12,35,747","1,14,37,12,843.16","57,745"
"23-Jun-2025","EQ","104.99","105.39","100.50","105.95","100.90","101.12","102.41","119.20","58.86","66,75,041","68,35,76,366.39","32,452"
"20-Jun-2025","EQ","108.70","111.70","104.80","107.02","105.55","105.95","107.54","119.20","58.86","2,00,43,424","2,15,54,82,705.97","81,141"
"19-Jun-2025","EQ","104.55","114.28","104.11","104.55","107.50","107.02","109.81","119.20","58.86","3,50,41,203","3,84,80,48,870.15","1,41,897"
"18-Jun-2025","EQ","112.43","112.43","101.43","112.71","103.90","104.55","108.29","119.20","58.86","3,17,46,324","3,43,77,00,889.26","1,40,993"
"17-Jun-2025","EQ","103.00","119.20","103.00","99.38","111.60","112.71","111.81","119.20","58.86","14,78,06,669","16,52,58,87,633.79","4,84,486"
"16-Jun-2025","EQ","83.70","99.99","83.40","83.33","99.99","99.38","94.32","99.99","58.86","6,76,92,826","6,38,50,52,999.16","2,56,222"
"13-Jun-2025","EQ","84.00","84.87","81.74","85.59","83.40","83.33","83.43","88.74","58.86","43,13,232","35,98,37,496.58","33,302"
"12-Jun-2025","EQ","84.50","88.74","83.62","76.97","84.49","85.59","86.48","88.74","58.86","3,72,21,538","3,21,88,11,191.25","1,61,398"
"11-Jun-2025","EQ","75.54","77.20","74.80","75.53","76.95","76.97","76.39","78.90","58.86","12,06,779","9,21,86,256.78","11,613"
"10-Jun-2025","EQ","75.50","76.50","75.00","75.42","75.55","75.53","75.63","78.90","58.86","4,92,365","3,72,38,979.40","5,056"
"09-Jun-2025","EQ","76.17","76.90","74.66","75.80","75.50","75.42","75.65","78.90","58.86","7,08,595","5,36,05,691.42","8,312"
"06-Jun-2025","EQ","75.30","77.74","75.16","75.18","75.80","75.80","76.38","78.90","58.86","12,36,565","9,44,47,026.87","19,148"
"05-Jun-2025","EQ","73.15","77.00","73.15","73.66","75.30","75.18","75.79","78.90","58.86","15,24,716","11,55,52,405.85","25,453"
"04-Jun-2025","EQ","73.22","75.32","73.01","73.22","73.87","73.66","74.14","78.90","58.86","10,13,836","7,51,63,702.83","17,994"
"03-Jun-2025","EQ","73.56","73.75","72.10","73.27","73.29","73.22","73.03","78.90","58.86","6,20,149","4,52,88,654.87","5,908"
"02-Jun-2025","EQ","71.94","74.00","70.11","71.94","72.90","73.27","72.66","78.90","58.86","9,02,905","6,56,03,558.84","10,440"
"30-May-2025","EQ","71.30","72.76","69.76","71.30","71.76","71.94","71.04","78.90","58.86","6,88,804","4,89,32,569.28","9,895"
"29-May-2025","EQ","71.98","72.25","70.90","71.63","71.50","71.30","71.30","78.90","58.86","4,02,340","2,86,87,452.35","7,613"
"28-May-2025","EQ","71.50","72.35","71.10","71.30","71.79","71.63","71.71","78.90","58.86","4,74,797","3,40,48,990.12","6,766"
"27-May-2025","EQ","71.78","72.28","70.67","71.78","71.01","71.30","71.24","78.90","58.86","4,32,630","3,08,18,830.54","6,186"
"26-May-2025","EQ","72.39","73.28","71.07","72.01","71.86","71.78","71.91","78.90","58.86","6,63,005","4,76,78,539.78","8,777"
"23-May-2025","EQ","68.67","72.33","67.70","68.44","72.05","72.01","71.24","78.90","58.86","19,71,018","14,04,05,542.59","19,702"
"22-May-2025","EQ","68.06","69.00","67.83","68.36","68.30","68.44","68.40","78.90","58.86","5,72,694","3,91,74,952.06","7,395"
"21-May-2025","EQ","69.39","69.90","67.55","69.19","68.35","68.36","68.32","78.90","58.86","9,72,388","6,64,34,596.85","10,319"
"20-May-2025","EQ","72.00","72.39","68.79","72.43","69.10","69.19","70.33","78.90","58.86","10,27,312","7,22,46,139.92","13,873"
"19-May-2025","EQ","75.62","75.75","71.70","75.62","72.50","72.43","72.98","78.90","58.86","15,84,891","11,56,68,013.71","21,145"
"16-May-2025","EQ","69.39","78.90","69.04","69.08","76.30","75.62","74.15","78.90","58.86","27,53,093","20,41,46,334.76","23,702"
"15-May-2025","EQ","68.45","69.79","67.29","67.91","69.09","69.08","68.97","72.38","58.86","7,81,891","5,39,30,773.12","10,524"
"14-May-2025","EQ","70.45","70.64","67.52","69.96","68.08","67.91","68.09","72.38","58.86","10,18,131","6,93,28,951.02","12,588"
"13-May-2025","EQ","66.90","72.38","66.38","66.38","70.10","69.96","69.95","72.38","58.86","15,17,663","10,61,57,358.30","11,886"
