ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","1,693.70","1,709.80","1,654.70","1,700.00","1,656.10","1,666.00","1,681.55","2,735.00","1,464.25","9,404","1,58,13,268.60","2,023"
"11-Aug-2025","EQ","1,684.00","1,723.80","1,673.20","1,684.20","1,690.00","1,700.00","1,700.29","2,735.00","1,464.25","21,715","3,69,21,797.90","2,697"
"08-Aug-2025","EQ","1,741.70","1,747.00","1,675.00","1,733.10","1,687.50","1,684.20","1,697.69","2,735.00","1,464.25","34,385","5,83,75,013.20","5,661"
"07-Aug-2025","EQ","1,779.90","1,779.90","1,712.50","1,787.20","1,744.00","1,733.10","1,743.04","2,735.00","1,464.25","18,768","3,27,13,413.30","3,495"
"06-Aug-2025","EQ","1,807.50","1,824.00","1,763.20","1,808.90","1,780.00","1,787.20","1,793.25","2,735.00","1,464.25","31,446","5,63,90,623.70","5,738"
"05-Aug-2025","EQ","1,820.70","1,829.60","1,776.00","1,830.40","1,829.00","1,808.90","1,799.13","2,735.00","1,464.25","26,553","4,77,72,267.50","4,853"
"04-Aug-2025","EQ","1,799.00","1,870.00","1,760.70","1,783.40","1,811.50","1,830.40","1,812.31","2,735.00","1,464.25","43,541","7,89,09,644.20","8,664"
"01-Aug-2025","EQ","1,772.50","1,799.70","1,736.40","1,747.70","1,794.00","1,783.40","1,763.70","2,735.00","1,464.25","35,877","6,32,76,095.80","4,987"
"31-Jul-2025","EQ","1,726.00","1,778.00","1,726.00","1,771.10","1,740.30","1,747.70","1,752.63","2,735.00","1,464.25","21,584","3,78,28,759.80","4,603"
"30-Jul-2025","EQ","1,786.00","1,798.00","1,740.00","1,787.10","1,765.00","1,771.10","1,759.89","2,735.00","1,464.25","31,096","5,47,25,626.60","5,638"
"29-Jul-2025","EQ","1,852.40","1,879.60","1,770.50","1,866.40","1,780.10","1,787.10","1,838.73","2,735.00","1,464.25","79,565","14,62,98,560.00","8,037"
"28-Jul-2025","EQ","1,870.10","1,911.30","1,848.10","1,881.00","1,855.00","1,866.40","1,869.90","2,735.00","1,464.25","79,656","14,89,48,841.20","11,287"
"25-Jul-2025","EQ","1,889.30","1,900.00","1,839.90","1,880.40","1,881.20","1,881.00","1,864.57","2,735.00","1,464.25","82,286","15,34,28,203.00","10,019"
"24-Jul-2025","EQ","1,855.60","1,890.00","1,840.00","1,855.60","1,885.00","1,880.40","1,870.80","2,735.00","1,464.25","1,02,710","19,21,49,915.80","12,892"
"23-Jul-2025","EQ","1,731.70","1,864.90","1,725.90","1,745.20","1,860.00","1,855.60","1,825.32","2,735.00","1,464.25","1,65,030","30,12,32,092.70","19,098"
"22-Jul-2025","EQ","1,745.00","1,766.50","1,729.50","1,750.20","1,748.00","1,745.20","1,747.85","2,735.00","1,464.25","30,011","5,24,54,827.20","4,413"
"21-Jul-2025","EQ","1,745.30","1,767.50","1,720.50","1,740.50","1,745.00","1,750.20","1,745.56","2,735.00","1,464.25","52,209","9,11,34,079.10","6,464"
"18-Jul-2025","EQ","1,735.60","1,751.00","1,696.10","1,727.00","1,729.00","1,740.50","1,732.69","2,735.00","1,464.25","38,147","6,60,96,820.60","5,143"
"17-Jul-2025","EQ","1,712.80","1,731.00","1,700.20","1,712.80","1,725.00","1,727.00","1,723.34","2,735.00","1,464.25","38,231","6,58,84,899.10","3,505"
"16-Jul-2025","EQ","1,704.90","1,721.90","1,701.80","1,703.00","1,709.80","1,712.80","1,713.53","2,735.00","1,464.25","17,492","2,99,73,125.80","2,567"
"15-Jul-2025","EQ","1,692.70","1,712.80","1,666.50","1,684.40","1,710.00","1,703.00","1,691.41","2,735.00","1,464.25","30,517","5,16,16,740.50","4,033"
"14-Jul-2025","EQ","1,650.00","1,696.40","1,648.60","1,656.50","1,682.00","1,684.40","1,676.48","2,735.00","1,464.25","33,601","5,63,31,374.60","4,964"
"11-Jul-2025","EQ","1,635.00","1,668.80","1,631.10","1,639.40","1,660.00","1,656.50","1,651.19","2,735.00","1,464.25","54,338","8,97,22,506.10","6,078"
"10-Jul-2025","EQ","1,627.00","1,645.00","1,619.10","1,627.50","1,644.90","1,639.40","1,632.68","2,735.00","1,464.25","14,791","2,41,49,009.20","2,070"
"09-Jul-2025","EQ","1,631.70","1,648.00","1,612.50","1,631.70","1,630.00","1,627.50","1,628.58","2,735.00","1,464.25","19,426","3,16,36,834.60","3,265"
"08-Jul-2025","EQ","1,612.50","1,645.30","1,603.10","1,612.50","1,635.20","1,631.70","1,625.65","2,735.00","1,464.25","29,688","4,82,62,243.90","5,350"
"07-Jul-2025","EQ","1,619.20","1,630.60","1,600.00","1,619.20","1,616.80","1,612.50","1,615.52","2,735.00","1,464.25","28,299","4,57,17,602.60","4,932"
"04-Jul-2025","EQ","1,611.10","1,632.40","1,608.10","1,616.90","1,615.00","1,619.20","1,618.10","2,735.00","1,464.25","15,499","2,50,78,995.00","2,904"
"03-Jul-2025","EQ","1,628.40","1,628.40","1,609.30","1,612.30","1,618.00","1,616.90","1,618.90","2,735.00","1,464.25","13,174","2,13,27,405.30","2,294"
"02-Jul-2025","EQ","1,618.80","1,632.70","1,604.10","1,617.10","1,615.00","1,612.30","1,613.24","2,735.00","1,464.25","29,561","4,76,88,935.00","4,752"
"01-Jul-2025","EQ","1,638.50","1,652.30","1,615.00","1,638.50","1,618.80","1,617.10","1,623.44","2,735.00","1,464.25","25,462","4,13,36,106.00","5,523"
"30-Jun-2025","EQ","1,645.00","1,666.10","1,614.80","1,650.60","1,635.00","1,638.50","1,634.88","2,735.00","1,464.25","25,490","4,16,73,099.30","3,517"
"27-Jun-2025","EQ","1,643.00","1,670.00","1,625.60","1,621.80","1,650.20","1,650.60","1,648.47","2,735.00","1,464.25","42,865","7,06,61,769.30","4,485"
"26-Jun-2025","EQ","1,666.00","1,677.60","1,617.20","1,628.30","1,620.10","1,621.80","1,628.74","2,735.00","1,464.25","78,911","12,85,25,629.20","8,275"
"25-Jun-2025","EQ","1,599.00","1,663.10","1,598.00","1,600.10","1,622.00","1,628.30","1,628.92","2,735.00","1,464.25","69,186","11,26,98,295.10","6,175"
"24-Jun-2025","EQ","1,612.50","1,642.50","1,593.70","1,609.00","1,598.00","1,600.10","1,607.67","2,735.00","1,464.25","73,931","11,88,56,883.40","12,123"
"23-Jun-2025","EQ","1,646.10","1,653.10","1,605.00","1,646.10","1,610.00","1,609.00","1,616.99","2,735.00","1,464.25","30,256","4,89,23,668.10","7,279"
"20-Jun-2025","EQ","1,669.00","1,677.20","1,625.00","1,669.60","1,637.10","1,646.10","1,650.91","2,735.00","1,464.25","28,250","4,66,38,342.90","5,221"
"19-Jun-2025","EQ","1,660.00","1,685.00","1,646.80","1,661.60","1,685.00","1,669.60","1,666.92","2,735.00","1,464.25","24,475","4,07,97,779.30","3,660"
"18-Jun-2025","EQ","1,635.00","1,673.40","1,629.10","1,637.30","1,650.20","1,661.60","1,649.76","2,735.00","1,464.25","47,721","7,87,28,222.60","8,046"
"17-Jun-2025","EQ","1,692.90","1,701.90","1,630.00","1,695.60","1,639.00","1,637.30","1,659.54","2,735.00","1,464.25","43,009","7,13,75,053.40","6,446"
"16-Jun-2025","EQ","1,720.00","1,720.00","1,676.80","1,721.20","1,692.90","1,695.60","1,696.95","2,735.00","1,464.25","36,538","6,20,03,089.10","6,468"
"13-Jun-2025","EQ","1,710.00","1,727.90","1,685.20","1,731.80","1,720.00","1,721.20","1,708.69","2,735.00","1,464.25","16,284","2,78,24,384.30","3,596"
"12-Jun-2025","EQ","1,748.20","1,783.20","1,717.50","1,748.20","1,722.70","1,731.80","1,757.38","2,735.00","1,464.25","47,531","8,35,30,264.00","5,269"
"11-Jun-2025","EQ","1,743.00","1,757.70","1,735.00","1,741.90","1,752.00","1,748.20","1,746.64","2,735.00","1,464.25","22,898","3,99,94,565.30","4,001"
"10-Jun-2025","EQ","1,713.20","1,752.00","1,706.00","1,713.20","1,737.00","1,741.90","1,734.61","2,735.00","1,464.25","26,280","4,55,85,457.70","4,081"
"09-Jun-2025","EQ","1,692.70","1,725.00","1,690.00","1,692.70","1,722.00","1,713.20","1,714.22","2,735.00","1,464.25","40,905","7,01,20,038.50","5,287"
"06-Jun-2025","EQ","1,680.00","1,707.50","1,676.70","1,680.70","1,690.40","1,692.70","1,696.23","2,735.00","1,414.00","22,071","3,74,37,514.70","4,192"
"05-Jun-2025","EQ","1,707.00","1,712.80","1,674.00","1,702.80","1,678.80","1,680.70","1,684.95","2,735.00","1,414.00","32,095","5,40,78,512.40","6,887"
"04-Jun-2025","EQ","1,719.00","1,719.00","1,686.10","1,700.20","1,710.00","1,702.80","1,701.74","2,735.00","1,414.00","29,153","4,96,10,924.40","6,000"
"03-Jun-2025","EQ","1,650.00","1,717.60","1,646.10","1,649.40","1,700.00","1,700.20","1,692.90","2,735.00","1,414.00","42,285","7,15,84,153.80","6,137"
"02-Jun-2025","EQ","1,655.00","1,660.00","1,632.00","1,638.60","1,649.00","1,649.40","1,650.87","2,735.00","1,414.00","34,902","5,76,18,503.60","4,422"
"30-May-2025","EQ","1,640.00","1,660.20","1,635.10","1,636.20","1,637.00","1,638.60","1,643.64","2,735.00","1,414.00","35,996","5,91,64,428.90","4,753"
"29-May-2025","EQ","1,705.80","1,719.30","1,628.10","1,705.80","1,640.00","1,636.20","1,654.11","2,735.00","1,414.00","81,040","13,40,48,738.00","9,739"
"28-May-2025","EQ","1,837.20","1,837.20","1,696.00","1,837.50","1,703.10","1,705.80","1,736.06","2,735.00","1,414.00","96,010","16,66,79,248.00","14,799"
"27-May-2025","EQ","1,770.00","1,873.00","1,734.90","1,770.90","1,812.30","1,837.50","1,796.55","2,735.00","1,414.00","50,173","9,01,38,471.20","7,309"
"26-May-2025","EQ","1,835.00","1,860.40","1,703.00","1,834.60","1,761.00","1,770.90","1,776.36","2,735.00","1,414.00","1,69,807","30,16,38,380.90","24,095"
"23-May-2025","EQ","1,764.00","1,845.00","1,764.00","1,777.20","1,832.50","1,834.60","1,818.13","2,735.00","1,414.00","25,309","4,60,15,128.70","4,987"
"22-May-2025","EQ","1,790.80","1,812.70","1,762.00","1,790.80","1,775.00","1,777.20","1,791.34","2,735.00","1,414.00","27,387","4,90,59,305.20","5,012"
"21-May-2025","EQ","1,772.00","1,800.00","1,754.80","1,772.40","1,800.00","1,790.80","1,782.01","2,735.00","1,414.00","40,134","7,15,19,039.70","5,938"
"20-May-2025","EQ","1,804.30","1,815.00","1,752.00","1,804.30","1,778.40","1,772.40","1,772.64","2,735.00","1,414.00","30,052","5,32,71,381.50","5,759"
"19-May-2025","EQ","1,765.90","1,824.00","1,747.30","1,739.90","1,800.00","1,804.30","1,797.25","2,735.00","1,414.00","54,162","9,73,42,398.00","6,655"
"16-May-2025","EQ","1,768.00","1,768.00","1,722.00","1,743.80","1,746.00","1,739.90","1,745.22","2,735.00","1,414.00","18,413","3,21,34,659.40","5,258"
"15-May-2025","EQ","1,722.40","1,763.90","1,705.70","1,708.70","1,743.80","1,743.80","1,743.14","2,735.00","1,414.00","63,839","11,12,80,319.70","5,917"
"14-May-2025","EQ","1,699.90","1,768.90","1,686.60","1,691.80","1,717.00","1,708.70","1,728.84","2,735.00","1,414.00","45,744","7,90,83,933.90","9,403"
"13-May-2025","EQ","1,696.00","1,723.00","1,645.20","1,677.60","1,704.40","1,691.80","1,691.55","2,735.00","1,414.00","39,471","6,67,67,128.50","6,697"
"12-May-2025","EQ","1,644.00","1,709.00","1,643.90","1,602.60","1,679.90","1,677.60","1,678.01","2,735.00","1,414.00","36,460","6,11,80,071.30","5,094"
"09-May-2025","EQ","1,525.00","1,609.30","1,522.70","1,549.30","1,606.60","1,602.60","1,581.37","2,735.00","1,414.00","38,218","6,04,36,805.90","7,672"
"08-May-2025","EQ","1,577.00","1,614.90","1,535.80","1,571.90","1,552.90","1,549.30","1,582.34","2,735.00","1,414.00","21,872","3,46,09,029.60","5,170"
"07-May-2025","EQ","1,570.30","1,585.00","1,553.70","1,570.30","1,577.00","1,571.90","1,569.23","2,735.00","1,414.00","18,127","2,84,45,418.20","4,024"
"06-May-2025","EQ","1,622.00","1,632.90","1,562.20","1,622.00","1,571.00","1,570.30","1,587.99","2,735.00","1,414.00","22,485","3,57,06,059.50","5,128"
"05-May-2025","EQ","1,640.00","1,640.00","1,598.30","1,610.00","1,624.90","1,622.00","1,619.20","2,735.00","1,414.00","17,655","2,85,86,937.20","4,283"
"02-May-2025","EQ","1,580.00","1,630.90","1,566.10","1,577.00","1,610.00","1,610.00","1,605.11","2,735.00","1,414.00","56,826","9,12,12,236.30","9,340"
"30-Apr-2025","EQ","1,616.10","1,645.40","1,570.00","1,640.70","1,575.00","1,577.00","1,598.98","2,735.00","1,414.00","39,032","6,24,11,328.30","8,230"
"29-Apr-2025","EQ","1,685.90","1,711.90","1,625.10","1,685.90","1,649.00","1,640.70","1,662.35","2,735.00","1,414.00","50,540","8,40,15,350.80","6,989"
"28-Apr-2025","EQ","1,655.00","1,711.80","1,653.60","1,668.40","1,682.00","1,685.90","1,691.12","2,735.00","1,414.00","39,592","6,69,54,975.90","6,280"
