ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","251.80","253.50","249.00","249.75","250.00","249.85","250.12","510.90","243.00","1,70,100","4,25,45,960.45","9,145"
"12-Aug-2025","EQ","250.40","252.10","248.10","249.25","249.95","249.75","250.20","510.90","243.00","3,04,803","7,62,60,451.30","14,072"
"11-Aug-2025","EQ","264.55","265.20","248.25","263.25","250.35","249.25","252.39","510.90","243.00","7,43,774","18,77,22,418.25","29,296"
"08-Aug-2025","EQ","264.90","266.80","263.00","264.75","263.50","263.25","264.51","510.90","243.00","2,04,009","5,39,62,326.40","11,725"
"07-Aug-2025","EQ","269.00","272.00","262.25","278.45","266.90","264.75","264.99","510.90","243.00","7,86,120","20,83,11,965.20","36,480"
"06-Aug-2025","EQ","280.85","281.50","278.00","280.85","278.20","278.45","279.21","510.90","243.00","1,08,348","3,02,52,107.70","8,320"
"05-Aug-2025","EQ","283.00","283.65","280.00","281.35","280.50","280.85","280.88","510.90","243.00","84,430","2,37,14,437.40","6,464"
"04-Aug-2025","EQ","284.00","284.75","280.35","282.20","281.95","281.35","281.90","510.90","243.00","1,66,702","4,69,92,548.90","10,587"
"01-Aug-2025","EQ","287.00","291.00","281.20","286.85","284.75","282.20","285.92","510.90","243.00","1,80,183","5,15,18,780.15","8,497"
"31-Jul-2025","EQ","289.00","290.80","286.25","290.80","286.90","286.85","287.67","510.90","243.00","1,34,574","3,87,12,982.25","7,925"
"30-Jul-2025","EQ","291.50","295.55","290.50","291.40","290.95","290.80","291.98","510.90","243.00","90,225","2,63,43,923.70","4,102"
"29-Jul-2025","EQ","290.00","292.90","289.40","290.15","292.15","291.40","291.02","510.90","243.00","1,22,610","3,56,81,712.40","4,934"
"28-Jul-2025","EQ","293.30","297.15","289.00","293.25","293.95","290.15","293.21","510.90","243.00","1,68,516","4,94,10,898.10","5,522"
"25-Jul-2025","EQ","299.50","299.50","292.40","298.90","292.40","293.25","294.97","510.90","243.00","1,66,199","4,90,23,011.95","7,166"
"24-Jul-2025","EQ","303.50","303.65","298.00","302.90","300.20","298.90","299.78","510.90","243.00","1,96,500","5,89,07,706.30","8,058"
"23-Jul-2025","EQ","295.85","308.30","293.55","294.85","302.85","302.90","303.17","510.90","243.00","5,99,947","18,18,83,103.65","19,105"
"22-Jul-2025","EQ","295.50","298.20","294.00","295.35","294.85","294.85","296.20","510.90","243.00","1,44,007","4,26,54,748.35","6,080"
"21-Jul-2025","EQ","298.00","298.90","294.50","298.10","295.45","295.35","295.98","510.90","243.00","1,65,077","4,88,60,270.75","9,800"
"18-Jul-2025","EQ","300.15","300.50","297.55","298.85","298.05","298.10","298.47","510.90","243.00","1,19,744","3,57,40,556.20","5,257"
"17-Jul-2025","EQ","300.60","303.30","298.00","299.05","299.50","298.85","300.32","510.90","243.00","1,46,529","4,40,05,611.15","5,553"
"16-Jul-2025","EQ","301.85","301.85","297.75","299.75","299.30","299.05","299.43","510.90","243.00","1,52,945","4,57,96,401.45","5,839"
"15-Jul-2025","EQ","298.40","301.60","298.05","297.95","300.40","299.75","299.84","510.90","243.00","1,52,394","4,56,93,065.25","5,900"
"14-Jul-2025","EQ","294.15","299.50","291.55","299.60","298.50","297.95","294.85","510.90","243.00","4,95,877","14,62,11,210.05","12,674"
"11-Jul-2025","EQ","301.00","303.85","299.00","301.35","299.40","299.60","300.65","514.00","243.00","1,68,820","5,07,55,427.05","4,845"
"10-Jul-2025","EQ","302.90","305.05","300.75","302.90","301.50","301.35","302.29","514.00","243.00","1,21,753","3,68,04,951.45","4,175"
"09-Jul-2025","EQ","303.00","304.80","302.05","302.45","303.00","302.90","303.33","514.00","243.00","1,28,475","3,89,70,809.75","3,848"
"08-Jul-2025","EQ","304.80","306.00","300.20","305.10","302.15","302.45","302.48","514.00","243.00","2,00,604","6,06,78,414.70","7,151"
"07-Jul-2025","EQ","306.85","308.25","303.10","304.95","303.95","305.10","305.52","514.00","243.00","2,00,477","6,12,49,653.80","6,404"
"04-Jul-2025","EQ","306.00","307.00","303.15","304.45","304.70","304.95","304.86","514.00","243.00","1,64,200","5,00,57,570.45","5,434"
"03-Jul-2025","EQ","304.10","305.60","301.80","302.95","304.95","304.45","303.77","514.00","243.00","2,02,874","6,16,26,966.35","5,609"
"02-Jul-2025","EQ","306.80","307.45","301.60","305.25","302.10","302.95","303.38","514.00","243.00","1,72,962","5,24,73,733.80","5,777"
"01-Jul-2025","EQ","303.80","309.80","303.80","303.60","305.00","305.25","306.22","514.00","243.00","2,29,648","7,03,23,304.65","7,361"
"30-Jun-2025","EQ","304.00","306.50","302.60","303.20","304.40","303.60","304.50","514.00","243.00","1,60,527","4,88,80,338.40","7,131"
"27-Jun-2025","EQ","307.35","307.35","302.00","305.00","304.00","303.20","305.22","514.00","243.00","2,07,579","6,33,57,328.95","6,388"
"26-Jun-2025","EQ","305.85","308.95","303.20","304.55","304.90","305.00","305.21","514.00","243.00","2,49,655","7,61,97,685.75","7,829"
"25-Jun-2025","EQ","302.05","305.90","300.65","299.75","305.00","304.55","303.81","514.00","243.00","2,37,957","7,22,93,592.25","9,039"
"24-Jun-2025","EQ","301.45","306.20","298.90","297.35","299.50","299.75","302.79","514.00","243.00","3,41,969","10,35,45,044.40","11,189"
"23-Jun-2025","EQ","297.65","299.00","295.15","299.20","298.70","297.35","296.98","514.00","243.00","2,13,699","6,34,64,955.80","8,244"
"20-Jun-2025","EQ","296.00","300.75","294.70","295.20","300.30","299.20","298.09","518.80","243.00","2,67,140","7,96,31,151.15","9,558"
"19-Jun-2025","EQ","301.05","304.00","293.10","301.45","296.85","295.20","297.83","518.80","243.00","3,84,050","11,43,81,890.55","13,568"
"18-Jun-2025","EQ","305.00","306.80","300.10","304.20","301.05","301.45","303.21","518.80","243.00","3,22,752","9,78,60,330.35","9,725"
"17-Jun-2025","EQ","309.00","310.45","302.25","307.45","304.95","304.20","306.13","518.80","243.00","4,39,296","13,44,82,288.40","12,659"
"16-Jun-2025","EQ","303.00","308.80","299.25","305.95","308.50","307.45","303.37","518.80","243.00","4,99,590","15,15,61,628.70","14,129"
"13-Jun-2025","EQ","300.00","307.35","299.25","313.30","306.70","305.95","304.74","528.10","243.00","7,27,209","22,16,09,008.15","17,667"
"12-Jun-2025","EQ","322.60","322.70","310.10","320.80","312.80","313.30","315.57","528.10","243.00","9,40,607","29,68,25,475.25","27,165"
"11-Jun-2025","EQ","300.00","335.90","299.00","297.00","319.90","320.80","324.27","528.10","243.00","1,11,52,113","3,61,63,35,579.10","1,73,241"
"10-Jun-2025","EQ","301.20","306.40","296.00","296.15","297.75","297.00","301.32","528.10","243.00","6,08,421","18,33,32,322.50","20,015"
