ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","943.05","950.50","935.00","943.05","940.00","940.70","941.06","1,497.55","831.15","48,564","4,57,01,695.80","3,234"
"12-Aug-2025","EQ","923.25","951.00","922.00","926.80","944.00","943.05","942.38","1,497.55","831.15","27,717","2,61,19,955.00","4,716"
"11-Aug-2025","EQ","935.45","937.00","920.05","939.25","925.00","926.80","927.05","1,497.55","831.15","36,145","3,35,08,057.75","7,104"
"08-Aug-2025","EQ","942.00","953.20","936.90","947.00","936.90","939.25","941.47","1,497.55","831.15","20,108","1,89,31,126.50","3,767"
"07-Aug-2025","EQ","966.00","969.40","940.60","963.75","946.00","947.00","951.54","1,497.55","831.15","50,716","4,82,58,354.90","6,116"
"06-Aug-2025","EQ","950.00","967.20","944.30","953.90","959.00","963.75","956.48","1,497.55","831.15","47,521","4,54,53,045.20","5,711"
"05-Aug-2025","EQ","970.50","976.80","951.85","970.50","953.00","953.90","960.15","1,497.55","831.15","36,673","3,52,11,656.35","5,175"
"04-Aug-2025","EQ","990.00","990.00","965.95","978.50","972.00","970.50","972.05","1,497.55","831.15","49,209","4,78,33,820.75","5,681"
"01-Aug-2025","EQ","1,000.00","1,036.45","970.20","985.00","976.50","978.50","1,003.21","1,497.55","831.15","1,79,530","18,01,06,470.25","12,023"
"31-Jul-2025","EQ","995.00","1,005.30","979.00","1,004.80","992.00","985.00","990.60","1,497.55","831.15","46,636","4,61,97,569.40","5,380"
"30-Jul-2025","EQ","1,006.70","1,019.40","1,000.00","1,004.90","1,002.50","1,004.80","1,008.86","1,497.55","831.15","36,560","3,68,84,003.70","4,185"
"29-Jul-2025","EQ","983.00","1,010.00","978.80","991.20","1,010.00","1,004.90","993.08","1,497.55","831.15","43,177","4,28,78,012.70","4,570"
"28-Jul-2025","EQ","1,004.70","1,010.80","982.30","1,003.60","985.00","991.20","997.20","1,497.55","831.15","38,598","3,84,90,014.20","4,295"
"25-Jul-2025","EQ","1,026.70","1,028.10","997.40","1,035.10","1,000.00","1,003.60","1,010.43","1,497.55","831.15","51,073","5,16,05,942.80","6,073"
"24-Jul-2025","EQ","1,021.50","1,046.50","1,016.60","1,017.20","1,031.00","1,035.10","1,036.10","1,497.55","831.15","86,153","8,92,62,702.00","8,748"
"23-Jul-2025","EQ","1,014.00","1,037.40","1,009.10","1,008.00","1,012.20","1,017.20","1,021.55","1,497.55","831.15","99,892","10,20,44,201.90","11,352"
"22-Jul-2025","EQ","1,011.00","1,020.00","1,004.50","1,011.80","1,005.80","1,008.00","1,009.06","1,497.55","831.15","22,492","2,26,95,731.10","3,131"
"21-Jul-2025","EQ","1,017.00","1,023.90","1,005.00","1,017.00","1,015.00","1,011.80","1,014.01","1,497.55","831.15","28,463","2,88,61,907.10","4,589"
"18-Jul-2025","EQ","1,042.00","1,042.00","1,009.00","1,036.60","1,018.90","1,017.00","1,020.45","1,505.95","831.15","83,040","8,47,37,794.90","8,034"
"17-Jul-2025","EQ","1,016.70","1,041.90","1,016.70","1,016.60","1,035.00","1,036.60","1,031.76","1,505.95","831.15","76,372","7,87,97,645.00","8,679"
"16-Jul-2025","EQ","1,041.80","1,045.00","1,013.00","1,036.60","1,016.70","1,016.60","1,023.52","1,505.95","831.15","81,540","8,34,57,766.40","7,410"
"15-Jul-2025","EQ","1,045.60","1,049.80","1,030.50","1,034.70","1,037.10","1,036.60","1,038.05","1,505.95","831.15","57,667","5,98,61,266.40","5,616"
"14-Jul-2025","EQ","1,030.10","1,049.90","1,015.50","1,030.10","1,030.20","1,034.70","1,023.17","1,505.95","831.15","2,97,988","30,48,93,226.60","12,833"
"11-Jul-2025","EQ","1,015.00","1,038.00","1,012.20","1,033.60","1,028.00","1,030.10","1,021.72","1,505.95","831.15","2,44,786","25,01,03,060.60","7,535"
"10-Jul-2025","EQ","1,009.30","1,049.00","1,009.30","1,024.70","1,040.00","1,033.60","1,030.46","1,505.95","831.15","2,37,264","24,44,91,592.20","10,992"
