ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","385.45","387.25","378.00","382.85","380.00","379.05","381.54","635.00","347.00","79,571","3,03,59,582.25","4,540"
"12-Aug-2025","EQ","381.90","386.25","378.75","381.10","382.00","382.85","382.55","635.00","347.00","1,72,686","6,60,60,487.80","10,137"
"11-Aug-2025","EQ","384.55","387.60","378.80","384.55","379.45","381.10","382.45","635.00","347.00","1,07,389","4,10,70,545.65","5,290"
"08-Aug-2025","EQ","380.00","388.30","375.65","378.45","383.25","384.55","383.37","635.00","347.00","1,24,207","4,76,16,724.70","6,492"
"07-Aug-2025","EQ","381.20","383.40","373.20","383.85","380.00","378.45","377.49","635.00","347.00","1,88,086","7,10,00,251.80","10,073"
"06-Aug-2025","EQ","383.80","386.00","370.30","382.35","383.00","383.85","377.12","635.00","347.00","2,00,363","7,55,60,449.50","12,351"
"05-Aug-2025","EQ","384.65","391.00","380.50","384.65","383.45","382.35","384.38","635.00","347.00","1,41,318","5,43,19,544.80","7,558"
"04-Aug-2025","EQ","389.95","390.80","383.10","388.25","384.95","384.65","385.83","635.00","347.00","1,34,963","5,20,72,808.50","8,894"
"01-Aug-2025","EQ","392.90","402.15","386.30","392.90","386.30","388.25","393.35","635.00","347.00","1,40,482","5,52,58,563.05","6,905"
"31-Jul-2025","EQ","394.90","399.40","390.25","399.95","394.00","392.90","395.12","635.00","347.00","1,82,410","7,20,73,786.55","6,100"
"30-Jul-2025","EQ","409.65","411.95","396.70","408.45","399.50","399.95","401.95","635.00","347.00","1,77,815","7,14,72,156.35","9,847"
"29-Jul-2025","EQ","402.45","409.90","401.00","402.85","408.80","408.45","405.30","635.00","347.00","1,11,338","4,51,25,084.80","7,061"
"28-Jul-2025","EQ","419.65","421.30","399.85","419.65","405.80","402.85","409.32","635.00","347.00","1,64,472","6,73,22,148.85","8,039"
"25-Jul-2025","EQ","431.40","431.40","417.00","430.35","419.85","419.65","422.47","635.00","347.00","1,69,794","7,17,32,904.30","8,296"
"24-Jul-2025","EQ","442.00","443.00","428.00","437.55","430.00","430.35","433.18","635.00","347.00","1,63,835","7,09,70,304.10","7,536"
"23-Jul-2025","EQ","446.60","447.00","433.60","444.90","436.20","437.55","437.56","635.00","347.00","1,94,546","8,51,25,910.65","8,692"
"22-Jul-2025","EQ","434.90","445.85","427.00","430.95","444.20","444.90","440.38","635.00","347.00","4,36,592","19,22,65,962.50","19,251"
"21-Jul-2025","EQ","428.35","433.00","422.00","426.85","429.05","430.95","427.66","635.00","347.00","2,14,208","9,16,08,834.25","10,420"
"18-Jul-2025","EQ","439.00","455.70","424.45","437.35","427.00","426.85","436.91","699.00","347.00","7,66,798","33,50,23,818.35","30,688"
"17-Jul-2025","EQ","443.95","447.00","435.25","441.95","437.90","437.35","440.16","699.00","347.00","2,47,679","10,90,18,117.95","9,902"
"16-Jul-2025","EQ","439.90","446.40","439.20","438.40","441.55","441.95","443.28","699.00","347.00","3,00,582","13,32,43,416.05","9,878"
"15-Jul-2025","EQ","440.85","442.45","437.20","439.85","438.30","438.40","439.33","699.00","347.00","1,52,390","6,69,48,811.85","7,508"
"14-Jul-2025","EQ","441.85","441.95","433.55","438.85","441.95","439.85","437.45","699.00","347.00","1,03,187","4,51,39,276.35","4,460"
"11-Jul-2025","EQ","440.25","447.50","438.00","443.95","438.00","438.85","441.79","699.00","347.00","1,04,098","4,59,89,934.45","4,998"
"10-Jul-2025","EQ","437.30","446.40","437.30","437.15","444.40","443.95","441.59","699.00","347.00","1,59,561","7,04,60,152.05","8,132"
"09-Jul-2025","EQ","442.90","442.95","435.60","439.85","437.00","437.15","438.65","699.00","347.00","91,584","4,01,73,194.85","4,836"
"08-Jul-2025","EQ","444.50","447.50","437.30","443.55","440.00","439.85","440.75","699.00","347.00","2,28,125","10,05,46,112.45","13,664"
"07-Jul-2025","EQ","442.60","449.00","440.70","441.40","442.20","443.55","444.38","699.00","347.00","1,32,818","5,90,22,281.25","10,440"
"04-Jul-2025","EQ","441.00","443.55","436.00","441.25","439.20","441.40","440.46","699.00","347.00","97,903","4,31,22,665.25","6,846"
"03-Jul-2025","EQ","435.00","448.75","434.95","435.05","441.00","441.25","443.45","699.00","347.00","2,38,157","10,56,11,323.40","8,155"
"02-Jul-2025","EQ","440.50","445.20","433.25","439.35","434.00","435.05","437.66","699.00","347.00","1,79,398","7,85,16,038.90","8,302"
"01-Jul-2025","EQ","446.20","447.70","438.00","445.55","439.00","439.35","441.11","699.00","347.00","1,46,652","6,46,89,939.00","6,151"
"30-Jun-2025","EQ","444.20","447.20","442.00","443.55","445.55","445.55","444.09","699.00","347.00","1,09,897","4,88,04,241.95","4,784"
"27-Jun-2025","EQ","445.60","451.15","441.45","442.05","443.30","443.55","445.56","699.00","347.00","1,93,040","8,60,10,934.90","8,612"
"26-Jun-2025","EQ","449.90","452.25","441.00","447.05","442.90","442.05","444.12","699.00","347.00","1,16,966","5,19,47,512.65","5,437"
"25-Jun-2025","EQ","441.70","453.20","441.60","441.70","449.00","447.05","446.98","699.00","347.00","1,81,643","8,11,91,107.00","8,983"
"24-Jun-2025","EQ","439.70","445.90","438.95","432.95","441.25","441.70","442.17","699.00","347.00","1,32,052","5,83,89,481.20","7,076"
"23-Jun-2025","EQ","438.00","438.60","430.80","439.95","432.50","432.95","434.11","699.00","347.00","1,58,674","6,88,81,653.60","10,422"
"20-Jun-2025","EQ","441.55","441.80","435.20","440.00","439.30","439.95","439.17","699.00","347.00","2,24,888","9,87,63,464.50","9,656"
"19-Jun-2025","EQ","444.85","448.70","433.75","445.60","436.50","440.00","439.72","699.00","347.00","1,58,360","6,96,33,617.05","8,496"
"18-Jun-2025","EQ","445.05","453.00","442.25","445.80","444.85","445.60","446.70","699.00","347.00","1,82,823","8,16,66,483.15","7,971"
"17-Jun-2025","EQ","448.30","475.00","443.40","445.95","445.05","445.80","457.52","699.00","347.00","7,60,171","34,77,93,457.40","27,815"
"16-Jun-2025","EQ","450.00","451.80","441.40","447.30","444.00","445.95","448.21","699.00","347.00","3,07,031","13,76,14,915.95","7,680"
"13-Jun-2025","EQ","440.45","452.15","436.95","444.95","449.50","447.30","444.70","699.00","347.00","9,75,531","43,38,19,885.40","13,225"
"12-Jun-2025","EQ","463.70","464.50","442.50","461.45","443.10","444.95","450.29","699.00","347.00","2,62,789","11,83,30,674.90","14,249"
"11-Jun-2025","EQ","452.95","465.00","452.95","452.95","460.10","461.45","460.78","699.00","347.00","2,95,072","13,59,64,165.80","12,650"
