ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","660.00","665.05","647.70","662.40","653.00","650.95","655.43","842.00","460.00","1,11,498","7,30,78,916.50","9,653"
"11-Aug-2025","EQ","654.80","666.80","652.00","657.75","658.85","662.40","657.52","842.00","460.00","1,02,772","6,75,75,095.35","5,993"
"08-Aug-2025","EQ","664.50","674.95","652.00","661.75","652.40","657.75","662.31","842.00","384.10","1,00,136","6,63,20,609.60","7,341"
"07-Aug-2025","EQ","655.00","671.60","655.00","655.90","661.00","661.75","660.99","842.00","384.10","1,50,421","9,94,26,462.25","10,017"
"06-Aug-2025","EQ","661.00","662.80","638.00","658.25","655.20","655.90","650.80","842.00","384.10","1,91,814","12,48,33,422.80","11,015"
"05-Aug-2025","EQ","670.00","678.10","656.00","673.40","659.50","658.25","661.94","842.00","384.10","1,06,843","7,07,24,046.15","8,210"
"04-Aug-2025","EQ","656.80","678.95","647.00","656.80","670.70","673.40","666.87","842.00","384.10","1,41,944","9,46,58,178.00","9,866"
"01-Aug-2025","EQ","660.20","665.00","655.00","661.25","657.55","656.80","658.51","842.00","384.10","2,44,932","16,12,91,328.20","8,097"
"31-Jul-2025","EQ","656.05","668.70","645.85","668.05","660.85","661.25","661.17","842.00","384.10","1,51,666","10,02,77,329.85","9,660"
"30-Jul-2025","EQ","674.20","678.95","660.80","673.15","667.55","668.05","665.99","842.00","384.10","1,86,170","12,39,88,198.00","16,246"
"29-Jul-2025","EQ","666.65","676.00","660.75","671.55","674.20","673.15","668.25","842.00","384.10","1,67,237","11,17,55,378.45","10,943"
"28-Jul-2025","EQ","680.35","695.25","666.50","683.85","671.50","671.55","678.25","842.00","384.10","1,59,504","10,81,84,244.55","10,466"
"25-Jul-2025","EQ","692.90","697.00","680.40","689.50","682.30","683.85","687.11","842.00","368.00","1,17,832","8,09,64,031.10","7,384"
"24-Jul-2025","EQ","699.00","704.90","686.70","699.75","690.20","689.50","693.05","842.00","368.00","1,86,459","12,92,25,775.10","11,206"
"23-Jul-2025","EQ","698.00","702.90","687.15","693.90","699.80","699.75","696.96","842.00","368.00","2,08,654","14,54,22,632.95","9,150"
"22-Jul-2025","EQ","697.00","704.40","688.40","698.10","696.00","693.90","695.11","842.00","368.00","1,58,824","11,03,99,752.15","10,180"
"21-Jul-2025","EQ","711.75","713.80","695.00","711.30","698.10","698.10","700.14","842.00","368.00","1,71,411","12,00,12,416.10","10,955"
