ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","63.15","63.80","60.10","63.13","60.34","60.38","60.92","86.04","46.15","17,31,16,275","10,54,56,03,757.07","4,13,011"
"12-Aug-2025","EQ","64.20","64.95","62.57","63.32","63.22","63.13","63.62","86.04","46.15","9,81,99,194","6,24,71,78,627.48","1,58,210"
"11-Aug-2025","EQ","63.20","64.78","62.89","63.19","63.35","63.32","63.96","86.04","46.15","5,64,46,107","3,61,00,75,730.28","1,27,951"
"08-Aug-2025","EQ","64.50","64.52","62.96","64.21","63.20","63.19","63.39","86.04","46.15","4,43,61,456","2,81,21,15,523.86","92,300"
"07-Aug-2025","EQ","64.81","65.26","62.21","65.26","64.20","64.21","63.78","86.04","46.15","7,55,42,321","4,81,81,36,145.91","2,19,335"
"06-Aug-2025","EQ","65.78","65.85","64.57","65.44","65.15","65.26","65.05","86.04","46.15","4,72,80,146","3,07,55,39,117.33","1,09,839"
"05-Aug-2025","EQ","65.00","66.10","64.87","65.00","65.48","65.44","65.40","86.04","46.15","4,93,69,073","3,22,89,36,468.50","1,11,460"
"04-Aug-2025","EQ","66.60","66.81","64.65","65.95","64.96","65.00","65.52","86.04","46.15","7,20,02,898","4,71,78,37,386.91","1,44,291"
"01-Aug-2025","EQ","62.30","66.80","62.30","61.60","65.95","65.95","65.44","86.04","46.15","28,28,85,799","18,51,07,22,138.35","4,26,019"
"31-Jul-2025","EQ","60.05","62.02","59.78","61.21","61.47","61.60","60.94","86.04","46.15","5,22,70,070","3,18,53,29,191.82","1,27,374"
"30-Jul-2025","EQ","61.98","62.05","61.01","61.79","61.17","61.21","61.35","86.04","46.15","2,61,42,390","1,60,39,54,709.04","81,451"
"29-Jul-2025","EQ","60.69","62.61","59.95","60.85","61.98","61.79","61.36","86.04","46.15","5,33,22,991","3,27,16,98,267.75","1,52,462"
"28-Jul-2025","EQ","63.50","63.55","60.65","63.62","60.94","60.85","61.81","86.04","46.15","6,38,33,967","3,94,53,35,934.48","1,79,045"
"25-Jul-2025","EQ","65.30","65.32","62.83","65.32","63.74","63.62","63.68","86.04","46.15","5,51,35,489","3,51,09,45,776.82","1,67,777"
"24-Jul-2025","EQ","65.98","66.24","65.05","65.98","65.29","65.32","65.46","86.04","46.15","2,58,57,103","1,69,25,12,543.38","68,355"
"23-Jul-2025","EQ","66.10","66.44","65.52","66.58","65.86","65.98","65.89","86.04","46.15","3,28,44,030","2,16,39,47,711.00","84,578"
"22-Jul-2025","EQ","66.68","66.78","65.70","66.42","66.50","66.58","66.32","86.04","46.15","3,57,35,857","2,36,99,54,067.32","98,743"
"21-Jul-2025","EQ","65.24","66.50","65.00","65.06","66.50","66.42","65.93","86.04","46.15","3,58,13,725","2,36,11,22,044.69","1,13,335"
"18-Jul-2025","EQ","66.26","66.59","64.77","66.26","65.09","65.06","65.57","86.04","46.15","3,71,55,281","2,43,61,88,648.80","97,649"
