ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","277.35","280.70","272.10","276.80","272.80","273.65","275.02","758.45","218.45","10,66,385","29,32,74,820.95","21,928"
"12-Aug-2025","EQ","276.95","283.85","274.65","274.55","276.35","276.80","279.31","758.45","218.45","25,38,910","70,91,44,307.90","46,669"
"11-Aug-2025","EQ","274.25","275.80","264.75","274.25","275.35","274.55","269.80","758.45","218.45","18,20,112","49,10,68,753.70","37,866"
"08-Aug-2025","EQ","265.15","280.80","263.40","265.15","273.00","274.25","275.83","758.45","218.45","53,31,664","1,47,06,20,186.25","86,905"
"07-Aug-2025","EQ","264.50","266.30","256.25","265.50","265.70","265.15","261.47","758.45","218.45","22,79,204","59,59,36,900.95","38,232"
"06-Aug-2025","EQ","273.35","274.00","264.40","272.90","265.65","265.50","267.00","758.45","218.45","14,05,860","37,53,63,271.70","25,251"
"05-Aug-2025","EQ","276.65","278.85","271.20","275.75","272.55","272.90","273.82","758.45","218.45","10,41,941","28,53,03,377.75","19,040"
"04-Aug-2025","EQ","269.50","276.80","266.70","269.45","276.80","275.75","272.43","758.45","218.45","12,97,519","35,34,82,663.20","22,911"
"01-Aug-2025","EQ","282.00","283.80","267.75","281.15","270.75","269.45","274.84","758.45","218.45","23,58,734","64,82,67,072.25","40,164"
"31-Jul-2025","EQ","280.50","285.90","280.00","286.80","281.20","281.15","283.16","758.45","218.45","11,38,787","32,24,57,921.40","21,001"
"30-Jul-2025","EQ","292.00","294.00","286.00","290.40","286.90","286.80","288.57","758.45","218.45","10,38,541","29,96,95,558.60","18,817"
"29-Jul-2025","EQ","284.90","291.50","279.15","285.00","290.45","290.40","285.63","758.45","218.45","20,43,286","58,36,30,264.45","30,407"
"28-Jul-2025","EQ","289.15","294.85","282.60","289.35","284.40","285.00","288.51","758.45","218.45","19,96,005","57,58,57,606.90","35,296"
"25-Jul-2025","EQ","299.00","299.00","286.40","299.50","289.00","289.35","291.01","758.45","218.45","21,83,674","63,54,80,130.00","37,496"
"24-Jul-2025","EQ","306.20","308.20","297.80","304.95","299.40","299.50","301.95","758.45","218.45","24,14,071","72,89,35,004.00","37,135"
"23-Jul-2025","EQ","310.00","310.60","303.50","308.85","305.65","304.95","305.81","758.45","218.45","19,53,352","59,73,46,968.25","27,209"
"22-Jul-2025","EQ","308.95","314.50","308.10","308.45","309.00","308.85","310.70","758.45","218.45","21,48,040","66,74,02,049.55","27,074"
"21-Jul-2025","EQ","320.45","321.35","306.25","320.45","308.80","308.45","310.52","758.45","218.45","38,24,036","1,18,74,48,511.35","56,869"
"18-Jul-2025","EQ","325.00","334.80","318.30","335.10","318.95","320.45","326.14","758.45","218.45","92,48,043","3,01,61,55,045.00","1,06,249"
"17-Jul-2025","EQ","333.00","340.90","325.25","329.00","327.35","335.10","334.77","758.45","218.45","1,09,02,682","3,64,98,52,918.85","1,04,289"
"16-Jul-2025","EQ","333.30","334.75","326.55","333.10","328.85","329.00","329.78","758.45","218.45","25,01,441","82,49,26,626.40","32,755"
"15-Jul-2025","EQ","336.10","341.00","330.45","334.55","333.00","333.10","333.86","758.45","218.45","25,56,779","85,36,12,084.05","33,816"
"14-Jul-2025","EQ","331.00","338.00","326.85","329.65","335.50","334.55","333.51","758.45","218.45","30,45,177","1,01,56,04,316.55","73,635"
"11-Jul-2025","EQ","338.20","338.20","326.65","336.55","329.00","329.65","331.17","758.45","218.45","34,08,781","1,12,88,69,213.95","47,942"
"10-Jul-2025","EQ","333.20","340.80","331.90","331.45","336.30","336.55","336.46","758.45","218.45","73,06,408","2,45,82,98,421.15","78,051"
"09-Jul-2025","EQ","307.70","333.00","307.60","305.35","330.45","331.45","325.21","758.45","218.45","1,53,95,830","5,00,68,41,513.00","1,59,711"
"08-Jul-2025","EQ","308.45","312.85","302.50","308.45","306.00","305.35","306.62","758.45","218.45","18,28,784","56,07,34,954.40","34,608"
"07-Jul-2025","EQ","308.15","312.75","307.60","309.80","308.35","308.45","309.58","758.45","218.45","11,04,541","34,19,39,061.20","16,082"
"04-Jul-2025","EQ","311.70","314.00","307.40","311.00","309.35","309.80","310.20","758.45","218.45","13,60,712","42,20,94,204.95","21,224"
"03-Jul-2025","EQ","312.95","318.05","310.20","311.90","310.55","311.00","313.66","758.45","218.45","19,07,077","59,81,75,568.45","27,963"
"02-Jul-2025","EQ","318.45","319.00","310.60","317.55","312.00","311.90","313.54","758.45","218.45","14,08,079","44,14,90,364.95","21,698"
"01-Jul-2025","EQ","321.00","322.35","314.05","319.90","317.35","317.55","317.79","758.45","218.45","15,97,328","50,76,09,647.50","24,809"
"30-Jun-2025","EQ","320.00","326.20","318.05","318.85","320.40","319.90","321.23","758.45","218.45","29,64,758","95,23,66,544.85","37,298"
"27-Jun-2025","EQ","315.00","324.20","313.25","312.90","317.00","318.85","319.28","758.45","218.45","46,37,732","1,48,07,45,341.65","58,435"
"26-Jun-2025","EQ","318.00","321.00","311.80","317.10","312.90","312.90","314.74","758.45","218.45","23,54,484","74,10,40,784.05","30,888"
"25-Jun-2025","EQ","310.00","319.60","309.80","307.35","316.70","317.10","315.24","758.45","218.45","31,65,450","99,78,71,674.30","43,738"
"24-Jun-2025","EQ","311.00","315.40","306.15","306.70","307.25","307.35","310.31","758.45","218.45","29,12,775","90,38,70,737.45","38,721"
"23-Jun-2025","EQ","310.05","313.75","305.85","314.55","306.45","306.70","309.61","758.45","218.45","24,77,105","76,69,29,124.40","36,493"
"20-Jun-2025","EQ","311.30","316.80","308.00","311.30","315.00","314.55","312.50","774.50","218.45","39,38,947","1,23,09,18,836.20","64,698"
"19-Jun-2025","EQ","320.70","324.75","306.65","322.30","310.00","311.30","315.02","774.50","218.45","30,01,030","94,53,72,350.95","46,534"
"18-Jun-2025","EQ","323.55","328.70","320.05","324.15","320.65","322.30","323.93","774.50","218.45","24,50,540","79,38,09,692.05","34,755"
