ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","651.85","661.00","651.55","648.95","657.75","659.15","657.22","960.60","599.55","5,31,761","34,94,83,391.40","20,308"
"12-Aug-2025","EQ","642.85","651.25","639.30","642.60","650.00","648.95","644.66","960.60","599.55","5,39,658","34,78,96,477.30","22,184"
"11-Aug-2025","EQ","655.00","655.55","641.00","655.25","641.45","642.60","646.34","960.60","599.55","8,74,366","56,51,40,693.00","34,999"
"08-Aug-2025","EQ","672.15","674.70","651.90","673.20","653.80","655.25","665.68","960.60","599.55","4,28,019","28,49,23,906.75","14,919"
"07-Aug-2025","EQ","672.00","676.65","663.45","671.55","673.00","673.20","671.28","960.60","599.55","9,53,034","63,97,51,072.55","26,869"
"06-Aug-2025","EQ","694.90","698.70","668.30","697.80","672.00","671.55","674.46","960.60","599.55","11,50,586","77,60,28,654.85","23,881"
"05-Aug-2025","EQ","704.75","709.50","695.00","704.75","697.95","697.80","699.30","960.60","599.55","8,72,579","61,01,93,114.00","23,730"
"04-Aug-2025","EQ","700.00","707.80","691.00","703.25","706.75","704.75","699.95","960.60","599.55","11,16,817","78,17,19,957.55","18,804"
"01-Aug-2025","EQ","714.00","714.35","700.15","714.00","702.50","703.25","706.68","960.60","599.55","9,15,312","64,68,32,622.25","26,668"
"31-Jul-2025","EQ","704.15","718.00","701.55","722.05","710.00","714.00","712.44","960.60","599.55","8,56,999","61,05,59,628.10","25,739"
"30-Jul-2025","EQ","711.85","728.60","710.00","711.40","718.85","722.05","722.00","960.60","599.55","25,36,333","1,83,12,42,235.10","1,00,935"
"29-Jul-2025","EQ","692.00","712.75","687.40","690.50","709.70","711.40","703.03","960.60","599.55","18,70,718","1,31,51,73,427.25","40,597"
"28-Jul-2025","EQ","681.10","699.50","678.15","681.10","690.75","690.50","692.57","960.60","599.55","12,65,654","87,65,51,906.45","39,323"
"25-Jul-2025","EQ","667.40","693.00","665.70","669.75","679.45","681.10","683.04","960.60","599.55","30,25,346","2,06,64,37,759.35","64,779"
"24-Jul-2025","EQ","677.85","684.55","660.80","680.75","670.75","669.75","672.09","960.60","599.55","21,08,932","1,41,73,82,806.15","50,616"
"23-Jul-2025","EQ","674.00","690.00","664.45","676.00","667.00","680.75","681.39","960.60","599.55","41,89,282","2,85,45,41,781.40","98,949"
"22-Jul-2025","EQ","674.00","686.50","661.95","671.05","676.00","676.00","677.59","960.60","599.55","16,57,916","1,12,33,85,539.55","55,318"
"21-Jul-2025","EQ","658.05","673.00","653.60","657.25","669.50","671.05","665.37","960.60","599.55","9,80,119","65,21,45,109.70","33,082"
"18-Jul-2025","EQ","671.05","672.10","656.05","670.40","658.00","657.25","661.24","960.60","599.55","9,03,282","59,72,90,678.55","18,145"
"17-Jul-2025","EQ","672.20","678.00","668.00","667.75","668.00","670.40","673.44","960.60","599.55","11,55,085","77,78,80,445.20","43,635"
"16-Jul-2025","EQ","659.75","671.90","655.35","655.35","668.90","667.75","667.11","960.60","599.55","13,81,906","92,18,82,721.90","44,547"
"15-Jul-2025","EQ","642.30","659.90","642.20","636.30","655.75","655.35","654.72","960.60","599.55","19,69,741","1,28,96,25,641.00","38,967"
"14-Jul-2025","EQ","625.00","645.65","620.70","626.15","641.80","636.30","634.40","960.60","599.55","14,89,769","94,51,07,013.45","34,788"
"11-Jul-2025","EQ","633.00","635.25","621.35","634.30","626.00","626.15","626.56","960.60","599.55","10,69,491","67,00,96,386.55","28,696"
"10-Jul-2025","EQ","640.00","641.00","630.30","639.20","633.70","634.30","633.70","960.60","599.55","4,64,855","29,45,79,541.50","21,007"
"09-Jul-2025","EQ","636.55","642.95","633.85","632.60","638.50","639.20","639.46","960.60","599.55","11,26,320","72,02,32,214.55","34,912"
"08-Jul-2025","EQ","635.25","637.55","627.35","635.25","634.40","632.60","631.98","960.60","599.55","7,66,966","48,47,07,404.00","31,038"
"07-Jul-2025","EQ","639.00","646.00","632.80","644.20","635.95","635.25","636.12","960.60","599.55","5,71,710","36,36,76,580.90","18,492"
"04-Jul-2025","EQ","641.00","646.50","640.00","640.35","645.00","644.20","643.92","960.60","599.55","1,65,697","10,66,96,057.85","9,174"
"03-Jul-2025","EQ","639.80","644.45","635.00","638.75","642.65","640.35","639.81","960.60","599.55","7,75,016","49,58,59,553.70","13,271"
"02-Jul-2025","EQ","636.20","645.90","635.20","636.60","638.30","638.75","639.67","960.60","599.55","4,35,936","27,88,53,056.90","21,405"
"01-Jul-2025","EQ","638.90","643.70","633.30","638.90","637.45","636.60","636.50","960.60","599.55","4,15,274","26,43,21,355.35","17,629"
"30-Jun-2025","EQ","646.40","649.45","635.05","642.65","638.70","638.90","639.75","960.60","599.55","4,15,141","26,55,87,790.05","22,098"
"27-Jun-2025","EQ","649.60","653.40","640.50","645.70","647.80","642.65","644.76","960.60","599.55","15,16,300","97,76,55,503.00","46,988"
"26-Jun-2025","EQ","650.00","653.80","641.50","651.40","644.15","645.70","644.50","960.60","599.55","15,30,971","98,67,06,722.90","34,080"
"25-Jun-2025","EQ","638.00","652.95","638.00","638.85","650.95","651.40","646.68","960.60","599.55","11,05,041","71,46,09,086.60","42,557"
"24-Jun-2025","EQ","639.00","644.95","637.20","636.05","640.00","638.85","640.36","960.60","599.55","9,75,499","62,46,70,333.50","22,420"
"23-Jun-2025","EQ","632.00","638.70","627.45","631.20","634.50","636.05","632.75","960.60","599.55","4,57,982","28,97,89,774.35","26,007"
"20-Jun-2025","EQ","625.00","636.00","624.35","627.25","632.20","631.20","631.10","960.60","599.55","11,66,131","73,59,48,528.40","21,467"
"19-Jun-2025","EQ","645.05","648.00","625.10","644.55","625.55","627.25","633.03","960.60","599.55","4,07,512","25,79,66,599.70","26,082"
"18-Jun-2025","EQ","648.00","651.55","641.00","649.15","644.25","644.55","645.26","960.60","599.55","4,83,419","31,19,33,034.70","13,133"
"17-Jun-2025","EQ","662.00","663.40","647.00","660.35","647.00","649.15","654.93","960.60","599.55","8,40,374","55,03,87,641.95","17,093"
"16-Jun-2025","EQ","661.00","662.80","651.00","653.10","660.05","660.35","657.85","960.60","599.55","6,49,407","42,72,11,126.70","23,675"
"13-Jun-2025","EQ","655.00","662.20","651.00","663.15","655.00","653.10","654.95","960.60","599.55","7,00,293","45,86,59,996.05","23,459"
"12-Jun-2025","EQ","667.60","671.00","659.60","662.55","661.95","663.15","666.80","960.60","599.55","16,65,702","1,11,06,96,483.45","24,195"
"11-Jun-2025","EQ","659.90","667.60","657.30","658.20","663.70","662.55","661.93","960.60","599.55","8,95,617","59,28,38,352.40","19,658"
"10-Jun-2025","EQ","660.00","667.00","655.00","656.45","658.35","658.20","660.41","960.60","599.55","10,43,999","68,94,68,223.55","29,030"
"09-Jun-2025","EQ","646.05","659.00","646.05","646.05","655.65","656.45","653.61","960.60","599.55","8,03,201","52,49,81,534.75","15,154"
"06-Jun-2025","EQ","646.70","649.55","641.95","646.70","645.25","646.05","645.22","960.60","599.55","2,61,249","16,85,62,749.95","10,622"
"05-Jun-2025","EQ","651.00","651.95","645.85","647.40","646.50","646.70","647.81","960.60","599.55","2,20,608","14,29,11,035.75","8,823"
"04-Jun-2025","EQ","641.05","648.65","639.90","641.05","648.00","647.40","645.33","960.60","599.55","2,36,310","15,24,97,116.55","10,544"
