ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Aug-2025","EQ","719.00","724.85","645.35","717.95","675.00","673.30","678.69","780.50","370.00","19,57,141","1,32,82,92,767.00","73,952"
"11-Aug-2025","EQ","697.00","720.95","684.35","702.95","718.95","717.95","708.07","780.50","370.00","11,26,326","79,75,15,555.30","38,369"
"08-Aug-2025","EQ","715.05","738.00","691.00","710.40","697.00","702.95","720.12","780.50","370.00","10,10,210","72,74,76,059.10","33,827"
"07-Aug-2025","EQ","705.20","725.00","705.05","720.80","713.70","710.40","713.59","780.50","370.00","6,54,558","46,70,85,329.10","25,362"
"06-Aug-2025","EQ","716.20","730.00","701.05","717.35","720.00","720.80","715.42","780.50","370.00","9,75,430","69,78,42,646.20","31,802"
"05-Aug-2025","EQ","729.75","749.90","715.25","729.50","716.10","717.35","729.80","780.50","370.00","7,14,941","52,17,64,256.20","28,927"
"04-Aug-2025","EQ","755.00","758.00","722.10","748.20","729.10","729.50","740.39","780.50","370.00","10,43,093","77,22,98,554.85","35,906"
"01-Aug-2025","EQ","758.30","780.50","745.25","756.00","748.00","748.20","766.75","780.50","370.00","14,21,832","1,09,01,89,922.00","40,215"
"31-Jul-2025","EQ","744.00","760.00","735.00","762.95","758.00","756.00","752.38","767.00","370.00","14,24,964","1,07,21,19,691.55","44,783"
"30-Jul-2025","EQ","746.80","767.00","743.10","746.25","760.00","762.95","753.90","767.00","370.00","14,34,196","1,08,12,40,381.50","34,290"
"29-Jul-2025","EQ","746.35","755.00","740.85","746.35","745.00","746.25","747.45","755.00","370.00","14,38,218","1,07,49,95,337.80","34,747"
"28-Jul-2025","EQ","731.55","750.00","717.05","728.15","745.20","746.35","739.23","750.00","370.00","32,33,878","2,39,05,92,350.80","69,907"
"25-Jul-2025","EQ","708.00","734.00","706.70","706.10","727.00","728.15","724.22","736.65","370.00","29,98,145","2,17,13,16,958.50","55,065"
"24-Jul-2025","EQ","694.45","736.65","692.00","699.20","706.70","706.10","712.61","736.65","370.00","33,30,028","2,37,30,16,397.15","87,745"
"23-Jul-2025","EQ","700.00","717.20","684.00","710.05","696.00","699.20","700.96","728.75","370.00","22,08,350","1,54,79,54,102.20","58,372"
"22-Jul-2025","EQ","701.00","721.90","695.00","708.55","709.00","710.05","707.50","728.75","370.00","13,23,695","93,65,14,947.60","33,754"
"21-Jul-2025","EQ","701.20","715.90","675.00","705.15","709.00","708.55","693.88","728.75","370.00","24,50,148","1,70,00,98,278.00","90,015"
"18-Jul-2025","EQ","713.95","728.75","701.00","714.25","705.00","705.15","717.39","728.75","370.00","18,79,064","1,34,80,23,317.45","44,792"
"17-Jul-2025","EQ","701.00","719.80","698.00","697.30","714.55","714.25","710.40","719.80","370.00","16,35,017","1,16,15,19,752.25","42,889"
"16-Jul-2025","EQ","693.95","712.00","680.50","695.45","695.10","697.30","691.97","712.00","370.00","12,60,837","87,24,64,892.20","29,995"
"15-Jul-2025","EQ","683.00","700.75","680.20","681.45","688.60","695.45","691.35","700.75","370.00","18,58,366","1,28,47,75,797.50","41,437"
"14-Jul-2025","EQ","679.80","700.25","668.00","678.45","682.00","681.45","678.13","700.25","370.00","17,31,378","1,17,40,92,030.05","45,548"
"11-Jul-2025","EQ","665.00","685.00","656.10","663.20","678.20","678.45","671.74","685.00","370.00","28,95,361","1,94,49,25,172.70","54,218"
