ï»¿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"13-Aug-2025","EQ","617.15","619.35","605.00","611.20","609.20","609.60","610.11","990.00","409.35","4,91,810","30,00,58,261.45","21,112"
"12-Aug-2025","EQ","617.40","624.50","610.05","615.90","612.45","611.20","614.89","990.00","409.35","4,88,942","30,06,44,203.00","22,943"
"11-Aug-2025","EQ","615.40","624.95","607.00","618.40","616.00","615.90","614.94","990.00","409.35","7,09,076","43,60,38,750.85","33,740"
"08-Aug-2025","EQ","641.85","647.55","614.10","641.95","615.50","618.40","630.48","990.00","409.35","4,57,055","28,81,62,847.95","15,366"
"07-Aug-2025","EQ","647.00","651.60","625.00","651.45","641.80","641.95","638.00","990.00","409.35","8,62,556","55,03,07,762.60","32,033"
"06-Aug-2025","EQ","665.00","669.00","646.60","672.10","648.30","651.45","657.41","990.00","409.35","18,41,009","1,21,02,98,401.65","58,402"
"05-Aug-2025","EQ","604.00","685.90","600.10","602.15","656.20","672.10","668.07","990.00","409.35","1,47,55,771","9,85,78,55,876.25","2,73,365"
"04-Aug-2025","EQ","617.00","619.95","601.00","616.90","602.60","602.15","605.91","990.00","409.35","4,51,979","27,38,59,457.00","16,710"
"01-Aug-2025","EQ","635.00","640.80","612.00","627.15","617.00","616.90","627.28","1,012.80","409.35","3,30,629","20,73,97,697.80","15,629"
"31-Jul-2025","EQ","628.00","635.35","620.95","638.70","630.00","627.15","628.86","1,012.80","409.35","3,25,939","20,49,69,518.15","18,579"
"30-Jul-2025","EQ","642.60","647.25","635.00","642.85","640.00","638.70","640.68","1,012.80","409.35","2,88,062","18,45,54,595.75","13,088"
"29-Jul-2025","EQ","612.30","644.95","609.00","614.15","642.10","642.85","629.86","1,012.80","409.35","5,63,916","35,51,88,777.05","24,215"
"28-Jul-2025","EQ","649.95","651.60","609.00","648.90","611.00","614.15","629.51","1,012.80","409.35","7,37,399","46,42,03,440.15","36,158"
"25-Jul-2025","EQ","666.40","666.40","644.00","676.65","649.90","648.90","652.86","1,012.80","409.35","9,00,089","58,76,32,819.00","39,840"
"24-Jul-2025","EQ","682.95","686.65","668.00","678.60","669.70","676.65","679.55","1,012.80","409.35","7,01,318","47,65,81,724.20","31,572"
"23-Jul-2025","EQ","665.00","682.50","655.35","674.45","677.75","678.60","669.55","1,012.80","409.35","6,77,094","45,33,50,778.60","24,672"
"22-Jul-2025","EQ","680.00","684.60","671.95","674.80","675.70","674.45","676.96","1,012.80","409.35","6,80,247","46,04,98,209.30","20,608"
"21-Jul-2025","EQ","665.00","690.00","654.40","656.05","674.80","674.80","678.71","1,012.80","409.35","30,29,741","2,05,63,13,411.45","80,552"
