Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades,EMA_50,EMA_100,EMA_200
2023-11-06,EQ,916.75,923.70,916.00,913.70,919.40,918.65,919.22,928.00,686.6,"7,42,374","68,24,06,580.45","34,320",881.4274098672615,858.8440585812941,828.2779451557353
2023-11-07,EQ,920.00,923.70,913.00,918.65,923.50,922.05,919.58,928.00,686.6,"8,19,721","75,37,99,048.25","52,127",883.020452617565,860.0956613816645,829.2110004278176
2023-11-08,EQ,922.50,929.45,914.15,922.05,914.85,916.3,921.42,929.45,686.6,"10,90,425","1,00,47,41,713.50","39,900",884.3255329070722,861.2086185820276,830.077557637491
2023-11-09,EQ,916.30,918.95,898.35,916.30,902.95,902.85,903.18,929.45,686.6,"31,94,352","2,88,50,69,811.20","58,849",885.0519825969909,862.0332003922845,830.8016615415956
2023-11-10,EQ,902.85,916.85,896.50,902.85,914.35,912.7,905.88,929.45,686.6,"38,46,444","3,48,44,23,739.45","53,525",886.1362185735795,863.0365033548135,831.6165703819778
2023-11-12,EQ,922.00,922.00,914.00,912.70,914.00,915.3,917.51,929.45,686.6,"1,57,797","14,47,79,842.10","8,162",887.2798962765764,864.0714240804607,832.4492413234507
2023-11-13,EQ,914.00,920.45,907.10,915.30,917.00,916.55,915.35,929.45,686.6,"9,04,887","82,82,88,496.80","42,750",888.4277434814167,865.1106038016396,833.2860647928691
2023-11-15,EQ,921.40,932.00,916.35,916.55,929.00,929.6,924.90,932.00,686.6,"15,64,164","1,44,66,98,495.10","67,693",890.0423417762631,866.3876215481419,834.2444124068704
2023-11-16,EQ,933.00,933.00,918.00,929.60,920.50,920.05,925.50,933.00,686.6,"13,15,309","1,21,73,21,183.30","61,912",891.219112686998,867.4502429036241,835.0981993480957
2023-11-17,EQ,922.00,934.00,921.00,920.05,934.00,930.85,929.17,934.00,686.6,"9,61,365","89,32,73,824.55","47,244",892.7732651306451,868.7056836382059,836.0509535834381
2023-11-20,EQ,935.50,940.85,928.20,930.85,931.00,930.85,933.21,940.85,686.6,"11,69,030","1,09,09,53,315.35","57,787",894.2664704196394,869.9362641602216,836.9942276771352
2023-11-21,EQ,906.00,931.50,906.00,930.85,928.30,927.7,927.11,940.85,686.6,"8,04,344","74,57,18,365.35","38,984",895.5775892267123,871.0801005134846,837.8967726753726
2023-11-22,EQ,931.45,939.80,922.25,927.70,929.10,928.25,930.70,940.85,686.6,"8,85,449","82,40,86,970.95","35,797",896.8588602374296,872.2121777310393,838.7958097631799
2023-11-23,EQ,929.15,937.70,927.00,928.25,934.70,933.0,931.59,940.85,686.6,"9,07,511","84,54,30,378.65","50,572",898.2761598359618,873.4158969838901,839.7331648899145
2023-11-24,EQ,934.70,936.85,924.00,933.00,929.00,926.9,928.36,940.85,686.6,"5,21,207","48,38,70,062.00","31,584",899.3986633718065,874.474988132724,840.6004965825522
2023-11-28,EQ,925.00,934.95,924.75,926.90,932.00,931.85,930.40,940.85,686.6,"9,04,835","84,18,57,815.70","52,755",900.6712648082063,875.6111269815809,841.5084518404373
2023-11-29,EQ,934.95,937.90,930.00,931.85,933.80,933.55,934.26,940.85,686.6,"10,47,897","97,90,04,008.70","56,942",901.9606269725904,876.7584313977873,842.4242881405324
2023-11-30,EQ,932.00,948.20,932.00,933.55,938.60,940.75,940.05,948.20,686.6,"29,82,505","2,80,37,09,450.75","85,175",903.4817788560182,878.0255911720885,843.4026534326665
2023-12-01,EQ,945.90,952.90,939.75,940.75,943.00,942.85,945.03,952.90,686.6,"11,29,388","1,06,73,10,273.25","42,963",905.0256306655862,879.3092428320472,844.3921792691575
2023-12-04,EQ,954.00,956.50,941.95,942.85,945.50,946.65,947.77,956.50,686.6,"11,12,904","1,05,47,72,322.30","66,590",906.6579588747788,880.6427231720066,845.4096700226983
2023-12-05,EQ,946.70,954.15,944.15,946.65,949.60,950.05,949.96,956.50,686.6,"7,92,716","75,30,50,697.30","45,596",908.3596075463562,882.017124693353,846.4508673359053
2023-12-06,EQ,954.00,963.00,948.90,950.05,951.70,951.7,954.70,963.00,686.6,"9,82,484","93,79,81,330.55","40,877",910.0592307798324,883.3969836103164,847.4981223872894
2023-12-07,EQ,952.00,959.55,950.05,951.70,957.00,956.9,955.83,963.00,686.6,"9,33,106","89,18,90,850.35","45,557",911.8961236904272,884.8524888853595,848.5866982839334
2023-12-08,EQ,960.00,961.85,943.80,956.90,946.50,946.6,950.64,963.00,686.6,"6,49,090","61,70,51,675.65","47,533",913.2570600162928,886.0752118777286,849.5619550174266
2023-12-11,EQ,949.90,953.00,944.05,946.60,951.25,950.45,949.20,963.00,686.6,"4,76,174","45,19,82,544.40","25,288",914.7156066823206,887.3499601573775,850.5658161615319
